r1bqkb1r/ppp2ppp/2N5/3p4/2BP4/8/PPP3PP/RNBnR1K1 b kq -,d8e7 c6e7 f8e7 c4d5 c8g4 b1d2 a8d8 d5f3 d8d4 f3g4,355
rnbqk2r/bp1pnppp/p3p3/8/4P3/1N1B4/PPP2PPP/RNBQ1R1K b kq -,d8c7 f2f4 b8c6 f4f5 d7d5 c1f4 c7d8 d1g4 e6f5 e4f5,40
q4rk1/4nppp/2bbpn2/1pPpN3/5P2/1PPBP2N/6PP/2BQ1R1K b - -,e7f5 c5d6 c6b7 e5f3 f5d6 f3d4 f6e4 h3f2 f8c8 f2e4,376
2rq1rk1/pb1nppbp/1p1p1np1/8/1PP1PP2/2NBN2R/P5PP/1R1QB1K1 b - -,b6b5 c4b5 f6h5 c3e2 h5f6 e2g3 e7e5 f4f5 d6d5 e4d5,38
r1bq1r1k/pppnn1bp/3p2p1/3PppP1/2P1P3/2N2P2/PP2B2P/R1BQNRK1 b - -,f5f4 h2h4 h8g8 g1f2 h7h6 c1d2 h6g5 h4g5 g8f7 f1h1,32
rnbqkb1r/ppp1p1pp/5n2/1N3P2/3p4/5N2/PPPP1PPP/R1BQKB1R b KQkq -,c7c5 f1d3 a7a6 b5a3 e7e6 f5e6 f8e7 e1h1 b8c6 f1e1,78
r1bqk2r/bp1pnppp/p1n1p3/8/4PP2/1N1B4/PPP3PP/RNBQ1R1K b kq -,h7h5 d1e2 d7d5 c1e3 c6b4 e3a7 a8a7 b1c3 b4d3 c2d3,41
q4rk1/4nppp/2b1pn2/1pbpN3/5P2/1PPBP2N/4Q1PP/2B2R1K b - -,e7f5 h3g5 c6b7 c1b2 a8c8 d3f5 e6f5 g5f3 f8e8 f3d4,-69
r3k1nr/1p1qppbp/p5p1/2p1Pb2/2N2P2/2Pp1Q2/PP1P2PP/R1B1NRK1 b kq -,d7b5 c4e3 a8d8 a2a4 b5d7 e3f5 g6f5 b2b3 e7e6 c1a3,93
rnbqk2r/ppppbppp/5P2/8/4P3/8/PPP2PPP/RNBQKBNR b KQkq -,e7f6 b1c3 f6c3 b2c3 b8c6 g1e2 e8h8 e2g3 d7d5 e4d5,468
