8/8/2K5/8/2B3P1/8/4kp2/8 b - -,e2e3 c6d5 e3f4 c4e2 f4e3 e2f1 e3f4 f1c4 f4g4 d5e4,Mate
r1bq1rk1/ppp2ppp/n6B/3N4/2pPP3/6Q1/PbP1N1PP/R3K2R b KQ -,c8g4 g3g4 g7g6 a1b1 c7c6 e1h1 b2d4 e2d4 c6d5 h6f8,933
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP3P/5N2/PP1NPPP1/R1BQKB1R b KQkq -,d5c4 a2a3 b4d2 c1d2 a7a6 e2e3 b7b5 a3a4 d8d5 a4b5,-7
8/p7/P7/2n2k1B/7P/4K1P1/8/8 b - -,c5a6 g3g4 f5f6 g4g5 f6f5 h5d1 a6b4 e3f3 a7a6 d1a4,529
rnb1kb1r/1pp1nppp/p2p1q2/4p1B1/2B1P3/2NP1N2/PPP2PPP/R2QK2R b KQkq -,f6g6 g5e3 b8c6 e1h1 c8g4 h2h3 g4h3 c4f7 g6f7 f3g5,52
r7/pp4pB/2pbk2p/n3p3/4P1bB/6N1/PPPR2PP/5K2 b - -,b7b5 h7f5 g4f5 e4f5 e6d7 g3e4 a5b7 g2g4 a7a5 h4g3,222
4k3/R4pp1/8/1p2pP1r/1P2n1np/5N2/1P4PP/7K b - -,h5f5 h1g1 e4d6 f3h4 f5f4 h4f3 f4b4 h2h3 g4e3 a7a6,-530
r1bq1rk1/ppp2ppp/n4n2/2bpp3/4P3/P1NPBN2/1PP1BPPP/R2QK2R b KQ -,d5d4 e3d2 d4c3 d2c3 f6d7 f3e5 d7e5 c3e5 c5d6 e5d4,-228
r3k1B1/pp4p1/2pb3p/n3p3/4P1bB/8/PPPRN1PP/5K2 b - -,d6f8 h2h3 f8e7 h4g3 e8f8 g8b3 a5b3 c2b3 e7g5 d2d3,53
Qq4k1/1P2pp1p/6p1/4b3/3BP3/5P1P/p5K1/8 b - -,,0
4rr2/5p2/pp3b1k/2pQ4/5P2/1P6/P1PP2PP/R5K1 b - -,,0
r1bq1rk1/p3bppp/5n2/2P1p1B1/N2p4/P2B4/1P3PPP/R2Q1RK1 b - -,f6d5 g5e7 d8e7 b2b4 d5f4 f1e1 e7g5 d1f3 c8b7 d3e4,-60
r4rk1/1bp1bppp/4q3/1p6/2PP4/4BP2/1R1NQ1PP/5RK1 b - -,c7c6 f1e1 b7a6 c4b5 a6b5 e2d1 e7h4 g2g3 h4e7 e3f2,-52
r4rk1/1b3ppp/1p2pn2/p1p1Q3/PqPP4/8/1PN1BPPP/R2R2K1 b - -,f6d5 c2b4 d5b4 d4c5 b6c5 e5c5 h7h6 c5e5 b7c6 g1h1,555
r1b1k2r/ppp2p1p/2nbpp2/8/3P4/3B1NB1/PPPK1PPP/R6R b kq -,h7h5 c2c3 c6e7 b2b4 b7b6 g3d6 c7d6 f3h4 a7a5 b4b5,39
1r5r/pp1qbkpp/4b3/3p1p2/3P1N2/5PP1/PP2Q1BP/R3R1K1 b - -,e7b4 e2e6 d7e6 e1e6 g7g5 f4d5 f7e6 d5b4 b8c8 a1e1,469
r2qkb1r/pp1b1ppp/4p3/1Bn1P3/4p1Q1/4B3/PPP2PPP/2KR2NR b kq -,a7a6 b5d7 c5d7 g4e4 d8c7 g1f3 a8c8 c1b1 f8c5 e3c1,217
8/p4B2/n7/5k2/7P/4K1P1/8/8 b - -,a6c5 e3f3 f5f6 f7c4 c5d7 f3f4 d7e5 c4a6 e5g6 f4f3,31
1r4k1/r1p2p1p/1pB1bnp1/5qQ1/1B1PpP1P/P3P3/2R3P1/5RK1 b - -,b8c8 c2d2 e6d7 d4d5 d7c6 d5c6 g8g7 f1d1 h7h6 g5g3,36
r1b2rk1/pp1n1ppp/8/8/1P1NpBnq/PB6/2P1NPP1/R2Q1RK1 b - -,d7e5 f2f3 e4f3 g2f3 a7a5 f3g4 e5g4 f4g3 h4d8 d1d3,442
r4rk1/1bp1bppp/8/1p1q4/3P4/2P1BP2/1R1NQ1PP/5RK1 b - -,b7c6 c3c4 b5c4 e2c4 f8e8 b2c2 d5c4 d2c4 c6b5 f1b1,-33
r1bqk1nr/pp1p1ppp/2n5/1B2p3/4P3/N4N2/2PP1PPP/R2QK2R b KQkq -,g8e7 d2d4 e5d4 e1h1 e8h8 f3d4 d7d5 b5c6 e7c6 d4c6,-82
2k2r2/p1p5/1pq5/2p1n3/P1P2n2/1R4Pp/2QR4/6K1 b - -,g8e7 d2d4 e5d4 e1h1 e8h8 f3d4 d7d5 b5c6 e7c6 d4c6,Mate
8/8/6pk/p1R4p/p7/r6P/6P1/6K1 b - -,h5h4 c5a5 a3a2 a5b5 g6g5 b5b6 h6g7 b6b5 g7f6 b5d5,-29
r1b2rk1/4ppbp/p5p1/qpp5/n1PPP3/1Q3N2/3B1PPP/R3RBK1 b - -,b5b4 b3a4 a5a4 a1a4 a6a5 e1a1 c8g4 e4e5 b4b3 d2c1,311
