r1b3k1/1p3ppp/p2q1n2/3pr3/3N4/PP2P3/3QBPPP/R4RK1 b - -,c8g4 e2g4 f6g4 h2h3 e5h5 d4f3 g4e5 f3e5 h5e5 f1d1,51
r1b1k1nr/1pp2ppp/1p6/3q4/3P4/2N5/P4PPP/R1BQ1RK1 b kq -,d5f5 f1e1 g8e7 d1b3 e8d8 d4d5 a8a6 d5d6 c7d6 c1a3,223
8/8/8/6P1/1k6/1p1K4/8/8 b - -,d5f5 f1e1 g8e7 d1b3 e8d8 d4d5 a8a6 d5d6 c7d6 c1a3,Mate
rn2R3/2p3kp/8/1p1P1Qp1/p2P1b2/P1P2P2/1P1N1KP1/q7 b - -,d5f5 f1e1 g8e7 d1b3 e8d8 d4d5 a8a6 d5d6 c7d6 c1a3,Mate
rnb1kb1r/1p1p1ppp/p3pn2/2p5/N2P1B2/4PN2/PqP1BPPP/R2QK2R b KQkq -,b2a3 c2c4 b7b5 a4c5 d7d6 f3d2 e6e5 f4g5 d6c5 d4e5,46
8/8/6P1/8/8/kp1K4/8/8 b - -,b2a3 c2c4 b7b5 a4c5 d7d6 f3d2 e6e5 f4g5 d6c5 d4e5,Mate
r2qkbnr/pp1bp1pp/2n5/1BppN2Q/5P2/8/PPPP2PP/RNB1K2R b KQkq -,g7g6 h5e2 c6e5 f4e5 f8g7 e1h1 d7b5 e2b5 d8d7 b1c3,-5
3r2k1/p2r3p/6p1/5p2/2Q5/3p1b2/PP5P/2RR2K1 b - -,g8g7 d1d2 f3e4 c4e6 g7h6 c1c5 d7b7 e6e5 d8d7 h2h4,447
r1bqk2r/ppp3pp/2np1n2/4pp2/2P5/2NP1NP1/PP1QPPBP/R3K2R b KQkq -,a7a6 e1h1 e8h8 a1b1 a6a5 b2b3 d8e8 c3b5 e8e7 e2e3,20
r1bq1rk1/ppp3pp/2np1n2/4pp2/2P5/2NP1NP1/PP1QPPBP/R4RK1 b - -,a7a6 a1b1 a6a5 b2b3 d8e8 f3e1 f5f4 g3f4 e8h5 f4e5,20
