8/5k2/7K/8/8/7P/8/8 b - -,f7f8 h6g6 f8g8 h3h4 g8h8 g6f6 h8h7 f6e5 h7g6 e5f4,Mate
r1bk1b1r/pppp1Bpp/7n/6q1/3nP1N1/5P2/PPPP2PP/RNBQK2R b KQ -,h6g4 f3g4 g5f4 d2d3 f4f7 c1g5 f8e7 g5e7 f7e7 e1h1,-385
rnbqk2r/ppp1ppbp/5p2/3p4/2PP4/4P3/PP3PPP/RN1QKBNR b KQkq -,c7c5 c4d5 d8d5 b1c3 d5d6 c3e4 d6b6 e4c5 e8h8 a2a3,92
rnb1k2r/pppp1ppp/8/2b1P3/3N3q/4K3/PPP3PP/RNBQ1B1R b kq -,c5d4 d1d4 h4e1 e3d3 e1c1 e5e6 d7e6 d4g7 h8f8 g7c3,-534
8/6k1/8/4K3/2B3N1/8/8/8 b - -,g7g6 e5f4 g6g7 f4f5 g7h8 f5f6 h8h7 g4e5 h7h8 c4d5,20000
7k/8/5K2/8/2B3N1/8/8/8 b - -,g7g6 e5f4 g6g7 f4f5 g7h8 f5f6 h8h7 g4e5 h7h8 c4d5,Mate
r1bqkb1r/pppp1ppp/5n2/3Pp3/1n2P3/2N5/PPP2PPP/R1BQKBNR b KQkq -,f8d6 a2a3 b4a6 g1e2 e8h8 e2g3 d6c5 c3a4 c5e7 f1a6,130
r1bqk2r/ppppb1pp/2n1pn2/5p2/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq -,a7a6 c2c4 d7d5 d1c2 e8h8 c1g5 g8h8 e2e3 e7d6 g5f4,98
r1b1kbnr/ppp1qppp/3p4/8/5B2/2N2P2/PPP1PPBP/R2QK2R b KQkq -,e7d8 d1d2 c8e6 e1a1 d8d7 e2e4 g8e7 f4e3 e8a8 f3f4,139
rn1qkb1r/pp3ppp/4pn2/3p1b2/3P4/2NB1N2/PPP2PPP/R1BQ1RK1 b kq -,g7g6 d3b5 f6d7 h2h3 h7h5 c3e2 a7a6 b5a4 b7b5 a4b3,97
r1bqk2r/ppp2pp1/2np1n1p/1B1Np3/1b2P3/3P1N2/PPP2PPP/R1BQ1RK1 b kq -,e8h8 b5c6 b7c6 d5b4 a7a5 b4c6 d8e8 c6e5 d6e5 b2b3,496
rn1qkb1r/pb2pppp/1p3n2/3P4/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,g7g6 f1b5 b8d7 e1h1 a7a6 b5c6 d8c7 f3e5 b7c6 d5c6,366
8/2rk4/5Q2/1K6/8/8/8/8 b - -,d7e8 f6h8 e8d7 h8g7 d7d8 g7g6 c7b7 b5c6 b7c7 c6b6,707
r1bqkb1r/ppp2ppp/2n5/1B1np3/8/1PN5/PBPP1PPP/R2QK1NR b KQkq -,d5c3 b5c6 b7c6 b2c3 d8d5 g1f3 f8d6 d2d3 f7f6 d1e2,-36
rnbqk2r/ppp1bppp/4pn2/3P4/3P4/2N3P1/PP2PP1P/R1BQKBNR b KQkq -,h7h6 d5e6 c8e6 f1g2 e8h8 g2b7 b8d7 b7g2 e7b4 g1f3,287
r1bqkbnr/p2p1ppp/2p5/2p1p3/4P3/3P1N2/PPP2PPP/RNBQK2R b KQkq -,d8f6 c2c3 g8e7 e1h1 h7h6 d3d4 c5d4 c3d4 e7g6 f3e5,55
r1bqkbnr/p4ppp/2pp4/2p1p1B1/4P3/3P1N2/PPP2PPP/RN1QK2R b KQkq -,f8e7 g5d2 f7f5 e1h1 g8f6 d2g5 e8h8 b1d2 c8e6 b2b3,-90
rnb1kb1r/pp1ppppp/5n2/2P5/5B2/2q1P3/P2N1PPP/R2QKBNR b KQkq -,b8c6 a1c1 c3b4 g1f3 e7e6 f3e5 c6e5 f4e5 f8c5 c1c4,-128
1k6/3N4/2K5/8/8/8/8/6B1 b - -,b8a8 d7b6 a8a7 g1h2 a7a6 h2b8 a6a5 b6d5 a5a4 c6c5,8011
rnbqk2r/ppp1bppp/5n2/3p2B1/3P4/P1N5/1P2PPPP/R2QKBNR b KQkq -,c7c6 e2e3 c8f5 g1e2 b8d7 e2g3 f5g6 g5f4 e8h8 f1d3,13
8/8/8/1Qnk4/8/8/3K4/8 b - -,c7c6 e2e3 c8f5 g1e2 b8d7 e2g3 f5g6 g5f4 e8h8 f1d3,Mate
8/8/8/Q1nk4/8/8/3K4/8 b - -,c7c6 e2e3 c8f5 g1e2 b8d7 e2g3 f5g6 g5f4 e8h8 f1d3,Mate
rnbqk1nr/ppp2pbp/4p1p1/8/2BPP3/2N2N2/PP3PPP/R1BQK2R b KQkq -,h7h6 c1e3 g8f6 e1h1 e8h8 h2h3 b7b6 d1c2 c8b7 a1d1,253
r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/4P3/2NP1NB1/PPP2PPP/R2QKB1R b KQkq -,g8e7 f1e2 d7d6 e1h1 e8h8 f3d2 c8e6 f2f4 e5f4 g3f4,-71
rnbq1rk1/ppp1ppbp/3p1np1/8/3P4/1P2PNP1/PBP2P1P/RN1QKB1R b KQ -,c7c5 f1g2 c5d4 e3d4 c8f5 e1h1 e7e6 b1d2 b8c6 f3h4,-14
r1bqk1nr/p1ppppbp/1pn3p1/8/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -,c8a6 d2d4 a6c4 d1a4 b6b5 c3b5 c4b5 a4b5 d8b8 b5d3,125
3k4/3r4/2K5/8/6Q1/8/8/8 b - -,c8a6 d2d4 a6c4 d1a4 b6b5 c3b5 c4b5 a4b5 d8b8 b5d3,Mate
8/3k4/5N2/4K3/3B4/8/8/8 b - -,d7c6 f6d5 c6b5 d5e3 b5c6 e5e4 c6d6 d4e5 d6c5 e5h2,15414
8/7b/3k3P/1p1p1pP1/1P1P1K2/5P2/8/8 b - -,,0
8/7b/3k3P/1p1p1pP1/1P1P4/6K1/5P2/8 b - -,,0
8/7P/3k2b1/1p1p1p2/1P1P1K2/8/5P2/8 b - -,g6h7 f4g5 d6e6 f2f4 e6f7 g5h5 f7g7 h5h4 g7h6 h4g3,-5892
8/8/5k2/3K4/2B5/5N2/8/8 b - -,g6h7 f4g5 d6e6 f2f4 e6f7 g5h5 f7g7 h5h4 g7h6 h4g3,Mate
rnbqk2r/pp3ppp/2pb1n2/3p2B1/3P4/2NB4/PPP2PPP/R2QK1NR b KQkq -,h7h6 g5h4 e8h8 g1e2 a7a5 f2f3 f8e8 e1h1 b8d7 d1d2,-41
8/4K1k1/4B3/8/8/5N2/8/8 b - -,g7h8 e7f7 h8h7 e6f5 h7h8 f7e8 h8g7 f5c8,15265
rnbqkb1r/ppp2p1p/4pnp1/6B1/3PN3/5N2/PPP2PPP/R2QKB1R b KQkq -,f6e4 g5d8 e8d8 f1d3 e4d6 e1h1 f8g7 f1e1 d8e8 c2c3,763
6k1/5N2/5K2/8/6B1/8/8/8 b - -,f6e4 g5d8 e8d8 f1d3 e4d6 e1h1 f8g7 f1e1 d8e8 c2c3,Mate
