r1bqkbnr/pp1n1ppp/3p4/2pPp3/2P1PP2/5N2/PP4PP/RNBQKB1R b KQkq -,f8e7 f4e5 d7e5 f3e5 d6e5 b1c3 g8f6 f1d3 e8h8 e1h1,163
r1b2rk1/p1qn1p1p/2pbp1p1/2ppN2Q/5P2/1P2P2R/PBPP2PP/RN4K1 b - -,d7f6 e5g4 g6h5 g4f6 g8h8 h3h5 h7h6 f6d5 h8h7 d5c7,Mate
r2qkbnr/pp1n1ppp/3p4/2p1p3/2P1P3/2N2N2/PP1P1PPP/R1BQK2R b KQkq -,g8f6 d2d3 f8e7 e1h1 e8h8 h2h3 f8e8 a2a3 d7f8 b2b4,98
rnbqk1nr/1p3ppp/p1pb4/3p4/3P4/2N1P1B1/PP3PPP/R2QKBNR b KQkq -,a6a5 f1d3 g8f6 g3d6 d8d6 h2h3 e8h8 a2a3 c8e6 g1f3,50
8/2R5/8/1K6/3k4/8/8/8 b - -,a6a5 f1d3 g8f6 g3d6 d8d6 h2h3 e8h8 a2a3 c8e6 g1f3,Mate
r1bqkb1r/pppp1ppp/5n2/n3p3/2B1P3/3P1Q2/PPP1NPPP/RNB1K2R b KQkq -,f8b4 b1c3 a5c4 d3c4 d7d6 e1h1 c8g4 f3d3 h7h6 h2h3,31
rnbqkb1r/pppp1ppp/5n2/4p3/2B5/4PQ2/PPPP1PPP/RNB1K1NR b KQkq -,d7d5 c4b3 a7a5 a2a3 c7c6 f3d1 b8d7 g1e2 f8d6 d2d3,-228
rnbqkbnr/3p1ppp/p3p3/1pp5/3PP3/1BP5/PP3PPP/RNBQK1NR b KQkq -,b8c6 g1f3 c5d4 c3d4 c8b7 e1h1 a8c8 f1e1 c6a5 b3c2,43
rnbqkb1r/pp3ppp/2p2n2/3p4/3QP3/2N3P1/PPP2PBP/R1B1K1NR b KQkq -,f8e7 e4d5 c8e6 c1e3 c6d5 d4a4 b8c6 e1a1 a7a6 a4b3,88
5k2/7B/4K2N/8/8/8/8/8 b - -,,0
rnb1kb1r/1pp1pppp/p4n2/q7/3P4/2N2N2/PPPB1PPP/R2QKB1R b KQkq -,e7e6 f1c4 a5h5 c3e2 f8d6 e2f4 d6f4 d2f4 h5a5 c2c3,169
r1bqk1nr/pp2bppp/2n1p3/2pp4/4PP2/2NP1NP1/PPP4P/R1BQKB1R b KQkq -,d5d4 c3e2 b7b5 a2a4 b5a4 f1g2 g8f6 e1h1 e8h8 a1a4,-18
r1bqk2r/pp3ppp/2np1n2/2pPp3/2P5/2PBPN2/P4PPP/R1BQ1RK1 b kq -,e5e4 d5c6 e4d3 d1d3 b7c6 e3e4 e8h8 c1g5 h7h6 g5h4,94
rnbqk1nr/ppp1bppp/4p3/1B6/3PN3/8/PPP2PPP/R1BQK1NR b KQkq -,e8f8 g1f3 c8d7 b5c4 g8f6 e4f6 e7f6 e1h1 d7c6 f1e1,154
r1bqkb1r/ppp1pppp/2np1n2/8/3P1B2/2P2N2/PP2PPPP/RN1QKB1R b KQkq -,g7g6 e2e4 f8g7 f1d3 e8h8 e1h1 d8e8 d4d5 e7e5 f4d2,52
r1bqkb1r/ppp2ppp/2np1n2/3Np3/2B1P3/3P4/PPP2PPP/R1BQK1NR b KQkq -,c6a5 c1g5 c7c6 g5f6 g7f6 d5e3 a5c4 d3c4 f8h6 g1e2,-44
rnbqk2r/ppp2ppp/5n2/4N3/1b2P3/2N5/PPPP2PP/R1BQKB1R b KQkq -,b8d7 e5d7 d8d7 f1e2 b4c3 d2c3 f6e4 e1h1 d7c6 d1d4,92
r2qkb1r/pppb1ppp/2np1n2/1B6/4PP2/2N1Q3/PPP3PP/R1B1K1NR b KQkq -,c6b4 e3e2 a7a6 b5d7 d8d7 a2a3 b4c6 c1d2 e8a8 e1a1,52
rnbq1rk1/pp2ppbp/3p1np1/2p5/4PP2/2NPBN2/PPPQ2PP/R3KB1R b KQ -,b8c6 f1e2 b7b6 f4f5 f6g4 f5g6 f7g6 e3g5 b6b5 a2a3,-64
8/1K6/8/4Q3/8/5k2/8/8 b - -,f6g4 e3g1 b8c6 f1e2 a7a6 h2h3 g4f6 g1f2 b7b5 e1h1,Mate
rnbqk2r/pp2bppp/4pn2/3p4/2pP1B2/2P1P3/PPBN1PPP/R2QK1NR b KQkq -,e7d6 f4d6 d8d6 f2f4 b8c6 g1f3 c6e7 f3e5 d6b6 a1b1,103
8/1K6/8/8/5Q2/8/6k1/8 b - -,e7d6 f4d6 d8d6 f2f4 b8c6 g1f3 c6e7 f3e5 d6b6 a1b1,Mate
rnbk1b1r/ppp2ppp/5n2/4p3/4P3/2P2N2/PP3PPP/RNB1KB1R b KQ -,b8c6 b1d2 a7a5 a2a4 f8d6 f1b5 h7h6 e1h1 c8e6 f1e1,39
rn1qkbnr/ppp2ppp/8/3p4/6b1/2N2N2/PPPPQPPP/R1B1KB1R b KQkq -,e8d7 f3e5 d7e8 e2g4 b8d7 d2d4 d8e7 f1e2 c7c6 g4g3,654
