r2qkbnr/pp3ppp/2np4/2p1p3/2B1PPb1/2P2N2/PP1P2PP/RNBQ1RK1 b kq -,g4h5 f4f5 d8d7 a2a4 g7g6 d2d3 g6f5 f3e5 h5d1 e5d7,123
8/2k5/5N2/8/2Q5/4K3/8/8 b - -,g4h5 f4f5 d8d7 a2a4 g7g6 d2d3 g6f5 f3e5 h5d1 e5d7,Mate
4N3/8/1k6/8/2Q5/4K3/8/8 b - -,g4h5 f4f5 d8d7 a2a4 g7g6 d2d3 g6f5 f3e5 h5d1 e5d7,Mate
3Q4/8/8/3k4/8/3NK3/8/8 b - -,g4h5 f4f5 d8d7 a2a4 g7g6 d2d3 g6f5 f3e5 h5d1 e5d7,Mate
r1bqkb1r/pp1nppp1/2p2n1p/4P3/2P5/2N2N2/PP3PPP/R1BQKB1R b KQkq -,a7a5 e5f6 e7f6 f1d3 f8d6 e1h1 e8h8 c1e3 d6c7 c3a4,394
8/8/4k3/5B1Q/3K4/8/8/8 b - -,a7a5 e5f6 e7f6 f1d3 f8d6 e1h1 e8h8 c1e3 d6c7 c3a4,Mate
r2qk2r/pp1n1pp1/2p1p1p1/3p4/2PP4/1QP1P1P1/P4PBP/R3K2R b KQkq -,b7b6 e1h1 a8c8 c4d5 c6d5 f1c1 e8h8 c3c4 c8c4 c1c4,91
r1bqk1nr/p1p2ppp/1pn5/2b1P3/2Pp4/1N3NP1/PP2PP1P/R1BQKB1R b KQkq -,c8f5 f1g2 g8e7 f3h4 f5e6 b3c5 b6c5 b2b3 c6e5 c1a3,258
8/8/8/4K3/2k5/1R6/8/8 b - -,,0
rn2kbnr/ppp1pppp/8/8/3PN1b1/8/PPP1BPPP/R1BQK1NR b KQkq -,g4e2 d1e2 b8d7 c1f4 e8a8 e2c4 c7c6 e4g5 g8h6 c4a4,1248
r1bqk2r/ppp2ppp/2nb1n2/3pp3/8/3P2P1/PPP1PPBP/RNBQNRK1 b kq -,h7h6 a2a3 a7a5 b1c3 d5d4 c3b5 e8h8 e2e3 d4e3 c1e3,-84
r1bqk2r/pppp1ppp/2n2n2/1N2p3/1bB1P3/5Q2/PPPP1PPP/R1B1K1NR b KQkq -,a7a6 b5c3 c6d4 f3d1 c7c6 a2a3 b4a5 g1e2 d7d5 e4d5,-202
rnbqk2r/ppp1ppbp/3p1np1/8/5P2/4PNP1/PPPP2BP/RNBQK2R b KQkq -,c7c5 d2d3 b8c6 e1h1 e8h8 a2a4 a8b8 b1c3 a7a6 e3e4,-52
1r3rk1/2q1bppp/3pb1P1/p3p2P/1p2P3/3BBP2/PPPQ4/1K4RR b - -,c7d8 g6h7 g8h8 h1h2 h8h7 f3f4 d8c7 b2b3 e7f6 h5h6,457
r2qkb1r/1p3ppp/p1npNn2/4p3/4P3/2N1B3/PPP2PPP/R2QKB1R b KQkq -,d8c8 e6f8 e8f8 h2h3 c8d7 f1c4 a8d8 e1h1 c6d4 c4d3,966
rnbqkb1r/ppp2ppp/5n2/8/2Pp4/1P3N2/PB1P1PPP/RN1QKB1R b KQkq -,b8c6 f1d3 c6b4 e1h1 b4d3 d1e2 f8e7 e2d3 c7c5 f1e1,-132
rn1qkb1r/pp2pppp/2p2n2/3p4/2PP4/2N1BP2/PP3PPP/R2QKB1R b KQkq -,d5c4 f1c4 e7e6 d1b3 d8c7 a2a4 f8e7 e1h1 e8h8 a4a5,28
r1bq1rk1/pppnppbp/3p1np1/8/3PP3/3B1N2/PPPNQPPP/R1B1K2R b KQ -,f6h5 d2b3 e7e5 c1g5 g7f6 g5h6 f8e8 e1a1 a7a5 a2a4,-63
rnbqkbnr/ppp2ppp/4p3/3p4/4PP2/1P6/P1PP2PP/RNBQKBNR b KQkq -,d5e4 b1c3 b8c6 c1b2 g8f6 g2g3 f8b4 f1g2 b4c3 b2c3,-123
r1n2rk1/2pbqpbp/p1pp2p1/2P5/B3P3/2N1B3/PP1Q1PPP/3R1RK1 b - -,a6a5 f2f4 a8b8 h2h3 b8b4 e4e5 d7e6 a2a3 b4b8 e5d6,253
8/4k3/8/2K4R/8/8/8/8 b - -,c8a7 e3f4 a7c8 h2h3 a8b8 f1e1 a6a5 a2a3 e7h4 f4g3,Mate
r1bqk1nr/pp1ppBbp/2n3p1/2p1P3/8/5N2/PPPP1PPP/RNBQK2R b KQkq -,e8f7 e1h1 c6e5 f3e5 g7e5 f1e1 d7d6 c2c3 f7g7 d2d4,-584
r1bq2nr/pp1ppkbp/2n3p1/2p1P1N1/8/8/PPPP1PPP/RNBQK2R b KQ -,f7e8 e1h1 g7e5 d2d4 c5d4 f1e1 e5g7 b2b4 d7d6 d1f3,-707
rnbq1rk1/pp2ppbp/2p2np1/3p4/3P4/2PBPN2/PP1NQPPP/R1B1K2R b KQ -,b8d7 e1h1 f8e8 e3e4 e7e5 d4e5 d5e4 d2e4 f6e4 d3e4,-48
rn1qkbnr/p4ppp/2pp4/1p2p3/4P1b1/1B1P1N2/PPP2PPP/RNBQ1RK1 b kq -,f8e7 h2h3 g4h5 c1e3 b8d7 a2a4 a7a6 b1d2 g8f6 g2g4,98
8/8/8/4K2R/6R1/8/3k4/8 b - -,f8e7 h2h3 g4h5 c1e3 b8d7 a2a4 a7a6 b1d2 g8f6 g2g4,Mate
rn1qkbnr/pbpp2pp/1p3p2/4p3/3P4/1P2PN2/PBP2PPP/RN1QKB1R b KQkq -,f8d6 d4e5 f6e5 f3e5 g8f6 e5f3 d8e7 b1c3 d6b4 a2a3,163
rn1qkb1r/pp3ppp/3p1n2/1BpP4/4P1b1/2N5/PP3PPP/R1BQK1NR b KQkq -,d8d7 b5d7 g4d7 f2f4 f6g4 e4e5 g4h6 g1f3 f8e7 c3e4,946
rnbqk1nr/ppp3pp/3bp3/3p1p2/5P2/4PN2/PPPPB1PP/RNBQ1RK1 b kq -,g8f6 c2c4 e8h8 a2a3 c7c5 d2d4 c5d4 e3d4 d6c7 c4c5,27
rnbqkbnr/ppp3pp/5p2/3pp3/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq -,e5e4 d3e2 e4f3 e2f3 f6f5 c2c4 g8f6 b1c3 d5c4 e1h1,-449
rnbq1rk1/ppp2ppp/4pb2/8/2BPN3/5N2/PPP2PPP/R2QK2R b KQ -,f6e7 d1e2 b8d7 e1a1 c7c5 e4c5 d7c5 d4c5 d8c7 f3e5,64
8/8/B7/3k4/8/3QK3/8/8 b - -,f6e7 d1e2 b8d7 e1a1 c7c5 e4c5 d7c5 d4c5 d8c7 f3e5,Mate
rnbq1rk1/ppppppbp/6pn/8/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 b - -,c7c6 c4b3 d7d5 b1c3 a7a5 e4d5 c6d5 b3d5 h6f5 d5b3,105
6r1/7k/8/6P1/6P1/8/8/6K1 b - -,c7c6 c4b3 d7d5 b1c3 a7a5 e4d5 c6d5 b3d5 h6f5 d5b3,Mate
5r2/7k/8/6P1/6P1/8/6K1/8 b - -,c7c6 c4b3 d7d5 b1c3 a7a5 e4d5 c6d5 b3d5 h6f5 d5b3,Mate
5r2/8/6k1/6P1/6P1/6K1/8/8 b - -,c7c6 c4b3 d7d5 b1c3 a7a5 e4d5 c6d5 b3d5 h6f5 d5b3,Mate
5r2/8/8/6k1/6P1/7K/8/8 b - -,c7c6 c4b3 d7d5 b1c3 a7a5 e4d5 c6d5 b3d5 h6f5 d5b3,Mate
rnbqk2r/1p2bppp/p2ppn2/2p3B1/4P3/2NP1N2/PPPQBPPP/R3K2R b KQkq -,h7h6 g5f6 e7f6 c3d1 b8c6 c2c3 d6d5 e4d5 e6d5 d3d4,-67
r1bqkbnr/4pppp/p1p5/3p4/3Q1B2/4PN2/PPP2PPP/RN2K2R b KQkq -,f7f6 f4g3 e7e5 d4a4 c8d7 c2c4 d5d4 e1h1 c6c5 a4c2,-95
rnbqkb1r/ppp2ppp/4p3/4P3/3Pp3/8/PPP1QPPP/RNB1K1NR b KQkq -,d8d4 b1c3 c8d7 f2f4 f8b4 c1d2 b4c5 c3d1 d4a4 b2b3,-192
8/8/5K2/8/2k5/8/8/4Q3 b - -,d8d7 e2e4 b8c6 g1e2 b7b6 b1c3 c8b7 c1g5 h7h6 g5e3,Mate
4b1r1/4bk2/4p2p/1p1pPp2/2pP1Pr1/P4K2/1P4NP/R3B1R1 b - -,e7d8 a1b1 d8b6 e1c3 g8g7 b1e1 f7g8 e1e3 b6d8 f3f2,-163
8/8/8/7R/8/4K3/1k4R1/8 b - -,e8c6 e1g3 f7f8 g2e3 g4g7 e3d1 c6e8 d1c3 e7h4 a1c1,Mate
8/8/8/R7/8/k3K3/6R1/8 b - -,e8c6 e1g3 f7f8 g2e3 g4g7 e3d1 c6e8 d1c3 e7h4 a1c1,Mate
8/8/8/R7/1k6/4K3/R7/8 b - -,e8c6 e1g3 f7f8 g2e3 g4g7 e3d1 c6e8 d1c3 e7h4 a1c1,Mate
8/8/8/R7/8/R1k1K3/8/8 b - -,e8c6 e1g3 f7f8 g2e3 g4g7 e3d1 c6e8 d1c3 e7h4 a1c1,Mate
8/8/8/2Q5/1n6/1k6/3K4/8 b - -,e8c6 e1g3 f7f8 g2e3 g4g7 e3d1 c6e8 d1c3 e7h4 a1c1,Mate
r1b2rk1/pppnq1pp/3pp3/8/2PN4/2R3P1/PP2PPBP/3Q1RK1 b - -,d7e5 c4c5 d6c5 d4b3 c5c4 b3a5 c7c6 a2a3 e5f7 a5c4,124
8/8/8/8/8/3Q4/2K3k1/8 b - -,d7e5 c4c5 d6c5 d4b3 c5c4 b3a5 c7c6 a2a3 e5f7 a5c4,Mate
r1bqkb1r/pppppppp/2n2n2/1B6/8/2N1P3/PPPP1PPP/R1BQK1NR b KQkq -,e7e5 d2d4 e5d4 e3d4 a7a6 b5c6 d7c6 g1f3 h7h6 e1h1,-24
rnbqkb1r/1p3ppp/p2p1n2/2pPp3/P3P3/2N4P/1PP2PP1/R1BQKBNR b KQkq -,d8a5 c1d2 a5d8 f1d3 b8d7 g1f3 f8e7 d1e2 f6h5 g2g3,198
r1bqkbnr/ppp2ppp/2n5/3p4/2PP4/8/PP3PPP/RNBQKBNR b KQkq -,d5c4 f1c4 f8b4 b1d2 d8d4 d1e2 d4e5 a2a3 b4e7 d2f3,-162
8/8/8/2k5/7R/4K3/8/1R6 b - -,d5c4 f1c4 f8b4 b1d2 d8d4 d1e2 d4e5 a2a3 b4e7 d2f3,Mate
rnb2rk1/pp2ppbp/3p1np1/2q5/4PP2/2NB1N2/PPPBQ1PP/R3K2R b KQ -,a7a6 e1a1 b8c6 c1b1 a8b8 h2h3 b7b5 d2e3 c5b4 e4e5,60
8/5k2/8/1B6/4QK2/8/8/8 b - -,a7a6 e1a1 b8c6 c1b1 a8b8 h2h3 b7b5 d2e3 c5b4 e4e5,Mate
r1bqkbnr/pppp1ppp/2n5/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq -,e5f4 d1e2 c6d4 e2d3 d4e6 b1c3 f8c5 g1f3 c7c6 b2b3,-202
