6k1/8/6K1/6pp/8/1R3P2/7P/6r1 b - -,g8f8 g6h5 f8f7 b3b7 f7f6 b7b6 f6f7 h5h6 g1g2 b6b8,Mate
8/4k3/1R4PK/4P3/8/1p6/8/6r1 b - -,g1b1 g6g7 b1h1 h6g6 h1g1 g6h7 g1h1 h7g8 h1h3 b6b7,403
r4rk1/p1p1q1pp/2pp1np1/4p1B1/1P4P1/P1bP4/2P2P1N/R4RK1 b - -,c3a1 f1a1 h7h6 g5h4 g6g5 h4g3 e7e6 f2f3 e6d5 a1e1,-1073
8/5R2/7k/8/7P/7K/r7/8 b - -,,0
2r1b1k1/pp4p1/4N3/q2P1pP1/5Pn1/b1P3Q1/P1PK4/1R2R3 b - -,g4f2 e6d4 f2e4 e1e4 f5e4 g3h3 e4e3 d2e2 c8c3 h3f5,-331
2r2rk1/Q2R1p1p/4p1p1/8/8/7P/P1q2PP1/3R2K1 b - -,c8a8 a7c7 c2a2 h3h4 a8c8 c7f4 a2a5 g2g3 h7h5 f4d4,-10
8/1pb1rk1p/8/1R6/2Pp1p2/3P1P1B/7P/6K1 b - -,e7e1 g1f2 e1e7 b5b7 f7f6 h3c8 f6g5 c4c5 c7d8 c8d7,81
3Qk3/1p3p2/p5b1/3P2p1/4P3/P4PB1/7K/8 b - -,,0
rnb1kb1r/pp1ppppp/5q2/2p5/3P4/2P1P3/PP3PPP/RN1QKBNR b KQkq -,f6b6 d1b3 d7d5 g1f3 e7e6 b1d2 f8e7 b3b6 a7b6 f1b5,-17
r1b1k2r/1p3ppp/p3p3/2n5/1P2p1P1/7P/P1P1NPB1/2KR3R b - -,c8d7 b4c5 a8c8 g2e4 c8c5 e4b7 e8e7 h1e1 h7h5 e2d4,408
r1b1kn1r/pp2b2p/1qn1pP2/2pp2p1/P2P1N2/2PB1N2/1P3PPP/R1BQ1RK1 b kq -,c5c4 f3g5 e7f6 d1h5 e8d7 h5f7 f6e7 d3c2 d7d6 f7g7,588
2kr3r/ppp1q1pp/3bbn2/1P1p4/3Pp3/P3PNPP/1BP1N1B1/R2QK2R b KQ -,e4f3 g2f3 e6f5 d1d2 h8f8 e1a1 f5e4 d1f1 e4f3 f1f3,-307
8/4k1K1/1R4P1/4P3/8/1p6/8/7r b - -,h1b1 g7g8 b1g1 g6g7 g1b1 b6b8 b1b2 b8b7 e7e6 g8f8,528
q4bk1/1rn2n1p/p2p2pP/2pP1pP1/2P2P2/P1NB2K1/2QB4/1R6 b - -,a8b8 b1b7 b8b7 c3e2 c7e8 c2a4 b7c8 e2g1 f7h6 g5h6,217
r1b2k1r/pp1q1ppp/2np4/b1n5/2B5/Q1P1BN2/P4PPP/RN2R1K1 b - -,d7c7 e3c5 d6c5 a3c5 c6e7 c5a3 a5b6 b1d2 b6c5 a3b2,179
r1bqkb1r/1pp1ppp1/p1n4p/3p2P1/3PNB2/4P3/PPP2P1P/R2QKBNR b KQkq -,e7e6 e4c3 h6g5 f4g3 c8d7 g1f3 f7f5 h2h4 f8e7 h4h5,273
r2q1rk1/1p1bppbp/p1np1np1/4P3/3P4/2N2N2/PP3PPP/R1BQRBK1 b - -,d6e5 d4e5 f6e8 h2h3 e8c7 c1e3 d7e6 d1a4 c7d5 c3d5,31
2kr3r/ppp1q1pp/3bbn2/1P1p4/3P4/P3PBPP/1BP1N3/R2QK2R b KQ -,e6f5 d1d2 h8f8 e1a1 f5e4 d1f1 e4f3 f1f3 f6e4 f3f8,-311
r1b2rk1/ppp2ppp/2p2n2/8/1q2P3/2NPQ2P/PPP2PP1/2KR1B1R b - -,a7a5 d3d4 f8e8 a2a3 b4e7 f1d3 c8d7 e3g5 h7h6 g5h4,224
6k1/6pp/b1n2p2/2R1p3/P3P3/4B3/1r1N1PPP/6K1 b - -,c6d4 c5a5 a6e2 f2f3 b2a2 h2h4 h7h5 d2b1 e2c4 b1c3,15
2r3k1/5p1p/6p1/p4b2/2r5/1B6/1PPR1P1P/1K5R b - -,c4h4 f2f3 a5a4 b3a2 h4f4 h1f1 g8g7 b1c1 g6g5 a2d5,-71
3q4/1p1k1p2/p2Q2b1/3P2p1/4P3/P4PB1/7K/8 b - -,d7e8 d6e5 e8f8 e5h8 f8e7 h8b2 e7e8 b2b7 g5g4 b7c6,111
r1bqk2r/pp2bppp/2n1p1B1/3pP3/2pP4/2P2N2/PPN2PPP/R1BQK2R b KQkq -,a7a5 g6h5 g7g6 h5g4 h7h5 g4h3 g6g5 g2g4 h5g4 h3g4,337
8/8/4b3/1p3p1B/1Pknp2p/8/3B1P2/7K b - -,f5f4 d2f4 c4b4 h5g6 e6f5 g6f7 b4c3 f4c7 b5b4 c7e5,-521
r1b1kb1r/2qn1ppp/p3p3/1p1pP3/1P1B1P2/2PB4/PN4PP/R2QK2R b KQkq -,d7b6 a2a4 c8d7 a4b5 a6b5 e1h1 f8e7 d1e2 e8h8 d3b5,153
1q5k/4PQ1p/2p5/2Pp3K/3P4/P7/8/8 b - -,d7b6 a2a4 c8d7 a4b5 a6b5 e1h1 f8e7 d1e2 e8h8 d3b5,Mate
rnb1kb1r/pp3ppp/2pp1n2/4q3/2P5/5NP1/PP1NPPBP/R1BQK2R b KQkq -,e5a5 a2a3 a5c7 b2b4 b8d7 c1b2 f8e7 f3d4 e8h8 e1h1,83
4r1k1/1p3ppp/b7/q7/8/P3B2P/2QR1PP1/4K3 b - -,a5a3 c2b2 a3a5 e1d1 a5a4 b2c2 a4b5 d2d4 b5f1 d1d2,-366
6k1/3qb1p1/7p/1pp1P3/1pp5/4Q3/P5PP/5RK1 b - -,c4c3 e5e6 d7d5 e3f2 d5e6 f1e1 e6d7 f2f3 e7f6 g2g4,-278
8/5pp1/p3p2p/1p1b2k1/3bp1P1/1P5P/P3K3/4R3 b - -,g5h4 e1d1 e6e5 d1h1 h4g3 h3h4 d5e6 g4g5 e6g4 e2d2,-955
r4rk1/1ppq1p2/p1np1Npb/4p3/PPP5/3P2Pb/4PPBP/1R1Q1RK1 b - -,g8h8 f6d7 h3d7 b4b5 c6d8 g1h1 f7f5 d1c2 f5f4 d3d4,460
8/3K4/8/8/8/7k/6p1/R7 b - -,,0
r1b4k/pp3r2/2pQ2Rp/5p1q/3P4/P7/1P3PP1/1BR3K1 b - -,c8d7 b1a2 a8g8 g6h6 h5h6 d6h6 f7h7 h6f6 h7g7 c1e1,1124
rnb1kb1r/pp2pppp/2p2n2/3p4/P2PP3/2N2P2/1qPB2PP/R2QKBNR b KQkq -,b2b6 e4e5 f6d7 c3e2 e7e6 c2c3 c6c5 f3f4 b8c6 g1f3,-39
6k1/p2rpp1p/1p4p1/8/P1R5/4PB1P/r5P1/6K1 b - -,g8h8 c4c1 h8g7 f3e4 e7e6 e4f3 e6e5 h3h4 h7h5 g2g4,-576
8/6pp/4pk2/2rp4/p7/P1P1K1P1/1P2R2P/8 b - -,e6e5 e2f2 f6e6 e3d3 c5c8 d3e3 h7h5 h2h3 c8d8 e3d2,-114
r3b1k1/pp2b1p1/4P3/q4pP1/3N1Pn1/2P3Q1/P1P5/2KRR3 b - -,a5a2 d4f5 e7a3 c1d2 a8d8 f5d4 d8d4 c3d4 a3b4 d2e2,-131
rn3rk1/p4bp1/2p2q1p/1pPppN2/PP6/2PBP3/3Q1PPP/R4RK1 b - -,e5e4 f5d4 e4d3 a4b5 f7g6 f2f4 c6b5 f4f5 g6e8 d2d3,-75
r4rk1/Q4p1p/4p1p1/8/8/7P/P1qR1PP1/3R2K1 b - -,c2d1 d2d1 a8a7 g2g4 a7a2 g1g2 f8c8 g4g5 c8c2 d1f1,-721
2rqrnk1/ppp1bppp/4bn2/3p2B1/3P4/2NBPP2/PPQ1N1PP/1K1R3R b - -,c7c5 d4c5 h7h6 g5h4 c8c5 e2f4 d8b8 c2e2 a7a6 d3c2,46
8/pp3k1p/6p1/2p5/P4n2/8/1PK3PP/2B2rNR b - -,f4d3 c2d3 f1c1 b2b3 b7b6 d3e2 c1b1 e2f2 b1b3 g1f3,52
rn1qkb1r/pp3pp1/2p1pn2/3p3p/2PP2b1/2N1PN2/PP2BPPP/R1BQ1RK1 b kq -,b8d7 f3g5 g4e2 d1e2 f8e7 b2b3 e8h8 c1b2 a7a5 e3e4,37
r2r2k1/p2qbpp1/1pn1pn1p/2p4b/2P5/PP1PBN1P/1N2BPP1/R2Q1RK1 b - -,h5g6 f1e1 a8b8 e3d2 d7c7 d1c2 f6h7 d2c3 h7g5 e2d1,-145
2R5/2B1rk2/2p2b2/2P4p/5Pp1/6K1/8/8 b - -,e7e3 g3g2 h5h4 g2g1 f6d4 c8d8 d4c5 g1f1 g4g3 f4f5,-508
8/5p2/B7/p1r1k1p1/P3PnP1/1rp1KP2/2R5/2R5 b - -,f4e6 c1d1 b3b2 c2c1 c3c2 d1d5 c5d5 e4d5 e5d5 a6d3,-336
8/p1N5/1p2p1k1/3pP3/3P1p2/3nr3/3K4/8 b - -,f4e6 c1d1 b3b2 c2c1 c3c2 d1d5 c5d5 e4d5 e5d5 a6d3,Mate
r1b2rk1/1pp2ppp/2p2n2/p7/1q1PP3/2N1Q2P/PPP2PP1/2KR1B1R b - -,b4e7 g2g4 a5a4 a2a3 b7b5 e4e5 f6d7 c3a2 a8b8 a2b4,236
7k/p1b3p1/1p3nBp/2p5/2Pr3q/1P3PNP/P1Q1RPK1/8 b - -,c7f4 c2f5 d4d8 e2e7 f4d6 e7e6 h4f4 a2a4 d6c7 f5f4,189
8/4k1K1/1R2P1P1/8/8/1p5r/8/8 b - -,,0
r4rk1/p1p1q1pp/2pp1np1/4p1B1/1P4P1/P2P4/2P2P1N/R5K1 b - -,h7h6 g5h4 g6g5 h4g3 e7e6 f2f3 e6d5 g3f2 a8e8 a1c1,-1082
3r2rk/1pp2p1p/5pnQ/pP1q4/P3R3/2b2NPP/4RP2/2B3K1 b - -,c7c6 h3h4 d8d6 c1a3 c6c5 h6c1 d5d1 c1d1 d6d1 g1g2,-5
8/5k2/3p1p2/1p2PK2/3P4/8/6P1/8 b - -,f6e5 f5e4 f7e6 e4d3 e6f5 d3e3 b5b4 e3d3 f5f4 d3c4,-892
3q4/1p1k1p2/p5b1/3PQ1p1/4P3/P4PBK/8/8 b - -,g6h5 e5f5 d7e8 h3g2 h5g6 f5h3 d8b6 h3c8 b6d8 c8b7,198
8/8/4b3/1p5B/1PknpB1p/8/5P2/7K b - -,c4b4 h5e8 b4c4 e8g6 e6f5 g6f7 c4c3 f7d5 b5b4 f4g5,-580
2r2rk1/1pq2pp1/p3bn1p/2p1p3/P3P3/2Q1B1P1/1PP2PBP/R2R2K1 b - -,b7b6 f2f3 a6a5 g2f1 f8d8 b2b3 f6d7 f1a6 c8a8 a6c4,31
r1bq1rk1/p2n1ppp/1p2pn2/2ppN3/2PP4/6P1/PPQNPPBP/R4RK1 b - -,c8a6 e5d7 d8d7 d4c5 b6c5 f1d1 a8d8 e2e3 d7e7 c2a4,40
qbbnrrk1/p2p1ppp/1p4n1/1P2p3/8/6N1/PB1PPPPP/QB1NRRK1 b - -,a7a6 b2a3 d7d6 d1c3 d8e6 b1e4 c8b7 a1b1 e8c8 e4b7,62
r1bq1rk1/p1p2p2/1bpp1p1p/4P3/3P4/5N2/PP3PPP/RNQ2RK1 b - -,g8h7 c1c6 a8b8 c6c2 h7g7 b1c3 c8b7 a1d1 f6e5 d4e5,86
r4r2/1ppN1pk1/p1np2pb/4p3/PPP5/3P2Pb/4PPBP/1R1Q1RK1 b - -,f8d8 g2h3 f7f5 b4b5 a6b5 c4b5 c6e7 d1b3 d8d7 b3e6,660
2r3k1/1p2ppb1/6pp/p7/P7/1bN1P3/1PrR1PPP/R1B3K1 b - -,b3a4 f2f3 b7b6 g1f2 g7c3 d2c2 a4c2 b2c3 c8c3 e3e4,-237
8/5b2/8/3k4/P4P2/2KnB3/1P1N4/8 b - -,d3c5 e3c5 d5c5 b2b4 c5d5 b4b5 d5c5 d2b3 c5d5 a4a5,700
2bqr1k1/1pp2ppp/5n2/r7/pbBP3Q/2P5/PP1N1PPP/R1B2RK1 b - -,g7g5 h4g3 b4d6 g3d3 g5g4 d4d5 e8e5 b2b4 a4b3 d2b3,-79
rn3rk1/p4bp1/2pN1q1p/1pPp4/PP2p3/2PBP3/3Q1PPP/R4RK1 b - -,e4d3 a4b5 c6b5 d2d3 b8c6 a1a6 c6e5 d3d4 f7g6 d4d5,-42
r1b2n1r/pp1kn2p/1q2p3/1Bpp2Q1/P2P1N2/2P5/1P3PPP/R1B2RK1 b - -,b6c6 b5c6 b7c6 g5f6 h8g8 f1e1 d7d8 d4c5 d5d4 g1h1,753
r3r1k1/p2n1b1p/2pb2p1/qp3p2/2PP4/3B4/PPQBNPP1/1K1R3R b - -,a5d8 c4b5 c6b5 d3b5 a8b8 e2c3 d8c7 c2d3 c7b7 b2b3,92
1N1k4/3P2K1/p5P1/8/8/P3P3/1Pb5/8 b - -,d8e7 g7h6 c2b3 g6g7 a6a5 b8a6 b3d5 a6c5 d5a2 h6g5,1081
r1qr2k1/pp5p/5pb1/3Pp1p1/3nP3/2N2P2/PP3KPP/1R1Q1B1R b - -,g8h8 f1d3 f6f5 h1f1 c8c5 f2g1 g5g4 f1f2 g4f3 e4f5,104
8/8/8/8/2k5/2b1K3/3p4/3Q4 b - -,c4d5 e3d3 c3a5 d1a4 a5b4 a4b5 d5e6 d3c2 d2d1r c2d1,20000
r1r1nbk1/3R1p2/p3p2p/Npp1Pp1n/2P5/1P3NPP/P4PK1/2B1R3 b - -,c8d8 e1d1 d8d7 d1d7 f7f6 g3g4 f6e5 g4h5 e5e4 f3e5,344
r1b2rk1/1pp2ppp/2p2n2/8/pq1PP3/P1N1Q2P/1PP2PP1/2KR1B1R b - -,b4d6 e4e5 f6d5 e5d6 d5e3 f2e3 c7d6 f1d3 f7f5 d1f1,503
r1bq1rk1/ppp2pbp/2np1np1/4p3/2P5/2N1P1PP/PP1PNPB1/R1BQ1RK1 b - -,,0
6K1/4k3/1R2P1P1/8/8/1p2r3/8/8 b - -,,0
8/5pp1/p3p2p/1p1b4/3bp1Pk/1P5P/P3K3/3R4 b - -,e6e5 d1h1 h4g3 b3b4 d5c4 e2d1 e4e3 h1g1 g3f2 g1h1,-1048
7k/p1b3pB/1p3n1p/2p5/2Pr3q/1P3PNP/P1Q1RPK1/8 b - -,c7f4 c2f5 h4g5 h7g6 g5f5 g3f5 d4d7 e2e6 h8g8 e6c6,174
r3r1k1/1b1q1ppp/p2b1n2/1pp3B1/8/1BPP3P/PP3PP1/R2QRNK1 b - -,d6e5 f1e3 d7d6 g5f6 d6f6 b3d5 b7d5 e3d5 f6d6 d5e3,52
2k2b1r/ppp3pp/3r2b1/5pP1/8/P3BQ1P/1PP1BP2/2KR3R b - -,c7c6 e3f4 g6h5 f3h5 d6g6 e2d3 f8d6 f4d6 g6d6 d3f5,1056
rnbq1rk1/ppp1bp1p/4pnp1/3p4/3PP3/2PB1N2/PP1N1PPP/R1BQK2R b KQ -,c7c5 e4e5 f6d7 e1h1 b8c6 f1e1 d8b6 d4c5 e7c5 e1e2,48
rn3rk1/p4bp1/2pN1q1p/1pPp4/PP6/2PQP3/5PPP/R4RK1 b - -,b5a4 a1a4 b8d7 d3d4 d7e5 f2f4 e5c4 d4f6 g7f6 d6f5,-108
8/1Q1kqp2/p5b1/1p1P2p1/4P3/P4PBK/8/8 b - -,d7e8 b7c8 e7d8 c8a6 d8d7 h3h2 g5g4 g3h4 d7c7 d5d6,310
8/5p2/8/p1r1k1p1/P1BnP1P1/1rpK1P2/2R5/2R5 b - -,d4c2 c4b3 c2b4 d3e3 f7f6 c1f1 c3c2 e3d2 e5f4 b3d5,-501
8/8/4b1B1/1p6/1k1npB1p/8/5P2/7K b - -,e6f5 g6f7 b4c3 f4g5 f5e6 g5h4 e6f7 h4d8 b5b4 d8a5,-595
1N1Q4/4k1K1/p5P1/8/8/P3P3/1Pb5/8 b - -,e7d8 b8a6 d8d7 g7f6 c2g6 f6g6 d7c6 b2b4 c6b5 a6c5,938
2rqrnk1/pp2bppp/4bn2/2Pp2B1/8/2NBPP2/PPQ1N1PP/1K1R3R b - -,h7h6 g5h4 a7a6 e2f4 c8c5 c2e2 d8a5 h4e1 a5c7 g2g4,47
r1q2rk1/1p2p2p/p2pP1p1/2pP1p2/5Pn1/1P1Q2P1/P3P1BP/1R3R1K b - -,c5c4 d3d4 c4b3 b1b3 b7b5 b3c3 c8b7 e2e4 f5e4 g2e4,47
6K1/4k1P1/1R2P3/8/8/1p4r1/8/8 b - -,,0
r1bqk2r/pp2bpp1/2n1p1p1/3pP3/2pP4/1PP2N2/P1N2PPP/R1BQK2R b KQkq -,b7b5 b3c4 d5c4 a1b1 b5b4 c3b4 a7a5 a2a3 a5b4 a3b4,-32
r3r1k1/p2n1b1p/q1pb2p1/1p1P1p2/2P5/3B4/PPQBNPP1/1K1R3R b - -,d6e5 c4b5 c6b5 c2c6 a6c6 d5c6 d7c5 d2a5 c5d3 d1d3,-52
4r1k1/1p1R1ppp/b7/8/8/q3B2P/2Q2PP1/4K3 b - -,h7h6 e1d2 a6f1 g2g3 f1h3 d7d4 h3g2 c2c3 a3a2 c3c2,-412
1k1r3r/pp1q1p2/2p1p1b1/1PP1P2p/P2P2p1/2N5/3Q2PP/3R1RK1 b - -,h8h7 f1f4 h5h4 d2e3 g4g3 h2h3 h7h5 b5c6 b7c6 c3e4,145
7k/4PQ1p/2pK4/2Pp4/3P2q1/P7/8/8 b - -,h8h7 f1f4 h5h4 d2e3 g4g3 h2h3 h7h5 b5c6 b7c6 c3e4,Mate
r1b2rk1/1pp2ppp/1qp2n2/8/p2PPP2/P1N1Q2P/1PP3P1/2KR1B1R b - -,a8b8 f1d3 f8e8 e4e5 f6d5 c3d5 c6d5 h1e1 c8d7 f4f5,317
3r3r/2p2k1p/p1p3p1/4R1qQ/8/8/PPP3PP/5RK1 b - -,a8b8 f1d3 f8e8 e4e5 f6d5 c3d5 c6d5 h1e1 c8d7 f4f5,Mate
8/5k2/5p2/1p2PK2/8/8/6P1/8 b - -,,0
5R2/P5p1/3K1k2/r3p2p/4P2P/6P1/8/8 b - -,b5b4 f5e4 f6e5 e4d3 f7g6 d3c4 g6f5 c4b4 f5e4 b4c4,Mate
8/5B2/8/1p3b2/1k1npB1p/8/5P2/7K b - -,f5e6 f7e8 b4c4 f4c1 c4c3 f2f3 e4f3 h1g1 b5b4 g1f2,-556
3r3k/p1b3pB/1p3nQp/2p5/2P4q/1P3PNP/P3RPK1/8 b - -,f6h7 g3h5 d8g8 e2e8 h4g5 g6g5 h7g5 e8e7 c7d8 e7a7,-333
r4rk1/1p1bqpbp/3p2p1/pNpPp2n/PnP1P3/4B1PP/1P3PBN/2RQR1K1 b - -,h5f6 d1d2 b7b6 g1h1 f6e8 f2f4 d7b5 c4b5 e8f6 f4f5,38
r3r1k1/p4b1p/q1pb2p1/1P1Pnp2/8/3B4/PPQBNPP1/1K1R3R b - -,a6c8 d5c6 a7a6 b2b3 c8c7 d2c3 a8c8 e2d4 e5d3 d1d3,264
8/pRRn2pp/3kp3/3p4/1q1P3P/6P1/PP3PB1/6K1 b - -,b4a4 b2b3 a4d4 c7d7 d6e5 d7g7 d4a1 g2f1 a7a5 g7f7,629
4r1k1/1p1nr1bp/3p2p1/p2P1p2/2Pq4/3QpP2/PP2R1PP/2NBR2K b - -,d4f4 e2c2 d7c5 d3f1 f4h6 g2g3 f5f4 g3f4 e7f7 c1d3,-352
r4rk1/pbpnqpb1/1p1p2pp/P2Pp3/4Pn2/2P2NPP/1P1N1P2/R1BQRBK1 b - -,g6g5 g3f4 g5f4 g1h2 f7f5 a5b6 a7b6 a1a8 f8a8 c3c4,263
rnbqk2r/ppp3pp/3b1p2/3Pp3/4P2B/2P2N2/P4PPP/R2QKB1R b KQkq -,e8h8 f3d2 b8d7 f2f3 d7c5 d2c4 b7b5 c4d6 c7d6 f1e2,-27
r1bqr1k1/5ppp/1pp2n2/3p4/6P1/1P3P2/PB2PRBP/R2Q2K1 b - -,h7h6 e2e4 d5e4 d1d8 e8d8 b2f6 g7f6 f3e4 c8g4 f2f6,-21
r1b1r1k1/1pp2ppp/1qp2n2/4P3/p2P1P2/P1N1Q2P/1PP3P1/2KR1B1R b - -,b6a5 f1d3 f6d5 c3d5 a5d5 c2c4 d5d8 h1e1 b7b5 c4b5,318
2r1r2k/ppq1nQp1/2p4p/3B4/8/6PP/PP3P2/2R1R1K1 b - -,c7d8 d5c4 c8b8 g1g2 e7d5 e1e8 d8e8 c4d5 c6d5 f7e8,156
3qrnk1/pp2bppp/4bn2/2rp2B1/3N4/2NBPP2/PPQ3PP/1K1R3R b - -,c5c8 d3b5 f8d7 d4e6 f7e6 e3e4 a7a6 b5d7 d8d7 c2b3,58
8/8/8/8/5k2/7R/5K1p/7r b - -,,0
8/8/7p/1P1k1p2/2nBp1p1/4P1P1/P4PK1/8 b - -,h6h5 g2f1 c4a5 f1e2 d5c4 b5b6 c4b4 e2d1 b4c4 d1d2,174
r1bq1rk1/pp3pbp/2n1p1p1/2p1Pn2/2Bp1P2/P2P1N2/1PP1NQPP/R1B1K2R b KQ -,c6e7 g2g4 f5e3 c1e3 d4e3 f2e3 b7b5 c4a2 c8b7 h2h4,61
8/8/8/1p1B1b2/3npB1p/2k5/5P2/7K b - -,b5b4 f4h6 c3d3 h6g5 f5e6 d5b7 b4b3 g5c1 d4f3 c1b2,-650
r7/pp1b1r1k/2pQ3p/5p1q/3P4/P5R1/BP3PP1/2R3K1 b - -,f5f4 a2f7 h5f7 g3f3 a8e8 f3f4 f7g7 c1c3 e8e6 d6c7,521
r1bqr1k1/pppp1ppp/1bn2n2/1B2p1B1/3PP3/2P2N2/PP3PPP/RNQ2RK1 b - -,e5d4 b5c6 d7c6 e4e5 c8g4 e5f6 g4f3 g2f3 e8e2 f6g7,181
r4r1k/2q2pbp/1p1p2p1/pPpPp2n/1nP1P3/2B3PP/1P3PBN/R2QR1K1 b - -,a8e8 g1h1 h5f6 h3h4 c7d7 g2f3 h7h6 a1a3 h6h5 c3d2,71
6b1/4k3/1p1p4/4p3/1P2Pp2/2P2P2/3N2K1/8 b - -,,0
rnb1kb1r/pp2pppp/8/q2pP3/3Pn3/5P2/PP1N2PP/R1BQKBNR b KQkq -,e4d2 c1d2 a5b6 d2c3 c8f5 a2a4 a7a5 f1b5 f5d7 b5d7,12
8/5R2/7k/8/6KP/r7/8/8 b - -,,0
r1bq4/ppp3kR/1n6/4P1b1/5p2/1QN5/PP1B1PP1/2KR4 b - -,a3b3 f7f6 h6g7 f6f5 b3b4 g4g5 g7h7 h4h5 b4b7 h5h6,Mate
rnbq1rk1/ppp1bppp/4p3/3p4/3P2n1/1P1BPN2/P1PN1PPP/R1BQ1RK1 b - -,c7c5 c1b2 b8d7 a1c1 c5d4 f3d4 g4e5 d3e2 e5g6 c2c4,43
8/5pp1/p3p2p/1p1bb3/4p1Pk/1P5P/P3K3/7R b - -,e5d4 h1f1 h4h3 f1f7 h3g4 f7f8 h6h5 f8h8 h5h4 e2d2,-951
r3r1k1/p4b1p/q2b2p1/1p1Pnp2/8/2NB4/PPQB1PP1/1K1R3R b - -,e8b8 d3e2 b8b7 a2a4 e5c4 c3b5 c4d2 d1d2 d6f4 d2d4,60
r1b1r1k1/1pp2ppp/1q6/3pP3/p2P1PP1/P3Q2P/1PP5/2KR1B1R b - -,c8e6 f4f5 e6d7 f1g2 a8a5 h1e1 a5b5 e3c3 b6c6 g2f1,295
8/pRRn2pp/3kp3/3p4/3P3P/6P1/PP3P2/4qBK1 b - -,d7e5 d4e5 d6e5 c7d7 e1d2 d7g7 a7a5 g7f7 d2c1 b7b3,632
r2r2k1/p6p/1q3pb1/1p1Pp1p1/4P3/5P2/PP2B1PP/2RQ1K1R b - -,d8c8 d1d2 g5g4 e2d3 g6h5 f1e2 b6d4 c1d1 c8c7 d3b1,155
8/4k1K1/N5P1/8/1P6/P3P3/2b5/8 b - -,e7e6 a6c5 e6e5 g7f7 e5f5 g6g7 c2b1 f7e7 b1a2 b4b5,1075
8/4k1PK/1R2P3/8/8/1p3r2/8/8 b - -,,0
rnbq1rk1/ppp1bppp/4p3/3p4/3P2n1/1P1BPN2/PBPN1PPP/R2QK2R b KQ -,b7b6 c2c4 g4f6 d1c2 c8b7 g2g4 e7b4 c4d5 d8d5 e1a1,60
rnbqk2r/ppp1bppp/5n2/3p4/3Pp3/1B2P3/PPPBNPPP/RN1QK2R b KQkq -,b7b5 a2a4 b5b4 c2c4 d5c4 b3c4 e8h8 e1h1 a7a5 d2c1,-56
2rq1rk1/pb3ppp/1pnbpn2/3p4/2PP4/PP1B1N2/1B1N1PPP/2RQ1RK1 b - -,d8e7 c1a1 f8d8 f1e1 b7a8 d1e2 e7e8 g2g3 c6e7 a1c1,-22
8/8/8/3B1bB1/1p1np2p/2k5/5P2/7K b - -,h4h3 g5e3 c3d3 h1h2 f5e6 d5a8 b4b3 e3c1 d3c2 c1e3,-684
2r1r2k/pp2nQp1/2pq3p/8/8/1B4PP/PP3P2/2R1R1K1 b - -,d6g6 e1e7 g6f7 e7f7 b7b5 f7d7 c6c5 b3c2 e8d8 d7d1,515
6K1/4k1P1/1R2P3/8/8/1p5r/8/8 b - -,,0
5k2/2q3bQ/2n1pN1p/3pP1p1/1p1P4/1P2B1P1/5P2/6K1 b - -,c6e7 g3g4 c7a5 f6h5 g7e5 h7h6 f8f7 h6h7 f7e8 d4e5,523
rn3rk1/5bp1/p1pN1q1p/1pPp4/PP2P3/2PQ4/5PPP/R4RK1 b - -,d5e4 d6e4 f6f5 a4b5 c6b5 d3e3 f8e8 f2f3 b8c6 e3d2,-200
r1b2rk1/pp3ppp/2n1pn2/2b5/2N5/6P1/PP2PPBP/RNBR2K1 b - -,f6d5 b1c3 f8e8 g2d5 e6d5 d1d5 c5d4 c4d6 e8d8 d6c8,78
8/7p/2p3k1/1pP5/rP2P3/4K3/1R5P/8 b - -,g6f6 e3f4 a4a1 b2f2 f6e6 f2f3 a1h1 f3h3 h1f1 f4e3,1
8/R1R3pp/3kpn2/3p4/3P3P/6P1/PP3P2/4qBK1 b - -,f6g4 c7d7 d6c6 d7f7 e1f1 g1f1 e6e5 d4e5 g4e5 f7g7,914
r4rk1/p1p3pp/2ppqnp1/4p1B1/1P4P1/P1PP4/5P1N/R5K1 b - -,f6g4 c7d7 d6c6 d7f7 e1f1 g1f1 e6e5 d4e5 g4e5 f7g7,Mate
r1bq4/ppp2Q1k/1n6/4P1b1/5p2/2N5/PP1B1PP1/2KR4 b - -,f6g4 c7d7 d6c6 d7f7 e1f1 g1f1 e6e5 d4e5 g4e5 f7g7,Mate
4r1k1/1p1R1ppp/b7/q7/8/4B2P/2Q2PP1/3K4 b - -,a6b5 d7d4 b5c6 c2d2 a5a6 d2d3 a6a1 d1d2 c6g2 h3h4,-467
3qrnk1/1p2bppp/p3bn2/2rp2B1/3N3P/2NBPP2/PPQ3P1/1K1R3R b - -,b7b5 c2f2 e6d7 d4b3 c5c3 b2c3 d8b6 g2g4 b5b4 c3b4,71
r3qrk1/1p2p2p/p2pP1p1/2pP1p2/5Pn1/1P1Q2PP/P3P1B1/1R3R1K b - -,g4f6 g2f3 e8b5 d3c2 b5b4 e2e3 a8c8 g3g4 b7b5 f1c1,39
8/pR3ppk/7p/8/5P2/2P3K1/r5PP/8 b - -,,0
r1bq4/ppp2Q2/1n5k/4P1b1/5p2/2N5/PP1B1PP1/2K4R b - -,f7f6 c3c4 a2c2 b7a7 c2c4 h2h4 c4c3 g3h2 h7g6 g2g3,Mate
