6k1/8/6K1/6pp/8/1R3P2/7P/6r1 b - -,g8f8 g6h5 f8f7 b3b7 f7f6 b7b6 f6f7 h5h6 g1g2 b6b8,Mate
1rbR4/p4pkp/1pB1pp2/8/2P4P/6P1/r4P2/2R3K1 b - -,a2a5 c1d1 a5c5 c6g2 c5c4 h4h5 e6e5 g2d5 c4c5 h5h6,-182
k7/8/8/8/8/1q6/6K1/8 b - -,a2a5 c1d1 a5c5 c6g2 c5c4 h4h5 e6e5 g2d5 c4c5 h5h6,Mate
2b5/2P5/8/8/1k1K4/8/8/5B2 b - -,c8g4 f1e2 g4d7 d4d5 b4a3 d5d6 d7c8 d6c5 c8f5 c5b6,20000
r5k1/1p2nq2/p6p/2p2Np1/P2p1RP1/3P4/1PPQ1P1P/6K1 b - -,g8h7 f4e4 e7f5 g4f5 f7f5 d2e2 a8f8 e4e5 f5f6 e5c5,183
6r1/pkpn3p/1p1b1p2/3P4/RP1PrpP1/1PP4P/3KN1B1/7R b - -,e4e3 h1f1 f6f5 f1f3 e3e8 e2f4 f5g4 f3f1 g4h3 g2h3,1
8/4R3/8/6rp/5p2/5Pk1/4p1P1/6K1 b - -,h5h4 e7e2 g5d5 e2e1 d5d2 g1h1 d2g2 e1e7 g2d2 e7g7,-1149
r2qk2r/1b2ppb1/pn1p1np1/1p6/3NP2p/P1N1BPPP/1PPQB3/2K3RR b kq -,e7e5 d4b5 a6b5 c3b5 b6c8 g3h4 d6d5 e4d5 f6d5 g1d1,-103
5bk1/ppp4p/4p1p1/4n3/5KN1/8/PPP1Q3/6q1 b - -,e5g4 e2e6 g8g7 e6d7 g7h6 d7d2 f8d6 f4e4 h6h5 b2b4,-1390
1r4k1/5pp1/Q3pn1p/3p4/3P4/1N2PN2/5PPP/5RK1 b - -,f6e4 b3c5 b8d8 c5e4 d5e4 f3e5 h6h5 a6a7 f7f6 a7e7,1186
rnb1kb1r/pp2nppp/4p3/2P1P3/2B2B2/8/PP3PPP/RN1K2NR b kq -,e7g6 f4g3 b8c6 g1f3 f8c5 b1c3 e8h8 h2h4 c5d4 h1e1,-42
1r4k1/6p1/R1p4p/8/3p4/1P5P/1P3PP1/6K1 b - -,,0
6k1/1q3Qp1/5p1p/2Pn4/3p4/6P1/2r2PNP/5RK1 b - -,g8f7 h2h3 d4d3 g2e1 c2c1 e1d3 c1f1 g1f1 b7a6 f1g2,-1094
3r1rk1/pp1qppb1/nnp3pp/8/3PP3/PPN1BNP1/2Q2PKP/R2R4 b - -,f7f5 e3f4 f5e4 c2e4 g6g5 f4e5 b6d5 e4g6 f8f7 c3e4,36
