r1b1k1nr/pp2bppp/1qn1p3/3pP3/3P4/3B1N2/PP1N1PPP/R1BQK2R b KQkq -,a7a5 e1h1 c8d7 d2b3 c6b4 d3b1 d7a4 c1e3 b4c6 h2h3,45
rn2k2r/pp1qppbp/3p1np1/8/3PP3/2N2N2/PP3PPP/R1BQ1RK1 b kq -,b8c6 d4d5 c6b8 c1e3 e8h8 a2a4 f8c8 a4a5 b8a6 e3d4,59
r2k3r/1q1R2pp/4Qb2/4p3/5P2/8/PPP3PP/2K4R b - -,b7d7 h1d1 a8a7 e6b6 d8e7 b6b4 e7f7 d1d7 a7d7 b4c4,Mate
r2k3r/3q2pp/4Qb2/4p3/5P2/8/PPP3PP/2KR4 b - -,d7d4 d1d4 e5d4 g2g4 h7h6 h2h4 d4d3 g4g5 h6g5 f4g5,Mate
r1bqrbk1/ppp2ppp/1n6/8/4N3/1P2P1P1/PB1P2BP/2RQ1RK1 b - -,e8e6 d1f3 f7f6 g3g4 e6e7 f3g3 b6d5 g4g5 f6f5 e4d6,207
r2k3r/6pp/4Qb2/4p3/5P2/8/PPP3PP/3K4 b - -,e5e4 g2g4 h7h6 e6d6 d8c8 d6c6 c8b8 c6b6 b8c8 c2c3,17
rn2kbnr/ppp1pppp/8/5b2/8/3P1P2/PPP2P1P/RNB1KBNR b KQkq -,b8c6 c1e3 e7e6 b1c3 g8e7 g1e2 h7h5 e1a1 e7d5 f1g2,-38
r1b1kbnr/p1q1pppp/1pp5/2p1P3/8/5N2/PPPP1PPP/RNBQ1RK1 b kq -,c8f5 b1a3 e7e6 a3c4 f5g6 a2a4 b6b5 c4e3 c5c4 d1e2,43
8/8/8/1R6/8/8/1k6/3K4 b - -,e7e6 d2d3 g8e7 b1d2 c8b7 a2a4 a7a5 d2c4 e7f5 g2g4,Mate
3N4/k7/P7/K7/8/8/8/8 b - -,e7e6 d2d3 g8e7 b1d2 c8b7 a2a4 a7a5 d2c4 e7f5 g2g4,Mate
rnbqk2r/ppppnpb1/4p1pp/8/2BPP3/5N2/PPP2PPP/RNBQR1K1 b kq -,a7a6 c4b3 d7d6 a2a4 b7b6 c2c3 b8d7 b1a3 e8h8 h2h3,74
3qnrk1/3bbppp/p2pp3/1p4P1/2rNP2P/4BP2/PPPQN3/1K1R3R b - -,c4c8 f3f4 b5b4 h4h5 a6a5 d1g1 a5a4 f4f5 e6e5 f5f6,136
r1bqk2r/pppp1ppp/5n2/3Pp3/1b1nP3/2NB4/PPPB1PPP/R2QK1NR b KQkq -,e8h8 a2a3 b4d6 g1f3 c7c6 e1h1 d4f3 d1f3 d6e7 a1e1,43
rnbqk2r/ppp2ppp/8/2b1P3/4p3/2PP4/PP4PP/R1BQKBNR b KQkq -,e4d3 d1d3 d8h4 d3g3 h4g3 h2g3 c5g1 h1g1 c8e6 f1e2,-73
r3k2r/pp1b1pp1/4p2p/3pP3/3P2PP/3K1N2/PP3P2/2R4R b kq -,e8d8 h4h5 d8e7 c1c7 a8b8 f3h4 h8c8 h1c1 e7d8 c7c8,94
r1bq1k1r/1p2R2p/p7/3Np2B/1P1pP3/8/2PK3P/5R2 b - -,e8d8 h4h5 d8e7 c1c7 a8b8 f3h4 h8c8 h1c1 e7d8 c7c8,Mate
8/8/2K5/1p6/1k6/1P6/8/8 b - -,,0
8/6k1/6p1/5pK1/5PP1/8/8/8 b - -,g7f8 g4f5 g6f5 g5f6 f8e8 f6f5 e8f7 f5g5 f7g7 f4f5,Mate
8/8/5kp1/8/5P2/6K1/8/8 b - -,,0
r1b1kbnr/ppp1q1pp/2n2p2/3p4/8/2N2N2/PPPPQPPP/R1B1KB1R b KQkq -,c8e6 d2d4 e7d7 c1e3 g8e7 e1a1 e8a8 f3d2 c6a5 e2b5,-36
