8/1K6/P2k4/8/8/4p3/8/8 b - -,c4d5 g5h7 d5e6 c2b3 e6f7 h7g5 f7f6 g5h3 f6f5 b3a3,Mate
r2qkb1r/pppb3p/2np1p2/1B2p3/3P4/5N2/PPP2PPP/R1BQR1K1 b kq -,h8g8 g2g3 a7a6 b5d3 g8g7 c2c3 d7e6 d3f1 c6e7 b2b4,111
5b2/5k2/r1n4r/1Kp1pp2/P2p4/1P2P3/5P2/RR2B1N1 b - -,a6a8 a4a5 a8b8 b5c4 e5e4 b3b4 c5b4 a5a6 b8c8 c4b3,-246
r1bq1rk1/pp3pbp/3p1pp1/2nN4/2BNP3/5P2/PPP3PP/R2Q1RK1 b - -,c5a4 c4b3 a4c5 c2c3 c8d7 a2a4 a8c8 a4a5 f8e8 f1f2,45
4R3/5pk1/4b3/5P2/7P/8/8/6K1 b - -,e6f5 e8e5 f5e6 g1f2 g7g6 f2f3 g6h6 f3e4 e6b3 e5g5,47
8/8/8/8/P2kp1P1/1K6/8/8 b - -,e4e3 b3c2 d4e4 c2d1 e4f3 d1e1 f3e4 e1e2 e4d4 a4a5,9605
r1bqk1nr/1pp3pp/p1np4/2bNpp2/4P3/3P1N2/PPP1BPPP/R1BQ1RK1 b kq -,g8e7 c2c3 f5e4 d3e4 e7d5 e4d5 c6e7 f3g5 e8h8 g1h1,20
8/3R4/1r4p1/1k2K3/6P1/8/6P1/8 b - -,g6g5 d7d6 b6b8 e5f6 b8g8 d6d7 b5c4 d7g7 g8h8 f6g5,526
8/5p2/4b1kp/2b2N2/1p2P2P/5B2/P7/1K6 b - -,e6d7 f3d1 c5f8 f5e3 g6f6 e3g4 f6e6 d1b3 e6d6 g4f6,-69
r3kbnr/p2R1ppp/q3p3/3pP3/3P4/3nBN2/P2N1PPP/3Q1K1R b kq -,d3f4 f1g1 f4e2 d1e2 a6e2 d7c7 e2d1 d2f1 d1b1 h2h4,-522
rr4k1/p1p3pp/8/6R1/3B4/5P2/PPP3PP/2K4R b - -,g7g6 h2h4 b8f8 h4h5 a8d8 h5g6 d8d4 g6h7 g8h8 b2b3,640
r3r3/1p1q1p1p/p4b1k/3p4/8/1P2PP2/PB1Q1P1P/2R2RK1 b - -,e8g8 g1h1 d7h3 e3e4 f6g5 d2c3 d5d4 f1g1 d4c3 g1g3,-942
r7/p2p1k2/bp5R/6B1/1n6/1N6/P1P2PPP/6K1 b - -,a6c4 h6d6 a7a5 d6d7 f7g8 b3d4 c4a2 d4f5 b4c2 d7g7,237
8/6pk/7p/1PBR4/5p1n/4q2P/3R2P1/7K b - -,e3e1 c5g1 f4f3 h1h2 f3g2 d2d3 e1e8 b5b6 e8f7 d5d4,-19
8/6p1/1rk5/5K2/5RP1/8/6P1/8 b - -,c6d5 f4f3 g7g6 f5g5 b6b8 g5g6 b8g8 g6h5 g8h8 h5g5,450
r4rk1/p3bppp/Nnp1pn2/8/2pqP3/6P1/P1QN1PBP/R1BR2K1 b - -,d4e5 c1b2 e5a5 a6c7 a8c8 c7e6 f7e6 g2h3 g8h8 d2c4,141
8/2k4p/3p2p1/2p2p2/B4P2/P1P2bP1/1RNn2r1/7K b - -,d4e5 c1b2 e5a5 a6c7 a8c8 c7e6 f7e6 g2h3 g8h8 d2c4,Mate
5r2/5p1p/b3pk2/4N3/3R1Q2/8/q4P1P/4K3 b - -,d4e5 c1b2 e5a5 a6c7 a8c8 c7e6 f7e6 g2h3 g8h8 d2c4,Mate
5k2/1r6/5PKp/p7/1pR4P/8/1P6/8 b - -,b7b8 c4c7 f8e8 c7a7 b8b6 g6g7 b6f6 g7f6 e8d8 a7a5,Mate
r1bqk1nr/ppp3pp/2np1p2/2b1p3/N1B1P3/5N1P/PPPP1PP1/R1BQK2R b KQkq -,g8e7 a2a3 a7a6 a4c5 d6c5 e1h1 b7b5 c4a2 d8d6 d2d3,42
8/7q/8/1p6/1P2QK2/8/6k1/8 b - -,g8e7 a2a3 a7a6 a4c5 d6c5 e1h1 b7b5 c4a2 d8d6 d2d3,Mate
r1bq1rk1/pp3pbp/3p2p1/2nN1p2/1PBNP3/5P2/P1P3PP/R2Q1RK1 b - -,c5e6 c2c3 e6d4 c3d4 c8e6 d1d3 g8h8 c4b3 f5e4 f3e4,-43
8/3R2pk/7p/4p3/1P6/1q5P/6PK/3R4 b - -,,0
rnbqk2r/ppp1b1pp/3p1n2/8/2NPpP2/8/PPP1B1PP/RNBQK2R b KQkq -,b8a6 d4d5 c7c6 c4e3 c6d5 b1c3 a6c7 e1h1 c8e6 g2g4,22
r7/p3kq2/1ppr3Q/3N4/4p3/8/P5PP/5R1K b - -,c6d5 f1f7 e7f7 h6d6 a8e8 h1g1 b6b5 g1f2 e8f8 f2e3,Mate
8/6p1/3k4/1P4r1/2KpR1P1/8/6P1/8 b - -,g7g6 e4d4 d6c7 g2g3 c7b6 d4d6 b6c7 d6d3 g5g4 c4d5,399
r1b2rk1/p1pp1ppp/1p6/1B2N3/3PQn1q/P1P5/2P2PP1/R1B2RK1 b - -,f4h3 g2h3 h4e4 f2f3 e4h4 f1f2 d7d6 e5g4 c8b7 d4d5,-475
8/p5p1/5p1p/PP3P2/2pp2kP/8/2P1K3/8 b - -,g4f4 b5b6 a7b6 a5b6 f4f5 b6b7 f5g4 b7b8q f6f5 b8b7,691
8/5p2/4b1kp/3N4/1p2P2b/5B2/P7/1K6 b - -,g6g5 d5b4 h4f2 b1c2 h6h5 b4d5 h5h4 a2a4 h4h3 c2d3,-276
r4k2/ppp2p1p/3p3q/3P1Q2/7R/6P1/PP5P/6K1 b - -,h6g6 f5g6 f7g6 h4h7 a8e8 h7c7 e8e5 c7b7 e5d5 b7a7,134
1r4k1/2q2ppp/pr2pn2/Rn1p4/1P1P3P/2PB1NP1/5P2/2R1Q1K1 b - -,h7h6 d3b5 a6b5 f3e5 f6e4 e5d3 b6c6 a5a3 c7d8 d3c5,45
8/8/8/6P1/P3p3/1K1k4/8/8 b - -,e4e3 g5g6 e3e2 g6g7 e2e1q g7g8q e1b1 b3a3 b1c1 a3b4,Mate
7k/1R6/6r1/8/7P/6p1/6K1/8 b - -,,0
rnbq1rk1/pp2ppbp/3p1np1/2P5/4PPP1/2N1B2P/PPP5/R2QKBNR b KQ -,d6c5 d1d8 f8d8 e4e5 f6d7 e1a1 b8c6 g1f3 b7b6 f1c4,132
r1qr2k1/pp2bppp/2p1pn2/4N3/PP1P1B2/2P1Q3/5PPP/R4RK1 b - -,a7a5 b4a5 a8a5 e3f3 c8a8 e5c4 a5a4 c4b6 a4a1 b6a8,-17
8/6p1/3k4/1P4r1/2KR2P1/8/6P1/8 b - -,d6e7 b5b6 g5g6 c4c5 g6h6 d4b4 h6h8 b6b7 h8b8 c5c6,Mate
rnbq1rk1/ppp2ppp/4p3/4P3/1bBPn3/2N5/PPQ1NPPP/R1B1K2R b KQ -,e4f2 e1h1 f2g4 h2h3 c7c5 h3g4 c5d4 c3e4 b8c6 c1f4,331
8/6pk/7p/1P1R4/5p1n/7P/3R2P1/4q1BK b - -,f4f3 h1h2 f3g2 d2d3 e1e4 b5b6 h4f3 d3f3 e4d5 f3g3,-17
r2r2k1/2q1bppp/b1p1pn2/1p2N1B1/p2P4/2P2Q2/PPB2PPP/R2R2K1 b - -,b5b4 e5c6 a6b7 c6e7 g8f8 f3e3 c7e7 c3c4 h7h6 g5h4,209
r3kbnr/p2R1ppp/q3p3/3pP3/3P1n2/4BN2/P2N1PPP/3Q2KR b kq -,f4e2 d1e2 a6e2 d7c7 f8e7 h2h4 g8h6 h1h3 e7d8 e3h6,-526
3n1rkb/3q1p1p/1p1p2pP/2PPp3/r3P1P1/P1R1BQ2/3N1P2/R5K1 b - -,f7f5 c5c6 d8c6 d5c6 d7c8 g4f5 g6f5 c6c7 f5f4 e3b6,467
8/5Rp1/1rk5/8/4K1P1/8/6P1/8 b - -,b6a6 e4f5 a6a2 f5g6 a2g2 g4g5 c6d5 f7g7 g2g1 g7a7,465
8/3Q1p1k/5r1p/5P2/8/1P6/P2pq3/5RK1 b - -,h6h5 d7d8 f6f5 f1f5 d2d1q d8d1 e2d1 f5f1 d1g4 g1f2,-1513
5rk1/pb3r2/1p2p1n1/3pP1p1/3P2Pp/2P5/PP1KB2N/5R1R b - -,g6f4 e2b5 a7a6 b5a4 g8g7 f1f2 b6b5 a4c2 b7c6 a2a3,-84
1r4k1/2q2pp1/pr2pn1p/Rn1pN3/1P1P3P/2PB2P1/5P2/2R1Q1K1 b - -,b8c8 d3b5 a6b5 e5d3 c7c6 d3c5 f6e4 e1e3 e4d6 e3f4,59
8/8/6P1/8/P7/1K1kp3/8/8 b - -,e3e2 g6g7 e2e1q g7g8q e1b1 b3a3 b1c1 a3b4 c1c3 b4b5,Mate
rnb1k1nr/ppppqpbp/6p1/8/2P1P3/2NQ1N2/PP3PPP/R1B1KB1R b KQkq -,b8a6 f1e2 a6c5 d3c2 c5e6 e1h1 g8f6 c3d5 e7d8 c4c5,83
r1bqk2r/ppp2ppp/2n2n2/3Pp3/8/3PPN2/PPP3PP/RN1QKB1R b KQkq -,c6b4 e3e4 c7c6 c2c3 b4a6 d5c6 e8h8 b1a3 a6c5 f1e2,169
rnbQ1rk1/pp2ppbp/5np1/2p5/4PPP1/2N1B2P/PPP5/R3KBNR b KQ -,b7b5 a1d1 b5b4 c3d5 f8d8 d5f6 g7f6 d1d8 g8g7 d8c8,696
r5k1/5p2/2q1p1p1/1p1p3p/1P5P/2PQ2P1/5P2/4R1K1 b - -,a8a3 e1c1 a3a8 d3e3 a8c8 c1a1 c6c3 e3c3 c8c3 a1a5,-334
8/5p2/6kp/3P4/1p5b/5B2/P7/1K6 b - -,h4e7 b1c2 g6g5 c2d3 g5f4 f3d1 f7f6 d3e2 e7c5 d5d6,-65
r7/p3kR2/1pp4Q/3r4/4p3/8/P5PP/7K b - -,e7f7 h6f4 f7g7 f4c7 g7f8 c7f4 f8g7,Mate
r7/p2p1k2/1p6/1b4B1/3R4/8/P4PPP/6K1 b - -,d7d5 d4d5 b5c4 d5d7 f7e6 d7e7 e6d6 a2a3 a8g8 e7e4,250
r1b2rk1/p1pp1ppp/1p6/1B2N3/3PQ2q/P1P4P/2P2P2/R1B2RK1 b - -,h4e4 f2f3 e4h4 f1f2 d7d6 e5d3 c8b7 f2g2 g8h8 c1d2,-453
r4rk1/1p2bpp1/p4n1p/P7/3Rq2N/2P1B2b/1P2BPP1/3Q1RK1 b - -,e4c6 g2h3 a8e8 e2f3 c6c8 d1c2 e7c5 c2f5 c8f5 h4f5,408
8/6R1/2k5/1r6/4K1P1/8/6P1/8 b - -,b5b2 e4f5 b2f2 f5g6 f2g2 g4g5 c6d6 g7f7 d6e6 f7a7,466
r3kbnr/p2R1ppp/q3p3/3pP3/3P4/4BN2/P2NnPPP/3Q1K1R b kq -,e2c3 f1g1 c3d1 d7c7 d1e3 f2e3 f8b4 g1f2 a6a2 f2e2,-735
r5k1/5rpp/p2b1q2/2nN4/p7/4PNBP/Q4PP1/3R2K1 b - -,f6h6 d5b6 d6g3 b6a8 h6e6 a2e6 c5e6 f2g3 f7b7 f3d4,265
8/p7/6pR/1p1k4/n7/8/PPb3PP/5RK1 b - -,d5d6 h6h8 b5b4 h8d8 d6e5 f1c1 c2f5 c1c4 a4b2 c4b4,623
r1b1k2r/pp1n1ppp/3ppn2/q1p5/1bPP3B/2N1P3/PPQ1NPPP/R3KB1R b KQkq -,c5d4 e3d4 b7b5 c4b5 a5b5 a2a3 b5a5 a1c1 b4c3 e2c3,19
8/6pk/7p/4p3/1P1R4/1q1R3P/6PK/8 b - -,,0
1R6/5k2/1P6/5K2/1r6/8/8/8 b - -,b4b2 b8b7 f7e8 f5e6 b2e2 e6d6 e2d2 d6c7 d2c2 c7b8,525
2r3k1/3R1p2/r4bp1/4P2p/Np2P3/1P6/PP4PP/1K1R4 b - -,f6e5 h2h3 a6c6 a2a3 b4a3 d7d8 c8d8 d1d8 g8g7 b2a3,178
r3kb1r/pp1qpppp/5n2/3pBb2/3P4/1QN5/PP2PPPP/R3KB1R b KQkq -,e8d8 e2e3 e7e6 f1b5 d7e7 a2a3 f6d7 e5g3 a7a6 b5e2,197
r2qkbnr/1pp2pp1/p1n1p2p/3pNb2/3P4/NQP3P1/PP2PPBP/R1B2RK1 b kq -,g8f6 e5c6 b7c6 b3b7 f8a3 b7c6 e8f8 b2a3 g7g5 c3c4,87
k3R1rr/2p2p2/p7/3p4/P2P4/2P2Nq1/1P4p1/R5K1 b - -,g8f6 e5c6 b7c6 b3b7 f8a3 b7c6 e8f8 b2a3 g7g5 c3c4,Mate
