8/8/3K1Q2/8/4r1k1/8/8/8 b - -,e4e3 f6d4 g4f3 d6d5 f3e2 d4b2 e2d1 d5d4 e3h3 b2f2,721
rn1qkbnr/ppp2ppp/8/4p3/3pP3/3P1B2/PPP2PPP/RNBQ1RK1 b kq -,a7a6 c2c3 b8c6 b1d2 f8c5 d2b3 c5b6 f3g4 g8f6 g4h3,90
r2qk1nr/pppb1ppp/1bnp4/1B6/3PP3/2N2N2/PP3PPP/R1BQ1RK1 b kq -,d8c8 d4d5 c6e7 b5d7 c8d7 a2a4 b6c5 a4a5 a7a6 d1b3,207
8/8/2k1B3/3Q4/8/4K3/8/8 b - -,d8c8 d4d5 c6e7 e4e5 e7g6 e5d6 c7d6 c3e4 b6c7 d1b3,Mate
r2qkb1r/ppp3pp/2n2n2/3ppb2/8/1B3N2/PPPP1PPP/RNBQR1K1 b kq -,d8d7 f3e5 c6e5 e1e5 f5e6 d1e1 e8f7 d2d4 f8d6 b1d2,92
rnbqk2r/ppppppbp/5np1/8/2P4P/2N2N2/PP1PPPP1/R1BQKB1R b KQkq -,a7a6 e2e4 e8h8 d2d4 d7d6 f1e2 c7c5 e1h1 c5d4 f3d4,27
r1bqkb1r/pp1p1ppp/5n2/1B2p1B1/3pP3/3P4/PPP2PPP/RN1Q1RK1 b kq -,a7a6 b5c4 f8e7 c2c3 d4c3 b1c3 b7b5 c4b3 e8h8 d3d4,94
rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B1P/5N2/PPP1PPP1/RN1QKB1R b KQkq -,f8d6 f4d6 d8d6 c2c4 d6b4 b1d2 b4b2 e2e3 e8h8 f1e2,-31
rnbqkbnr/pp2pp1p/3p2p1/2p5/4P3/2NP4/PPP1NPPP/R1BQKB1R b KQkq -,e7e5 h2h4 h7h6 c3d5 b8c6 h4h5 g6g5 e2g3 f8g7 f1e2,25
r2qk1nr/pppb1ppp/2np4/1Bb5/4P3/5N2/PPP2PPP/RNBQ1RK1 b kq -,g8f6 b1c3 e8h8 h2h3 f8e8 f1e1 a7a6 b5d3 h7h6 c1e3,-25
8/8/8/8/8/6Np/5K2/7k b - -,,0
rnbqk2r/pp2ppbp/6pn/3pP3/3P4/5N1P/PP3PP1/RNBQKB1R b KQkq -,c8f5 f1b5 b8c6 e1h1 e8h8 b1c3 f5e4 f3g5 e4f5 f1e1,160
r2qk1nr/pppb1ppp/2np4/1Bb2N2/4P3/8/PPP2PPP/RNBQ1RK1 b kq -,h7h5 f5g7 e8f8 g7f5 d8f6 b1c3 d7f5 e4f5 f6f5 b5d3,167
rnbqk1nr/ppp3pp/3p4/2bPpp2/2P1P3/2N5/PP3PPP/R1BQKBNR b KQkq -,g8f6 e4f5 c8f5 g1f3 e8h8 c1g5 b8d7 f1e2 h7h6 g5e3,-175
3B4/1k6/8/1BK5/8/8/8/8 b - -,c7c6 e4f5 c8f5 g1f3 g8f6 f1d3 e5e4 f3h4 f5g4 d3e2,Mate
r2qkb1r/pp2pppp/2n2n2/2pp1b2/5P2/3PPN2/PPP1B1PP/RNBQ1RK1 b kq -,e7e6 b1c3 f5g6 d1e1 a7a6 c1d2 f8d6 f3h4 d5d4 c3d1,-64
rnbqkb1r/pp3ppp/2p2n2/4p3/2PpP3/3P1N2/PP2NPPP/R1BQKB1R b KQkq -,f6d7 g2g3 f8e7 f1g2 a7a5 e1h1 e8h8 f3e1 b7b5 b2b3,-94
rnbqk2r/pppnbppp/4p3/3pP3/3P1B2/2N2N2/PPP2PPP/R2QKB1R b KQkq -,e7f8 d1d2 c7c5 d4c5 b8c6 h2h4 f8c5 f1d3 f7f6 e5f6,87
rnbqkb1r/ppp1pp1p/3p1np1/8/2B1P3/3PB3/PPP2PPP/RN1QK1NR b KQkq -,e7e6 g1f3 f8g7 b1d2 e8h8 e1h1 b7b6 d3d4 d6d5 e4d5,16
rnbqk2r/ppp1ppbp/3p1np1/8/2B1P3/3PB3/PPPQ1PPP/RN2K1NR b KQkq -,d6d5 e4d5 f6d5 b1c3 d5e3 f2e3 c7c5 g1f3 e8h8 e1h1,-65
rn1qkbnr/pp2pppp/8/2p1N3/3pP1b1/2P5/PP1PNPPP/R1BQKB1R b KQkq -,d8c8 c3d4 c5d4 d1a4 g4d7 e5d7 b8d7 e2d4 a7a6 f1e2,281
rnbq1rk1/ppp1ppbp/3p1np1/8/2B1P3/2NPB3/PPPQ1PPP/R3K1NR b KQ -,c7c6 c4b3 b7b5 a2a3 b8d7 g1e2 a7a5 e1h1 c8a6 b3a2,-32
7Q/8/2k5/8/1N6/4K3/8/8 b - -,b8c6 g1e2 f6g4 e3f4 c6a5 h2h3 g4f6 e1h1 c7c6 f4h6,Mate
r2qkb1r/ppp2ppp/2n1pn2/1B1p4/6b1/1P2PN1P/PBPP1PP1/RN1QK2R b KQkq -,h7h5 h3g4 f6g4 c2c4 d5c4 d1c2 d8d3 c2c4 d3c4 b3c4,830
3R4/8/8/4K3/8/2k5/8/8 b - -,h7h5 h3g4 f6g4 c2c4 d5c4 d1c2 d8d3 c2c4 d3c4 b3c4,Mate
3R4/8/8/2K5/8/3k4/8/8 b - -,h7h5 h3g4 f6g4 c2c4 d5c4 d1c2 d8d3 c2c4 d3c4 b3c4,Mate
4R3/8/8/8/5k2/3K4/8/8 b - -,h7h5 h3g4 f6g4 c2c4 d5c4 d1c2 d8d3 c2c4 d3c4 b3c4,Mate
rnbq1rk1/ppp2ppp/4pn2/3pP3/1b1P4/2NB4/PPPB1PPP/R2QK1NR b KQ -,b4e7 e5f6 e7f6 c3e2 b8d7 g1f3 e6e5 d4e5 d7e5 f3e5,349
rnbq1rk1/ppp2ppp/4pn2/3pP3/3P4/2BB4/PPP2PPP/R2QK1NR b KQ -,f6e8 c3b4 b8d7 b4f8 d7f8 g1f3 b7b6 c2c3 a7a5 d3c2,308
8/5p2/8/R2kP3/6N1/8/8/6K1 b - -,f6e8 c3b4 b8d7 b4f8 d7f8 g1f3 b7b6 c2c3 a7a5 d3c2,Mate
8/5R2/8/4P3/2k3N1/8/8/6K1 b - -,f6e8 c3b4 b8d7 b4f8 d7f8 g1f3 b7b6 c2c3 a7a5 d3c2,Mate
8/3k4/8/2QN4/8/4K3/8/8 b - -,f6e8 c3b4 b8d7 b4f8 d7f8 g1f3 b7b6 c2c3 a7a5 d3c2,Mate
rnbqk2r/pp2bppp/2p2p2/8/2BP4/2P5/PP3PPP/R1BQK1NR b KQkq -,e7d6 d1e2 d8e7 e2e7 e8e7 g1e2 c8e6 c4d3 a7a5 a2a4,50
8/8/4k3/3N4/3Q4/4K3/8/8 b - -,c6c5 g1e2 e8h8 e1h1 b8c6 c1e3 c5d4 e2d4 c6d4 e3d4,Mate
rnbqkbnr/ppppp2p/6p1/5p2/3P4/3BP3/PPP2PPP/RNBQK1NR b KQkq -,g8h6 g1f3 h6f7 b1c3 d7d5 b2b3 f8g7 c1b2 b8c6 d3b5,67
8/8/8/3N1k2/4Q3/4K3/8/8 b - -,g8h6 g1f3 h6f7 b1c3 d7d5 b2b3 f8g7 c1b2 b8c6 d3b5,Mate
8/8/5N2/7k/5Q2/4K3/8/8 b - -,g8h6 g1f3 h6f7 b1c3 d7d5 b2b3 f8g7 c1b2 b8c6 d3b5,Mate
8/8/5Nk1/8/4KQ2/8/8/8 b - -,g8h6 g1f3 h6f7 b1c3 d7d5 b2b3 f8g7 c1b2 b8c6 d3b5,Mate
r1bqk2r/2pp1ppp/p1n2n2/1pb1p1B1/4P3/1B1P1N2/PPP2PPP/RN1Q1RK1 b kq -,c5a7 a2a4 b5b4 b3d5 h7h6 g5h4 d8e7 d5c6 d7c6 b1d2,105
8/5k2/3Q1N2/8/4K3/8/8/8 b - -,c5a7 a2a4 b5b4 b3d5 h7h6 g5h4 d8e7 d5c6 d7c6 b1d2,Mate
rnbq1rk1/pppp1ppp/4pn2/8/1b1PP3/2NB4/PPPB1PPP/R2QK1NR b KQ -,b8c6 g1f3 b4c3 b2c3 d7d5 e4e5 f6e4 d3e4 d5e4 f3g5,118
