8/8/8/8/8/1pk5/8/3K4 b - -,c7c5 d5e6 f7e6 d1e2 a7a6 f3g5 d7b6 d4c5 b6d5 c1d2,Mate
rnbqkbnr/1p3ppp/p7/2pp4/4p3/2N3P1/PPPPPPBP/RNBQK2R b KQkq -,d5d4 c3e4 f7f5 e1h1 f5e4 d2d3 f8e7 d3e4 b8c6 c2c3,-296
rnbqk1nr/pp3ppp/2p1p3/3p4/2PP4/5NP1/PP1NPP1P/R2QKB1R b KQkq -,a7a5 e2e4 g8f6 e4e5 f6e4 h2h4 h7h6 a1c1 b8a6 a2a3,70
r1bqkb1r/ppp2ppp/3p1n2/8/3B4/1P2P3/P1P2PPP/RN1QKB1R b KQkq -,h7h6 f1d3 d6d5 e1h1 c7c6 c2c4 d5c4 b3c4 f8d6 b1d2,56
8/5k2/r7/2KQ4/8/8/8/8 b - -,a6e6 d5c4 f7e7 c5d5 e6h6 c4c7 e7e8 c7f4 h6g6 f4e4,869
r1bqk2r/pppp1ppp/1bn2n2/1P6/2BpP3/2P2N2/P4PPP/RNBQK2R b KQkq -,e8h8 b5c6 d7d5 c4e2 d4c3 e4e5 f6e4 e1h1 f7f6 d1b3,276
r1bqkbnr/pppp2pp/5pn1/1B1Pp3/4P3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,c7c6 b5e2 f8b4 d5d6 d8a5 e1h1 a5c5 a2a3 b4c3 b2c3,185
8/4kr2/2K5/2Q5/8/8/8/8 b - -,e7e6 c5d5 e6f6 c6d6 f6g6 d5d3 g6f6 d3f3 f6g7 f3g4,5530
r2qkb1r/pppb1ppp/2n1pn2/3p4/3P4/1P1BPN2/P1P2PPP/RNBQ1RK1 b kq -,a7a5 a2a3 g7g6 c1b2 f8g7 b1d2 e8h8 c2c4 a5a4 b3b4,109
7k/2p3p1/3p1pqp/8/Q3P3/8/P4KPP/2R5 b - -,g6g5 a4c2 h6h5 f2g1 g5e3 g1h1 e3a3 c1b1 a3a8 a2a4,961
rnb1kb1r/ppq1pppp/2p2n2/8/P2P4/2N2N2/1PPB1PPP/R2QKB1R b KQkq -,c8e6 f1d3 e6g4 h2h3 g4h5 g2g4 h5g6 f3e5 b8d7 d1e2,107
rn1qkb1r/ppp1ppp1/5n1p/3p1b2/3P4/P3PN1P/1PP2PP1/RNBQKB1R b KQkq -,f6e4 c2c4 c7c6 c4d5 c6d5 d1b3 e7e6 b3b7 b8d7 b1c3,32
r1bqk1nr/p3ppbp/2pP2p1/2p5/8/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,d8d6 e1h1 g8f6 f1e1 e8h8 d2d3 c8e6 h2h3 c5c4 d3c4,83
rnbqkbnr/pp1p1ppp/4p3/2pP4/8/P7/1PP1PPPP/RNBQKBNR b KQkq -,f8d6 g1f3 g8f6 b1c3 e6d5 c3d5 e8h8 d1d3 f6d5 d3d5,68
8/8/8/2k5/7R/6R1/8/3K4 b - -,f8d6 g1f3 g8f6 b1c3 e6d5 c3d5 e8h8 d1d3 f6d5 d3d5,Mate
r1bqk1nr/pp1pppb1/2n3p1/2p4p/4P2P/2NP2P1/PPP2PB1/R1BQK1NR b KQkq -,e7e6 c1e3 d7d6 g1e2 g8e7 e1h1 e8h8 d3d4 d8b6 c3a4,-40
8/8/8/3k2R1/7R/8/8/3K4 b - -,g8h6 g1e2 h6g4 e1h1 e8h8 c3d5 e7e6 d5e3 b7b6 e3g4,Mate
r1bqkbnr/3p1ppp/p1n1p3/1p6/4P3/2N2N2/PPP1QPPP/R1B1KB1R b KQkq -,d7d6 c1f4 d8c7 e1a1 c8b7 a2a3 g8f6 c1b1 f8e7 e4e5,-34
8/8/2K1Qk2/8/8/8/8/8 b - -,,0
rnbqk2r/pp2bpp1/2pp1n1p/4p3/2B1P3/2PPBN1P/PP3PP1/RN1QK2R b KQkq -,,0
rnbqkbnr/p4ppp/2p1p3/8/PppPP3/8/NP3PPP/R1BQKBNR b KQkq -,c8a6 g1f3 g8f6 c1g5 d8b6 g5f6 g7f6 a1c1 f8h6 c1c4,-137
rnbqkb1r/pp1pnppp/4p3/2p5/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,e7f5 d4d5 d7d6 e2e4 f5h4 f3h4 d8h4 f1e2 e6e5 e1h1,202
rnbq1rk1/pp2ppbp/3p1np1/2P5/2P1P2P/2N5/PP2BPP1/R1BQK1NR b KQ -,b8c6 c5d6 f8e8 h4h5 d8d6 h5h6 d6d1 e2d1 g7h8 g1f3,82
r1bqk2r/p1p2ppp/1pnp1n2/2b1p3/2B1P3/2NP1N1P/PPP2PP1/R1BQ1RK1 b kq -,a7a6 c1g5 h7h6 g5f6 d8f6 c3d5 f6d8 a2a4 a8b8 c2c3,155
rnbqkb1r/pp1p1ppp/4p1n1/2p5/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,c5d4 e3d4 f8b4 d1b3 b4c3 b3c3 e8h8 h2h4 h7h6 g2g4,71
rnbqkbnr/pp1p1ppp/4p3/8/2B1P3/p4N2/2PP1PPP/RNBQK2R b KQkq -,a7a6 b1a3 b8c6 c1b2 d7d6 e1h1 g8f6 f1e1 f8e7 c4f1,-95
r7/3bkq2/p1Bbp1Q1/6p1/8/4B1P1/PPP4P/6K1 b - -,f7g6 c6g2 a8b8 b2b3 g6c2 g2f1 c2a2 e3g5 e7f7 g5e3,-1682
rnbqkb1r/1p1ppppp/p4n2/4P3/8/2N2N2/PP3PPP/R1BQKB1R b KQkq -,d7d6 e5f6 g7f6 c1e3 b8c6 f1c4 e7e6 a1c1 d6d5 c4b3,613
rnb1kbnr/ppp2ppp/4p3/3p4/3PP2q/2NB4/PPP2PPP/R1BQK1NR b KQkq -,b8c6 g1f3 h4d8 a2a3 d5e4 c3e4 g8f6 e1h1 h7h6 f1e1,226
8/8/2P5/5k2/8/8/8/1K6 b - -,f5e6 c6c7 e6d7 c7c8q d7c8 b1c2 c8c7 c2c1 c7d7 c1d2,Mate
rnbqkbnr/1p2pppp/2p5/p2pP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq -,e7e6 f1d3 g8e7 b1c3 b7b6 c3e2 c8a6 d3a6 b8a6 c2c3,118
rnbqk2r/ppp1bppp/3p1n2/4p3/2P5/1P1P1N2/PB2PPPP/RN1QKB1R b KQkq -,c7c6 g2g3 e8h8 f1g2 a7a5 e1h1 f8e8 b1c3 b8a6 h2h3,25
rnbqkbnr/pp1p1p1p/4p1p1/8/3QP3/2N2N2/PPP2PPP/R1B1KB1R b KQkq -,e8e7 d4h8 f8h6 f3g5 b8c6 e4e5 c6e5 h8e5 h6g5 c1g5,1060
rnbqkb1r/pp1p1p1p/4pnp1/6B1/3QP3/2N2N2/PPP2PPP/R3KB1R b KQkq -,b8c6 d4f6 d8f6 g5f6 h8g8 c3b5 f8e7 e4e5 a8b8 f3g5,725
rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/2P2N1P/PP3PP1/RNBQKB1R b KQkq -,f6e4 f1d3 e4f6 e1h1 e8h8 f1e1 f8e8 c1g5 b8d7 c3c4,-141
r1bqk2r/ppp2ppp/2nbpn2/3p2B1/2PP4/P1N5/1P2PPPP/R2QKBNR b KQkq -,d6e7 e2e3 e8h8 g1f3 h7h6 g5f4 e7d6 f4d6 d8d6 c4c5,44
r1bqkb1r/ppp1n1pp/2np1p2/4p3/4P3/2NPBN2/PPP1BPPP/R2QK2R b KQkq -,c8d7 d3d4 g7g6 e1h1 f8g7 d4e5 d6e5 e2c4 h7h5 d1e1,132
r1bqk2r/pppp1ppp/2n5/2b5/N1PpP1n1/5N2/PP3PPP/R1BQKB1R b KQkq -,b7b6 a4c5 b6c5 h2h3 g4e5 f3e5 c6e5 d1h5 d7d6 f2f4,-187
rnbqk2r/ppp1bppp/4p3/3p4/3PnP2/2PBPN2/PP4PP/RNBQK2R b KQkq -,e8h8 b1d2 f7f5 e1h1 c7c5 d3e2 b8c6 f3e5 c8d7 d2e4,-26
r1bqk2r/ppp1bpp1/2nppn1p/8/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,a7a6 c1e3 f6g4 e3d2 g4f6 h2h3 d6d5 e4e5 f6e4 d2e3,115
r1bqk2r/pppp1ppp/5n2/2b1p3/2PBP3/2NP4/PP3PPP/R2QKBNR b KQkq -,d8e7 d4c5 e7c5 f1e2 e8h8 g1f3 c5e7 e1h1 d7d6 d1d2,495
r1bq1rk1/ppppppbp/2n2np1/3P4/2P1P3/2N5/PP2NPPP/R1BQKB1R b KQ -,b7b5 d5c6 b5b4 c3a4 f6e4 e2g3 e4f6 f1e2 h7h5 h2h4,256
8/8/8/8/6Q1/1K6/7k/8 b - -,b7b5 d5c6 b5b4 c3a4 f6e4 e2g3 e4f6 f1e2 h7h5 h2h4,Mate
8/8/8/8/6Q1/2K5/8/7k b - -,b7b5 d5c6 b5b4 c3a4 f6e4 e2g3 e4f6 f1e2 h7h5 h2h4,Mate
rnbqk1nr/pppp1ppp/8/2bNp3/4P3/3P4/PPP2PPP/R1BQKBNR b KQkq -,b8c6 c2c3 g8f6 b2b4 c5e7 g2g3 a7a5 b4b5 f6d5 e4d5,45
r2qkb1r/pp1npppp/5n2/3p2B1/8/3P1N2/PPP2PPP/RN1QK2R b KQkq -,d8b6 b1d2 e7e6 c2c4 f8e7 d1a4 e8h8 e1h1 d5c4 d2c4,-66
8/8/3K4/8/2Q1k3/8/8/8 b - -,a8c8 e1h1 e7e6 c2c3 f8d6 b1d2 e8h8 d3d4 d8b6 d1b3,Mate
8/2Q5/8/8/3K1k2/8/8/8 b - -,a8c8 e1h1 e7e6 c2c3 f8d6 b1d2 e8h8 d3d4 d8b6 d1b3,Mate
rnb1kbnr/1pq2ppp/p2pp3/2p5/4P3/2NP1N2/PPP1BPPP/R1BQ1RK1 b kq -,b8d7 a2a4 f8e7 a4a5 g8f6 c1f4 e8h8 f3d2 b7b6 a5b6,62
rnbqkb1r/ppp1pp1p/1n4p1/3P4/4P3/5N2/PP3PPP/RNBQKB1R b KQkq -,e7e6 b1c3 e6d5 e4d5 f8g7 c1g5 g7c3 b2c3 d8d5 d1d5,133
rn1qkbnr/1bpppppp/p7/1p6/4P3/5N2/PPPPBPPP/RNBQ1RK1 b kq -,g7g6 e4e5 e7e6 d2d4 f8g7 c2c3 b8c6 b1d2 d7d6 d2b3,102
r1bqkb1r/pp3ppp/2np1n2/1N2p3/4P3/6P1/PPP2PBP/RNBQK2R b KQkq -,c8g4 d1d3 a8c8 a2a3 a7a6 b5c3 c6d4 c1g5 d6d5 e1h1,-58
rn1qk2r/pbpp1ppp/1p3n2/2b1p3/4P3/2N3P1/PPPPNPBP/R1BQ1RK1 b kq -,d7d6 d2d4 e5d4 e2d4 e8h8 d4f5 b8c6 c3a4 f8e8 f1e1,104
r2qkbnr/ppp2ppp/2n5/3pp3/6b1/2PPPN2/PP2BPPP/RNBQK2R b KQkq -,g8f6 b1d2 f8d6 e1h1 e8h8 e3e4 a7a5 f1e1 a5a4 e4d5,-30
r2qkb1r/pp2pppp/2n2n2/2pp1b2/5P2/1P2PN2/P1PPB1PP/RNBQ1RK1 b kq -,f6d7 c1b2 e7e6 e2b5 d8b6 b5c6 b6c6 d2d3 f5g6 f3h4,35
rnbqkbnr/pp2pppp/3p4/2p5/2P5/1P6/PB1PPPPP/RN1QKBNR b KQkq -,c8f5 g1f3 e7e6 e2e3 g8f6 f1e2 f8e7 e1h1 e8h8 f3h4,77
rnbqkbnr/pp2pp1p/3p2p1/2p5/P3P3/2N2N2/1PPP1PPP/R1BQKB1R b KQkq -,c8d7 d2d4 c5d4 f3d4 b8c6 f1e2 f8g7 c1e3 g8f6 e1h1,43
r1bqkb1r/pp1ppppp/5n2/8/3QP3/8/PPP2PPP/RNB1KB1R b KQkq -,d8a5 b1c3 e7e5 d4d3 a7a6 c1d2 f8c5 c3d5 a5d8 b2b4,87
r1bqkb1r/p1p2ppp/2pp1n2/4p3/4P3/1P1P1N2/P1P2PPP/RNBQK2R b KQkq -,g7g6 c1b2 f8g7 f3d2 f6h5 g2g3 e8h8 b1c3 f7f5 e4f5,-60
rnbq1rk1/pp2ppbp/3p1np1/2p3B1/2B1P3/3P1N2/PPPN1PPP/R2Q1RK1 b - -,h7h6 g5h4 a7a6 e4e5 f6h5 e5d6 d8d6 f1e1 e7e6 c2c3,-44
r1bqk1nr/pp1p1ppp/2n1p3/8/1bPP4/2N5/PP1B1PPP/R2QKBNR b KQkq -,c6d4 g1f3 d4c6 c3b5 d8a5 b5c3 a7a6 f1d3 a5c7 e1h1,-34
r1b1k1nr/ppp2ppp/2n1pq2/3p4/3P1P2/2P2NP1/PP3P1P/RN1QKB1R b KQkq -,c8d7 b1d2 f6d8 f1d3 a7a5 e1h1 c6e7 f1e1 g8f6 f3e5,146
r1bq1rk1/pppp1ppp/2Bb1n2/4p3/8/1P2PN2/PBPP1PPP/RN1QK2R b KQ -,d6e7 c6a4 a7a6 c2c4 c7c6 b3b4 e5e4 f3d4 b7b5 c4b5,328
r3kb1r/ppp2ppp/2n1b3/3q2B1/3pN3/5N2/PPP2PPP/R2QR1K1 b kq -,f8d6 g5f6 e8h8 f3d4 c6d4 d1d4 d5d4 f6d4 f8d8 e4d6,-13
rn1qkb1r/ppp2ppp/3p1n2/5P2/8/8/PPP2PPP/RNBQKB1R b KQkq -,d6d5 f1e2 f8c5 e1h1 e8h8 c2c4 d5c4 d1d8 f8d8 e2c4,-74
r1bqkbnr/pppp1ppp/8/3Pp3/2Pn1P2/8/PP2P1PP/RNBQKBNR b KQkq -,f8c5 b1c3 d7d6 f4e5 d6e5 e2e3 d4f5 g1f3 g8f6 b2b4,-75
r1bqkb1r/pp1npppp/2p2n2/3p2B1/2PP4/2N5/PPQ1PPPP/R3KBNR b KQkq -,d5c4 g1f3 h7h6 g5d2 e7e6 a2a4 c6c5 e2e3 b7b6 f1c4,-64
r1bqk2r/1pp2ppp/2np1n2/p1b1p3/2B1P3/P1PP1N2/1P1N1PPP/R1BQK2R b KQkq -,a5a4 c4b5 c8d7 d2f1 c6e7 b5d7 d8d7 f1g3 h7h6 e1h1,9
rn1qk2r/pp2ppbp/1n1p2p1/8/2PP2b1/2N1BN1P/PP3PP1/R2QKB1R b KQkq -,g4c8 f1e2 e8h8 e1h1 b8c6 d1d2 d6d5 c4c5 b6c4 e2c4,212
8/8/6k1/8/6K1/5Q2/8/8 b - -,g4c8 f1e2 e8h8 e1h1 b8c6 d1d2 d6d5 c4c5 b6c4 e2c4,Mate
6k1/5Q2/8/6K1/8/8/8/8 b - -,g8f7 g5f5 f7e7 f5g6 e7e8 g6g7 e8d8 g7f6 d8d7 f6f5,Mate
6k1/8/5Q2/8/6K1/8/8/8 b - -,g8f7 g5f5 f7e7 f5g6 e7e8 g6g7 e8d8 g7f6 d8d7 f6f5,Mate
3kr3/p1R1bPp1/1p5p/2p5/2P3P1/1P3PBP/P5K1/8 b - -,e8h8 c7a7 h8f8 g3c7 d8d7 c7b6 d7c6 a7e7 c6b6 a2a4,Mate
8/8/KP1k4/8/8/8/8/8 b - -,e8h8 c7a7 h8f8 g3c7 d8d7 c7b6 d7c6 a7e7 c6b6 a2a4,Mate
rnbqkb1r/pp2pppp/3p1n2/2p5/2P5/1P4P1/PB1PPP1P/RN1QKBNR b KQkq -,g7g6 b2f6 e7f6 f1g2 b8c6 e2e3 h7h5 h2h4 c8g4 g1e2,54
8/8/4k3/8/5Q2/3BK3/8/8 b - -,g7g6 b2f6 e7f6 f1g2 b8c6 e2e3 h7h5 h2h4 c8g4 g1e2,Mate
r1bqkbnr/ppp1p1pp/8/3Pp2Q/2p1P3/8/PP3PPP/RN2KBNR b KQkq -,e8d7 g1f3 g7g6 h5e5 g8f6 b1c3 f8g7 f1c4 d7e8 e5g5,385
8/8/1k6/8/3QB3/4K3/8/8 b - -,e8d7 g1f3 g7g6 h5e5 g8f6 b1c3 f8g7 f1c4 d7e8 e5g5,Mate
rnbq1knr/ppp2ppp/4p3/8/3PQ3/P1P5/2P2PPP/R1B1KBNR b KQ -,b8d7 g1f3 g8f6 e4e3 b7b6 c3c4 c8b7 f1e2 c7c5 a3a4,155
r1bqkbnr/pp2pppp/2n5/2ppP3/5P2/6N1/PPPP2PP/RNBQKB1R b KQkq -,h7h5 g3h5 e7e6 d2d3 d8h4 h5g3 c6d4 c1e3 g8h6 b1d2,-158
8/8/2k5/3BK3/8/2Q5/8/8 b - -,c8d7 f1e2 e7e6 d2d3 g7g6 c2c3 h7h5 b1d2 g8h6 g3f1,Mate
r1bq1rk1/ppp2ppp/2nbpn2/3p2B1/3P4/4PNP1/PPP2PBP/RN1Q1RK1 b - -,,0
rn1qkbnr/ppp2ppp/8/3pp3/4P3/5P1P/PPPP3P/RNBQKB1R b KQkq -,d8h4 e1e2 d5e4 d1e1 e4f3 e2d1 h4e1 d1e1 f7f5 d2d3,-646
rn2kbnr/ppp2ppp/8/3pp3/4P2q/5P1P/PPPPK2P/RNBQ1B1R b kq -,d5e4 d1e1 e4f3 e2d1 h4e1 d1e1 b8c6 f1b5 e8a8 b5c6,-616
r1bqk1nr/pp1pppbp/2n3p1/2p5/4P3/1PN5/PBPPQPPP/R3KBNR b KQkq -,d7d6 e1a1 g8f6 h2h3 a7a6 f2f4 e8h8 g2g4 b7b5 g1f3,-95
r1bqk1nr/p1p1bppp/2Np4/8/4P3/8/PPP2PPP/RNBQK2R b KQkq -,c8e6 c6d8 e7d8 b1c3 g8f6 e1h1 e8h8 d1d2 f6d7 f1e1,854
r1bqkbnr/pppppppp/8/n7/2B1P3/1P6/P1PP1PPP/RNBQK1NR b KQkq -,a5c4 b3c4 e7e6 g1f3 b7b6 c1b2 c8b7 d2d3 f7f6 e1h1,-29
rnbqkb1r/ppp3pp/5p2/3pPn2/8/5P2/PPP1PBPP/RN1QKBNR b KQkq -,d5d4 g2g4 f5e3 f2e3 d4e3 d1d8 e8d8 e5f6 g7f6 b1c3,110
r1bqk1nr/pppp1pp1/7p/n1b1p3/4P3/1BNP1N2/PPP2PPP/R1BQK2R b KQkq -,a5c6 f3e5 c5f2 e1f2 c6e5 h1f1 d7d6 d3d4 e5g6 d1f3,233
rnbqkbnr/pp4pp/5p2/1P1pp3/3P4/8/PBP2PPP/RN1QKBNR b KQkq -,b8d7 d4e5 d7e5 b1d2 f8b4 g1f3 c8g4 f1e2 e5f3 e2f3,-22
r1bqk1nr/ppp1bppp/2npp3/8/3PP3/2N1BN2/PPP2PPP/R2QKB1R b KQkq -,a7a6 f1d3 g8f6 e1h1 e8h8 a2a3 f6g4 e3c1 e6e5 d4d5,122
4Q3/8/2kr4/5K2/8/8/8/8 b - -,c6b7 f5e5 d6c6 e5d5 c6c2 e8a4 c2d2 d5c5 d2f2 a4e4,Mate
rnbqkbnr/ppp2ppp/8/4p3/4P3/2N3P1/PP1P1P1P/R1BQKBNR b KQkq -,b8c6 g1f3 f8c5 f1b5 g8e7 f3e5 d8d4 e5d3 c5b6 d1e2,-87
r1bqk1nr/pp1pppbp/2n3p1/2p3B1/2B1P3/3P1N2/PPP2PPP/RN1QK2R b KQkq -,g7b2 b1d2 b2a1 d1a1 f7f6 g5e3 d7d6 d3d4 c5d4 f3d4,-200
r1b1kbnr/ppp3pp/2p5/8/3qp3/3N4/PPPPQPPP/RNB1K2R b KQkq -,c8f5 d3f4 g8f6 e2e3 d4d7 h2h3 h7h5 b1c3 b7b6 d2d4,-269
rn1qkb1r/ppp2ppp/4pn2/3pNb2/3P4/4P3/PPP1BPPP/RNBQK2R b KQkq -,f6e4 e1h1 b8d7 f2f3 e4d6 b1c3 c7c6 e3e4 f5g6 a2a4,43
r1bqk2r/ppp2ppp/2np3n/2b1p1N1/2B1P3/2N5/PPPP1PPP/R1BQ1RK1 b kq -,a7a5 d2d3 c6d4 h2h3 e8h8 c3e2 d4e2 d1e2 c7c6 a2a4,34
rnbqk1nr/ppp1ppbp/6p1/8/3P3P/2N2N2/PPP2PP1/R1BQKB1R b KQkq -,b8c6 d4d5 c6b4 a2a3 g7c3 b2c3 b4d5 c3c4 d5b6 d1d8,72
8/8/8/1Q1k4/2n2K2/8/8/8 b - -,b8c6 d4d5 c6b4 a2a3 g7c3 b2c3 b4d5 c3c4 d5b6 d1d8,Mate
8/8/4k3/8/1P6/p1K5/8/8 b - -,,0
r1bqk2r/pppp1ppp/8/1B2N3/1n2n3/8/PPPP1PPP/R1BQK2R b KQkq -,d8g5 d2d4 g5g2 h1f1 e8h8 b5e2 d7d6 e2f3 g2h3 f3e4,-301
r2qkbnr/ppp1pppp/2n1b3/3p4/3PPB2/2N5/PPP2PPP/R2QKBNR b KQkq -,f7f5 e4d5 e6d5 g1f3 g8f6 f1b5 e7e6 e1h1 d5f3 d1f3,152
r1bQkbnr/p1p3pp/2p2p2/4P3/4p3/5N2/PPP2PPP/RNB1K2R b KQkq -,e8d8 f3d4 c8d7 e5f6 g8f6 c1e3 f8d6 b1d2 h8e8 h2h3,81
r2qkb1r/pppb1ppp/2np1n2/1B6/4P3/3Q1N2/PPP2PPP/RNB2RK1 b kq -,a7a6 b5c4 f8e7 b1c3 e8h8 h2h3 c6a5 c4b3 a5b3 a2b3,48
rn1qkbnr/ppp2ppp/8/3pp3/8/3P1PP1/PPP2PBP/RNBQK2R b KQkq -,c7c6 e1h1 f8d6 c2c4 g8e7 d3d4 e8h8 d4e5 d6e5 d1c2,112
r1bqkbnr/pp3ppp/2n1p3/3pP3/3P4/5N2/PP1B1PPP/RN1QKB1R b KQkq -,a7a6 b1c3 d8b6 c3a4 b6a7 d2e3 g8h6 f1d3 h6g4 e1h1,113
r1bq1rk1/pppp1pp1/2n2n1p/4p3/1bB1P3/2NP1N2/PPPB1PPP/R2QK2R b KQ -,a7a5 e1h1 d7d6 h2h3 c6e7 a2a3 b4c5 c3e2 c7c6 c2c3,-36
rnbq1rk1/pppp1ppp/5n2/2b1p3/2P1P3/P1N4P/1P1P1PP1/R1BQKBNR b KQ -,d7d5 c4d5 c7c6 d1c2 c5d4 g1f3 c6d5 e4d5 d8b6 c3a4,-83
r1bqkb1r/p1p1pppp/1pn2n2/2Pp4/3P4/4PN2/PP3PPP/RNBQKB1R b KQkq -,b6c5 f1b5 c8d7 d4c5 c6b8 b5d7 b8d7 b2b4 c7c6 c1b2,-5
r1bqk1nr/ppppbppp/2n5/4P3/4P3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,a7a6 f1c4 g8h6 c1f4 d7d6 e5d6 e7d6 f4d6 c7d6 h2h3,349
r1bqk1nr/ppp1bppp/2nP4/8/4P3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,e7f6 d6c7 d8c7 b1a3 c8g4 f1e2 a8d8 d1c2 g8e7 c1e3,445
r2qkb1r/ppp2ppp/2n1pn2/3p4/3P2b1/1P2PN1P/PBP2PP1/RN1QKB1R b KQkq -,h7h5 h3g4 f6g4 c2c4 d8f6 a2a3 e8a8 b1c3 h5h4 d1c2,494
rnbq1rk1/pppp1ppp/3b1n2/8/3NP3/2N5/PPP1BPPP/R1BQK2R b KQ -,b8c6 c1g5 d6e5 d4c6 d7c6 d1d8 f8d8 f2f3 h7h6 g5e3,-39
rn1qkbnr/pp2pp1p/2pp2p1/8/2PPP3/5B2/PP3PPP/RNBQK2R b KQkq -,b8d7 b1c3 h7h5 e1h1 e7e5 f3e2 f8g7 d4d5 c6c5 d1b3,119
rn1qk1nr/pp2ppbp/2pp2p1/8/2PPP3/4BB2/PP3PPP/RN1QK2R b KQkq -,e7e6 b1c3 b8d7 d1d2 a7a6 e1h1 g8f6 f1d1 e8h8 h2h3,135
rnb1kb1r/ppq1pppp/3p1n2/1N6/4P3/4BN2/PPP2PPP/R2QKB1R b KQkq -,b8a6 b5c7 a6c7 d1d4 c8d7 d4c4 a8c8 e3a7 e7e5 e1a1,876
r1bqkb1r/pppp1p1p/6p1/4p3/2BnP1Q1/8/PPPP1P1P/RNB1K1NR b KQkq -,d7d5 g4g3 d5c4 e1d1 c8e6 b2b3 d8d7 b1c3 e8a8 b3c4,-661
rn2kbnr/ppp1pppp/4b3/4q3/3P4/2N2P2/PPP1B1PP/R1BQK1NR b KQkq -,e5h5 d4d5 e6d7 f3f4 h5h4 g2g3 h4f6 g1f3 e7e6 f3e5,235
rn1qk2r/pp2ppbp/3p1np1/2pP4/2P1P1b1/2NB1N2/PP3PPP/R1BQK2R b KQkq -,f6d7 d3e2 g7c3 b2c3 d8a5 e1h1 d7b6 a2a4 b8d7 d1d3,101
rnbqkb1r/ppp1pp2/6pp/3p3n/3P3B/2N1P3/PPP2PPP/R2QKBNR b KQkq -,h5g7 h4g3 a7a6 h2h3 g7h5 g3h2 h5f6 f1d3 b8d7 c3e2,77
rnbqkbnr/ppp3pp/3p4/4pp2/2BPP3/2N5/PPP2PPP/R1BQK1NR b KQkq -,g8f6 g1f3 f5e4 f3g5 e5d4 c4f7 e8d7 d1d4 d8e7 f7e6,240
rn1qkbnr/ppp2ppp/4p3/3pPb2/3P1P2/5N2/PPP3PP/RNBQKB1R b KQkq -,f8e7 c1e3 g8h6 b1c3 f5g6 f1d3 c7c6 e1h1 d8b6 c3e2,57
r1bqk1nr/pp1pppbp/2n3p1/2p5/3PP3/4BN2/PPPQ1PPP/RN2KB1R b KQkq -,d7d5 e4d5 c5d4 f3d4 d8d5 b1c3 d5d7 e1a1 g8f6 d4c6,71
r1bqk1nr/ppp2pbp/2npp1p1/3P4/2B1P3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,c6b8 e4e5 d6e5 c1g5 g8e7 d1e2 e8h8 e1a1 d8e8 g5e7,106
1R6/1p1q2pk/p1p3n1/7p/7P/P1B2PP1/1P2Q1K1/3r4 b - -,d1d5 e2e4 d7f7 f3f4 d5c5 b8d8 c5d5 d8e8 f7f5 e4f5,200
rnbqk1nr/1pp1bppp/p2p4/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,b7b5 c4b3 g8f6 a2a4 b5b4 c3d5 f6d5 b3d5 c7c6 d5b3,85
3k4/4B3/4K3/3B4/8/8/8/8 b - -,b7b5 c4b3 g8f6 a2a4 b5b4 c3d5 f6d5 b3d5 c7c6 d5b3,Mate
rnbq1rk1/ppp1ppbp/3p1np1/3P4/2P1P3/2N3P1/PP3P1P/R1BQKBNR b KQ -,b8d7 f1g2 d7b6 d1d3 f6d7 g1f3 d7c5 d3e2 e7e6 e1h1,-87
r1bqkbnr/pp2pppp/8/2Ppn3/8/3B1N2/PPP2PPP/RNBQK2R b KQkq -,e5d3 c2d3 e7e5 d1b3 f7f6 b1c3 g8e7 d3d4 e5e4 f3g1,75
8/5k2/8/4p1K1/4P3/8/8/8 b - -,,0
rnbqkb1r/ppp1p2p/3p1np1/5p2/3P4/6PN/PPP1PPBP/RNBQ1RK1 b kq -,e7e5 d4e5 d6e5 d1d8 e8d8 f1d1 f8d6 b1c3 b8d7 h3g5,98
r2qkb1r/ppp2pp1/2np1n1p/4p3/2B1P1b1/2NPBN2/PPP1QPPP/R3K2R b KQkq -,g4d7 a2a3 f8e7 e1h1 e8h8 h2h3 a7a6 c4b3 g8h8 a1e1,94
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/2B1P3/3P1Q2/PPP1NPPP/RNB1K2R b KQkq -,f8b4 c2c3 b4e7 b1d2 e8h8 h2h3 c6a5 a2a4 a5c4 d2c4,17
rnbqk2r/ppp1npbp/3pp1p1/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,b8c6 d4d5 c6e5 f3e5 g7e5 f1e2 c7c6 e1h1 f7f5 d5c6,94
