8/8/8/8/8/1pk5/8/3K4 b - -,c7c5 d5e6 f7e6 d1e2 a7a6 f3g5 d7b6 d4c5 b6d5 c1d2,Mate
r1bqkbnr/ppp1npp1/3p3p/3Pp3/2P1P2B/8/PP3PPP/RN1QKBNR b KQkq -,a7a6 f2f3 g7g5 h4f2 h6h5 d1c2 h5h4 b1c3 e7g6 e1a1,57
r2qkb1r/pppb1ppp/2np1n2/1B6/4P3/2N5/PPP1NPPP/R1BQK2R b KQkq -,h7h6 e1h1 a7a6 b5d3 c6e5 h2h3 f8e7 e2g3 e8h8 d3e2,68
r1bqk2r/ppp2ppp/3p1n2/2b1p3/2BNP3/3P4/PPP2PPP/RNBQ1RK1 b kq -,a7a5 d4f3 a5a4 a2a3 c7c6 c4a2 h7h6 b1c3 e8h8 c1e3,546
r3kbnr/ppp2ppp/2B1p3/7q/3P2b1/2N2N2/PPP2PPP/R1BQK2R b KQkq -,e8e7 c6b7 a8b8 b7c6 e7d8 d1d3 g8e7 c6e4 f7f5 d3a6,800
r2qkbnr/pp2pppp/2n5/1Bpp1b2/5P2/1P2P3/PBPP2PP/RN1QK1NR b KQkq -,a8c8 g1f3 e7e6 b5c6 c8c6 d2d3 g8h6 h2h3 f5g6 g2g4,27
rn1qkbnr/pp3pp1/2p1p3/3pPb1p/3P1P1P/3B4/PPP3P1/RNBQK1NR b KQkq -,g8h6 b1c3 c6c5 d1h5 f5d3 c2d3 b8c6 f4f5 e6f5 c3e2,-170
r1bq1rk1/ppp1ppbp/2np1np1/3P2B1/4P3/2N2N1P/PPP2PP1/R2QKB1R b KQ -,h7h6 g5f6 e7f6 d5c6 f8e8 f1b5 f6f5 c6b7 c8b7 b5e8,496
r1bqkb1r/pp3ppp/2n2n2/2pp4/8/2NP1N2/PPP1BPPP/R1BQK2R b KQkq -,d5d4 c3e4 f6d5 e1h1 f8e7 c2c4 d5c7 e4g3 e8h8 h2h3,-79
r1bqkb1r/pp1npppp/3p1n2/2p5/3P1P2/2P1PN2/PP4PP/RNBQKB1R b KQkq -,g7g6 f1d3 f8g7 e1h1 e8h8 e3e4 c5d4 e4e5 f6d5 c3d4,-10
r1b1kbnr/pppp1ppp/2n2q2/1B6/Q3P3/8/PPP2PPP/RNB1K1NR b KQkq -,h7h6 b1c3 f8c5 g1f3 g8e7 e1h1 c6e5 f3e5 f6e5 g1h1,27
8/3k4/8/2KQ4/8/8/b7/8 b - -,,0
2kr1bnr/ppp1pppp/2P5/7q/6b1/2N2N2/PPP2PPP/R1BQKB1R b KQ -,d8d7 c6d7 g4d7 d1d4 c7c5 d4e5 h5e5 f3e5 g8h6 e5d7,1135
r1bqkb1r/pp3ppp/2np1n2/2p1p3/8/1P1PPN2/PBP1BPPP/RN1QK2R b KQkq -,g7g6 e1h1 f8g7 c2c4 e8h8 f1e1 b7b6 b1c3 d6d5 d3d4,-18
rn1qkb1r/pb1ppppp/1p3n2/2p5/3P4/1P1BPN2/P1P2PPP/RNBQK2R b KQkq -,c5d4 e3d4 e7e6 e1h1 f8e7 c2c4 d7d5 b1c3 e8h8 a2a3,-25
r2qk1nr/pppb1ppp/2n1p3/3p4/2PP4/2P2N2/P1Q1PPPP/R1B1KB1R b KQkq -,b7b6 e2e3 g8f6 c1a3 c6e7 c4d5 e6d5 f1d3 e8h8 e1h1,118
r2qkb1r/ppp2ppp/2n1pn2/3P1b2/3P4/4PN1P/PP3PP1/RNBQKB1R b KQkq -,c6b4 f1b5 c7c6 d5c6 b7c6 b5a4 b4d3 e1f1 d8b6 b1c3,78
rnbqkb1r/pp3ppp/2p1pn2/8/3PN3/2PB4/PP3PPP/R1BQK1NR b KQkq -,h7h6 e4f6 d8f6 g1f3 f8d6 e1h1 b8d7 f1e1 b7b6 f3d2,159
r1bq1rk1/pp1pppbp/2n2np1/2p3B1/2P5/2NP1NP1/PP2PPBP/R2QK2R b KQ -,f8e8 d1d2 a8b8 h2h4 h7h5 g5h6 g7h8 e1h1 f6g4 h6g5,20
