r1bqkbnr/1pp2ppp/p7/2pPp3/4P3/5N2/PPP2PPP/RNBQK2R b KQkq -,f7f6 b1d2 f8d6 e1h1 g8e7 b2b3 e8h8 h2h3 c7c6 c2c4,55
r1bqk2r/ppppbppp/2n1pn2/8/3P1B2/2PBP3/PP1N1PPP/R2QK1NR b KQkq -,a7a6 g1f3 f6h5 h2h4 h5f4 e3f4 b7b5 f3g5 g7g6 d1e2,128
r1bqkb1r/pppn1pp1/4pn1p/3p4/3P1B2/4PN2/PPPN1PPP/R2QKB1R b KQkq -,f8e7 h2h3 c7c5 c2c3 d8b6 d1b3 a7a6 f1e2 b6c6 e1h1,37
r1bqkbnr/ppp2ppp/2np4/4p3/2PPP3/8/PP2NPPP/RNBQKB1R b KQkq -,g7g6 d4d5 c6b8 e2c3 b8d7 f1e2 a7a5 c3a4 b7b6 b1c3,55
r1bqk1nr/pppp1ppp/1bn5/8/3NP3/2P1B3/PP2BPPP/RN1QK2R b KQkq -,c6d4 e3d4 g8f6 e4e5 f6e4 a2a4 c7c6 b1a3 e8h8 a3c4,52
r1bqkbnr/3p1ppp/ppn1p3/8/P1BNP3/2N5/1PP2PPP/R1BQK2R b KQkq -,c8b7 d4c6 b7c6 d1e2 f8b4 e1h1 c6b7 c1f4 g8f6 c4d3,67
rnbqkb1r/p2p1ppp/5n2/2pP4/P1p5/2N5/1P3PPP/R1BQKBNR b KQkq -,c8b7 f1c4 d7d6 a4a5 f8e7 d1d3 e8h8 g1f3 b8d7 e1h1,93
r2qkbnr/pp1nppp1/2p4p/3pPb2/3P1P2/3B1N2/PPP3PP/RNBQK2R b KQkq -,f5e4 d3e4 d5e4 f3d2 e7e6 d2e4 d8b6 e1h1 e8a8 a2a4,205
rnbqkbnr/pp3ppp/4p3/2p1N3/8/5Q2/PPPP1PPP/RNB1KB1R b KQkq -,d8e7 f1b5 b8d7 e5d7 c8d7 f3b7 a8d8 d2d3 d7b5 b7b5,263
rnb1k1nr/ppp2ppp/1b1p1q2/4P3/2BP4/5N2/PP3PPP/RNBQK2R b KQkq -,f6e7 e1h1 b8c6 c1g5 e7f8 f1e1 d6d5 c4d5 h7h6 d5c6,414
r1b1kbnr/ppppqp1p/2n5/6p1/3PPp1P/2N2N2/PPP3P1/R1BQKB1R b KQkq -,d7d6 h4g5 f7f5 e4e5 d6e5 c3d5 e7f7 d4e5 c8e6 d5f4,320
r1bqkb1r/pp3ppp/2n1pn2/3p4/2PP4/1P3N2/PB3PPP/RN1QKB1R b KQkq -,f8b4 b1d2 d5c4 f1c4 e8h8 a2a3 b4d6 f3e5 c6e7 e1h1,-48
