2bn2k1/1p4p1/pqrrpbQp/3p1B2/1P1P1P2/P5P1/1B2R1KP/4R3 b - -,f6e7 g6h7 g8f8 h7h8 f8f7 f5g4 e7f6 g4h5 g7g6 h8h7,Mate
3n1k1Q/1p1b2p1/pqrrpb1p/3p1B2/1P1P1P2/P5P1/1B2R1KP/4R3 b - -,f8e7 f5g6 c6c8 h8g8 f6d4 e1d1 d4b2 e2b2 d8c6 g8g7,-262
3q1r2/4p1kp/p4pp1/1p1rP2P/3p3Q/P2B4/1PP3P1/1K5R b - -,d5e5 h5g6 h7h5 g2g4 f8h8 g4h5 h8h6 d3e4 d8d6 e4f3,-260
2rqr1k1/1p1bB1pp/p3p3/3pQ3/6n1/2NB4/PPP2PPP/4RR1K b - -,d8e7 e5d4 g4f6 f2f4 e7c5 d4c5 c8c5 h1g1 f6g4 h2h3,45
r3r3/1p1k1p2/1pppPQp1/8/1P6/P6R/1q4PP/R5K1 b - -,d7c8 f6b2 f7f6 b2f6 c8b8 h3h7 b8a7 f6g6 e8f8 g6g7,1146
6k1/pp2rppp/8/2p5/1PPn1P2/P4B1P/6P1/5R1K b - -,g7g6 f3d5 c5b4 a3b4 d4c2 b4b5 b7b6 f4f5 g6f5 f1f5,-17
8/8/b1B5/5p1k/3K4/8/8/8 b - -,,0
r1bqk2r/1p2bpp1/p3p2p/n1Pp4/P7/2P1PNP1/1PQNBPP1/R3K2R b KQkq -,b7b6 c5b6 d8b6 b2b4 a5c6 e3e4 d5e4 c2e4 c8b7 d2c4,126
2rrn3/ppq1bppk/2b1p3/4N1PQ/5P2/8/PPPB3P/1K1R3R b - -,h7g8 h5f7 g8h7 f7e6 c6d5 g5g6 h7h8 e6h3 h8g8 c2c4,546
8/8/p7/1b6/1P3Kp1/PR6/2P3k1/8 b - -,b5d7 b3d3 d7e6 d3d6 e6c8 c2c4 g2h3 d6g6 c8d7 c4c5,736
r1bq1rk1/ppp2pb1/3p1np1/3Pp2p/2P1P3/2NQB2P/PP2NPP1/R3K2R b KQ -,f6h7 c4c5 d8e7 c5d6 c7d6 a2a4 f7f5 e4f5 g6f5 f2f4,46
6k1/p6q/1p3Q2/1bnP1pB1/5P2/2P1r3/P1B3P1/2R3K1 b - -,h7g7 c2f5 g7f6 g5f6 e3e2 f6d4 e2a2 d4c5 b6c5 c1b1,591
r2qr1k1/1b2npbp/p2p1np1/1p1P4/P4B2/1QN2N2/1P2BPPP/3RR1K1 b - -,e7f5 h2h3 d8b6 b3b4 a8c8 a4b5 a6b5 b4b5 b6b5 e2b5,55
r3r1k1/pb1n1pbp/1pq2np1/2p1p3/4P3/1PPB1NB1/P1QN1PPP/3RR1K1 b - -,b6b5 g3h4 d7f8 h4f6 g7f6 a2a4 a7a6 d2f1 c5c4 b3c4,-11
r3r1k1/pp3p2/2pqp1p1/3pP2n/7P/2N5/PPP1QP2/2K3RR b - -,h5f4 e5d6 f4e2 c3e2 g8g7 h4h5 e8h8 h1h3 e6e5 h3b3,539
8/8/8/2pr4/2k1K3/8/8/1R6 b - -,d5h5 e4f4 c4c3 b1b7 h5d5 b7b8 d5d4 f4e5 c5c4 b8h8,-505
2rBr1k1/1p1b2pp/p3p3/3pn3/8/2NB4/PPP2PPP/4RR1K b - -,e5c4 d3c4 c8c4 d8g5 e8c8 g5c1 b7b5 a2a3 b5b4 a3b4,385
r6b/3bkn2/3p1p2/pppPpPp1/4N1P1/2PP4/PP1B1KB1/7R b - -,a8b8 h1h7 d7e8 d2e3 b8c8 f2e2 a5a4 e2d2 c8b8 d2c2,185
8/8/b1B5/4Kp2/7k/8/8/8 b - -,,0
rn1qk2r/pppb1p2/4p3/3pP2p/1b1P2pP/2N3N1/PPPQ1PP1/2KR1B1R b kq -,d8e7 a2a3 b4c3 d2c3 b8c6 f2f3 e8a8 f3g4 h5g4 h4h5,64
