rnbqk2r/ppp2ppp/3P1n2/8/1bB5/8/PB1N1PPP/R2QK1NR b KQkq -,d8d6 g1f3 d6e7 c4e2 e8h8 e1h1 b4a3 b2a3 e7a3 d2c4,-288
r1bqkb1r/pppp1ppp/8/3Pp3/1PB1n3/2P2N2/P4PPP/RNBQK2R b KQkq -,f8e7 d1c2 e4d6 c4d3 e7f6 e1h1 e8h8 d3h7 g8h8 h7d3,715
8/3Bk3/8/4Q3/8/4K3/8/8 b - -,f8e7 d1c2 e4d6 c4d3 e7f6 e1h1 e8h8 d3h7 g8h8 h7d3,Mate
rnbqkbnr/pp1p1ppp/2p5/8/2PQ4/5N2/PP2PPPP/RNB1KB1R b KQkq -,d7d6 b1c3 g8f6 c1f4 b8a6 a1d1 d8b6 d4b6 a7b6 f4d6,78
rnbqk2r/pppp1pbp/6p1/5p2/3P4/1P2PN2/P1P2PPP/RN1QKB1R b KQkq -,c7c5 b1c3 c5d4 f3d4 b8c6 f1c4 e8h8 e1h1 f5f4 c4d5,-63
rnb1k1nr/p1pp1ppp/1p2p3/8/3Pq3/2PBBN2/P1P2PPP/R2QK2R b KQkq -,e4c6 c3c4 d7d6 e1h1 c6d7 f1e1 c8b7 a2a4 g8e7 a4a5,66
8/8/3K4/4Q3/8/8/2k5/8 b - -,e4c6 c3c4 d7d6 e1h1 c6d7 f1e1 c8b7 a2a4 g8e7 a4a5,Mate
8/8/4K3/2k1BB2/8/8/8/8 b - -,e4c6 c3c4 d7d6 e1h1 c6d7 f1e1 c8b7 a2a4 g8e7 a4a5,Mate
8/8/5K2/4Q3/2k5/8/8/8 b - -,e4c6 c3c4 d7d6 e1h1 c6d7 f1e1 c8b7 a2a4 g8e7 a4a5,Mate
5k2/8/5K2/3N4/8/3B4/8/8 b - -,f8g8 d3b5 g8h7 b5c4 h7h8 d5f4 h8h7 c4a2 h7h6 a2d5,218
r1bqkbnr/ppp2ppp/2n5/4p3/1P1P4/P7/1BPP1PPP/RN1QKBNR b KQkq -,a7a5 d4e5 a5b4 g1f3 g8e7 f1d3 e7d5 e1h1 f8e7 a3b4,211
8/8/8/8/2k5/4K3/2R5/8 b - -,a7a5 d4e5 a5b4 g1f3 g8e7 f1d3 e7d5 e1h1 f8e7 a3b4,Mate
rnbqkbnr/ppp2ppp/4p3/1N1p4/3P1B2/8/PPP1PPPP/R2QKBNR b KQkq -,f8d6 b5d6 c7d6 e2e3 b8c6 g1f3 f7f6 f4g3 g8e7 c2c3,67
r2qkbnr/pp3ppp/2bpp3/2p5/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,g8f6 d2d3 b7b5 e1h1 f8e7 e4e5 f6d7 e5d6 e7d6 d3d4,-86
1rb3kr/pp3ppp/5n2/8/1QpN4/8/PP2B1PP/RN3K1R b - -,c8d7 e2c4 h7h5 b1c3 f6g4 b4e7 b8f8 f1g1 g4f6 a1f1,1461
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PP1B2/4PN1P/PP1N1PP1/R2QKB1R b KQ -,c5d4 e3d4 e7e5 f4e3 b8c6 d4d5 c6e7 a2a4 f6e8 d2e4,-142
rn1qkb1r/ppp1pppp/8/8/6b1/3P1N2/PPP1QPPP/RNB2RK1 b kq -,b8c6 b1d2 d8d5 c2c3 e7e5 h2h3 g4h5 d3d4 f7f6 b2b4,-57
r2qkbnr/1p1bpppp/p1np4/2p5/4P3/5N2/PPPPBPPP/RNBQR1K1 b kq -,a8c8 c2c3 g8f6 d2d4 f6e4 d4d5 c6b8 c1f4 e4f6 e2f1,85
8/8/3kB3/8/2KN4/8/8/8 b - -,d6e5 c4d3 e5f4 e6c4 f4g3 d3e3 g3h4 e3f4 h4h5 c4e6,8001
rnbqk1nr/pp2bppp/2p5/3P4/3P4/5N2/PP3PPP/RNBQKB1R b KQkq -,a7a6 d5c6 b8c6 f1e2 g8f6 e1h1 e8h8 c1e3 c8e6 b1c3,109
r2qk2r/ppp2ppp/2np1n2/2b1p3/2B1P1b1/2NP1N2/PPPQ1PPP/R1B2RK1 b kq -,g4f3 g2f3 c6d4 g1g2 f6h5 c3e2 d4e2 d2e2 d8h4 c2c3,-151
rnb1kb1r/ppp2ppp/3q1n2/3Pp3/2B5/2N5/PPP2PPP/R1BQK1NR b KQkq -,b8d7 g1f3 a7a6 a2a4 d6b4 c4e2 f8d6 e1h1 e8h8 f3d2,40
r1b1kbnr/ppqp1ppp/2n1p3/8/4P3/2N1Q3/PPPB1PPP/R3KBNR b KQkq -,h7h6 c3b5 c7b8 e3g3 d7d6 b5c3 g7g6 f2f4 f8g7 f1d3,88
8/8/8/4N3/8/3K4/1kB5/8 b - -,b2c1 e5c6 c1b2 d3d2 b2a3 d2c3 a3a2 c2e4 a2a3 e4b1,15265
