r3kbnr/ppp2ppp/2np1q2/4p3/2B1P3/2N4P/PPPPQPP1/R1B1K2R b KQkq -,e8a8 d2d3 c6d4 e2g4 d8d7 g4d1 c7c6 e1h1 g8e7 c1e3,97
8/8/8/8/3k4/5R2/2K5/8 b - -,e8a8 d2d3 c6d4 e2g4 d8d7 g4d1 c7c6 e1h1 g8e7 c1e3,Mate
rnb1kbnr/pp3ppp/2p5/4p3/2B1P3/2N2N2/PPP2PPP/R1B1K2R b KQ -,g8f6 f3e5 c8e6 c4e6 f7e6 e1e2 b8d7 e5d7 f6d7 a2a4,390
r1bqk1nr/pppp1pp1/2nb3p/4P3/2BP4/5N2/PP3PPP/RNBQK2R b KQkq -,d6f8 d4d5 c6a5 c4d3 f8b4 b1d2 b7b5 a2a3 b4d2 c1d2,278
r1bqkb1r/1ppp1ppp/p1N2n2/8/2B1P3/8/PPP2PPP/RNBQK2R b KQkq -,b7b5 c4f7 e8f7 c6d8 f7e8 e4e5 a8b8 e5f6 g7f6 b1c3,1219
rnbqkbnr/pppp1pp1/8/3Pp2p/4P3/8/PPP2PPP/RNBQKBNR b KQkq -,g7g6 h2h3 d7d6 b1c3 b8d7 g1f3 f8h6 c1h6 g8h6 d1d2,108
r1bqkb1r/ppp1nppp/2np4/1B2p3/4PP2/3P1N2/PPP3PP/RNBQK2R b KQkq -,f7f6 b5a4 g7g6 f4e5 d6e5 c1e3 f8g7 d1e2 e8h8 c2c3,100
rn1qk1nr/pp3ppp/2p1p3/3p1b2/3P1P2/2PB1N2/PP3PPP/RN1QK2R b KQkq -,g8e7 f3e5 a7a5 b1d2 f5d3 e5d3 b8d7 e1h1 b7b6 f1e1,-9
r1bqk1nr/pp2ppbp/2B3p1/3p4/3P4/2N2N2/PPP2PPP/R1BQK2R b KQkq -,e8f8 c6d5 c8g4 e1h1 a8c8 d5f7 c8c5 d4c5 d8d1 f1d1,966
r1bqkb1r/p2ppppp/1pn2n2/8/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,g7g6 d4d5 c6a5 f1d3 f8g7 e1h1 e8h8 f1e1 e7e6 c1g5,117
rnb1kb1r/pp1ppppp/5n2/8/1q3B2/2P2N2/PP3PPP/RNQ1KB1R b KQkq -,b4e4 f1e2 b8c6 c1d2 e7e5 f4g3 e4f5 e1h1 f6e4 d2e3,-114
rnbqkbnr/1ppppppp/8/p7/8/6PB/PPPPPP1P/RNBQK1NR b KQkq -,d7d5 h3c8 d8c8 g1f3 e7e6 c2c4 g8f6 c4d5 e6d5 e1h1,-17
r1bqkbnr/pppp2pp/2n1p3/8/8/2N5/PPP1PPPP/R1BQKBNR b KQkq -,g8f6 e2e4 f8b4 f1d3 d7d5 e4d5 e6d5 g1f3 d8e7 d1e2,-71
4r1qk/5p1p/pp2rPpR/2pbP1Q1/3pR3/2P5/P2B2PP/6K1 b - -,d5e4 c3d4 c5d4 d2f4 d4d3 h6h4 e4f5 h2h3 e6e5 f4e5,-833
8/2K5/8/8/8/1Q6/4k3/8 b - -,d5e4 c3d4 c5d4 d2f4 d4d3 h6h4 e4f5 h2h3 e6e5 f4e5,Mate
r1bqkb1r/pppp1pp1/2n2B1p/3Q4/4P3/8/PPP2PPP/RN2KBNR b KQkq -,c6e7 f6e7 f8e7 g1f3 c7c6 d5d2 d7d5 e4d5 e8h8 b1c3,674
8/2K5/8/8/8/8/3Q4/1k6 b - -,c6e7 f6e7 f8e7 g1f3 c7c6 d5d2 d7d5 e4d5 e8h8 b1c3,Mate
r3kbnr/pp1b1ppp/2B1p3/8/Q1pq4/4B1P1/PP2PP1P/RN2K2R b KQkq -,e6e5 e3d4 d7c6 a4c4 e5d4 e1h1 f8e7 c4d4 h7h5 b1d2,561
r1bqkb1r/pp3ppp/4pn2/2p5/3P4/2PB1N2/PP3PPP/R1BQK2R b KQkq -,d8c7 e1h1 c5d4 f3d4 c8d7 d4b5 c7b6 a2a4 a7a6 b5a3,55
r2qkbnr/ppp2ppp/2n5/3pPb2/8/P1N2N2/1PP1PPPP/R1BQKB1R b KQkq -,d5d4 c3b5 f8c5 b2b4 a7a6 b4c5 a6b5 c1b2 g8e7 f3d4,94
rn1qkb1r/ppp2ppp/4bn2/3p4/3P4/5NP1/PPP2PBP/RNBQK2R b KQkq -,f8d6 b1c3 c7c6 c3e2 e8h8 c1f4 f8e8 e1h1 h7h6 f4d6,-41
b2r3r/k4p1p/p1Nq1np1/1ppP4/3p1Q2/P4PPB/1PP4P/1K1RR3 b - -,d6c6 d5c6 f6d5 f4f7 a7b6 h3d7 d5c7 f7f6 d4d3 c2d3,1135
r1bqk1nr/pp2ppbp/2np2p1/2p5/4PPP1/2N2N1P/PPPP4/R1BQKB1R b KQkq -,h7h5 g4g5 e7e6 f1g2 g8e7 d2d3 e8h8 f3h4 c6d4 a2a4,-95
r1bqk2r/pp3ppp/2nbpn2/2pp4/3P4/2P1P1B1/PPQN1PPP/R3KBNR b KQkq -,e6e5 d4c5 d6c5 g1f3 e5e4 f3e5 c5d6 e5c6 b7c6 b2b4,-24
r3kbnr/pppbpppp/2B5/8/4P3/8/PPP2PPP/RNBK2NR b kq -,g8f6 c6d7 e8d7 b1c3 e7e6 f2f3 a8d8 g1e2 f8e7 d1e1,842
rnbqkb1r/p1p1pppp/5n2/8/PpBPP3/5N2/1P3PPP/RNBQK2R b KQkq -,h7h6 c1f4 e7e6 b1d2 f8e7 d1e2 c8b7 a1c1 b8d7 c4b5,209
r1bqk2r/pp1nbppp/3ppn2/2p5/4P3/2PB1N2/PP1P1PPP/RNBQR1K1 b kq -,d8a5 a2a4 e8h8 b1a3 d7e5 d3c2 e5f3 d1f3 e6e5 d2d3,62
rnb1k1nr/ppp1ppbp/6p1/q7/3P4/2N1P3/PP1B1PPP/R2QKBNR b KQkq -,c7c6 g1f3 g8f6 e3e4 e8h8 f1e2 c8g4 e1h1 b8d7 e4e5,120
r1bqkb1r/pppp1ppp/8/3PNn2/4n3/2P2Q2/PP3PPP/RNB1KB1R b KQkq -,f8c5 f3e4 e8h8 e4f5 d7d6 f5h5 d6e5 f1e2 d8d5 e1h1,351
rnbqkb1r/pp3ppp/2pp1n2/3Pp3/2B1P3/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,f8e7 a2a4 e8h8 d1e2 c6d5 c4d5 f6d5 c3d5 c8e6 f1d1,36
rnbqkbnr/ppp2ppp/8/3p4/4p1P1/3P3P/PPP1PPB1/RNBQK1NR b KQkq -,c8d7 b1c3 f8b4 c1d2 e4d3 a2a3 b4c5 g2d5 d7c6 d5c6,150
rnbqkbnr/ppp2ppp/8/3p4/3Q4/2N3P1/PPP1PP1P/R1B1KBNR b KQkq -,b8c6 d4d5 c8e6 d5d8 a8d8 c1f4 f8b4 f4c7 d8c8 c7f4,133
r1bqkb1r/ppp1pp1p/3p1np1/3Pn3/4PB2/2N2N2/PPP2PPP/R2QKB1R b KQkq -,f8g7 f3e5 d6e5 f4e5 e8h8 f1e2 e7e6 d1d4 e6d5 c3d5,173
r1bqkb1r/pppp1ppp/8/n3N3/2B1n3/2NP4/PPP2PPP/R1BQK2R b KQkq -,f8d6 c4f7 e8f8 c3e4 d6e5 f7d5 e5f6 e1h1 h7h5 e4f6,580
r2qkbnr/pp2pppp/2p2n2/8/3P2b1/5NN1/PPP1BPPP/R1BQK2R b KQkq -,h7h5 h2h3 g4f3 e2f3 e7e6 c2c3 f8d6 e1h1 d6g3 f2g3,128
rn2kbnr/pp1q1ppp/8/2Pp4/8/2N5/PPP2PPP/R1BQK1NR b KQkq -,b8a6 d1d5 d7d5 c3d5 e8a8 d5e3 f8c5 g1f3 a6b4 e1h1,180
r1b1kbnr/ppp2ppp/2nq4/8/8/5N2/PPPBPPPP/RN1QKB1R b KQkq -,c8g4 b1c3 e8a8 d2g5 g8f6 d1d6 f8d6 e1a1 d6b4 d1d8,98
8/8/1Q1k1r2/8/3K4/8/8/8 b - -,d6g6 d2f4 c8f5 f3h4 g6g4 g2g3 g7g5 h4f5 g4f5 f4e3,Mate
r1bqkb1r/pp2n1pp/2n2p2/2ppp3/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b kq -,c8g4 d2b3 d5e4 d3e4 d8d1 f1d1 e7c8 a2a4 a7a5 c1e3,-76
3k4/8/2N1KQ2/8/8/8/8/8 b - -,a7a5 f3h4 c8e6 f2f4 d8d7 f4e5 c6e5 e4d5 e6d5 h4f3,Mate
rnbqk2r/ppp2p1p/3p1bp1/3Pp3/4P3/2N2N2/PPP2PPP/R2QKB1R b KQkq -,f6g7 g2g3 h7h5 h2h4 g7h6 a2a4 e8h8 a4a5 a7a6 d1e2,-68
8/3k4/6r1/1Q2K3/8/8/8/8 b - -,d7e7 b5b7 e7e8 b7c7 e8f8 e5f5 g6h6 c7a7 h6h3 f5g6,92
r1bqk1nr/ppppnppp/1b6/3Pp3/2B1P3/2P2N2/PP3PPP/RNBQK2R b KQkq -,f7f5 f3e5 d7d6 c4b5 e8f8 e5c4 b6c5 b2b4 a7a6 b4c5,193
r2qkbnr/ppp2ppp/2np4/4p3/2Q1PP2/5N2/PPPP2PP/RNB1K2R b KQkq -,f7f5 d2d3 d8d7 b1c3 e8a8 f4e5 c6e5 f3e5 d6e5 e4f5,72
r1bqkb1r/1p1p1ppp/p1n1pn2/8/3NP3/3BB3/PPPN1PPP/R2QK2R b KQkq -,d7d6 d4c6 b7c6 e1h1 f8e7 d2c4 e8h8 e3b6 d8e8 e4e5,69
rnb1kbnr/pp2ppp1/1qp4p/3p4/3P3B/4P3/PPPN1PPP/R2QKBNR b KQkq -,g8f6 f1d3 b6b2 g1f3 b2a3 e1h1 b8d7 f1e1 g7g6 e3e4,47
rnbqk2r/1ppp2pp/4pn2/p4p2/1bPP4/P5P1/1P1BPPBP/RN1QK1NR b KQkq -,b4a3 a1a3 b8c6 g1f3 d7d5 c4d5 e6d5 d2g5 e8h8 e1h1,442
r2qkb1r/ppp2ppp/5n2/3Ppb2/2Bn4/6QN/PPPP1PPP/RNB1K2R b KQkq -,d4c2 e1d1 f8d6 g3g5 f5g6 f2f4 c2a1 f4e5 h7h6 g5g3,-871
r1bqk2r/pppp1ppp/5n2/2b1p1N1/2BnP3/3Q4/PPPP1PPP/RNB1K2R b KQkq -,d7d5 c2c3 d5c4 d3c4 c8e6 c4c5 d4c2 e1d1 c2a1 g5e6,-290
rn1qkbnr/pp2pppp/2p3b1/8/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,g6f5 f3h4 f5e6 c1f4 g8f6 h4f3 e6f5 f1d3 f5d3 d1d3,85
rnbqk2r/pp3ppp/4pn2/3p4/1b1P4/P1N2N2/1PPB1PPP/R2QKB1R b KQkq -,b4d6 c3b5 f6e4 b5d6 d8d6 d2e3 e8h8 f1d3 b7b6 d1e2,75
rnb1kb1r/pp2pppp/1qp2n2/3p4/2PP1B2/2N5/PP1QPPPP/R3KBNR b KQkq -,b8d7 g1f3 f6h5 c4d5 h5f4 d2f4 b6b2 f4c1 b2c1 a1c1,77
r1bqk2r/p1pp1ppp/2p2n2/2b3B1/2B1P3/8/PPP2PPP/RN1QK2R b KQkq -,c5f2 e1f1 h7h6 b1c3 h6g5 f1f2 d8e7 d1e2 e8h8 c4d3,-446
r1bqkbnr/pp1np1pp/2p2p2/3p4/3P1B2/3BPN2/PPP2PPP/RN1QK2R b KQkq -,g7g6 c2c4 e7e6 b1c3 f8h6 h2h4 h6f4 e3f4 d5c4 d3c4,207
r2qkb1r/ppp2ppp/2np1n2/4p3/3PP1b1/2PQ1N2/PP2BPPP/RNB1K2R b KQkq -,d6d5 f3e5 c6e5 d4e5 g4e2 d3e2 f6e4 b1d2 e4d2 c1d2,75
rnbq1rk1/ppp1bppp/5n2/3p4/3P4/2NQ1N2/PPP2PPP/R1B1KB1R b KQ -,b8c6 a2a3 f6e4 f1e2 c8f5 d3d1 e4c3 b2c3 e7d6 e1h1,-91
rnbqk2r/pp2ppbp/3p1np1/8/2BQP3/2N2N1P/PPP2PP1/R1B1K2R b KQkq -,b8c6 d4d1 e8h8 e1h1 a7a6 a2a4 c8d7 c1e3 c6a5 c4d3,32
rn1qkb1r/pp2nppp/4p3/2ppPb2/3P4/2NB1N2/PPP2PPP/R1BQ1RK1 b kq -,a7a6 d4c5 f5g4 c3a4 b8d7 d3e2 d8c7 b2b4 e7c6 a2a3,76
rnbqkbnr/1p2ppp1/p2p3p/2p5/2B1P3/P1N2N2/1PPP1PPP/R1BQK2R b KQkq -,g8f6 d2d4 b7b5 c4a2 e7e6 d1e2 c8b7 e1h1 c5d4 f3d4,37
rnbqkbnr/1pppppp1/8/p6p/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq -,e7e6 g1f3 b8c6 f1g2 f8e7 d2d4 d7d5 e1h1 g8f6 c1g5,133
rnbqkbnr/pp2pppp/8/3p4/4P3/5N2/PP1P1PPP/RNBQKB1R b KQkq -,d5e4 f3g5 b8c6 g5e4 g8f6 d2d3 c8f5 b1c3 e7e6 c1e3,-120
rnb1kb1r/pppp2p1/5q1p/8/8/2N5/PPP1PPPP/R2QKBNR b KQkq -,b8c6 e2e4 f8b4 d1f3 f6f3 g1f3 d7d6 f3d2 b4c3 b2c3,129
rnbqkbnr/pp2pppp/8/3p4/8/P1N5/1P1PPPPP/R1BQKBNR b KQkq -,d5d4 c3e4 b8c6 e2e3 g7g6 g1f3 f8g7 f1b5 d4e3 f2e3,-91
r1bqk1nr/bppp1ppp/p1n5/4p1N1/2BPP3/2P5/PP3PPP/RNBQK2R b KQkq -,d7d6 g5f7 d8h4 e1h1 g8f6 c1g5 h4e4 f7h8 e4g4 d1g4,551
r1bk3r/ppp2ppp/2p2n2/8/4P3/2N5/PPP2PPP/R1B2RK1 b - -,h8e8 c1g5 c8d7 a1d1 d8c8 g5f6 g7f6 f2f3 b7b5 g1f2,185
rn1qkbnr/pp1bpp1p/3p2p1/2p5/2B1PP2/5N2/PPPP2PP/RNBQK2R b KQkq -,b7b5 c4e2 f8g7 e1h1 g8f6 d2d3 b8c6 a2a4 b5b4 b1d2,-40
r3kb1r/p2bpp2/2pp3p/6p1/3NP1nB/2N5/PqPQ1PPP/1R3RK1 b kq -,g4h2 b1b2 h2f1 g1f1 g5h4 b2b7 f8g7 f1g1 h8g8 c3e2,685
rnb1k1nr/pp1pppbp/6p1/q7/4P3/2P1BN2/PP1N1PPP/R2QKB1R b KQkq -,a5d8 h2h4 h7h5 e3d4 g7d4 c3d4 g8f6 f1d3 d7d5 e4e5,96
r2qkb1r/ppp1pppp/2n5/3p4/3PnB2/3BPN2/PPP2PPP/R2QK2R b KQkq -,a7a6 c2c4 e7e6 e1h1 e4f6 c4d5 f6d5 f4g3 h7h5 d1b3,175
r3kb1r/p2bpp2/2pp3p/6p1/3NP1nB/qRN5/P1PQ1PPP/5RK1 b kq -,g4h2 b3a3 h2f1 g1f1 g5h4 f1g1 f8g7 d4f5 d7f5 e4f5,669
r2qk1nr/ppp1ppbp/2np2p1/8/4P1b1/2NP1N2/PPPBBPPP/R2QK2R b KQkq -,g4f3 e2f3 c6d4 g2g3 d4f3 d1f3 g8f6 e1a1 c7c6 c1b1,33
rnbqkb1r/ppp3pp/8/4pp2/3p4/3P2P1/PPP1PPBP/R1BQK1NR b KQkq -,f8e7 c2c3 c7c5 d1b3 b8c6 f2f4 e5f4 g2c6 b7c6 c1f4,38
rnbqkbnr/pp3ppp/3p4/2p1p3/2B1P3/2N2P2/PPPP2PP/R1BQK1NR b KQkq -,c8e6 d2d3 g8f6 g1e2 d6d5 e4d5 f6d5 c3d5 e6d5 e1h1,18
rn1qkbnr/pbpppppp/1p6/8/8/1P1PP3/P1P2PPP/RNBQKBNR b KQkq -,c7c5 g1f3 g8f6 g2g3 g7g6 c1b2 f8g7 f1g2 e8h8 c2c4,-20
rn1qkb1r/pp2pppp/5n2/3p1b2/3P4/3B1N2/PPP2PPP/RNBQK2R b KQkq -,f5d3 d1d3 e7e6 c1g5 f8e7 b1d2 d8b6 e1h1 e8h8 a1b1,-24
r2qkb1r/pppn1ppp/3p1n2/4p3/3PP1b1/2N1BN2/PPP1BPPP/R2QK2R b KQkq -,g4f3 g2f3 c7c6 d1d2 f8e7 f3f4 d8c7 e1a1 b7b5 f4e5,144
rnbq1rk1/ppp1bppp/4pn2/3p4/5P2/1P1PPN2/PBP3PP/RN1QKB1R b KQ -,c7c5 g2g3 b8c6 f1h3 b7b5 b1d2 d8b6 e1h1 c5c4 d1e2,-102
3B2k1/6p1/3b4/1p1p3q/3P4/2P2NP1/1P4KP/R7 b - -,h5e8 a1a8 d6e7 d8e7 e8a8 g3g4 a8e8 e7a3 e8e2 g2g3,-117
rnbqk1nr/pp1p1ppp/2p5/2b1p3/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq -,e5e4 f3e1 d7d5 c2c4 d5c4 g2e4 h7h5 e4g2 h5h4 e1f3,19
r2qkbnr/1p1b1ppp/p1B1p3/2ppP3/8/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,g8e7 c6d7 d8d7 d2d4 c5d4 f3d4 e7c6 d4c6 d7c6 c3e2,471
rnbqk2r/pp2p1bp/2p2np1/3p2B1/3P4/2N2N2/PPP2PPP/R2QKB1R b KQkq -,d8c7 d1d2 e8h8 f1d3 c8g4 g5f4 c7d8 f3e5 b8d7 h2h3,47
r1bqkbnr/pp2ppp1/2n4p/3p4/3P4/2PB3P/PP3PP1/RNBQK1NR b KQkq -,d8b6 g1f3 e7e6 e1h1 f8d6 f1e1 g8e7 b2b3 e8h8 c1a3,68
r1bqkb1r/ppp2ppp/2n5/3np3/3P4/5NP1/PPP2PBP/RNBQK2R b KQkq -,c8g4 d4e5 d5b4 c1d2 c6e5 e1h1 d8f6 d2f4 g4f3 g2f3,-71
