1k2Q3/6p1/p2r4/1pq4P/4pp2/P7/1PP3B1/1K6 b - -,c5c8 e8e5 c8c7 b1a2 d6d1 e5e8 d1d8 e8e4 c7c4 e4c4,-499
rnbqk1nr/ppp2ppp/8/4N3/2BPpp2/2P5/P1P3PP/R1BQ1RK1 b kq -,d8e7 c4f7 e8d8 f7b3 c8e6 d4d5 e6d7 c1f4 g8h6 e5c4,482
1kq5/6p1/p2r4/1p2Q2P/4pp2/P7/1PP3B1/1K6 b - -,c8c7 b1a2 d6d8 e5e4 c7c4 e4c4 b5c4 g2f1 f4f3 f1c4,-513
1k1N1r2/p2n2pp/1bR5/4P2q/6b1/1Q1p2P1/PP1B1P1P/4R1K1 b - -,f8f2 c6b6 a7b6 g1f2 h5h2 f2e3 h2g3 e3d4 g3h4 d8c6,251
4Q3/5pkp/5bp1/p7/3r1q2/1P5P/6P1/4R2K b - -,d4d2 e8e3 d2d1 e3e2 d1e1 e2e1 f6e5 h1g1 f4h2 g1f1,-960
r1bq1rk1/ppppbpp1/2n2n1p/4p3/4P2B/3P1N1P/PPPN1PP1/R2QKB1R b KQ -,d7d5 c2c3 d8d6 h4g3 d5e4 d2e4 d6d5 d1b3 f8d8 b3d5,-32
r3r1k1/1p3pp1/p6p/3Q1n2/8/4B2P/1P3PP1/R5K1 b - -,f5h4 d5b7 a8b8 b7a6 h4f5 e3f4 b8b2 a6c6 e8e6 c6c5,460
rn1qk1nr/ppp3pp/4p3/4N2Q/3Ppp2/2P5/P1P3PP/R1B2RK1 b kq -,g7g6 e5g6 g8f6 h5h3 h7g6 h3h8 e8d7 h8g7 d8e7 g7g6,Mate
3q1r1k/1R1b1p1p/p3pP2/3p4/2rB1b2/1R1Q4/P1PN2PP/6K1 b - -,d7b5 b3b5 a6b5 d2c4 d5c4 d3e4 e6e5 d4c3 d8d1 g1f2,49
rn1qk1nr/ppp4p/4p1N1/7Q/3Ppp2/2P5/P1P3PP/R1B2RK1 b kq -,d8d5 g6e5 e8d8 c1f4 g8e7 c3c4 d5d4 g1h1 d8c8 h5f7,573
2r1rk2/5ppB/p3b3/1p2PP1Q/nP1q4/P2p2N1/6PP/R4R1K b - -,e6c4 e5e6 f8e7 h5f7 e7d8 h7g6 a4c3 f7e8 d8c7 e8d7,560
