1R1qr1k1/p2b1pp1/2n1p2p/2ppP3/5B2/2PB4/P4PPP/3QR1K1 b - -,d8h4 f4g3 h4e7 b8b7 e8d8 d3b1 d5d4 c3c4 g7g6 d1d2,498
1rbq1rk1/4bppp/p2p1n2/n1pPp3/PpP1P3/5N2/1PBN1PPP/R1BQ1RK1 b - -,f6e8 b2b3 g7g6 f3e1 e8g7 e1d3 g7h5 g2g3 c8h3 f1e1,58
r2qk1nr/pppnbppp/2b1p3/6N1/3P4/3B1N2/PPP2PPP/R1BQ1RK1 b kq -,a7a6 c2c4 c6f3 g5f3 g8f6 c4c5 e8h8 b2b4 f6d5 a2a3,103
8/6p1/R1k4p/7B/p7/8/q1P3P1/2K5 b - -,c6b7 h5e2 a4a3 c1d2 a2b2 e2c4 b2d4 c4d3 d4b4 d2e2,-584
rnb1kb1r/pppp1ppp/8/4N3/1q1P4/2N5/PP2QPPP/R1B1KB1R b KQkq -,f8e7 a2a3 b4d4 c1g5 e8h8 e5f3 d4b6 g5e7 f8e8 e1a1,900
3qr3/p4kp1/1p2pb2/nP1b4/3P4/P5NR/5PPP/R5K1 b - -,d5b7 g3f1 f6d4 a1e1 d8g5 h3g3 g5b5 f1e3 b5c5 e3g4,-1309
8/8/8/8/4pk2/r4p2/8/R2K4 b - -,d5b7 g3f1 f6d4 a1e1 d8g5 h3g3 g5b5 f1e3 b5c5 e3g4,Mate
r1bq1rk1/pppp1ppp/1bn4B/4P3/2BP4/5N1P/PP3PP1/RN1Q1RK1 b - -,g7h6 d4d5 c6e7 d5d6 c7d6 e5d6 e7c6 b1c3 d8f6 f1e1,356
rn1qkb1r/ppp1pppp/5n2/3p4/3P1Bb1/3BPN1P/PPP2PP1/RN1QK2R b KQkq -,g4f3 d1f3 c7c5 b1d2 e7e6 g2g4 b8c6 g4g5 f6d7 c2c3,64
8/8/2N1k3/8/1Q6/4K3/8/8 b - -,g4f3 d1f3 c7c5 b1d2 e7e6 g2g4 b8c6 g4g5 f6d7 c2c3,Mate
r2qk2r/pppnbppp/4pn2/8/3P4/3B1N2/PPP1QPPP/R1B2RK1 b kq -,a7a5 a2a4 e8h8 f1d1 f8e8 c1f4 e7d6 f3e5 f6d5 f4g3,117
rqb1kb1r/1p3ppp/p2pp3/4n3/2BN1Bn1/5N1P/PP3PP1/R2QR1K1 b kq -,g4e3 e1e3 e5c4 e3e1 b7b5 b2b3 c4b6 d4f5 c8b7 f5d6,165
r1bq1rk1/pp1nb1pp/2p1p3/3p1pBn/2PP4/5NPN/PPQ1PPBP/R4RK1 b - -,a7a5 g5e7 d8e7 e2e3 h5f6 h3f4 f6e4 f4d3 d7f6 a2a3,82
r1bqk1nr/ppp2ppp/2n5/4P3/1bPp4/1Q3N2/PP1NPPPP/R1B1KB1R b KQkq -,a7a5 a2a3 a5a4 b3d1 b4a5 g2g3 c8f5 f1g2 g8e7 e1h1,36
B7/p5p1/4k3/2PNppp1/6nq/4B3/P1P1KPPr/R2R4 b - -,h4h5 d5c3 g4f6 a8f3 g5g4 d1d6 e6f7 f3d5 f6d5 c3d5,336
rnbqkb1r/pp2nppp/2p1p3/3pP3/3P1P2/2NB1N2/PPP3PP/R1BQK2R b KQkq -,b7b6 c3e2 h7h5 c1e3 e7f5 e3f2 g7g6 c2c3 c8a6 d3f5,98
B7/p5p1/4k3/2P1p1p1/5pnq/2N1B3/P1P1KPPr/R2R4 b - -,g4e3 d1d6 e6e7 f2e3 h4g4 e2d3 g4c8 a8d5 c8c5 d6e6,287
5rk1/p1p2rpp/1p1pq3/3Qpn2/1PP2p2/BP4P1/P3PPKP/3R1R2 b - -,e6g6 c4c5 h7h5 c5d6 c7d6 a3c1 h5h4 f1g1 f4g3 h2g3,-450
rn1qkb1r/ppp1ppp1/5n1p/3p1b2/3P4/1P1BPN2/P1P2PPP/RNBQK2R b KQkq -,f5d3 d1d3 c7c6 c1a3 b8d7 e1h1 e7e6 a3f8 d7f8 c2c4,29
r2qk2r/ppp1ppbp/2n2np1/3p4/3P2b1/1P1BPN2/PBP2PPP/RN1Q1RK1 b kq -,a7a6 d3e2 g4f3 e2f3 e7e6 c2c4 e8h8 b1d2 f8e8 d1c2,64
8/k1KN4/3B4/8/8/8/8/8 b - -,a7a6 d7b6 a6a7 d6b4 a7a6 c7c6 a6a7 b6d7 a7a8 c6c7,212
r2qkb1r/pppnpppp/3p1n2/8/3PP1b1/3B1N2/PPPN1PPP/R1BQK2R b KQkq -,a7a6 h2h3 g4h5 d1e2 e7e5 g2g4 h5g6 b2b3 e5d4 f3d4,59
rn1q1rk1/ppp1bppp/3ppn2/8/3PPBb1/2N2N2/PPP1BPPP/R2Q1RK1 b - -,a7a5 d4d5 b8a6 f4e3 e6d5 e4d5 a6c5 f1e1 g4d7 h2h3,48
8/6P1/6P1/5Pk1/6P1/6K1/p7/8 b - -,a2a1q g7g8q a1g1 g3f3 g1g4 f3e3 g4f4 e3d3 f4f5 d3d4,Mate
r1bqkb1r/ppp2ppp/2n2n2/3p4/3P1B2/P4N2/1PP2PPP/RN1QKB1R b KQkq -,c8g4 f1e2 f8d6 f4d6 d8d6 e1h1 e8h8 c2c3 a8e8 b1d2,-35
rn1q1rk1/1p2bppp/p2pbn2/4p3/4P3/1NNBBP2/PPPQ2PP/R3K2R b KQ -,b8d7 a2a4 d8c7 e1h1 a8d8 f1e1 d6d5 e4d5 f6d5 c3d5,-21
r2q1rk1/1p1nbppp/p2pbn2/4p3/4P3/1NNBBP2/PPPQ2PP/2KR3R b - -,b7b5 c1b1 d7b6 d2f2 a8b8 e3b6 d8b6 f2b6 b8b6 d1d2,-42
8/8/4rk2/8/3K4/8/8/8 b - -,d8b8 g2g4 b7b5 g4g5 f6h5 c1b1 b5b4 c3d5 e6d5 e4d5,Mate
3k4/Q7/8/8/8/8/8/7K b - -,d8b8 g2g4 b7b5 g4g5 f6h5 c1b1 b5b4 c3d5 e6d5 e4d5,Mate
5k2/2rq1prp/p3P2Q/1p2Rp2/8/1P3P2/1PPR2PP/1K6 b - -,f7e6 d2d7 c7d7 h6e6 g7e7 e5f5 e7f7 e6d7 f7f5 d7f5,Mate
rnbqkbnr/pp3ppp/2p5/4N3/2pP4/6P1/PP2PP1P/RNBQKB1R b KQkq -,g8f6 f1g2 f8b4 b1c3 f6d5 c1d2 d5b6 a2a3 b4a5 e5f3,140
8/p7/1p3k2/7p/P3Kpp1/2P5/1P4PP/8 b - -,g4g3 h2h4 f4f3 e4f3 f6f5 f3g3 f5e4 g3f2 e4f4 g2g3,652
r2qkb1r/pp2pppp/2n2n2/3p2B1/3P2b1/5NP1/PP2PPBP/RN1QK2R b KQkq -,f6e4 g5e3 e7e6 f3e5 c6e5 d4e5 d8a5 b1d2 f8c5 d1b3,-27
r2qkbnr/1p1n1ppp/2p1p3/p2pPb2/P2P4/2P2N2/1P2BPPP/RNBQK2R b KQkq -,f8e7 e1h1 f5g6 b1a3 g8h6 c1h6 g7h6 d1d2 h6h5 a3c2,63
rnbqkb1r/pp2pppp/2p5/4P3/3PpP2/4B3/PPP3PP/R2QKBNR b KQkq -,f7f5 g1e2 e7e6 c2c4 b8a6 e2c3 f8e7 d1d2 h7h5 e1a1,148
r1bqk2r/ppp1bppp/2n1pn2/4P3/8/5NP1/PPPN1P1P/R1BQKB1R b KQkq -,f6h5 f1g2 e8h8 e1h1 a7a5 c2c3 a5a4 d1e2 f7f5 b2b4,136
rnb1kb1r/pp2pppp/2p2n2/8/8/2N1BNP1/PPP3BP/2KR3R b kq -,c8g4 h2h3 g4f3 g2f3 b8d7 c1b1 e7e6 c3e4 f6e4 f3e4,-309
r1bqk1nr/ppp3pp/2nbpp2/3p4/3P4/2PBPN2/PP3PPP/RNBQ1RK1 b kq -,f6f5 c3c4 g8f6 b2b3 e8h8 b1c3 c8d7 c1b2 d7e8 c4d5,80
6k1/6p1/5P2/1p6/2pKN3/2P5/6q1/8 b - -,g7g6 d4e3 g8f8 e3d4 g2f3 d4d5 f8g8 d5d4 f3f4 d4d5,-871
r1bqkbnr/pp3ppp/2B1p3/2p5/3pPP2/2N5/PPPPQ1PP/R1B1K1NR b KQkq -,d8d7 c6d7 e8d7 c3b5 a7a6 b5a3 d7c7 g1f3 f7f6 c2c3,1207
rnbqkb1r/ppp3pp/4pn2/3p1p2/3PP3/2NB1P2/PPP3PP/R1BQK1NR b KQkq -,,0
4k3/2Q5/8/8/8/6K1/8/8 b - -,c7c5 e4e5 f6d7 f3f4 b8c6 g1f3 c5d4 c3e2 d8a5 c1d2,Mate
