r1bqkb1r/pp3ppp/2n1pn2/2pP4/2B5/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,c6e7 d5e6 c8e6 c4e6 f7e6 d1e2 e7c6 e2e6 f8e7 b1c3,396
r1bqkb1r/pp2pppp/2np1n2/2p5/P3P3/2N2N1P/1PPP1PP1/R1BQKB1R b KQkq -,e7e6 f1b5 c8d7 d2d4 c5d4 f3d4 f8e7 e1h1 e8h8 b5e2,-31
7k/4pK1p/7B/8/8/8/8/8 b - -,e7e5 b2b3 f8e7 f1c4 c8e6 d2d3 e8h8 c1b2 d6d5 e4d5,Mate
r1b1qrk1/pppn1pbp/3p2p1/4p3/2PP4/4PN1P/PP1QBPPB/R4RK1 b - -,a7a6 b2b4 e8e7 f1d1 h7h5 a1c1 g6g5 c4c5 g5g4 d4e5,42
r1bqkbnr/pp3ppp/2np4/8/3Pp3/1P6/PBPN1PPP/RN1QKB1R b KQkq -,c8e6 d2e4 d6d5 e4c5 f8c5 d4c5 g8f6 f1d3 d8a5 b1d2,109
5k2/4p2p/6PB/3K4/8/8/8/8 b - -,c8e6 d2e4 d6d5 e4c5 f8c5 d4c5 g8f6 f1d3 d8a5 b1d2,Mate
rnbqk2r/pp2bppp/2p1pn2/3p4/2PP4/1PNBP3/P4PPP/R1BQK1NR b KQkq -,b8d7 g1f3 b7b6 c1b2 e8h8 d1c2 c8b7 e1h1 d8c7 a1c1,61
rnbqk1nr/pppp1p1p/7b/8/2BPPp2/2N2Q2/PPP3PP/R1B1K2R b KQkq -,d8h4 g2g3 h4f6 e4e5 f6g7 c1f4 b8c6 e1h1 c6d4 f3e4,144
r1bqkb1r/1ppn1ppp/p3pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq -,f8e7 c4d5 e6d5 h2h3 c7c6 f1d3 f6e4 g5f4 d7f6 e1h1,90
r1b1kbnr/pp1p1ppp/2n1p3/2p5/3PP3/2P1BN2/Pq1N1PPP/R2QKB1R b KQkq -,c6a5 d4c5 b7b6 a1b1 b2c3 f3d4 f8c5 d4b5 c3e5 f2f4,160
6k1/6Pp/4K2B/4p3/8/8/8/8 b - -,c6a5 d4c5 b7b6 a1b1 b2c3 f3d4 f8c5 d4b5 c3e5 f2f4,Mate
1k6/4Q3/K7/8/2n5/8/8/8 b - -,c6a5 d4c5 b7b6 a1b1 b2c3 f3d4 f8c5 d4b5 c3e5 f2f4,Mate
6k1/6Pp/5K2/8/8/4B3/8/8 b - -,c6a5 d4c5 b7b6 a1b1 b2c3 f3d4 f8c5 d4b5 c3e5 f2f4,Mate
rnbqkb1r/pp3ppp/4pn2/3p4/2PQ1B2/4PN2/PP3PPP/RN2KB1R b KQkq -,b8c6 d4d3 f8b4 b1c3 d8a5 f1e2 d5c4 d3c4 b4c3 c4c3,-74
r2qkbnr/pbpp1ppp/1p6/4Q3/4P3/2N5/PPP2PPP/R1B1KB1R b KQkq -,d8e7 e5c7 b7e4 c1e3 e4c2 a1c1 c2e4 f1b5 e4g2 h1g1,448
r1bqkbnr/ppp1p1pp/2n5/3p1P2/6P1/5N2/PPPP1P1P/RNBQKB1R b KQkq -,h7h5 g4g5 c8f5 d2d4 e7e6 f3h4 g8e7 f1g2 f5e4 e1h1,-78
r1bq1rk1/1ppp1ppp/p1n2n2/2b1p3/2B1P3/2PP1N2/PP1N1PPP/R1BQ1RK1 b - -,d7d6 h2h3 c5a7 b2b4 c6e7 f1e1 e7g6 c4b3 c8e6 b3e6,50
r1bqkbnr/ppp1p1p1/2n5/3p1P1P/8/5N2/PPPP1P1P/RNBQKB1R b KQkq -,c8f5 d2d4 d8d6 f1b5 e8a8 b5c6 d6c6 f3e5 c6e6 b1c3,-73
r2qr1k1/1b1nppbp/pp3np1/3P2N1/2B5/Q1NP4/PP3PPP/R1B1R1K1 b - -,a8c8 c1e3 d7e5 e3d4 f6g4 d4e5 g4e5 a1d1 e5c4 d3c4,-60
rn1qkbnr/ppp1pppp/8/3p4/8/1P3P2/PBPPPP1P/RN1QKB1R b KQkq -,b8d7 e2e3 c7c6 c2c4 g8f6 d2d4 g7g6 b1d2 e7e6 f1e2,23
rnbqk2r/ppp1bppp/3ppn2/1B6/3PP3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,e8f8 e1h1 a7a6 b5d3 h7h5 a2a4 b8c6 h2h3 f6d7 c1e3,153
6k1/6Pp/3Kp2B/8/8/8/8/8 b - -,e8f8 e1h1 a7a6 b5d3 h7h5 a2a4 b8c6 h2h3 f6d7 c1e3,Mate
r1b1kbnr/ppppqppp/2n5/8/4P3/2PQ4/PP3PPP/RNB1KBNR b KQkq -,f7f5 d3b5 g8f6 c1g5 e7e4 b5e2 f8e7 b1d2 e4e2 g1e2,-241
rn1qk2r/ppp2ppp/3pbN2/2b1p3/2B1P3/5Q2/PPPP1PPP/R1B1K1NR b KQkq -,e8f8 c4e6 d8f6 e6c8 a7a5 f3f6 g7f6 c8b7 a8a7 b7c8,623
rnbqkbnr/pp3ppp/2p1p3/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq -,a7a5 d2d4 g8f6 c2c4 f8e7 d1c2 e8h8 f1d1 b7b6 f3e5,50
6k1/6Pp/5K1B/8/4p3/8/8/8 b - -,a7a5 d2d4 g8f6 c2c4 f8e7 d1c2 e8h8 f1d1 b7b6 f3e5,Mate
2q1n1k1/5pp1/pr2p2p/2p5/P4Q2/1P5P/2P1BPP1/3R2K1 b - -,f7f6 a4a5 b6c6 e2h5 f6f5 f4e5 c5c4 b3b4 c4c3 h5f3,274
2rqr1k1/1b1nppbp/pp1P1np1/6N1/2B5/Q1NP4/PP3PPP/R1B1R1K1 b - -,b7d5 d6e7 d8e7 a3e7 d5c4 d3c4 e8e7 e1e7 c8c4 g5f7,836
r1bqk2r/ppppnppp/2n5/2b3N1/2B1P3/2N5/PP3PPP/R1BQK2R b KQkq -,c5f2 e1f2 c6e5 c4b3 d7d5 e4d5 h7h6 g5f3 e5g4 f2g1,572
2q3k1/5pp1/p1r1pn1p/2p1Q3/P7/1P3B1P/2P2PP1/3R2K1 b - -,f6d5 c2c4 f7f6 e5g3 d5c3 d1d3 c8c7 d3c3 c7g3 f2g3,425
r1bqk1nr/pppp1pp1/2n4p/2b1p3/1PB1P3/2P2N2/P2P1PPP/RNBQK2R b KQkq -,c5f2 e1f2 g8f6 d2d3 e8h8 h1e1 a7a6 a2a4 d7d5 e4d5,371
rnbqkbnr/pp2ppp1/2p4p/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -,d5e4 f3e5 c8f5 b1c3 b8d7 e5c4 g8f6 d2d3 d7c5 d3d4,-246
rnbqk2r/ppp2ppp/5n2/2bP4/2B1p3/3P1N2/PPP1QPPP/RNB1K2R b KQkq -,d8e7 d3e4 e7e4 c1e3 c5e3 f2e3 e4e7 b1c3 b8d7 e3e4,155
r1bqk1nr/1p1p1ppp/p1n1p3/8/1bPNP3/2N1B3/PP3PPP/R2QKB1R b KQkq -,d8a5 a1c1 a5a2 d4c6 d7c6 f1e2 a2b2 e1h1 b4c3 c1c3,112
rnbqkbnr/pp2pNp1/2p4p/3p4/4P3/8/PPPP1PPP/RNBQKB1R b KQkq -,d8c7 f7h8 g8f6 f1e2 e7e5 e2h5 e8d8 e1h1 c8e6 d2d4,938
r1bqkb1r/pppp1ppp/2n2n2/8/2B1P3/2N2N2/PB3PPP/R2QK2R b KQkq -,d7d6 d1b3 d8d7 f3g5 c6d4 c4f7 e8d8 b3d1 h7h6 f7c4,-36
r1bqkb1r/1p2pppp/p1np1n2/2p5/2B1P3/2P2N2/PP1PQPPP/RNB2RK1 b kq -,d8b6 h2h3 e7e5 f3g5 c6d8 d2d3 h7h6 g5f3 f8e7 a2a4,54
rnbq1rk1/pppp1ppp/5n2/6N1/1bP1p3/2N3P1/PP1PPPBP/R1BQK2R b KQ -,f8e8 g5e4 f6e4 c3e4 c7c6 e4c3 d7d6 e1h1 h7h5 h2h3,235
r1bqk2r/pppp1ppp/2n2n2/4p3/4P3/P1P1BN2/1PP2PPP/R2QKB1R b KQkq -,d8e7 f1d3 d7d5 f3d2 c8e6 f2f3 d5e4 d2e4 f6d5 d1e2,31
6k1/1p5p/2pp2p1/p7/2PN3q/1P1PpKR1/P6P/1RQ5 b - -,h4d4 c1e3 d4e3 f3e3 b7b5 c4b5 c6b5 g3g5 a5a4 b3b4,1516
