r2qrb1k/pp1n3p/2p3QB/8/2BP2p1/2P5/PP2NP2/2K4R b - -,f8h6 g6h6 e8e7 e2f4 d7f8 h1h5 e7g7 h5f5 b7b5 c4b3,Mate
r1bq1rk1/pp3ppp/2n2b2/1B1p4/2pP4/2P1PN2/P2N1PPP/R2Q1RK1 b - -,a7a6 b5c6 b7c6 f1e1 d8a5 d1c2 c8e6 e3e4 a8b8 h2h3,-53
8/1p3p2/2pbk3/P1P5/5pP1/N2b1K2/P7/2B5 b - -,d6e7 f3f4 e7c5 c1b2 e6d5 f4f3 d3e4 f3e2 c5b4 a5a6,-457
5rk1/p1p2p2/3b3p/6p1/8/2P2BP1/Pr2P2P/1R3RK1 b - -,b2a2 g1g2 g8g7 b1a1 a2a1 f1a1 d6c5 g2f1 f7f5 a1d1,-83
r1k2r2/p1R5/4R2p/1p2Bp2/8/8/PPP3PP/2K5 b - -,b2d2 a2a4 d2a2 b1a1 a2a1 f1a1 f8e8 a1b1 e8e3 b1b7,Mate
4b2r/R3npk1/2pbp3/1pN2p2/1P1P1P1p/1N2PB2/6PP/7K b - -,g7h7 h1g1 h4h3 g2h3 h7g7 g1g2 e7g6 g2g3 d6e7 b3a5,161
6k1/p4pp1/3qp2p/8/3p1P2/1P2n2P/PN3QPK/8 b - -,e6e5 f2f3 e5f4 b2d3 g7g5 h2g1 g8g7 g1f2 d6g6 f3e2,-350
5rk1/1p1b3p/p3pqpQ/3p4/P4n2/2P1RP2/1PB2P1P/6RK b - -,f8e8 h2h4 e6e5 a4a5 f6e6 g1g4 e6f7 g4g5 f7e6 c2f5,50
8/1k4p1/5p1p/P3p2P/1K1pP3/5PP1/8/8 b - -,,0
r1bq1rk1/1p3ppp/p1B2b2/3p4/2pP4/2P1PN2/P2N1PPP/R2Q1RK1 b - -,b7c6 f1e1 d8a5 d1c2 c8e6 h2h3 g7g6 e3e4 a8b8 f3e5,-43
rn1qkb1r/p4ppp/1p2pn2/3p1b2/3PPB2/1QN2N2/PP3PPP/R3KB1R b KQkq -,d5e4 b3a4 b8d7 f3e5 a7a6 f1a6 f6d5 e5c6 d5c3 a4c4,199
r1bqkbnr/pp3p1p/2npp1p1/8/3NP3/2N1B1P1/PPP2PBP/R2QK2R b KQkq -,f8e7 e1h1 h7h5 h2h3 c6d4 d1d4 e6e5 d4d3 g8f6 a1d1,126
r1bq1rk1/1pp1bppp/2n2n2/3p4/p2P4/P1N2NP1/1PQ1PPBP/R1B2RK1 b - -,c8g4 c1e3 d8d7 f3e5 d7f5 c2f5 g4f5 c3d5 f6d5 g2d5,80
8/6p1/8/r7/p1k5/K7/8/R7 b - -,g7g5 a1e1 c4d4 e1d1 d4e3 d1g1 e3f3 a3b4 a5e5 b4a4,-518
8/p5kp/1p4p1/6q1/3Q1p2/1PP1pP1P/6P1/6K1 b - -,g5f6 d4e4 f6h4 c3c4 g7h6 g1h1 a7a5 e4e5 h4g5 e5d6,-248
4r1k1/5p1p/3p2p1/2QP4/1p2PP2/3p3P/1P4P1/r2NRK2 b - -,d6c5 d1f2 a1e1 f1e1 c5c4 e1d2 g8f8 d2e3 e8a8 f2d1,-475
