rnbqk1nr/1pp1bppp/p3p3/8/2BP1B2/2N1P3/PP3PPP/R2QK1NR b KQkq -,c7c5 d4c5 e7c5 d1d8 e8d8 a1d1 d8e7 c3a4 c5a7 f4d6,77
rn1qkb1r/ppp2ppp/4pn2/3p4/3P1P2/P2PP3/1P4PP/RNBQK1NR b KQkq -,c7c5 d4c5 f8c5 g1f3 b8c6 e1h1 e8h8 d1e2 a7a6 c1d2,-64
r2qkb1r/2p2ppp/p1n1pn2/1p1p1b2/3P1B2/1B2PN2/PPP2PPP/RN1Q1RK1 b kq -,c6a5 c2c3 c7c5 b3c2 f5c2 d1c2 c5d4 c3d4 a8c8 c2d3,-3
rnbqkb1r/2p2ppp/4pn2/P1pp4/3P4/5N2/P2BPPPP/RN1QKB1R b KQkq -,c5d4 f3d4 f6e4 b1c3 e4d2 d1d2 f8b4 a2a3 b4a5 d4b3,-286
r4rk1/pb1nqppp/1p1bpn2/2pP4/3P4/1PN1PN2/PBQ1BPPP/3R1RK1 b - -,a8c8 e3e4 c5d4 f3d4 d6b4 d5e6 d7e5 d4f5 e7e6 f2f3,132
rnbq1rk1/pp1n1ppp/4p3/2ppP3/2PP4/P1P2N2/2Q2PPP/R1B1KB1R b KQ -,h7h6 h2h4 c5d4 c3d4 b8c6 h1h3 d5c4 f1c4 d7b6 c4a2,64
r1b3k1/pp4pp/2n1p3/3pPpB1/q1pP4/P1P3Q1/2P1N1PP/R5K1 b - -,g7g6 e2f4 a4c2 g5f6 c2b2 a1f1 b2a3 h2h4 c8d7 h4h5,378
r2qkb1r/pppn1ppp/3p1n2/4p3/2P3b1/1P2PN2/PB1PBPPP/RN1QK2R b KQkq -,a7a6 b1c3 c7c6 d2d4 e5e4 f3d2 g4e2 d1e2 d6d5 f2f3,48
r1bqk2r/ppp1bppp/2np1n2/8/4PP2/2NQB3/PPP3PP/R3KBNR b KQkq -,a7a6 e1a1 e8h8 h2h3 c8e6 d3e2 b7b5 e2f3 c6a5 g2g4,82
7r/3R3p/3pBpk1/4p3/1P2P3/2P1q3/6PP/5Q1K b - -,e3f4 e6f5 g6h6 f1f4 e5f4 d7h7 h8h7 f5h7 h6h7 b4b5,Mate
r1bq1rk1/ppp2pbp/2np1np1/3Pp3/4P3/2NBBN2/PPP2PPP/R2Q1RK1 b - -,f6e4 d3e4 c6e7 e4d3 f7f5 d3c4 h7h6 a2a4 g6g5 a4a5,226
2k1r2r/pBp3pp/8/5b2/1n1q1P2/2P2Q2/PK3P1P/1N1R3R b - -,c8b8 d1d4 c7c5 d4d2 e8e7 c3b4 e7b7 f3d5 f5g6 b2a1,801
rnbqk2r/pp1p1ppp/2p5/4p3/1bP1P1n1/2NP4/PPQ2PPP/R1B1KBNR b KQkq -,b4c5 c3d1 d7d5 c4d5 c5b4 d1c3 c6d5 e4d5 d8d5 g1f3,-20
r1b2qk1/7p/p2p2B1/1p1P2Q1/3p4/8/PPP4P/1K1R4 b - -,c8f5 g6f5 f8g7 g5h4 g8h8 a2a3 a8e8 f5d3 g7e7 h4d4,631
r3kbnr/ppqb2pp/2n1p3/2ppP3/8/P1PB1N2/1P2QPPP/RNB1K2R b KQkq -,e8a8 b2b4 d7e8 e1h1 e8h5 b1d2 g8h6 f1e1 g7g5 h2h3,30
r1bqk2r/pppp1ppp/2n5/4P3/1bBp2n1/5N1P/PPP2PP1/RNBQ1RK1 b kq -,h7h5 c2c3 b4e7 c3d4 d7d5 e5d6 c7d6 b1c3 g4f6 d4d5,167
7k/8/8/6K1/6Q1/8/8/8 b - -,h7h5 c2c3 b4e7 c3d4 d7d5 e5d6 c7d6 b1c3 g4f6 d4d5,Mate
1q1b2k1/3r1pp1/1PRp3p/1Q2p3/1P2P3/5NPP/5P2/6K1 b - -,b8a8 g1g2 g8h7 f3d2 f7f5 b5d5 f5e4 d2c4 h7h8 b4b5,696
rnbq1rk1/pp1p1ppp/2p2n2/2b1p1B1/2P1P3/2NP3P/PP3PP1/R2QKBNR b KQ -,h7h6 g5h4 d7d5 c4d5 c6d5 a1c1 c5b4 e4d5 g7g5 h4g3,-87
