8/6Kp/6p1/5p2/5P1k/8/6P1/8 b - -,d7d5 f1e2 g8e7 e4d5 e6d5 d3d4 e8h8 e1h1 c8f5 f3h4,Mate
r1b1k2r/4bppp/p1np4/qp5R/2B1P3/4BN2/PP2QPPP/R5K1 b kq -,c8g4 h5d5 g4e6 c4b3 e8h8 a1c1 a8c8 d5d1 e6b3 a2b3,28
3r2k1/p2Rbppp/2p3q1/2p5/2P5/P3BN1P/5PP1/3Q2K1 b - -,d8a8 d7e7 h7h6 g1h2 g6f6 d1d7 a7a5 e7e8 a8e8 d7e8,659
r2r2k1/p3ppb1/2p3pp/1p2n3/4PB2/PP6/2P1NPPP/R4RK1 b - -,a7a5 a3a4 e5d7 a1a2 d7c5 f2f3 c5e6 f4e3 b5b4 f3f4,-75
r2qkbnr/ppp3pp/2np1p2/4p3/4P2B/3P1P1P/PPP2P2/RN1QKB1R b KQkq -,d8d7 c2c3 d6d5 h4g3 f6f5 e4d5 d7d5 b1d2 g8e7 b2b4,-65
2k5/3P1N2/6p1/4p1Pp/4P2P/2K2b2/8/8 b - -,c8d7 f7e5 d7d8 e5f3 d8c7 c3d4 c7b6 e4e5 b6c6 d4c4,Mate
8/6K1/4b3/3k4/5B2/7N/8/8 b - -,,0
2r3nr/pp2kNbp/1qn2pp1/4p3/2BpP1Q1/8/PPP3PP/R1B2RK1 b - -,c6a5 g4c8 g8h6 f7h8 a5c4 c8c4 g6g5 g1h1 g7h8 c1d2,626
rnb2rk1/pp2ppbp/6p1/2p1P3/q4P2/2BB1N2/PPPQ2PP/R3K2R b KQ -,b8c6 a2a3 c6d4 f3d4 c5d4 c3b4 f8e8 d2f2 a4c6 f2d4,80
rn2k1nr/1b1p1ppp/pq2p3/1pb5/3NP3/2N1B3/PPP2PPP/R2QRBK1 b kq -,g8e7 a2a4 e8h8 a4b5 a6b5 a1a8 b7a8 f1b5 d7d6 c3a4,188
3r2k1/1pQ2ppp/p2r4/3R4/q6P/4N3/PP3PP1/5K1R b - -,a4d4 d5d4 d6d4 g2g3 d4d7 c7e5 g7g6 f1g2 h7h5 h1c1,628
2kr1b1r/pppn1bp1/q1p2p1p/8/4PPP1/P1NPB2P/1PPNQ3/R3K2R b KQ -,g7g5 e2f2 g5f4 f2f4 h6h5 g4g5 h8g8 h1g1 f8d6 f4f3,78
7r/5qk1/3b1p2/2pPpPrp/1p2P3/pB4PR/Q2N4/1K5R b - -,g7f8 d2c4 f7d7 a2e2 d6b8 d5d6 d7c6 h1d1 h8h7 b1a2,402
rnbqk2r/pp2b1pp/2p1pn2/3p1p2/2PP1B2/1Q2PN1P/PP3PP1/RN2KB1R b KQkq -,e7d6 b1c3 e8h8 f4d6 d8d6 f1d3 d6e7 e1h1 f6e4 d3e4,89
r1bqk1nr/pp1n1ppp/4p3/1Qbp4/8/4P3/PPPN1PPP/R1B1KBNR b KQkq -,g8f6 g1f3 e8h8 c2c4 c5d6 b5b3 e6e5 b3c2 e5e4 f3d4,-99
3r4/3r1pk1/p5p1/1p4b1/1P4P1/PR3B2/3pKP2/3R4 b - -,d7c7 b3d3 c7e7 d3e3 g5e3 f2e3 e7d7 g4g5 d7d3 f3b7,-534
3r2k1/5p2/2bNp1qp/1pP5/5Q2/5P2/r5PP/2R3RK b - -,a2a4 d6e4 d8c8 f4d2 g6g7 h2h3 c6e4 f3e4 a4c4 c1c4,-3
rnbq2k1/1p3pb1/p2p2pp/2pP4/Pr6/6PP/RP1NPPB1/2BQR1K1 b - -,a6a5 b2b3 b7b5 a4b5 b8d7 e2e4 b4b5 f2f4 a5a4 a2a4,63
4k3/2R1P3/8/8/K2pr3/8/8/8 b - -,d4d3 a4b3 e4e1 c7c8 e8e7 c8c3 d3d2 c3e3 e1e3 b3c2,-9605
r3k2r/4bppp/p1np4/qp1R4/2B1P1b1/4BN2/PP2QPPP/R5K1 b kq -,e8h8 c4b3 g4e6 a1c1 a8c8 d5d1 e6b3 a2b3 a5c7 e2d2,32
3r2k1/5p2/2b1p1qp/1pP5/r3NQ2/5P2/6PP/2R3RK b - -,d8c8 f4d2 g6g7 h2h3 c6e4 f3e4 a4c4 c1c4 b5c4 d2d6,-2
2rqbrk1/pp2bppp/4pn2/n2pN3/3P1B2/2NBP3/PPQ2PPP/2R2RK1 b - -,a7a6 h2h3 e8b5 c2e2 b5d3 e5d3 e7d6 f4d6 d8d6 c3a4,35
8/8/6k1/5R2/6P1/6K1/8/3r4 b - -,,0
8/8/2p3k1/5B1p/3n4/K2n2N1/1p6/4r3 b - -,d1g1 g3f3 g1f1 f3e3 f1f5 g4f5 g6f5 e3f3 f5e5 f3g4,Mate
3qr1k1/4bp2/p4np1/1p1rp3/8/P2BB2Q/1PP3PP/4RR1K b - -,d8c8 h3h4 e5e4 d3e2 d5d6 e3g5 c8e6 e2d1 e6d7 h4g3,-15
R7/5pk1/8/P6p/6p1/6P1/r4P1P/4K3 b - -,g7h7 a5a6 h7g7 a6a7 g7h7 e1f1 h7g7 f1g2 a2a3 h2h3,3
rn2k1nr/pbpp1ppp/8/pQ2p3/1bP4q/2NP4/PP2PPPP/R3KBNR b KQkq -,b8c6 b5b7 a8b8 b7a6 g8e7 c4c5 b4c5 g1f3 h4f2 e1d1,-482
rn2r1k1/pp3pbp/3q2p1/2pP1b2/8/2N1B3/PP2BPPP/R2Q1RK1 b - -,,0
3r4/4rpk1/p5p1/1p4b1/1P4P1/PR3B2/3p1P2/3R1K2 b - -,e7c7 f1g2 c7c1 g2g3 d8d6 g3g2 d6d4 g2g3 d4f4 f3e2,-533
2B5/8/2p3k1/2n4p/3n4/1p4N1/1K6/4r3 b - -,e7d7 b3c3 d7d3 c3d3 d8d3 f1e2 d3a3 f3d5 g7f6 d1f1,Mate
r2q1rkb/5p2/2b4p/1ppn2pN/p2p3P/P2P2Q1/BPPB1PP1/R4RK1 b - -,c6b7 h4g5 g8h7 a1e1 a8a6 g3h3 d8c8 h3h4 c5c4 d3c4,228
r1b1r1k1/pp3pp1/1bp2n1p/4B3/8/1NN3P1/PP2PPBP/3R1RK1 b - -,f6g4 e5d4 g4e5 d4b6 a7b6 b3d4 e8d8 d4c2 c8e6 d1d8,442
r4rk1/2p1npp1/p2p1n1p/1p2p3/4P1N1/1BPP2R1/PP3PPP/R5K1 b - -,f6g4 g3g4 a6a5 a2a3 b5b4 f2f4 b4c3 b2c3 a8b8 b3a2,-40
4k3/2R1P3/8/8/4r3/1K1p4/8/8 b - -,e4e1 c7c8 e8e7 c8c7 e7e6 c7c6 e6e5 c6c5 e5e4 c5c4,-9605
3r1rk1/pp2ppbp/1n4p1/3NP3/8/1B1bR2P/PP3PP1/R1B3K1 b - -,d3b5 d5e7 g8h8 e3e4 b5d3 e4e1 d8d7 c1g5 d3c4 g5f6,51
8/8/2p3k1/2n4p/8/1p3nNB/1K6/4r3 b - -,d3b5 d5e7 g8h8 e3e4 b5d3 e4e1 d8d7 c1g5 d3c4 g5f6,Mate
r4rk1/pbpnqpp1/1p3n1p/3p4/3P3N/2NBP3/PPQ2PPP/3R1RK1 b - -,g7g6 h4f3 a8c8 h2h3 c7c5 d3b5 d7b8 f3e5 c5c4 f2f4,10
rnbqk2r/pp3ppp/2P2n2/4p3/1bP5/2N5/PP3PPP/R1BQKBNR b KQkq -,d8d1 e1d1 b8c6 g1f3 c8f5 c1e3 a8d8 d1c1 c6d4 f3h4,-173
r3r1k1/pp1n1pbp/3q2p1/2pP1b2/8/2N1B3/PP1QBPPP/R4RK1 b - -,,0
rn2kb1r/p2q1ppp/1pp2n2/4p3/1P6/P2PBBP1/2P1N2P/R2QK2R b KQkq -,f8e7 e2c3 d7e6 d1d2 e8h8 e1h1 b8d7 d2g2 a8c8 g1h1,-44
R7/5p1k/P7/7p/6p1/6P1/r4P1P/4K3 b - -,h7g6 a6a7 g6g7 e1f1 a2a3 f1g2 a3a2 h2h3 a2a1 h3g4,3
8/8/6k1/1R6/6P1/6K1/8/r7 b - -,,0
r2r2k1/4ppb1/2p3pp/1p2n3/p3P3/PP2B3/2P1NPPP/3R1RK1 b - -,d8d1 f1d1 a4b3 c2b3 a8a3 e2c1 a3a1 h2h3 g6g5 g1f1,-86
rnbq1rk1/pp2b2p/2p1p3/3p1p2/2PPn1p1/2N1B1P1/PP2PPBP/R1Q1NRK1 b - -,e4g5 e1d3 b8d7 c4d5 e6d5 b2b4 a7a6 a2a4 d7b6 e3g5,108
8/8/8/6r1/3P1R2/8/r6B/5k1K b - -,e4g5 e1d3 b8d7 c4d5 e6d5 b2b4 a7a6 a2a4 d7b6 e3g5,Mate
r1b3k1/pp3pp1/1bp2n1p/4r3/3N4/2N3P1/PP2PPBP/3R1RK1 b - -,c8g4 d4f3 e5e8 e2e3 g8f8 h2h3 g4e6 b2b3 a8d8 d1d8,-39
r4rk1/2p1npp1/p2p3p/1p2p3/4P1R1/1BPP4/PP3PPP/R5K1 b - -,a6a5 a2a3 b5b4 f2f4 b4c3 b2c3 a8b8 b3a2 g8h7 f4e5,-42
r4rk1/pbpnqpp1/1p5p/3p1N2/3Pn3/2NBP3/PPQ2PPP/3R1RK1 b - -,e7e6 f2f3 e4d6 f5d6 e6e3 c2f2 e3f2 g1f2 c7d6 c3b5,52
6k1/2b3p1/4p3/1p6/1P6/1pP2q2/5p2/1R3K2 b - -,e7e6 f2f3 e4d6 f5d6 e6e3 c2f2 e3f2 g1f2 c7d6 c3b5,Mate
1B6/6K1/4b3/3k4/5N2/8/8/8 b - -,d5d4 f4e6 d4c4 g7f6 c4b5 f6e5 b5a6 e5d5 a6b6 b8d6,329
4r3/r4pk1/nR1p1np1/N1pP4/2P5/2N1PpPp/5P1P/1R4K1 b - -,a6b4 a5b3 b4d3 b3d2 f6g4 d2e4 e8a8 b6d6 g4e5 e4d2,-426
r1b2brk/1pR5/pB3n2/1Q2nN1p/4PN2/8/PP3PPP/3R2K1 b - -,a6b5 f5e7 f8e7 c7e7 e5c6 b6d4 c6d4 d1d4 a8a2 f2f3,71
r2qkb1r/p4ppp/2b2n2/4p3/8/2N2P2/PPPP2PP/R1BQK1NR b KQkq -,f8c5 d2d3 e8h8 d1d2 d8b6 g1e2 a8e8 e2g3 f6d5 g3f5,-68
r3r1k1/1p1n1pbp/p2q2p1/2pP1b2/6P1/2N1B3/PP1QBP1P/R4RK1 b - -,,0
rr6/6pB/2bk1p2/1pR5/1P1P4/8/5PPP/5RK1 b - -,a8a4 f1b1 b8a8 c5c1 a4a2 c1d1 c6d5 h7d3 d5c4 d3e4,69
r4r1k/pR4pp/5q2/2pB1p1Q/2Pn4/P5P1/5P1P/5RK1 b - -,f5f4 d5e4 h7h6 b7d7 a8e8 h5g6 f6g6 e4g6 e8e6 g6b1,17
r4rk1/pp2ppbp/1n4p1/4P3/8/1BNbB2P/PP3PP1/R3R1K1 b - -,d3c4 e3b6 c4b3 b6c5 b3e6 c5e7 f8e8 e7d6 a7a6 a1d1,71
r1bq1rk1/1p2bppp/p1np1n2/4p3/4P3/1NN1BB2/PPP2PPP/R2Q1RK1 b - -,a6a5 f1e1 a5a4 b3d2 c8e6 c3d5 e6d5 e4d5 c6b4 d2c4,45
r5k1/pp3pp1/1bp2n1p/4r3/3N2b1/2N2BP1/PP2PP1P/3R1RK1 b - -,a8d8 d4c2 g4c8 d1d8 b6d8 e2e3 g8f8 c2d4 e5e8 f1d1,-32
r5k1/4ppb1/2p3pp/1p2n3/p3P3/PP2B3/2P1NPPP/3R2K1 b - -,a4b3 c2b3 a8a3 e2c1 e5g4 e3c5 a3a1 f2f3 g4e5 c5e7,-86
rnb1k2r/pp3ppp/2P2n2/4p3/1bP5/2N5/PP3PPP/R1BK1BNR b kq -,b8c6 g1f3 c8f5 c1e3 e8a8 d1c1 f6g4 f3d2 d8d7 f1e2,-176
8/8/8/6r1/3P1R2/8/r3k3/6BK b - -,a2a6 f4f2 e2e1 f2g2 g5h5 g2h2 h5f5 h2b2 a6g6 b2g2,-23
3qr1k1/4bp2/p4np1/1p1rp3/8/P2BB1RQ/1PP3PP/4R2K b - -,e5e4 d3e2 e7d6 g3g5 d6e5 h3h6 d5d6 c2c4 f6h7 g5g4,-89
4r1k1/1pq1r1p1/1p2pn1p/nQ6/8/2N2N1P/PP2RPP1/4R1K1 b - -,c7c6 b5d3 c6c5 a2a3 a5c6 c3e4 f6e4 e2e4 e8d8 d3e2,118
7r/5qk1/3b1p2/2pPpPr1/1p2P2P/pB5R/Q2N4/1K5R b - -,g5g2 h3h2 g2g3 d2c4 g7f8 c4d6 f7g7 d6c4 g7g4 a2f2,366
r1bqkb1r/1pp1pp2/p1n2n1p/3p2p1/3P1P2/2P1P2P/PP4PB/RN1QKBNR b KQkq -,c8f5 f1d3 e7e6 g1f3 f6e4 d1c2 g5g4 h3g4 f5g4 h2g1,-16
r4rk1/ppqbn1p1/4p1BP/2NpP3/1PnP1p2/P4P2/2Q2BP1/R3K2R b KQ -,e7g6 c2g6 d7c8 f2h4 c7f7 g6g7 f7g7 h6g7 g8g7 e1f2,653
r5k1/4ppb1/2p3pp/1p2n3/4P3/PP2B3/4NPPP/3R2K1 b - -,a8a3 e2c1 g6g5 g1f1 a3a8 h2h3 e7e6 d1d2 g8f8 g2g3,-90
3q3r/5kb1/p2p1n2/P2Pp1p1/1pNpPpP1/1P3P2/3B2K1/3QR3 b - -,d8b8 c4b6 g7f8 e1h1 h8h1 d1h1 b8c7 b6c4 f7g8 d2b4,39
r3r1k1/1p1n1pb1/p2q2pp/2pP4/4b1P1/2N1B3/PP1QBP1P/2RR2K1 b - -,,0
4Rnk1/6p1/p2N2P1/8/7P/5K2/1r6/8 b - -,b2b3 f3f4 b3b6 e8d8 a6a5 h4h5 b6b1 d6f5 b1f1 f4g4,142
6R1/3PQ3/p4rkp/qp6/n6P/8/PPP5/K7 b - -,b2b3 f3f4 b3b6 e8d8 a6a5 h4h5 b6b1 d6f5 b1f1 f4g4,Mate
5k2/pbr4R/8/1pr3P1/1BB5/1P3P2/6P1/2K5 b - -,b5c4 h7c7 f8g8 b4c5 b7d5 b3b4 d5f7 c5d4 a7a6 g5g6,777
rnbq2k1/1p3pb1/p2p2pp/3P4/Prp5/6PP/RPQNPPB1/2B1R1K1 b - -,d8a5 b2b3 b8c6 d5c6 c4b3 d2b3 b4b3 c1d2 a5b6 d2e3,95
4r1k1/pp3pp1/1bp4p/4r3/3N2n1/2N3PP/PP2PP2/3R1RK1 b - -,g4f2 g1f2 b6a5 d1d2 e5e3 d4f5 a5c3 b2c3 e3c3 f1d1,257
r3r1k1/1p1n1pb1/p2q3p/2pP2p1/4N1P1/4B3/PP1QBP1P/2RR2K1 b - -,,0
3r4/5pk1/p5p1/1p6/1P3bP1/P1R2B2/3p1PK1/3Rr3 b - -,d8h8 f3e2 e1e2 g2f3 e2e1 f3f4 e1d1 c3d3 d1a1 d3d2,-757
7r/5qk1/3b1p2/2pPpP2/1p2P2P/pB6/Q2N2rR/1K5R b - -,g2g3 d2c4 h8g8 c4d6 f7d7 d6c4 g7h7 b1a1 g3g1 b3d1,419
r1b1k1nr/pp3ppp/1n2p3/2bp4/8/2P1P3/PP1N1PPP/R1B1KBNR b KQkq -,c8d7 g1f3 f7f6 f3d4 e8f7 f1e2 g8e7 d2b3 h8c8 d4b5,-36
R1Q5/3k4/1K2p3/7r/8/8/8/7q b - -,c8d7 g1f3 f7f6 f3d4 e8f7 f1e2 g8e7 d2b3 h8c8 d4b5,Mate
5k2/pb5r/8/1pB3P1/2B5/1P3P2/6P1/2K5 b - -,h7e7 c4b5 b7c8 c1d2 f8f7 c5e7 f7e7 b5c4 e7f8 d2e3,635
4r3/r4pk1/1RNp1np1/2pP4/1nP5/2N1PpPp/5P1P/1R4K1 b - -,f6d7 b6b4 c5b4 c6a7 b4c3 b1c1 e8a8 a7b5 c3c2 b5d4,-442
8/p6r/4p3/4P3/R4p1P/4k2K/8/8 b - -,h7g7 h4h5 f4f3 a4a3 e3f4 a3a4 f4e5 a4a5 e5f4 a5a4,-421
r2qkb1r/ppp1ppp1/2n2n1p/3P4/2p4B/2N2P2/PP3PPP/R2QKB1R b KQkq -,c6a5 h4f6 e7f6 d1a4 c7c6 e1a1 f8d6 d5c6 a5c6 f1c4,65
R7/5p2/P5k1/7p/6p1/6P1/r4P1P/3K4 b - -,g6f5 a6a7 f5f6 a8h8 a2a7 h8h5 a7a1 d1e2 f6g6 h5h8,6
7r/2p1kp2/2Q1pn2/PB2q1pp/2Pb4/2N5/1P3PPP/5RK1 b - -,f6g4 g2g3 h5h4 c3e2 d4f2 f1f2 g4f2 c6d7 e7f6 d7d4,-226
4R3/3PQ1k1/p4r1p/qp6/n6P/8/PPP5/K7 b - -,h8d8 c6f3 f6g4 f3g3 d8a8 a5a6 c7c6 b5c6 a8a6 g3e5,Mate
r4rk1/1bq1ppbp/p1n2np1/1p2P3/2p2P2/N1P1BNP1/PPQ3BP/3R1RK1 b - -,f6g4 c2e2 g4e3 e2e3 f8d8 a3c2 e7e6 f3g5 g7f8 g5e4,10
3r2k1/1pp2ppp/p1nr4/3P4/q6P/1P2N3/P2Q1PP1/3R1K1R b - -,a4b5 f1g1 c6e7 d2c3 c7c6 c3e5 g8f8 h1h3 c6d5 h3g3,-55
r2qkb1r/p4ppp/1pn1bn2/2pp2B1/3P4/2N2NP1/PP2PPBP/R2Q1RK1 b kq -,h7h6 g5f6 g7f6 d4c5 b6c5 d1a4 d8d7 f1d1 e8a8 c3b5,244
r1bqkb1r/ppp2ppp/2np4/3Pp3/2P1n3/4BN2/PP2PPPP/RN1QKB1R b KQkq -,f8e7 d5c6 f7f5 c6b7 c8b7 d1a4 c7c6 c4c5 e8h8 b1d2,293
8/2p2ppp/1b3k2/p7/P1Br4/6P1/2R2PKP/8 b - -,g7g5 c2c3 f6g7 c4b5 d4b4 c3c2 g7f6 c2e2 h7h5 b5c6,-69
7q/1p6/p4brk/2pPpQ2/4P1P1/3P3P/PP5K/5R2 b - -,,0
2r3k1/5ppp/2p1p3/3p4/3P4/R2NP3/4qPPP/2R3K1 b - -,c8b8 a3c3 g7g5 h2h4 h7h6 h4g5 h6g5 d3e5 b8b2 c1f1,-143
2rqbrk1/pp1nbpp1/4p2p/n2pN3/3PPB2/2NB4/PP2QPPP/2R2RK1 b - -,d7e5 d4e5 d5d4 c3d5 c8c1 d5e7 d8e7 f1c1 a5c6 a2a3,43
r2qkb1r/pp2pp1p/4b1p1/3B4/3P4/1QN5/PP2KPPP/R1R5 b kq -,a8b8 d5e6 f7e6 b3e6 f8h6 c1c2 b8c8 e2f1 c8c6 e6b3,162
2rr2k1/pp2p1bp/2n1p1p1/q7/3PP3/3RBP2/P2QNKPP/7R b - -,a5b6 h1c1 b6a6 h2h4 g7f6 d3c3 f6h4 g2g3 h4f6 d2b2,90
rn1qkbnr/pp2pppp/8/2p1P3/3p2b1/3P1N2/PPP1NPPP/R1BQKB1R b KQkq -,b8c6 e2g3 c6e5 f1e2 g4f3 e2f3 d8d7 e1h1 e7e6 f1e1,-96
6k1/6p1/4p3/1p2b3/1PP5/1p3q2/5p2/1R3K2 b - -,b8c6 e2g3 c6e5 f1e2 g4f3 e2f3 d8d7 e1h1 e7e6 f1e1,Mate
4k1Q1/3r3p/7q/8/8/6BP/5PPK/8 b - -,h6f8 g8e6 f8e7 e6c4 e7f6 f2f3 f6g6 g3e1 g6d6 h2h1,17
r1bR1brk/1pR5/1B3n2/1p2nN1p/4PN2/8/PP3PPP/6K1 b - -,f8b4 d8d1 c8f5 e4f5 a8d8 d1d8 g8d8 g2g3 d8d7 c7d7,15
r3r1k1/pp3ppp/3b4/3P1q2/3Bn1Q1/7P/PP1N1PP1/3R1RK1 b - -,f5g4 h3g4 e4d2 d1d2 f7f6 a2a3 e8e4 f2f3 e4d4 d2d4,67
r5k1/p3pp1p/npPpq1p1/8/PP2P3/4BP2/1Q4PP/3R2K1 b - -,e6c4 d1d4 c4e6 b4b5 a6c7 b2c2 f7f6 d4d1 g6g5 h2h3,175
4r1k1/1pq1r1p1/1p2pn1p/nQ2N3/8/2N5/PP2RPPP/4R1K1 b - -,a5c6 e5f3 g8h8 b5a4 e6e5 h2h3 e7d7 g1f1 d7e7 e2e3,84
1r6/6pB/2bk1p2/1pR5/rP1P4/8/5PPP/1R4K1 b - -,b8a8 f2f3 a4a1 b1a1 a8a1 g1f2 a1a4 f2e3 a4b4 h7e4,50
r4rk1/1bq1ppbp/p1n3p1/1p2P3/2p2Pn1/N1P1BNP1/PP2Q1BP/3R1RK1 b - -,g4e3 e2e3 f8d8 a3c2 e7e6 f3g5 g7f8 g5e4 f8e7 e4f6,6
2kr2r1/ppp2pPp/4b3/8/8/8/P5PP/4R1K1 b - -,a7a6 h2h4 g8g7 e1e4 c8b8 h4h5 b8a8 a2a4 g7g8 h5h6,-905
3r2k1/pp3pp1/1bp4p/3r4/8/2N1P1PP/PP3P2/3R1RK1 b - -,d5d2 d1b1 d2c2 f1c1 d8d2 c1c2 d2c2 c3e4 b6c7 g3g4,-50
r2qkb1r/pp2pp1p/6p1/3N4/3P4/1Q6/PP2KPPP/R1R5 b kq -,d8d7 d5c7 e8d8 c7a8 b7b5 c1c7 d7f5 a1c1 f8h6 c7c8,609
rnb1k2r/pp1pqppp/2p2n2/2b1p1B1/4P3/3P1N1P/PPP1BPP1/RN1QK2R b KQkq -,h7h6 g5f6 e7f6 c2c3 c5b6 d3d4 d7d6 a2a4 e8h8 a4a5,-14
3r2k1/1pp2ppp/p1nr4/1q1P4/7P/1P2N3/P2Q1PP1/3R2KR b - -,c6e7 d2c3 b5d7 g1h2 e7f5 e3f5 d7f5 h1f1 d8d7 d1e1,-54
r4rk1/pbpn1pp1/1p2q2p/3p4/3P4/2NBP1P1/PPQ2PP1/3R1RK1 b - -,e6e7 d1c1 d7f6 c3b1 c7c6 f1e1 f8c8 b1d2 a7a5 d3f5,22
r2r2k1/4ppb1/2p3pp/1p2n3/pP2PB2/P7/2P1NPPP/3R1RK1 b - -,e5c4 f4c1 g7b2 c1b2 c4b2 d1d4 e7e5 d4d8 a8d8 e2c3,-203
3r1k2/pp2ppbp/6p1/4P1B1/1n6/1B5P/PP3PP1/4R1K1 b - -,b4c6 g5f4 c6d4 e1e3 b7b5 g2g3 a7a5 a2a4 b5a4 b3a4,-22
r3kbnr/pp2pppp/1qN5/1B1N4/3P4/8/PPP2PPP/R1BbK2R b KQkq -,b6b5 d5c7 e8d7 c7b5 b7c6 e1d1 c6b5 a2a4 b5b4 c2c4,-325
r2q1rk1/2nb1ppp/3bp3/1p6/1PpPQ3/P4N1P/2BB1PP1/R4RK1 b - -,f7f5 e4e2 c7d5 f1c1 h7h6 c2d1 g8h7 f3e5 d7e8 e2e1,-98
1r2r1k1/p3q2p/3p2p1/2p5/2b1BR1P/QPP1P1P1/P7/4R1K1 b - -,c4f7 e1f1 e8f8 c3c4 f7e6 a3a5 b8e8 e4g2 f8f5 a5c3,149
1krr4/p1p5/1pN5/8/8/8/PP1q4/1K5B b - -,c4f7 e1f1 e8f8 c3c4 f7e6 a3a5 b8e8 e4g2 f8f5 a5c3,Mate
2rqbrk1/pp2bpp1/4p2p/n3B3/3PQ3/2NB4/PP3PPP/2R2RK1 b - -,,0
r1bq1rk1/pp1pbppp/2n2n2/2p5/2BpPB2/5N2/PPPN1PPP/R2QR1K1 b - -,d7d5 e4d5 f6d5 f4g3 c8f5 f3e5 c6a5 c4b5 a7a6 b5e2,-121
r4rk1/1bq1ppbp/p1n3p1/1p2P3/2p2P2/N1P1QNP1/PP4BP/3R1RK1 b - -,f8d8 a3c2 e7e6 f3g5 g7f8 g5e4 f8e7 e4f6 g8g7 g3g4,13
1r5b/7k/4b2r/8/1p3RN1/1P1P4/2K2R2/2N5 b - -,h6h3 g4f6 h7h6 c1e2 b8a8 f4b4 a8a2 c2c3 a2e2 f2e2,16
1r2r1k1/p3q2p/Q2p2p1/2p5/4BR1P/1PP1P1P1/P7/4R1K1 b - -,g8h8 a6d3 h8g7 c3c4 a7a5 e4d5 e7e5 g1h2 h7h5 f4f7,551
r2qkbnr/p4ppp/2b5/4N3/4p3/8/PPPP1PPP/RNBQK2R b KQkq -,a8c8 d2d4 f8d6 b1c3 g8f6 c1g5 c6b7 e5g4 c8c3 g5f6,201
rn3rk1/3pppbp/q4np1/2pP4/8/2N1PNP1/PP1BQP1P/R4K1R b - -,e7e6 d5e6 a6e6 f1g2 f6e4 h1d1 d7d5 a2a4 b8c6 c3b5,6
8/p4pkP/4p3/4P3/1p1P1P2/2nBP3/P7/6K1 b - -,g7h8 f4f5 a7a5 f5e6 f7e6 d3c4 h8h7 c4e6 a5a4 d4d5,188
7R/5p2/P4k2/7p/6p1/6P1/r4P1P/3K4 b - -,f6g7 h8h5 g7g6 h5h4 g6g5 h4h8 a2a6 h8g8 g5f5 d1e2,9
1r4k1/1p3ppp/p1b1pb2/B7/2N1n3/1P2PB2/P4PPP/2R3K1 b - -,f6h4 g2g3 h4d8 a5d8 b8d8 c4e5 c6d5 c1c7 f7f6 e5d7,67
rn1qk1nr/ppp2ppp/3bp1b1/3p4/3P4/2PBPN2/PPQ2PPP/RNB1K2R b KQkq -,b8d7 c3c4 d5c4 c2c4 g8f6 d3g6 h7g6 b1c3 c7c5 d4c5,-4
rnbq2k1/1p3pb1/p2p2pp/2pP4/P3r3/5NPP/1P1BPPB1/R2QR1K1 b - -,b7b6 d1c1 d8f8 d2c3 g7c3 b2c3 e4e8 f3d2 b8d7 f2f4,86
8/8/8/6r1/3P4/8/4kR2/r5BK b - -,e2d1 f2f1 d1c2 f1a1 c2d3 a1a3 d3e4 a3e3 e4f4 g1f2,386
5rnn/p4r1k/1pq2p2/5R1P/2pPP1N1/2B2Q2/2P3P1/1R4K1 b - -,f7g7 d4d5 c6c5 g1h1 c5c8 g4f6 g8f6 c3f6 f8f6 f5f6,605
r2qk1nr/pppn1ppp/3bp1b1/3p4/3P4/2PBPN2/PPQN1PPP/R1B1K2R b KQkq -,c7c5 d3g6 h7g6 e3e4 c5d4 e4d5 e6d5 f3d4 g8f6 d2f3,-10
r4rk1/1bpn1pp1/pp2q2p/3p4/3P4/3BP1P1/PPQ1NPP1/3R1RK1 b - -,e6d6 d3h7 g8h8 h7f5 d7f6 d1c1 c7c6 c2b3 a8b8 f5b1,41
r1bq1rk1/pp2bppp/2np1n2/2p5/2BpPB2/1N3N2/PPP2PPP/R2QR1K1 b - -,a7a5 e4e5 f6g4 e5d6 e7d6 f4d6 d8d6 c4b5 c8e6 b3d2,-130
r2q1rk1/pp1bbppp/8/P2p4/1BBP4/5N2/1P2QPPP/R2R2K1 b - -,d7b5 e2e7 d8e7 b4e7 b5c4 e7f8 a8f8 d1e1 c4b5 h2h4,546
r2qk2r/p3bppp/1pn1bn2/2pp2B1/3P4/2N2NPP/PP2PPB1/R2Q1RK1 b kq -,c5d4 f3d4 c6d4 d1d4 e8h8 f1d1 h7h6 g5f4 d8d7 g3g4,40
2rqbrk1/pp2b1p1/4p2p/n3Bp2/3P4/2NB4/PP2QPPP/2R2RK1 b - -,,0
r3kb1r/p2q1ppp/npp2n2/4p3/1P6/P2PBBP1/2P1N2P/R2Q1RK1 b kq -,a8d8 e2c3 f8e7 c3e4 a6c7 e4f6 e7f6 f3e4 c7b5 d1f3,-18
8/2r2ppp/8/3pRp2/7P/1k4P1/3K1P2/8 b - -,b3c4 e5f5 c7a7 g3g4 d5d4 d2e2 a7a2 e2f3 f7f6 g4g5,-223
5k2/pb5R/8/1pr3P1/2B5/1P3P2/6P1/2K5 b - -,b5c4 h7b7 c4b3 c1b2 c5g5 g2g4 g5g6 b7b3 g6f6 b2c2,45
