8/4k3/5n2/1K2Q3/8/8/8/8 b - -,b7b6 a2a4 b5c4 a4a5 c4d5 f3h3 g8h7 a5b6 a7b6 a1a6,Mate
rnbqk2r/pp2bppp/3p1n2/2pPp3/2P1P3/2N5/PP2NPPP/R1BQKB1R b KQkq -,b8d7 e2g3 e8h8 f1d3 h7h6 e1h1 f8e8 g3f5 d7f8 d3c2,144
rnbqk2r/pp3ppp/4pn2/2pp4/1bPP4/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,b8d7 e1h1 e8h8 d1b3 b4c3 b3c3 b7b6 f1d1 c8b7 c4d5,70
r1bqk2r/ppp1npbp/2n3p1/3Pp3/8/3P1NP1/PPP2PBP/RNBQ1RK1 b kq -,c6b8 f1e1 c7c6 f3e5 c6d5 c2c3 e8h8 d3d4 f8e8 b1a3,220
8/8/1k2K3/8/8/2Q5/8/8 b - -,c6b8 f1e1 c7c6 f3e5 c6d5 c2c3 e8h8 d3d4 f8e8 b1a3,Mate
2r5/p4qpk/4p2p/1p1bPp1P/P2R4/2P4Q/3B1PP1/6K1 b - -,b5a4 d4a4 d5c6 a4a1 c6b5 d2e3 a7a6 e3d4 b5c4 a1a5,-137
8/8/8/1k1K4/8/2Q5/8/8 b - -,d5c4 h3h4 a7a6 a4a5 c4d5 h4h3 c8a8 g1h2 a8g8 f2f3,Mate
6k1/1b3ppp/pb2p3/1p2P3/1P2BPnP/P1r5/1B1rQR1P/R6K b - -,d5c4 h3h4 a7a6 a4a5 c4d5 h4h3 c8a8 g1h2 a8g8 f2f3,Mate
rnbqk2r/pppp1ppp/8/4P3/1bP3n1/2N5/PP1BPPPP/R2QKBNR b KQkq -,b8c6 e2e3 d7d6 e5d6 b4d6 c3b5 e8h8 f1e2 g4f6 g1f3,176
rnbqkb1r/ppp2ppp/2N5/2np4/8/3P4/PPP1QPPP/RNB1KB1R b KQkq -,c5e6 c6d8 e8d8 e2f3 c7c6 f3f7 f8c5 c1e3 c5e3 f2e3,907
r1bqkbnr/1p1p1ppp/p1n1p3/2p5/2B1P3/2NPB3/PPP2PPP/R2QK1NR b KQkq -,b7b5 c4b3 g8f6 a2a4 b5b4 c3e2 d7d5 g1f3 f8e7 e1h1,-82
8/7k/4Q3/8/6K1/8/8/8 b - -,h7h6 f2f4 d7d6 d1f3 c6d4 e3d4 c5d4 c3e2 d8a5 c2c3,Mate
r2qkbnr/1pp2ppp/p1b1p3/3p4/3P4/2N1PN2/PPP2PPP/R1BQ1RK1 b kq -,f7f6 a2a4 h7h5 d1e2 d8d7 b2b3 h5h4 h2h3 g7g5 c1a3,-58
r1bqkb1r/pp1pnppp/2n1p3/2p1P3/3P1P2/2P5/PP4PP/RNBQKBNR b KQkq -,c5d4 c3d4 e7f5 g1f3 d8b6 b1c3 f5d4 f3d4 c6d4 c3a4,-89
r1bqkbnr/1pp2ppp/p1np4/8/4P3/2N1Q3/PPPB1PPP/R3KBNR b KQkq -,c8d7 e1a1 g8f6 f2f4 d8e7 g1f3 e8a8 f1d3 d7e6 f4f5,157
