8/8/2k5/1p1B1p2/1P6/7p/8/7K b - -,b5a5 c3b2 f5g4 b2c2 g4h5 c2d2 a5b6 d2c3 h5d1 c3b4,Mate
r1bqk2r/pp2ppbp/2n3p1/3pP3/3P4/3B1N1P/PPP3P1/R1BQK2R b KQkq -,d8c7 e1h1 e8h8 c2c3 f7f6 e5f6 e7f6 f3e1 c8e6 c1f4,67
5q2/k7/6K1/4P1N1/5P1P/8/8/8 b - -,f8f4 e5e6 f4f8 h4h5 f8e8 g6f6 a7b7 h5h6 b7c6 f6g7,-10
2r2rk1/pb2nppp/1p1qpn2/2ppN3/3P1PP1/2PBPQ2/PP1N3P/R4RK1 b - -,b7a8 a1e1 d6c7 g4g5 f6e4 d2e4 d5e4 d3e4 a8e4 f3e4,78
5Q2/2p2p1k/8/3P4/P1P3p1/5q2/8/6K1 b - -,b7a8 a1e1 d6c7 g4g5 f6e4 d2e4 d5e4 d3e4 a8e4 f3e4,Mate
r1br2k1/pp3ppp/4p3/2q5/4Q3/2P2NP1/PP3PP1/R4RK1 b - -,c8d7 a1d1 d7c6 e4h4 c5a5 d1d8 a5d8 f3d4 c6e8 f1e1,-12
r1b1r1k1/ppp2pb1/3p2p1/3P3B/2P1pP1q/P1N1P2n/1P1N2K1/R1B1QR2 b - -,h3f4 f1f4 c8h3 g2h2 h4e1 d2e4 g6h5 e4f2 g7e5 h2h3,-852
2kr1q2/5R2/1p2pQ2/p2p4/P2P4/2P3P1/1P3PK1/8 b - -,f8e8 f7e7 e8a4 e7e6 c8c7 e6b6 a4e8 b6e6 e8b5 e6e7,767
r4rk1/pppq1pp1/2npbn1p/4p3/4P2N/3PB1P1/PPP2PBP/R2Q1RK1 b - -,a8e8 f2f4 f6g4 e3d2 e5f4 g3f4 f7f5 h2h3 g4f6 g1h2,26
1r3rk1/p1nn2pp/1pNp4/3Ppp2/1PP5/P7/4BPPP/2RR2K1 b - -,b8a8 a3a4 g7g6 a4a5 h7h5 h2h4 g8g7 f2f3 f8c8 c1c3,111
rn1qkb1r/1b2pppp/3p1B2/1NpP4/1p6/3B1N2/PP3PPP/R2QK2R b KQkq -,h7h6 f6h4 g7g5 h4g3 f8g7 e1h1 d8d7 h2h4 g5g4 f3d2,273
r3kb1r/pp1n1pp1/q1p1pnp1/8/3P1BP1/P1N4P/2PQ1P2/RR3BK1 b kq -,b7b5 a3a4 a6c8 a4b5 c6c5 d4d5 e6e5 g4g5 f6h5 f4h2,329
r2qk2r/1pp2ppp/4nn2/p2p1p2/P2P4/1P2P1P1/2PN1PBP/R2QK2R b KQkq -,c7c6 c2c4 g7g6 e1h1 e6c7 a1c1 e8h8 d2f3 f8e8 f3e5,20
3r1rk1/pp3ppp/2p1p1bb/q1N5/2BP4/1PP2Q2/P5P1/4RR1K b - -,a5c7 b3b4 b7b6 c5e4 c7e7 f3h3 g8h8 g2g4 g6e4 e1e4,-253
r1bqkbnr/pp3ppp/2n1p3/2pp4/4PP2/3B1N2/PPPP2PP/RNBQ1RK1 b kq -,c5c4 e4d5 c4d3 d5c6 g8e7 f3e5 d8b6 g1h1 f7f6 e5d3,-72
1rb3k1/2q1rppp/p7/3Bn1P1/1p1N1Q2/8/PPP4P/1K1R2R1 b - -,g7g6 g1e1 c8b7 d4e6 f7e6 d5b7 b8b7 f4e5 c7e5 e1e5,46
r1b2k1r/pp3p1p/3Np1pn/3pP1q1/3Q1PP1/1B6/PP6/R4K1R b - -,g5h5 g4h5 b7b6 d4a4 f8g7 h5g6 h7g6 f1g1 h6f5 h1h8,1084
5br1/1pk5/2p2pq1/p1n1nN2/P5Pp/2N1PP1B/1P2Q3/6RK b - -,e5f7 e2d2 c5e6 c3b5 c7b6 d2d7 f7g5 b5d4 e6c7 h3f1,70
r1q2k1r/pp1n1pbp/3P2p1/2p3N1/2BnpP2/8/PP4PP/R1BQK2R b KQ -,d7b6 c4f7 h7h6 e1h1 h6g5 f7g6 c8e6 f4g5 d4f3 g2f3,-205
r2r2k1/pp1b1ppp/4p3/2q1N3/4Q3/2P3P1/PP3PP1/R4RK1 b - -,d7e8 a1d1 a8c8 f1e1 c5c7 e4e3 h7h6 e5f3 a7a5 d1d4,-10
5q2/2k5/4N1K1/4PP2/7P/8/8/8 b - -,h7h6 e5d7 d8d7 a1d1 a8d8 d1d7 d8d7 e4a4 d7d2 b2b4,Mate
r2q1rk1/pp1b1pb1/3p3p/3Np1p1/4n3/PP3NB1/1P3PPP/2RQ1RK1 b - -,f7f5 f1e1 a8c8 c1c8 d7c8 e1e4 f5e4 f3d2 c8f5 d2c4,-278
r2kb3/1pR2pp1/pP2p3/3pP1N1/P2P1n1r/3B4/3K1P2/6R1 b - -,f4h3 g5h3 a8c8 g1g7 c8c7 b6c7 d8c7 h3g5 c7b6 g5f7,464
rn3rk1/p3pp1p/1pp1q1p1/2Pp4/1P1P4/2NQP3/P4PPP/R4RK1 b - -,b8d7 d3a6 d7f6 f1c1 e6c8 a6d3 c8d7 a1b1 b6c5 d4c5,25
rnbqkb1r/pp2pp1p/3p2p1/3N4/2BNn3/8/PPP2PPP/R1BQK2R b KQkq -,e4f6 d5f6 e7f6 e1h1 b8d7 c4d5 h7h5 a2a4 f8e7 a4a5,162
2r2k2/p1r2p2/1pN3p1/4PPn1/PQ4P1/1P6/8/6K1 b - -,c7e7 b4e7 f8g7 e7f6 g7h6 e5e6 g5e4 f6f7 g6f5 g4f5,736
r4rk1/pppq1p2/2npbn1p/4p1p1/4PP1N/3PB1P1/PPP3BP/R2Q1RK1 b - -,g5f4 g3f4 f6g4 e3d2 d7e7 h4f5 e6f5 e4f5 e7h4 h2h3,196
r1bq1rk1/ppp1bppp/4p3/3nP3/2p5/2N3P1/PPQBPPBP/R4RK1 b - -,c7c6 c3e4 d8c7 e4d6 e7d6 e5d6 c7d6 c2c4 e6e5 e2e4,-46
1rb3k1/2q1rp1p/p5p1/3Bn1P1/1p1N1Q2/8/PPP4P/1K1RR3 b - -,c8b7 d4e6 f7e6 d5b7 b8b7 f4e5 c7e5 e1e5 b7d7 b1c1,40
r1bqkbnr/pp3ppp/2n5/2ppp3/4PP2/3B1N1P/PPPP2P1/RNBQ1RK1 b kq -,c5c4 d3e2 d5e4 f3e5 d8d4 g1h1 c6e5 f4e5 g8h6 d2d3,-44
3r1rk1/p4ppp/2p4b/qp2R3/2BP4/1PP2Q2/P5P1/5R1K b - -,a5c7 c4d3 g7g6 e5c5 b5b4 f3c6 c7e7 c6f6 e7f6 f1f6,-126
r1bqkbnr/ppp2ppp/2n1p3/4P3/8/N1P5/P4PPP/R1BQKBNR b KQkq -,d8d1 e1d1 c6e5 a3b5 e8d8 f2f4 e5g4 d1e1 a7a6 b5d4,-284
r3k2r/1pp2ppp/p1n1p1q1/3p4/P2Pn1b1/2P1PN2/1PQNBPPP/R4RK1 b kq -,e4g3 e2d3 g4f5 d3f5 g6f5 c2f5 g3f5 b2b4 f7f6 f3e1,15
8/R5p1/5k2/5p1p/5P1P/p5P1/r7/4K3 b - -,f6e6 e1d1 e6d5 d1c1 a2a1 c1c2 a3a2 c2b3 a1g1 b3a2,-459
8/Q1p3k1/3P2p1/P3b3/2p5/5K1P/1r6/8 b - -,b2d2 a7c7 g7h6 c7c4 d2d4 c4e6 d4f4 f3e3 f4f5 a5a6,629
5rk1/4Rpbp/1p4p1/4P3/3r2P1/7P/8/5RK1 b - -,d4e4 e5e6 f7e6 f1f8 g7f8 e7c7 e4f4 g1g2 e6e5 c7c8,-571
5rk1/pp2r1p1/1p4qp/2pPP3/8/2P5/PP2Q1PP/3R2RK b - -,g6d6 g1e1 d6d7 e5e6 d7d6 e1f1 f8f1 e2f1 b6b5 f1f5,398
r4rk1/pppq1p2/2npbn1p/4pP2/4P2p/3PB1P1/PPP3BP/R2Q1RK1 b - -,h4g3 e3h6 g8h7 h6f8 a8f8 f5e6 f7e6 h2g3 d7g7 c2c3,178
r1bq1rk1/pp1pppbp/2n3p1/8/2P3n1/2N3P1/PPN1PPBP/R1BQ1RK1 b - -,a7a6 c4c5 d7d6 c5d6 c8e6 c1f4 e7d6 a1c1 a8c8 d1d6,78
r1bq1rk1/1p1nppbp/p2p2p1/8/3BP1P1/2N4P/PPPQ1PB1/R4RK1 b - -,g7f6 d4f6 d7f6 f2f4 a8b8 a1d1 b7b5 e4e5 b5b4 e5f6,60
2r2k2/pn5p/5p2/8/8/1N1p4/P4PPP/3R2K1 b - -,c8c2 d1d3 c2a2 g1f1 a2a3 f1e2 a7a5 b3d4 a3d3 e2d3,-4
2k4r/1ppr1p2/p6p/P5p1/3RP3/5Q1P/5PPB/4nRK1 b - -,d7e7 f1e1 h6h5 f3f5 c8b8 f5c5 e7e8 c5c7 b8a8 e1b1,1115
r1bq1rk1/pp2bppp/2p1p3/3nP3/2p5/P1N3P1/1PQBPPBP/R4RK1 b - -,b7b5 c3e4 d8c7 e4d6 e7d6 e5d6 c7d6 a3a4 c8b7 b2b3,-100
r1bRk3/pp5p/4p3/6Q1/8/2q3P1/K1P2P1P/8 b - -,c8d7 c3e4 b7b5 a1d1 a7a5 h2h4 h7h6 g1h2 d8b6 c2c1,Mate
r7/8/8/8/2k5/3b4/1K3R2/8 b - -,,0
r2qkb1r/pp3ppp/2n1pn2/3p4/3P2b1/2NBB2P/PPP1NPP1/R2QK2R b KQkq -,g4h5 d1d2 h5g6 e2f4 f8b4 a2a3 b4a5 f4g6 h7g6 b2b4,-37
r1bk3r/pppn1ppp/5n2/4p3/4P3/2P1BP2/P1P3PP/2KR1BNR b - -,h7h6 g1e2 d8e7 g2g4 d7b6 e2g3 c8e6 e3c5 e7e8 g3f5,56
4k3/8/8/8/4n3/8/8/K3R3 b - -,h7h6 g1e2 d8e7 g2g4 d7b6 e2g3 c8e6 e3c5 e7e8 g3f5,Mate
2k4r/1pp2p2/p6p/P3B1p1/3rP3/5P1P/5P2/5RK1 b - -,h8d8 e5d4 d8d4 f1c1 f7f5 f3f4 g5f4 e4f5 d4d5 c1a1,-372
6r1/2q2pp1/4kn1r/pp2p1R1/4P2P/6Q1/PPP3B1/5RK1 b - -,g8e8 f1f5 c7c5 g1f1 f6d7 g2h3 c5c4 f1g1 e6e7 g5g7,164
1r4k1/1bq1rp1p/p3N1p1/3Bn1P1/1p3Q2/8/PPP4P/1K1RR3 b - -,f7e6 d5b7 b8b7 f4e5 c7e5 e1e5 e7d7 d1e1 b7b6 b2b3,53
r2r4/pp2k1p1/1bn1pp1p/7P/4P1P1/2B2N2/PP2KP2/2RR4 b - -,d8d1 c1d1 a8c8 a2a3 e7e8 d1d3 b6c7 f3d4 c6d8 d4b5,15
3qr2k/3r1B1p/6pQ/8/5B2/P7/1PP1N3/1K6 b - -,d7d5 f7g6 e8e7 e2c1 h8g8 g6d3 d8f8 h6h1 d5d3 c1d3,471
r1b1kn1r/1p2bp2/2p2q1p/p3p1p1/P1B1P3/2N5/1PPNQPPP/R3R1K1 b kq -,h6h5 e2f3 f6f3 d2f3 f7f6 c3d1 e7b4 c2c3 b4c5 h2h4,-58
r1bq1rk1/1p1npp1p/p2p2p1/8/3QP1P1/2N4P/PPP2PB1/R4RK1 b - -,f8e8 a2a4 b7b6 f2f4 c8b7 a1d1 a8c8 e4e5 b7g2 g1g2,40
2kr1q2/5p1R/1p2pQ2/p2p4/P2P4/2P3P1/1P3PK1/8 b - -,d8e8 h7f7 f8d6 g3g4 d6d8 f6d8 e8d8 f7a7 c8b8 a7e7,646
5rk1/pp1bb1r1/3p3p/3Pp1q1/1P2P1n1/P2B1QN1/4N1PP/3RR2K b - -,f8f3 g2f3 g4f2 h1g2 f2d1 e1d1 g5e3 e2g1 d7a4 d3c2,-789
2kr1b1r/1ppqn3/p1np1Qp1/4p3/B3P3/2NP3P/PPP3P1/R1B2RK1 b - -,h8h3 g2h3 d7h3 f6f3 h3d7 c3d5 c8b8 a4c6 e7c6 c1g5,433
r3r1k1/1bqn1p2/3ppbpP/8/3NPP2/nPN1B2R/6BP/4QR1K b - -,a3c2 d4c2 c7c3 e1c3 f6c3 e3g1 c3f6 c2e3 f6e7 f4f5,36
5k2/2R5/5K2/8/7r/8/4B3/8 b - -,,0
rn1qk2r/ppp2ppp/4bn2/3p2B1/1b1P4/2N5/PPPQ1PPP/2KR1BNR b kq -,h7h6 g5f6 d8f6 c1b1 e8h8 g1f3 f8d8 f1d3 b4d6 f3e5,-46
r2q1rk1/p2n1pb1/1p3np1/2ppPbNp/5B1P/1QP1P3/PP1NBPP1/R3K2R b KQ -,f6h7 b3d5 d7e5 d5d8 a8d8 e3e4 f5c8 e1a1 h7g5 h4g5,100
8/k7/4pp2/1q6/5P1P/6KN/P4P2/8 b - -,b5d3 f2f3 d3d1 h4h5 d1e1 g3g2 e1h4 h3f2 h4f4 g2f1,-516
2r5/p1r2pk1/1p4p1/4PPn1/PQ1N2P1/1P6/8/6K1 b - -,c7d7 e5e6 d7d5 e6e7 f7f6 g1g2 c8e8 f5g6 g7g6 d4f5,66
5rk1/pp2r1p1/1p1P2qp/2p1P3/8/2P5/PP2Q1PP/3RR2K b - -,e7e6 e2c4 f8d8 c4d5 g6f5 h2h3 g8h8 c3c4 d8e8 e1e3,395
r1bq1rk1/1pp1bppp/p2p1n2/8/Pn1NPB2/1BN5/1PP2PPP/R2QR1K1 b - -,c8g4 f2f3 g4d7 c3e2 b4c6 d4c6 d7c6 a4a5 f6d7 d1d2,73
r2qk1nr/pp1bbp1p/6p1/1B1p4/3Q4/8/PPPN1PPP/R1B1R1K1 b kq -,f7f6 d4d5 d8c7 b5d7 c7d7 d5b3 e8a8 d2e4 d7d5 c2c4,374
r1b2k2/ppNp2qp/2n4B/8/7Q/6P1/PPP4P/R5K1 b - -,f7f6 d4d5 d8c7 b5d7 c7d7 d5b3 e8a8 d2e4 d7d5 c2c4,Mate
r2q1b1r/ppp3p1/2np2kp/5R2/2B1P3/2N1B3/PP4PP/R5K1 b - -,c6e5 c4e6 g6h7 a1f1 g7g6 f5f2 f8g7 c3d5 h8e8 d5f4,-475
8/2p3k1/6p1/P1QPb3/2p5/5K1P/1r6/8 b - -,g7h8 c5f8 h8h7 f8e7 e5g7 e7h4 g7h6 h4c4 b2b7 c4c5,519
r2kb3/1pR2pp1/pP2p3/3pP1N1/P2P1r2/3K1P2/8/6R1 b - -,f4f5 a4a5 a8b8 d3e3 b8c8 c7b7 c8c3 e3d2 c3c4 g1g4,293
rn1qr1k1/pp3pbp/5np1/2BP4/2N3b1/2N5/PP2PPPP/R2QKB1R b KQ -,d8c7 c4d6 c7c5 d6e8 f6e8 d1d2 b8d7 e2e4 d7b6 a1c1,-158
4r1k1/6p1/p1r2pp1/1p6/nP1ppP2/1N4R1/2PK1PPP/1R6 b - -,e4e3 f2e3 a4c3 b3d4 c3b1 d2c1 c6c3 c1b1 e8e3 g3g6,-399
1r4k1/1Bq1r2p/p3p1p1/4n1P1/1p3Q2/8/PPP4P/1K1RR3 b - -,b8b7 f4e5 c7e5 e1e5 b7d7 b1c1 d7d1 c1d1 e7d7 d1e1,46
r7/pp2k1p1/1bn1pp1p/7P/4P1P1/2B2N2/PP2KP2/3R4 b - -,a8c8 d1c1 e7f7 c3d2 c8c7 d2e3 b6e3 e2e3 c7d7 f3h4,14
2rq1rk1/1p3pp1/5n2/pN1p1P1p/Pb1BpP2/1P5Q/1P4PP/1K1R3R b - -,e4e3 h3e3 f8e8 e3f3 d8d7 f3h3 d7e7 b1a2 c8c2 h3g3,117
5k2/1n5p/5p2/8/p2N4/2rp1P2/P4KPP/3R4 b - -,c3a3 f2e3 a3a2 d1d3 b7d6 d3c3 a2g2 c3c6 d6e8 c6a6,-6
rnbqkb1r/pp1p2pp/4pn2/5p2/3P1B2/2N2N2/PPP2PPP/R2QKB1R b KQkq -,f8b4 f1d3 e8h8 e1h1 d7d6 d1e2 b4c3 b2c3 b8c6 f1e1,62
q5k1/5p2/8/1p2P1p1/1PpR4/2P2Np1/5bK1/8 b - -,f8b4 f1d3 e8h8 e1h1 d7d6 d1e2 b4c3 b2c3 b8c6 f1e1,Mate
r1b1r1k1/ppp2pb1/3p2p1/3P3B/2P1pP1q/P1N5/1P1N2K1/R1B1QR2 b - -,h4h3 g2g1 g7d4 f1f2 e4e3 d2e4 e3f2 e1f2 d4f2 g1f2,-1135
1RQ5/5pk1/3p2p1/8/3p4/8/1K1p2p1/3Rq3 b - -,g6g5 c8h8 g7g6 b8g8 g6f5 h8h3 f5f4 h3g2 f7f6 d1d2,1126
r1b2rk1/ppq1bppp/2p1p3/3nP3/2p2P2/P1N3P1/1PQBP1BP/R4RK1 b - -,b7b5 g3g4 c8b7 f1f3 c7b6 g1h1 d5c3 f3h3 g7g6 c2c3,-91
rnbq1rk1/pp2ppbp/3p1np1/2p5/4P2N/3P2P1/PPP1BP1P/RNBQ1RK1 b - -,b8c6 e2f3 c8h3 f3g2 h3g2 h4g2 d6d5 b1d2 b7b5 d1e2,-82
rn2kb1r/pp3ppp/4pn2/2p5/2BPq3/1Q2PN2/PP3PPP/1RB2RK1 b kq -,f6d7 f3d2 e4c6 d4d5 c6b6 d5e6 f7e6 c4e6 b6b3 d2b3,313
r1q2rk1/pb2bppp/1p2pn2/8/2PR1B2/5NP1/PP2QPBP/5RK1 b - -,c8c5 f1d1 a8d8 d4d8 f8d8 d1d8 e7d8 f3e5 c5c8 b2b4,35
8/1K6/1n4P1/2k5/8/8/1p4p1/6R1 b - -,,0
rn3rk1/4pp1p/p1p1q1p1/1PPp4/1P1P4/2NQP3/5PPP/R4RK1 b - -,c6b5 c3b5 e6c6 b5c3 c6b7 c3a4 e7e6 a4b6 a8a7 a1a4,263
rn1q1rk1/pp3pbp/3B1np1/2pP4/2N3b1/2N5/PP2PPPP/R2QKB1R b KQ -,b8d7 d6f8 g8f8 f2f3 b7b5 c3b5 d7b6 c4b6 a7b6 d1d2,205
2r5/p4pk1/1p4p1/4PPn1/PQ1N2P1/1P6/5K2/2r5 b - -,c8e8 b4b5 e8d8 e5e6 c1c5 e6e7 d8d4 b5c5 g5e4 f2e3,122
r1bR2Q1/pp3k1p/4p3/8/8/2q3P1/K1P2P1P/8 b - -,c8e8 b4b5 e8d8 e5e6 c1c5 e6e7 d8d4 b5c5 g5e4 f2e3,Mate
r1q2rk1/pb3ppp/1p2pn2/2b5/2P2B2/5NP1/PP1RQPBP/5RK1 b - -,f6e4 d2d1 f8e8 f3d2 e4f6 g2b7 c8b7 f4g5 c5e7 g5f6,21
1q1rr1k1/1p3p1p/p2p1bp1/4pb2/2P5/1P2P1P1/PB2QPBP/2RR2K1 b - -,b8c8 g2d5 f5g4 f2f3 g4e6 e3e4 f6e7 h2h4 e6d5 d1d5,94
r1b1n1k1/pppq2pp/3p4/3N1pB1/8/3B1Q2/PbP2PPP/R5K1 b - -,d7f7 a1e1 b2e5 d5e7 g8f8 e7c8 a8c8 f3b7 f7e6 d3a6,591
3rr1k1/pb3ppp/1p6/1Pp5/P1P1p3/BNQnP1qP/R5R1/5BK1 b - -,g3e3 a2f2 e3h6 g2g7 h6g7 f2g2 g7g2 f1g2 e4e3 b3c1,-210
r1b1k2r/1p2bp2/2p2qnp/p3p1p1/P1B1P3/2N1Q3/1PPN1PPP/R3R1K1 b kq -,h6h5 e3b6 h5h4 c3d1 f6d6 d2f1 d6b4 b6b4 a5b4 d1e3,-45
r1q2rk1/pb3ppp/1p2p3/2b5/2P1nB2/3R1NP1/PP2QPBP/5RK1 b - -,f8d8 f3e5 e4d6 g2b7 d6b7 d3d8 b7d8 f1d1 d8c6 e2e4,40
r1bq3k/ppp4p/3p2p1/4brPn/2B5/2N1B3/PPPQ1P1P/2KR2R1 b - -,c8d7 c3e2 d8f8 c1b1 f5f3 c4d5 f3h3 f2f4 e5g7 e2g3,174
r3kb1r/pp1n1ppp/4pn2/2pP4/2B1q3/1Q2PN2/PP3PPP/1RB2RK1 b kq -,e8a8 f3g5 e4g6 d5e6 g6g5 e6d7 d8d7 c4f7 c8b8 e3e4,236
rn1qkb1r/1b2pp1p/3p1p2/1NpP4/1pB5/5N2/PP3PPP/R2QK2R b KQkq -,b8d7 d1d3 d7b6 c4b3 d8d7 a2a4 b4a3 a1a3 a8a3 b5a3,-134
rnbqk2r/ppppn1bp/4ppp1/8/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 b kq -,e8h8 d3d4 d7d5 c4b3 h7h6 a2a4 b8c6 a4a5 g6g5 h2h3,75
8/1r3p2/2kP4/R1B5/6Pn/8/5P1K/8 b - -,h4f3 h2g2 f3e5 c5d4 e5g4 f2f3 b7b4 d4c5 b4b2 g2g3,100
rnbqk2r/pp1p2pp/4pn2/5p2/1b1P1B2/2NB1N2/PPP2PPP/R2QK2R b KQkq -,e8h8 e1h1 b8c6 c3e2 d7d6 c2c4 f8e8 a2a3 b4a5 b2b4,66
r1b1kbnr/ppp2ppp/2n1p3/4P3/8/N1P5/P4PPP/R1BK1BNR b kq -,c6e5 a3b5 e8d8 f2f4 e5g4 d1e1 a7a6 b5d4 f8d6 g1f3,-283
r7/8/8/8/3k1R2/3b4/1K6/8 b - -,,0
r2kb3/1pR2pp1/pP2p3/3pP1N1/P2P1r2/4K3/5P2/6R1 b - -,f4f5 g5h7 a8c8 c7c8 d8c8 g1g7 e8a4 h7f6 c8d8 g7f7,427
r1q1r1k1/pb3ppp/1p2p3/2b1N3/2P1nB2/3R2P1/PP2QPBP/5RK1 b - -,c5f2 f1f2 e4f2 e2f2 f7f6 d3d7 f6e5 d7g7 g8g7 f4e5,107
r3q1k1/5p2/1B3np1/3p1b2/1RpP2p1/2Q1P1P1/r4PBP/2R3K1 b - -,f6e4 c3e1 e4f2 b6c7 f2h3 g2h3 g4h3 e3e4 a2g2 g1f1,-646
r2qk1nr/ppp2ppp/2np4/2b1p2b/2B1P1P1/3P1N1P/PPPB1P2/RN1QK2R b KQkq -,h5g6 h1g1 h7h5 b1c3 h5g4 h3g4 d8d7 c3a4 f7f6 d1e2,-16
r1b1k2r/pp3p1p/4p1pn/1N1pP1q1/3Q1PP1/1B6/PP6/R4K1R b kq -,e8h8 f4g5 c8d7 b5d6 f7f6 g5f6 h6f7 d6b7 a7a5 f1g2,1123
r1bq1rk1/1ppp1ppp/1bn2n2/3N2B1/p3P3/8/PPPNQPPP/R3KB1R b KQ -,d7d6 g5f6 g7f6 d5b6 c7b6 a2a3 d6d5 e1a1 d5d4 c1b1,119
5rk1/pp1bb1r1/3p3p/3PpNq1/1P2P1n1/P2B1QN1/6PP/3RR2K b - -,f8f5 g3f5 d7f5 e4f5 g5h4 h2h3 g4f2 h1h2 e7g5 h2g1,-32
8/2p5/8/N3p3/5pk1/3K4/8/8 b - -,g4f3 d3d2 e5e4 d2e1 f3g2 a5c4 f4f3 c4e3 g2g1 e3g4,-621
r2qkb1r/pp3ppp/2n1pn2/3p3b/3P4/2NBB2P/PPPQNPP1/R3K2R b KQkq -,h5g6 e1h1 a8c8 e2f4 f8b4 f4g6 h7g6 a2a3 b4a5 b2b4,-32
8/k7/4pp2/8/5P1P/3q1PKN/P7/8 b - -,d3d1 g3g2 d1d2 h3f2 f6f5 g2g3 d2c1 f2h3 c1e1 g3g2,-550
r3kb1r/pp1n1ppp/5n2/2pp4/4q3/1Q1BPN2/PP3PPP/1RB2RK1 b kq -,c5c4 b3b7 a8b8 b7b8 d7b8 d3e4 f6e4 f1d1 f8e7 d1d5,422
r2r2k1/ppp2pp1/7p/4p3/1P4bP/3B2R1/P2K2P1/nN4N1 b - -,g4f5 b1c3 e5e4 c3e4 f5e4 d2c3 d8d3 g3d3 e4d3 c3d3,-653
2rq1rk1/p3bppp/4pn2/1Nn5/PpN2B2/6P1/1P1QPPKP/2RR4 b - -,c5d7 e2e4 a7a6 b5d6 c8c7 a4a5 d8b8 d2e2 b4b3 e2f3,152
r2kb3/1pR2pp1/pP2p3/3pP1N1/P2P1r2/3K4/5P2/7R b - -,a8c8 c7b7 c8c4 h1h8 c4d4 d3e3 d4a4 g5f7 f4f7 b7f7,584
6k1/1rq1r2p/p3p1p1/4Q1P1/1p6/8/PPP4P/1K1RR3 b - -,c7e5 e1e5 g8f7 d1f1 f7e8 b2b3 b7b6 f1f4 e7f7 f4f7,64
2r5/pp2k1p1/1bn1pp1p/4P2P/6P1/2B2N2/PP2KP2/3R4 b - -,b6a5 e5f6 g7f6 c3a5 c6a5 f3h4 c8c2 d1d2 c2d2 e2d2,9
8/8/8/1K6/1p6/1k6/p7/B7 b - -,,0
8/R5p1/4k3/5p1p/5P1P/p5P1/2K5/r7 b - -,a3a2 c2b2 a1g1 b2a2 g1g3 a2b2 g3g4 b2c3 g4h4 a7g7,-341
rn1q1rk1/pb3ppp/3ppn2/1ppP4/1bP1PB2/2N2PN1/PP4PP/R2QKB1R b KQ -,e6d5 c4d5 c5c4 f1e2 d8b6 d1d2 b8d7 g3f5 b4c5 b2b4,66
r1b2rk1/pp2bppp/2n5/1B2p3/6P1/4BN1P/PPP2P2/2KR3R b - -,e7f6 b5c6 b7c6 g4g5 f6d8 f3e5 f8e8 e5d7 c8a6 h1e1,142
8/5k1p/3n1p2/8/p4N2/2rp1P2/P4KPP/3R4 b - -,c3c2 f2e3 d3d2 e3d3 c2a2 d1d2 a2d2 d3d2 d6b5 d2d3,-3
2rqr1k1/8/p3p2p/2p1Npp1/2PP4/P2Q1PB1/2P3PP/1R4K1 b - -,d8d4 g1f1 e8d8 d3d4 d8d4 g3e1 d4d8 e1c3 c8b8 b1e1,379
r2qkb1r/1b2pp1p/1n1p1p2/1NpP4/1pB5/1P3N2/P4PPP/R2Q1RK1 b kq -,f8g7 f3h4 b6c4 b3c4 b7c8 d1f3 f6f5 a1e1 a8a2 h4f5,-146
2r2rk1/1p3pp1/5q2/pNbR1P1p/P3pP2/1P5Q/1P4PP/1K5R b - -,f6h6 h1c1 b7b6 h3g3 h6f6 c1c4 e4e3 b1a2 f8e8 b5c3,61
6k1/1r2r2p/p3p1p1/4R1P1/1p6/8/PPP4P/1K1R4 b - -,g8f7 d1f1 f7e8 f1f6 e8d7 b2b3 b7b5 e5b5 a6b5 f6f4,63
2r5/1b1pkppp/p3pn2/1pr5/3RP3/P1N2P2/1PP1B1PP/2KR4 b - -,b7c6 e2f1 g7g5 d1e1 c5e5 a3a4 b5a4 c3a4 d7d5 a4c3,-15
2q2rk1/Q2n1ppp/2bRp3/2p5/4PB2/6P1/5P1P/5BK1 b - -,d7b8 f2f3 c5c4 a7d4 c6d7 d4c4 c8c4 f1c4 f8c8 c4f1,17
r1b1k2r/pp3p1p/4p1pR/1N1pP3/3Q1Pq1/1B6/PP6/R4K2 b kq -,c8d7 b5d6 e8f8 f1f2 g6g5 a1g1 g4f4 d4f4 g5f4 h6f6,721
2r2rk1/p3bppp/4pn2/1Nn5/Pp3B2/6P1/1P1NPPKP/2RR4 b - -,e6e5 f4e5 c5a4 b5a7 c8c1 d1c1 f6d7 e5d4 e7f6 d4f6,183
q5k1/5p2/8/1p2P1p1/1Ppb4/2P2NK1/8/8 b - -,e6e5 f4e5 c5a4 b5a7 c8c1 d1c1 f6d7 e5d4 e7f6 d4f6,Mate
8/2p3k1/6p1/P1QPb3/2p1K3/1r5P/8/8 b - -,e5h2 a5a6 h2d6 c5d4 g7h7 d4c4 b3h3 c4c6 h3a3 c6b7,490
r2q1rk1/1p1nbpp1/3p2b1/p2P3p/P2N1R2/4B3/1PPQB1PP/R5K1 b - -,d7c5 d4f3 c5e4 d2e1 e7f6 c2c3 f8e8 e2b5 e8e7 g1h1,-20
2rkb3/1R3pp1/pP2p3/3pP1N1/P2P1r2/3K4/5P2/7R b - -,c8c4 h1h8 c4d4 d3e3 d4a4 g5f7 f4f7 b7f7 a4e4 e3f3,627
