8/8/2k5/1p1B1p2/1P6/7p/8/7K b - -,b5a5 c3b2 f5g4 b2c2 g4h5 c2d2 a5b6 d2c3 h5d1 c3b4,Mate
r2q1rk1/1p1n1pp1/3p1bb1/pB1P3p/P4R2/1NP1B3/1P1Q2PP/R5K1 b - -,h5h4 b3d4 f8e8 h2h3 f6g5 f4f3 e8e3 f3e3 d7f6 a1e1,20
8/8/8/8/7R/1k2K3/8/5Q2 b - -,h5h4 b3d4 f8e8 h2h3 f6g5 f4f3 e8e3 f3e3 d7f6 a1e1,Mate
8/8/8/2K3p1/8/4Q3/2P2p2/4k3 b - -,h5h4 b3d4 f8e8 h2h3 f6g5 f4f3 e8e3 f3e3 d7f6 a1e1,Mate
3q1rk1/5p1p/4p3/3p2p1/8/6B1/Pbr2P1P/1R2R1K1 b - -,d8f6 e1e3 b2d4 b1e1 d4e3 e1e3 h7h5 g1f1 h5h4 g3h4,-1021
1r5k/p1ppq3/b1p1p2p/4P1p1/2P2p2/b1B2N1P/PNQ1B1P1/2KR3R b - -,b8d8 c2g6 e7g7 g6g7 h8g7 c3a5 d7d5 e5d6 a3d6 f3e5,942
8/8/8/8/6p1/4KP2/8/3B1bk1 b - -,g4g3 f3f4 g1h2 d1f3 f1g2 f3e2 g2d5 e2f1 d5c4 f1c4,-534
1r1qk2N/ppp2ppp/2n1p3/3P3n/3P4/NQP1bP2/PP3RBP/R5K1 b - -,e3f2 g1f2 e6d5 b3c2 d8h4 f2g1 h5f4 c2f5 c6e7 f5f7,-64
r4r2/5pkp/6p1/1p1qp3/p7/P2P3P/2PQ1PP1/R3R1K1 b - -,f8c8 d2e2 c8c5 c2c4 d5d4 c4b5 c5b5 a1c1 a8a6 c1c7,-30
5rk1/5p1p/4pq2/3p2p1/8/6B1/Pbr2P1P/3RR1K1 b - -,h7h5 e1f1 f6f3 h2h3 h5h4 g3h2 f8a8 h2d6 f3h3 d6f4,-1465
8/3KP1k1/5r2/8/8/8/8/8 b - -,,0
8/8/3p4/p1n1p3/P1Pp1k2/3P1P2/4KN2/8 b - -,c5a4 f2g4 a4c5 g4f6 a5a4 f6d5 f4g3 d5b4 a4a3 b4a2,-721
8/5ppp/8/1P1p4/3P1PbP/k5P1/3K4/8 b - -,a3a4 b5b6 g4c8 d2c3 a4b5 g3g4 b5b6 g4g5 b6b5 c3b3,-639
8/8/8/1p2k3/1P6/7K/8/8 b - -,a3a4 b5b6 g4c8 d2c3 a4b5 g3g4 b5b6 g4g5 b6b5 c3b3,Mate
6k1/5p1p/p7/3R1pp1/4n3/bN4BP/r4PP1/6K1 b - -,a2b2 d5d8 a3f8 b3d4 f5f4 g3f4 g5f4 d8e8 b2b1 g1h2,-647
r2q1rk1/p1p5/5p2/3p2p1/1bpP3p/1PNbP2P/P4PPB/R1QR2K1 b - -,d8d7 a2a3 b4e7 f2f3 g8h8 g1h1 a8b8 b3c4 d5c4 c3e4,-28
8/3r4/4R1k1/5p1p/6p1/4K1P1/5P1P/8 b - -,,0
3r1r1k/2q3bp/p2pp3/2p2p2/2Pn1P2/1PNQ2R1/P2B2PP/3R3K b - -,c7b7 d2e3 g7f6 c3e2 d4e2 d3e2 b7e4 e2f1 f8g8 g3g8,32
rn1qkb1r/ppp2ppp/4pnb1/3p2P1/3P1B2/4P2P/PPP2P2/RN1QKBNR b KQkq -,f6h5 f4e5 d8g5 e5c7 g5e7 c7h2 e7b4 b1d2 f8e7 a1b1,-76
2k2rr1/ppbnR1p1/2p5/q5p1/2BP2QP/8/PP3PP1/R5K1 b - -,c7h2 g1h2 a5c7 h2g1 f8f4 g4g5 g8d8 c4e6 f4d4 a1e1,473
1k4r1/ppp1R3/5p2/3p4/3P1PqB/P2B4/2Q2K2/8 b - -,,0
3r1r1k/ppp1n3/2nbBp1p/3N2P1/4P3/4B3/PPP2PP1/R2R2K1 b - -,h6g5 c2c4 b7b6 a1c1 h8g7 g2g3 f8e8 g1g2 e7c8 e6f5,208
r3r1k1/1p1q1ppp/2pb4/p2p1Bn1/P4N2/2P1B2P/1PP1QPP1/3R1RK1 b - -,d7f5 e2g4 f5g4 h3g4 f7f6 f4h3 g5f7 f1e1 e8e4 d1d4,-25
rnbqk1nr/pp2ppb1/2p3p1/3p2P1/3P4/2N5/PPP1PPB1/R1BQK1NR b KQkq -,h8h1 g2h1 d8b6 g1f3 c8g4 f3e5 g7e5 d4e5 b8d7 a2a4,-30
8/8/3p4/p3p3/n1PpNk2/3P1P2/4K3/8 b - -,a4c3 e4c3 d4c3 e2d1 f4e3 d1c2 e3d4 c2b3 d4d3 b3a4,-1137
8/8/8/6p1/3K4/4Q3/2P2p2/5k2 b - -,a4c3 e4c3 d4c3 e2d1 f4e3 d1c2 e3d4 c2b3 d4d3 b3a4,Mate
2r2rk1/p2qbppp/1p2b3/3np3/1P1p4/P2P2P1/1N1BPPBP/R1RQ2K1 b - -,d5c3 d1e1 e7f6 e2e4 c3a2 c1c8 f8c8 b2c4 b6b5 a1a2,-121
rn1qkbnr/pbpp1ppp/1p2p3/4P3/2PP4/2NQ4/PP3PPP/R1B1KBNR b KQkq -,b8c6 g1f3 d7d6 a2a3 d6e5 d4d5 c6e7 d3c2 f7f6 d5e6,51
2r3k1/1p1bqppp/pb1p1nn1/3P4/PP1N4/1QN1P2P/4BKP1/2RR4 b - -,c8e8 d4e6 f7e6 a4a5 b6a7 b4b5 a6b5 c3b5 g6f4 c1c2,-439
8/5ppp/1P6/3p4/k2P1PbP/6P1/3K4/8 b - -,g4c8 d2c3 a4b5 f4f5 b5b6 g3g4 b6b5 c3b3 f7f6 b3c3,-689
8/8/8/1p1k4/1P6/8/6K1/8 b - -,g4c8 d2c3 a4b5 f4f5 b5b6 g3g4 b6b5 c3b3 f7f6 b3c3,Mate
r2qk2r/pp2bp1p/2n5/3pB1p1/3P2n1/3B1NPb/PPPN3P/R2Q2KR b kq -,g4e5 f3e5 c6e5 d3f1 h3g4 f1e2 g4e2 d1e2 e5g6 a1f1,-452
6k1/5p1p/p7/3R2p1/4np2/bN5P/r4PPB/6K1 b - -,a2b2 d5d1 b2b3 h3h4 a3c5 h4g5 c5f2 g1f1 f2e3 d1a1,-819
r1bqk2r/pp2bppp/1n1p4/2p5/1nPP4/P1N5/1P2NPPP/RBBQK2R b KQkq -,b4c6 d4d5 c6e5 b2b3 f7f5 a1a2 e8h8 e1h1 e7f6 a3a4,106
1qb2rk1/p5pp/5n2/2p5/2Pp3P/6P1/PPP2PB1/R2QR1K1 b - -,h7h6 d1d3 b8c7 b2b3 a7a5 e1e2 c8g4 a1e1 g4e2 e1e2,402
r4r2/6kp/6p1/1p1qpp2/p7/P2P3P/2P1QPP1/R3R1K1 b - -,a8b8 e2e5 d5e5 e1e5 f8c8 e5e2 b5b4 a3b4 b8b4 g1f1,51
r4rk1/1b3p2/p3p1pp/2p5/3b1q2/P2Q1P2/1P2N2P/1R3R1K b - -,f4g4 e2d4 c5d4 f1f2 a8c8 b1g1 g4f4 g1g3 h6h5 d3d2,-715
R4b1r/1pk4p/p1p3p1/2npQ3/8/1P6/q4PPP/5RK1 b - -,c7b6 e5h8 f8d6 a8d8 d6e7 d8e8 e7d6 h8f6 d6c7 b3b4,440
r4rk1/p1pq4/5p2/3p2p1/1bpP3p/PPNbP2P/5PPB/R1QR2K1 b - -,b4e7 f2f3 a8b8 b3c4 d5c4 c3e4 d7e6 e4f2 b8b3 h2c7,-15
8/8/8/2K3Q1/8/8/2P2p2/5k2 b - -,b4e7 f2f3 a8b8 b3c4 d5c4 c3e4 d7e6 e4f2 b8b3 h2c7,Mate
4r3/5r1k/7p/2pN1p2/P1Pbq3/1P4B1/3Q2PP/5R1K b - -,e4e2 d2c1 f7b7 c1b1 e8e4 f1f3 h7g8 b1c1 e2a2 f3f1,-40
8/4R1pk/3Npp1p/2Pp4/3P1PbP/2r5/3K4/8 b - -,c3a3 c5c6 h7g6 c6c7 a3a2 d2c3 a2a8 c3b4 g4h3 b4c5,346
2kr1b1r/p1ppq1p1/b1p4p/3np3/2P4P/1P4P1/PB1NQP2/R3KB1R b KQ -,d5b4 d2f3 e7e8 e1a1 e5e4 f3e5 d7d6 f1h3 c8b8 e2d2,24
