6B1/8/1q6/8/1k6/8/1B6/1K6 b - -,f7h5 g4c4 b5b8 f2f5 h7h6 b4b5 h5e8 c4a4 g5d8 f5e5,Mate
2r3k1/pp3pp1/1r2p2p/q2pP3/P7/2P3P1/1PQ2P1P/1R2R1K1 b - -,b6c6 c2b3 a5b6 b3d1 c6c4 e1e3 c8c6 b1a1 b6c7 h2h4,-96
r5k1/ppp3pp/3p4/4pr2/2P1Rp2/B2q4/P4P2/R3K3 b - -,b6c6 c2b3 a5b6 b3d1 c6c4 e1e3 c8c6 b1a1 b6c7 h2h4,Mate
8/6R1/4b3/6k1/5p1p/6p1/1P4K1/8 b - -,g5f6 g7h7 h4h3 g2f3 e6d5 f3f4 g3g2 h7h6 f6e7 f4e5,-996
3rk3/1p4bp/p1bq1pp1/3p4/8/1B3NP1/PP1Q1PP1/3R2K1 b - -,f6f5 d1e1 e8d7 f3d4 g7d4 d2d4 d7c7 g1h2 d6f8 e1e6,-15
8/1k4p1/8/Pp2p2p/1P2P1PP/5K2/8/8 b - -,b7b8 g4h5 b8c8 f3g3 c8d7 g3g4 d7c7 g4g5 c7d6 g5g6,6421
r4rk1/1p1b2pp/1q2ppn1/pP1pPn2/P2P4/B2B1N2/5PPP/2RQ1RK1 b - -,f8b8 h2h4 b8c8 e5f6 g7f6 d3f5 e6f5 d1d2 c8e8 h4h5,293
r1b2rk1/p1p3bp/2p3p1/5p2/3PpB2/2P2P2/PP4PP/RN2R1K1 b - -,,0
1rbq1rk1/p4ppp/1p2Nnn1/2pP4/4P3/6B1/PP2BPPP/R2QK2R b KQ -,d8e8 e6f8 e8f8 g3b8 c8h3 b8g3 h3g2 e2f3 g2f3 d1f3,583
1k2b3/1pq4n/3N2rp/2P4p/n2Pp3/KQB4R/P7/3R4 b - -,g6d6 c5d6 c7d6 b3b4 d6e6 h3e3 h7f6 d4d5 f6d5 b4e4,259
rn1q1rk1/pb2bpp1/1p2pn1p/4N3/2BP3B/2N5/PP3PPP/R2Q1RK1 b - -,d8e8 d1e2 b8c6 a1d1 a8d8 c4b5 d8c8 f1e1 f6d5 c3d5,40
