r1bqkbnr/1p3ppp/p1n5/2ppP3/5B2/2N1P3/PPP2PPP/R2QKBNR b KQkq -,d8a5 d1d5 c8e6 d5e4 g8e7 a1d1 e6f5 e4f3 f5c2 d1d2,156
8/8/8/3k4/3n1KQ1/8/8/8 b - -,d4e6 f4f5 e6d4 f5f6 d4b5 g4d7 d5c5 f6e5 c5c4 d7c6,6126
8/8/3kn3/8/4Q3/8/5K2/8 b - -,d4e6 f4f5 e6d4 f5f6 d4b5 g4d7 d5c5 f6e5 c5c4 d7c6,Mate
rnbqkbnr/pp2pp1p/6p1/2pp4/3P1B2/2P2N2/PP2PPPP/RN1QKB1R b KQkq -,b8d7 e2e3 g8f6 h2h3 f8g7 f1e2 e8h8 e1h1 f6e4 b1d2,47
rnbqkbnr/pp2pp1p/6p1/3p4/3P1B2/5N2/PP2PPPP/RN1QKB1R b KQkq -,a7a6 e2e3 f8g7 b1c3 b8c6 h2h3 g8f6 a1c1 e8h8 f1e2,87
rn1qkbnr/ppp3pp/8/3ppb2/8/1B3Q2/PPPP1PPP/RNB1K1NR b KQkq -,f5e4 f3h5 e4g6 h5e5 g8e7 g1f3 b8c6 e5e2 d8d6 d2d4,137
rnbqkbnr/3p1ppp/p3p3/1pp5/2P1P3/1B6/PP1P1PPP/RNBQK1NR b KQkq -,b8c6 d2d3 f8e7 g1f3 g8f6 b1c3 d8b6 a1b1 d7d6 e1h1,-77
rnbqk2r/ppp2pbp/3p1pp1/1B6/3PP3/2N5/PPP2PPP/R2QK1NR b KQkq -,c7c6 b5d3 e8h8 g1e2 f8e8 e1h1 b8a6 d1d2 a6b4 d3c4,-75
rn1qkbnr/1bpppppp/pp6/8/3PPP2/3B4/PPP3PP/RNBQK1NR b KQkq -,d7d5 e4e5 e7e6 c2c3 g8e7 g1f3 g7g6 e1h1 c7c5 b1a3,128
rnb1kb1r/ppp1pp1p/1q3np1/8/3P4/N4N2/PPP2PPP/R1BQKB1R b KQkq -,c7c6 a3c4 b6c7 g2g3 f8g7 c1f4 c7d8 f1g2 f6d5 f4c1,106
rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/N1P2N2/PP2PPPP/R1BQKB1R b KQkq -,b8d7 g2g3 f8a3 b2a3 d7b6 c1g5 e8h8 g5f6 d8f6 e2e3,-66
rnbqkb1r/pppppppp/8/4P3/2BP1n2/8/PPP2PPP/RNBQK1NR b KQkq -,g7g5 c1f4 g5f4 d1h5 e7e6 d4d5 b7b5 c4b3 a7a5 a2a4,322
5b2/5N2/4N3/3p4/3k4/8/8/6K1 b - -,d4c3 e6f8 d5d4 f7e5 d4d3 e5d3 c3d4 d3f4 d4c3 g1f2,7
r1b1k2r/pp1p1ppp/1qn1pn2/2b5/5B2/1P1BPN2/P1P2PPP/RN1QK2R b KQkq -,f6h5 f4g5 h7h6 g5h4 g7g5 f3d2 d7d5 d1h5 g5h4 e1h1,-73
r1bqkbnr/pp2pppp/2np4/8/4P3/P2Q4/1PP2PPP/RNB1KBNR b KQkq -,a7a6 g1f3 g8f6 b1c3 g7g6 f1e2 f8g7 e1h1 e8h8 h2h3,52
r1bqk2r/ppp2ppp/2n2p2/8/1bBP4/2N1P3/PP3PPP/R2QK1NR b KQkq -,a7a6 g1e2 b4d6 c3e4 d6b4 e4d2 c8e6 c4d3 e8h8 e1h1,75
r1bqk2r/ppp1bppp/2n1pn2/3P2B1/3P4/4PN2/PP3PPP/RN1QKB1R b KQkq -,c6b8 d5e6 c8e6 b1d2 c7c5 g5f6 e7f6 d2e4 c5d4 e4f6,276
r1bqk2r/ppp1Bppp/2n1p3/3n4/3P4/4PN2/PP3PPP/RN1QKB1R b KQkq -,d5e7 b1d2 e8h8 f1e2 c6b4 e1h1 b7b6 a2a3 b4d5 d1c2,109
r3kb1r/ppp1pppp/2n2n2/q7/6b1/2NB1N2/PPPP1PPP/R1BQR1K1 b kq -,c6d4 d3e2 d4e2 d1e2 a5h5 d2d3 g4f3 e2f3 h5f3 g2f3,-96
r1bqk2r/ppp2pbp/2np1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,f6d7 c1g5 f7f6 g5e3 e8h8 d4d5 c6e7 g1h1 a7a5 g2g4,126
rnb1kb1r/ppp1pp1p/3q1np1/4N3/3P4/2N5/PPP2PPP/R1BQKB1R b KQkq -,c8f5 c1f4 f6d5 f1c4 d5f4 c4f7 e8d8 d1f3 f4g2 f3g2,167
rnbqkb1r/pp2pppp/5n2/1Bp5/8/2P2N2/PP3PPP/RNBQK2R b KQkq -,d8d7 b5d7 c8d7 d1b3 b8c6 b3b7 a8b8 b7a6 e7e5 a6e2,574
r1bq1rk1/pp1p1ppp/2n1pn2/2b5/8/P3PN2/1PP1BPPP/RNBQ1RK1 b - -,f6e4 b2b4 c5e7 c2c4 e7f6 a1a2 d7d5 d1c2 c8d7 e2d3,55
8/3b4/3k4/8/2Q5/3K4/8/8 b - -,a7a6 b2b4 c5e7 c2c4 d7d5 c1b2 d5c4 e2c4 d8d1 f1d1,Mate
rnbqkb1r/pp3ppp/2p2n2/4p3/2Pp4/5NP1/PP1PPPBP/RNBQK2R b KQkq -,e5e4 f3g5 f6g4 g5h3 d8e7 d2d3 e4e3 b1a3 e7b4 e1f1,-192
rnbqkb1r/pp3ppp/2p2n2/4p3/N1Pp4/5NP1/PP1PPPBP/R1BQK2R b KQkq -,e5e4 f3g5 d8e7 d2d3 e4d3 g5f3 e7b4 f3d2 c8g4 a2a3,-84
rnbqk1nr/ppp2ppp/4p3/3p2N1/3P4/8/PPPQPPPP/RN2KB1R b KQkq -,c7c5 d4c5 g8f6 b1c3 b8d7 e2e3 e8h8 f1e2 d7c5 d2d4,-48
r1bq1rk1/pp3ppp/8/8/3Np1n1/1B2P1K1/PP2QPP1/R1B2R2 b - -,h7h5 f1h1 d8d6 f2f4 e4f3 g3f3 d6f6 f3g3 f6e5 g3f3,-310
rnbqkb1r/ppp2ppp/4pn2/8/2B5/5Q2/PPPP1PPP/RNB1K1NR b KQkq -,b8c6 f3d1 c6e5 c4e2 e5g6 g1f3 f8e7 d2d4 e8h8 e1h1,-78
8/8/8/8/1KQ1k3/8/8/8 b - -,b8c6 f3d1 c6e5 c4e2 e5g6 g1f3 f8e7 d2d4 e8h8 e1h1,Mate
rnbqkbnr/pp3ppp/3pp3/8/2BPP3/8/PP3PPP/RNBQK1NR b KQkq -,b8c6 d4d5 e6d5 c4d5 g8f6 b1c3 f6d5 c3d5 f8e7 g1e2,80
r2qkb1r/1pp2ppp/p1n1pn2/3p4/3P1Bb1/2PBPN1P/PP3PP1/RN1QK2R b KQkq -,g7g5 f4g5 g4h5 b1d2 h5g6 d1c2 f8e7 e1h1 f6d7 g5h6,252
r2q1rk1/pp2ppbp/6p1/2pP4/4P3/2P1BQ2/P4PPP/R4RK1 b - -,b7b5 e3c5 a8c8 f3e3 f7f5 c5d4 g7d4 c3d4 f5e4 e3e4,59
r1bqk2r/pppn1ppp/4pn2/1B1p2B1/1b1P4/2N1PN2/PPP2PPP/R2QK2R b KQkq -,h7h6 g5h4 a7a6 b5e2 b4e7 a2a4 b7b6 c3b1 e8h8 b1d2,-35
rnbqkb1r/pppp1ppp/5n2/4p1P1/3P4/8/PPP1PP1P/RNBQKBNR b KQkq -,f6g4 f2f3 g4h6 d4e5 h6g8 b1c3 h7h6 f3f4 b8c6 g1f3,151
r1b1kbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNB1K2R b KQkq -,f7f5 d2d3 f5e4 d3e4 g8f6 e1h1 f8c5 b1c3 d7d6 c1e3,-31
r1bqkbnr/ppp2ppp/2p5/8/8/4P3/PPPP1PPP/RNBQKB1R b KQkq -,c8e6 c2c4 d8g5 h2h4 g5e7 d2d4 f7f5 d1a4 e6d7 f1e2,187
rn1qkb1r/ppp1ppp1/5n1p/3p1b2/8/3P1NP1/PPP1PPBP/RNBQ1RK1 b kq -,g7g5 b2b4 f8g7 c1b2 e8h8 b1d2 f8e8 c2c4 c7c6 a2a4,112
rnbqkbnr/pp3pp1/2pp3p/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq -,e5d4 d1d4 b8d7 b1c3 d8b6 c1f4 b6d4 f3d4 d7e5 c4e2,86
r1bqk2r/pppnbppp/4pn2/3p4/2PP4/5NP1/PP1NPPBP/R1BQK2R b KQkq -,c7c5 c4d5 e6d5 d4c5 d7c5 d2b3 c5e4 e1h1 e8h8 c1f4,31
r2qkb1r/ppp1ppp1/2n2n1p/3p1b2/8/3P1NP1/PPPNPPBP/R1BQ1RK1 b kq -,d8c8 b2b4 c6b4 a1b1 e7e6 c2c4 c7c6 c4d5 e6d5 c1b2,101
rn1qkb1r/ppp1ppp1/5n1p/3p1b2/3P4/P1N2N1P/1PP1PPP1/R1BQKB1R b KQkq -,e7e6 e2e3 f8d6 f1d3 c7c6 g2g4 f5d3 c2d3 c6c5 d4c5,-18
