8/P7/8/8/2p3k1/5p2/3K4/8 b - -,c4c3 d2c3 f3f2 a7a8q f2f1q a8e4 g4g3 c3d2 f1f4 d2d3,Mate
5k2/6pp/1q6/p3Q3/1p1P4/2Pp3P/P4PP1/6K1 b - -,b4c3 e5f5 f8e7 f5d3 b6b4 a2a3 b4a3 d3e3 e7d6 e3e5,-12
6q1/7k/1pBp1n1p/pP1PpP1P/4nr2/2P2Nr1/2K1Q1R1/6R1 b - -,f4f3 e2f3 g3f3 g2g8 f6g8 c6e8 g8f6 e8g6 h7g8 c3c4,-673
r1bqk1nr/ppp3p1/2np1p2/2B1p3/2B1P2p/2NP1N2/PPP2PPP/R2Q1RK1 b kq -,d6c5 h2h3 g7g5 f3d2 e8f8 c3d5 f8g7 c2c3 g8e7 d1f3,31
2q3k1/Qp2rpb1/6pp/2P5/4n3/4BN2/P4PPP/2R2RK1 b - -,e7c7 a7a3 g6g5 a3d3 c7e7 f3d4 c8d7 c1d1 e7e5 d4b3,545
8/8/8/8/2b2B2/1rp1R2p/1P1k1P2/6K1 b - -,,0
8/pp6/6pQ/8/8/P5PK/1r5P/1k6 b - -,b1a2 h6g6 b2b6 g6g5 b6b3 a3a4 b7b6 h3h4 b3b2 g5d5,626
3r1bkr/ppp3p1/7p/8/4N1bP/4p2N/PPn2PP1/1RB2RK1 b - -,e3e2 c1f4 e2f1q b1f1 c7c6 f4c7 d8e8 f1c1 e8e4 c1c2,-566
2r3k1/1RP1pp1p/p1P1b1p1/8/8/4K3/4PPPP/3r2NR b - -,a6a5 b7a7 d1a1 f2f4 a5a4 h2h4 a4a3 e3f2 a3a2 h1h3,-280
3k4/1RBP4/5npp/1p6/p2b4/P2P3P/5PP1/6K1 b - -,d8d7 c7e5 d7c6 e5d4 f6d5 b7a7 d5f4 d4e3 f4d3 e3h6,Mate
2b3k1/7p/p4P2/8/3r1Bp1/8/4R1KP/3q4 b - -,d8d7 c7e5 d7c6 e5d4 f6d5 b7a7 d5f4 d4e3 f4d3 e3h6,Mate
1k6/r7/p2R1bb1/P7/5p1p/5B1P/1PP2PP1/1K6 b - -,a7c7 d6f6 g6c2 b1a2 c2d3 f6f4 c7c5 a2b3 c5a5 f4h4,464
r1bq1k2/pp2b1rp/2p2ppB/8/4P3/1Q6/PPPN1PPP/R3K2R b KQ -,a7a5 e1h1 a5a4 b3e3 f8g8 h6g7 g8g7 a1d1 d8a5 d2f3,349
r1bqkb1r/ppp2p1p/2np1np1/8/4P3/2N4P/PPP1NPP1/R1BQKB1R b KQkq -,c8d7 c1e3 f8g7 d1d2 e8h8 e2g3 a7a6 e1a1 b7b5 e3h6,75
Q7/1K6/8/7k/8/7P/8/r7 b - -,,0
r1b2rk1/1pq1bppp/p3pn2/3P4/1n3P2/2N3PP/PPP1N1BK/R1BQ1R2 b - -,b4d5 c3d5 f6d5 f4f5 d5f6 d1d3 e7d6 c1g5 d6e5 e2f4,-61
r1bq1rk1/1p3ppp/p1n5/2bp4/P3nN2/3BPN1P/1P3PP1/R1BQ1RK1 b - -,f8e8 d3c2 c8e6 c1d2 e6f5 a1c1 d8d6 f3h4 f5c8 d2e1,9
r5k1/1pp2rb1/n2pN2p/p2P4/2P1Rpq1/P4N2/1P1Q1PP1/5RK1 b - -,a5a4 f1e1 a6c5 e6c5 d6c5 f3e5 g7e5 f2f3 g4g3 e4e5,222
1r2r1k1/5pbp/p2pp1p1/7q/2P1PP2/4N1P1/P1RQ3P/4R1K1 b - -,h5c5 g1g2 a6a5 d2d3 a5a4 e1e2 e8c8 e2d2 a4a3 e3d1,-90
rn1qk2r/ppp2ppp/4pn2/3p1b2/3P1P2/2N1PN2/PPP2P1P/R2QKB1R b KQkq -,e8h8 f3e5 c7c5 d4c5 b8c6 e5c6 b7c6 d1d4 f5c2 b2b4,-33
8/2rk4/1R1b1r2/P4b2/1P3p1p/5B1P/1KP1RPP1/8 b - -,d7d8 c2c3 f5d7 e2e1 d6e7 b2b3 c7a7 b6b8 d8c7 b8h8,244
5rk1/p1r5/2pNp1B1/q2nP3/1p4QP/4P3/PP3P2/2R2bK1 b - -,d5f6 e5f6 g8h8 g4f4 a5d5 c1f1 c7h7 g6h7 h8h7 d6e4,633
Q2b4/3k3p/3p4/1p1P1p2/5RP1/2P5/4qP1P/1K6 b - -,e2d1 b1b2 d1d2 b2b3 d2f4 a8b7 d8c7 b7b5 d7d8 b5c6,-199
rnbqkbnr/pp3ppp/4p3/2ppP3/3P1P2/2N5/PPP1N1PP/R1BQKB1R b KQkq -,d8c7 c1e3 g8h6 d1d2 c8d7 d4c5 h6f5 e3g1 f8c5 e1a1,39
r1bq1b1r/ppp2k2/2n2n1p/3p4/3PPBpP/2NB4/PPP3P1/R2QK2R b KQ -,d5e4 c3e4 f6e4 d3e4 d8d4 d1d4 c6d4 f4c7 c8f5 e1h1,-285
3q3k/1p4b1/p3p2r/3pP2p/bP3P2/P2B2QP/2P2BP1/2R1R1K1 b - -,a4c6 g1h1 d8e8 g3g5 d5d4 f2h4 h6h7 f4f5 g7f8 d3e4,687
5k2/6pp/1q6/p4Q2/3P4/2pp3P/P4PP1/6K1 b - -,f8e7 f5d3 b6b4 a2a3 b4a3 d3e3 e7d6 e3e5 d6c6 d4d5,-4
1k6/3r4/R2b1rb1/P7/5p1p/5B1P/1PPR1PP1/1K6 b - -,b8c7 a6a7 c7d8 a7d7 d8d7 a5a6 g6h5 f3h5 d7c7 c2c3,568
8/8/8/8/2b2B2/1R5p/1p1k1P2/6K1 b - -,,0
2n1rrk1/6q1/p5p1/1p1QPbNp/8/1P2R2P/P1PR2B1/7K b - -,f8f7 g5f7 g7f7 d5d4 g8h7 c2c3 c8e7 d2f2 f7g7 h1g1,417
K7/8/8/7k/8/7P/8/8 b - -,,0
7K/5k2/5n2/8/7P/5P2/8/8 b - -,h5h4 a8a7 h4h3 a7b6 h3g3 b6c7 g3f3 c7d6 f3e3 d6c6,Mate
8/8/4b3/8/4k3/2P3Bp/5P2/1r1R1K2 b - -,h5h4 a8a7 h4h3 a7b6 h3g3 b6c7 g3f3 c7d6 f3e3 d6c6,Mate
8/8/B7/3K4/8/2N1k3/8/8 b - -,e3d2 c3a2 d2c2 a6c4 c2b2 a2b4 b2c3 b4d3 c3c2 d5d4,205
8/2R5/7k/r3p3/5n1P/5K2/P1B5/8 b - -,a5a7 c7a7 f4g6 f3g4 g6f8 h4h5 e5e4 c2e4 f8d7 a7a6,Mate
r5k1/ppp2p1p/6pB/4q3/3bP1P1/2NB1QnP/PPP3K1/R7 b - -,g6g5 f3g3 e5f6 a1f1 f6h6 g3c7 h6e6 c7b7 a8e8 b7d5,612
r3r1k1/1p3p1p/p5p1/2pP1q2/3b1P2/3P1QPP/PP6/1RB2K1R b - -,c5c4 c1d2 c4d3 g3g4 f5d7 h1h2 a8d8 b2b3 d7b5 a2a4,-192
r7/p2k3p/1pR3p1/1P1p1p2/3P1P2/4P1P1/3K1P2/8 b - -,a8b8 c6c1 b8a8 c1a1 h7h5 a1a3 d7d8 d2d3 d8d7 a3a2,34
2r3k1/4p2p/p4rp1/1pq5/2p2P2/2P1PKP1/PQ4P1/2R2R2 b - -,c8d8 f1d1 f6d6 d1d4 e7e5 d4d6 d8d6 f3f2 d6d3 c1e1,-143
rn2kbnr/pbppqppp/1p6/4p3/2B1P3/5Q2/PPPPNPPP/RNB2RK1 b kq -,b8c6 b1c3 e7f6 f3h3 e8a8 d2d3 h7h5 f2f4 g8h6 a2a3,52
2krn3/1p3p2/pRB1p3/4P3/8/2N5/PPP4r/2K3R1 b - -,b7c6 c3a4 d8d5 b6c6 c8b7 c6b6 b7a7 g1f1 h2h7 b6c6,137
rnb1k2r/pp1p1ppp/4p3/2n5/2PN4/P4P2/6PP/R1B1KB1R b KQkq -,b7b6 c1f4 c8b7 d4b5 b8a6 a3a4 b7c6 f1e2 c5b7 e1f2,-218
Q7/4q2k/8/5K2/R7/7P/8/3r4 b - -,b8a6 f1e2 d7d6 e1h1 c8d7 f3f4 e8e7 e2f3 a8c8 c1e3,Mate
r2qkb1r/1pp2ppp/p1Pp1n2/1B2p3/4P3/2N2Q2/PPP2PPP/R1B2RK1 b kq -,a6b5 c6b7 a8a7 c3b5 a7b7 b5c3 c7c6 a2a4 f8e7 a4a5,208
rnb1k1nr/ppp2p1p/3b4/3PN3/2BP1Bp1/7q/PPP2K1P/RN1Q3R b kq -,g8f6 b1c3 c8f5 h1e1 e8h8 d1d2 f6h5 c4f1 h3h4 f4g3,63
8/1R1k4/5npp/1p2B3/p2b4/P2P3P/5PP1/6K1 b - -,d7c8 b7b8 c8d7 e5d4 f6d5 b8b5 d7e6 b5a5 d5f4 a5a6,711
r1bq1rk1/p1p2ppp/2p5/b2pP3/P2P4/5N2/1P1N1PPP/R2Q1RK1 b - -,f7f6 a1c1 c8g4 c1c6 f6e5 d4e5 d8e8 d1c2 a5b6 e5e6,31
5r2/ppkr1pp1/2p1pn1p/8/3P4/2PB1PP1/PP4P1/2KR3R b - -,f8d8 a2a3 b7b5 g3g4 a7a5 h1e1 d7d5 e1e5 d5e5 d4e5,-22
rnb2rk1/ppp1npp1/3qp2p/3p4/3P1P2/2PB1NP1/PP1N1P1P/R2QK2R b KQ -,a7a5 d3b1 b7b6 d1c2 f7f5 e1h1 c8a6 f1e1 b8d7 f3e5,31
r1bqr1k1/1p3ppp/p1n5/2bp4/P3nN2/1Q1BPN1P/1P3PP1/R1B2RK1 b - -,c8f5 b3d5 d8d5 f4d5 a8d8 d5f4 c6a5 b2b4 c5b4 c1a3,8
r4rk1/3qbppp/1p1pbn2/p1p1p3/P1P1P3/1PN1BQNP/2P2PP1/3R1RK1 b - -,f6e8 e3c1 a8d8 g3f5 f7f6 f3d3 e8c7 f2f4 c7a6 g2g4,162
8/8/8/8/8/3k1K1p/5P1B/6r1 b - -,g1g6 h2e5 d3d2 e5h2 g6g8 h2f4 d2e1 f4g3 e1f1 g3e5,-1171
8/8/8/8/2b2B2/7p/1Rk2P2/6K1 b - -,,0
5r1k/p1r5/2pNp1B1/q2nP2Q/1p5P/4P3/PP3P2/2R2bK1 b - -,h8g8 h5g4 g8h8 c1f1 c7g7 g4h5 h8g8 g1h2 d5e7 g6f7,Mate
rnb1kb1r/1p3ppp/p3pn2/8/3N4/2P2N2/PP3PPP/R1B1KB1R b KQkq -,b7b6 f3e5 c8b7 c1f4 b8d7 e5c4 f6d5 c4d6 f8d6 f4d6,7
6q1/7k/1pBp1n1p/pP1PpP1P/4n3/2P2Qr1/2K3R1/6R1 b - -,g3f3 g2g8 f6g8 c3c4 g8f6 c4c5 e4c5 c2c1 f3f5 g1g6,-642
r2r2k1/2qn1ppp/3bpn2/1P1p4/P1p5/2B1PN2/2QN1PPP/R4RK1 b - -,e6e5 a4a5 e5e4 b5b6 c7b8 f3d4 d6h2 g1h1 f6g4 d4f5,96
2rr2k1/pb1nqpp1/1p5p/3p2n1/2PP1N2/1P1B4/P1QN2PP/2R1R1K1 b - -,e7d6 f4e2 d5c4 b3c4 d7f6 d3f5 c8c7 h2h4 d6c6 d4d5,-144
2r5/8/6pk/6N1/1b3P2/5KP1/R7/8 b - -,h6g7 a2a7 g7g8 f3g4 c8c6 a7b7 b4c5 g5f3 c6b6 b7c7,45
8/4k1pp/1q6/p7/3P4/2pQ3P/P4PP1/6K1 b - -,b6b4 a2a3 b4a3 d3e3 e7d6 e3e5 d6c6 d4d5 c6b6 e5b8,-2
8/8/B7/8/3K4/2N5/3k4/8 b - -,d2c2 c3e2 c2b3 a6d3 b3b4 e2c1 b4a5 d3c4 a5b6 c1d3,9605
Q7/8/4pK2/3k4/8/7P/1pp5/8 b - -,d2c2 c3e2 c2b3 a6d3 b3b4 e2c1 b4a5 d3c4 a5b6 c1d3,Mate
3r2k1/4p2p/p2r2p1/1pq5/2pR1P2/2P1PKP1/PQ4P1/2R5 b - -,e7e5 d4d6 d8d6 f3f2 d6d3 b2e2 e5e4 c1e1 d3c3 e2g4,-125
8/3rk1pp/p4p2/P3b3/1P6/4P3/2R3P1/1R5K b - -,h7h5 c2c6 d7a7 b4b5 a6b5 b1b5 a7d7 h1g1 g7g5 g1f1,378
1R6/5P1k/8/7p/1rP5/p2n3P/5P2/6K1 b - -,b4b8 g1f1 a3a2 f1e2 d3c1 e2d2 a2a1q f2f4 a1b2 d2e3,-1071
8/4k1p1/5p2/1p2q3/2p5/2P2K2/1P6/6N1 b - -,e5h2 g1e2 e7d6 e2d4 d6d5 d4e2 g7g5 e2g3 d5e5 g3f1,-1182
1rb2rk1/p1q1bppp/2p1p3/2pn4/4N3/1B1P3P/PPPB1PP1/R2Q1RK1 b - -,f7f6 d1e1 f6f5 d2a5 c7d7 e4d2 e7f6 d2c4 c8a6 a1d1,55
8/8/6r1/4B3/8/3k1K1p/5P2/8 b - -,d3d2 e5g3 d2e1 g3c7 g6g8 f3e3 e1f1 e3f3 g8g2 f3e4,-1208
5rk1/p1r5/2pNp1B1/q2nP2Q/1p5P/4P3/PP3P2/5RK1 b - -,a5c5 g1h1 d5f6 h5g5 c7g7 f1g1 g8h8 e5f6 c5g5 f6g7,627
r1b1kb1r/1p3ppp/p1n1pn2/8/3N1B2/2P2N2/PP3PPP/R3KB1R b KQkq -,c6d4 f3d4 c8d7 f1e2 h7h5 h2h3 e8a8 e1h1 f6d5 f4h2,5
r2b2rk/5p1p/3q1pnB/p2p1P1N/1p1P4/3B3P/PPP2Q2/1K3R2 b - -,d8e7 f5g6 f7g6 h5g3 d6e6 h3h4 a5a4 h6d2 b4b3 f1e1,297
4r1k1/pp4pp/2p5/2Pp4/KP1Pb2R/2r5/P4q2/6R1 b - -,d8e7 f5g6 f7g6 h5g3 d6e6 h3h4 a5a4 h6d2 b4b3 f1e1,Mate
8/2R5/2k2npp/1p2B3/p2b4/P2P3P/5PP1/6K1 b - -,c6b6 e5d4 b6c7 d4f6 b5b4 a3b4 a4a3 g1f1 c7d7 f1e2,699
3b2k1/pp3p2/3Pr1p1/P1P4p/3p3P/3B2P1/2RK1P2/8 b - -,,0
r2qkbnr/pp2pppp/2np4/8/P3P1b1/2PB1N2/1P3PPP/RNBQ1RK1 b kq -,a7a6 b1d2 g8f6 d2c4 e7e6 h2h3 g4h5 a4a5 f8e7 d1e2,72
r3nrk1/3qbppp/1p1pb3/p1p1p3/P1P1P3/1PN2QNP/2P2PP1/2BR1RK1 b - -,a8d8 g3f5 f7f6 f3d3 f8f7 f2f4 e8c7 f1f2 d7e8 f5g3,161
8/8/4pK2/8/Q2k4/7P/1pp5/8 b - -,a8d8 g3f5 f7f6 f3d3 f8f7 f2f4 e8c7 f1f2 d7e8 f5g3,Mate
5rk1/rpp2ppp/8/4p3/2Q4P/1pKP3B/1P3q2/2R2R2 b - -,f2e3 h3g2 a7a5 c4e4 e3b6 c3d2 c7c6 c1c4 g7g6 h4h5,-8
1k1r4/1pb2b2/p1p2r2/P7/1P2RpBp/5N1P/2P1RPP1/1K6 b - -,f7d5 e4e8 d8e8 e2e8 b8a7 f3h4 d5f7 e8e1 c7d6 c2c3,89
rnbqk2r/1p3ppp/p2ppn2/2pP4/PbP1P3/2N2P2/1P4PP/R1BQKBNR b KQkq -,f6h5 d1c2 f7f5 e4f5 e6f5 g1h3 e8h8 f1d3 d8h4 e1d1,43
Q7/4q2k/8/5K2/5R2/7P/8/5r2 b - -,f6h5 d1c2 f7f5 e4f5 e6f5 g1h3 e8h8 f1d3 d8h4 e1d1,Mate
rnbqkb1r/pp1ppppp/8/4P3/4N3/8/PP3PPP/R1BQKBNR b KQkq -,d7d5 e5d6 e7d6 e4c3 b8c6 f1c4 f8e7 g1f3 e8h8 e1h1,415
r1b2rk1/ppp2ppp/2n2B2/3pq3/3NP3/2Q2P2/PPP3PP/2KR1B1R b - -,e5f6 d4c6 f6h6 c1b1 b7c6 e4d5 f8d8 f1c4 h6d6 b2b3,229
8/7k/8/P7/5p2/1K5P/8/8 b - -,h7g8 b3c3 f4f3 c3d3 g8f8 d3e3 f8g7 a5a6 g7f6 e3f3,1471
8/2R5/7k/4pK2/7P/r2n4/P1B5/8 b - -,d3b2 c2e4 b2d3 e4d3 a3d3 f5e5 d3a3 c7c2 h6h5 c2h2,350
r2qkb1r/1Pp2ppp/3p1n2/1p2p3/4P3/2N2Q2/PPP2PPP/R1B2RK1 b kq -,a8b8 c3b5 b8b7 a2a4 f8e7 b5c3 e8h8 a4a5 c7c6 a5a6,206
r2q2k1/pN1n1ppp/4rn2/3p3b/3P4/P4N1P/1PP1BPP1/R2Q1RK1 b - -,d8e8 f1e1 e8b8 b7c5 d7c5 d4c5 b8b2 d1d3 a8b8 e1b1,126
r5k1/1p3ppp/2p5/3b4/Pp1P4/1P6/2P2PPP/4R1K1 b - -,g8f8 f2f3 a8e8 e1e8 f8e8 g1f2 e8d7 h2h3 d7d6 f2e3,-417
2q1rbk1/1b1n1p1p/p2p1np1/3Pp3/NP2P3/4B1PP/3N1P2/1Q3BK1 b - -,c8c7 d2c4 b7d5 e4d5 f6d5 e3d2 e8b8 b1e1 d7f6 a4b2,-428
6k1/Q4pp1/7p/8/8/2r1p1P1/P2q3P/5R1K b - -,b7d5 e4d5 f6d5 e3g5 d5c7 d2b3 d6d5 g5d2 e5e4 b1a1,Mate
1R3Q2/7k/8/7p/r1P5/p2n3P/5P2/6K1 b - -,b7d5 e4d5 f6d5 e3g5 d5c7 d2b3 d6d5 g5d2 e5e4 b1a1,Mate
r2qkb1r/1p1np1pp/p3pn2/2P1N3/Q7/4P3/PP3PPP/RNB2RK1 b kq -,g7g6 b1d2 b7b5 c5b6 d8b6 e5c4 b6b5 a4a3 f6d5 b2b3,227
Q7/4rpk1/6p1/p1q4p/1n1N3P/1P2P1P1/5PK1/3R4 b - -,e7e5 a8b7 e5e7 b7b5 c5b5 d4b5 b4c2 d1c1 e7e5 b5c3,96
r2q1rk1/p1p2ppp/b1p5/b2pP3/P2P4/1N3N2/1P3PPP/R2Q1RK1 b - -,a6f1 b3a5 f1a6 a1c1 d8e8 a5c6 a6b7 c6b4 a7a5 b4d3,46
r7/4q1k1/2p3p1/pp1p3p/3P4/P1N3Q1/1PP5/2K3R1 b - -,e7e8 c3e2 e8f7 g3g5 a8f8 g5h5 f7f5 h5h2 b5b4 c1d2,390
R7/8/2r1k3/p2p1p2/P2P2p1/3KP1P1/8/8 b - -,f5f4 g3f4 c6c1 a8e8 e6d7 e8e5 d7d6 f4f5 c1b1 d3e2,134
r5k1/ppp2p1p/5qpB/7n/3bP1P1/2NB1Q1P/PPP5/5R1K b - -,f6f3 f1f3 h5g7 d3c4 g7e6 c3d5 e6d8 d5f6 g8h8 c2c3,535
Q7/7k/4K3/2q5/5R2/7P/8/5r2 b - -,f6f3 f1f3 h5g7 d3c4 g7e6 c3d5 e6d8 d5f6 g8h8 c2c3,Mate
1r3rk1/p1q1bppp/b1p1p3/2pn3Q/4N3/1B1P3P/PPPB1PP1/R4RK1 b - -,b8e8 f2f4 f7f5 e4g5 e7g5 h5g5 c5c4 d3c4 d5f6 g5g3,90
2rk3r/ppp2pp1/3bbn1p/4n3/4pB2/3B3N/PPPN1PPP/2KR3R b - -,e4d3 f4e5 d6e5 d2f3 e5d6 d1d3 h8e8 h3f4 e6f5 d3d4,-539
8/1R6/2k2npp/1p6/p2B4/P2P3P/5PP1/6K1 b - -,f6d7 b7d7 c6d7 d4c3 d7e6 g1f1 e6f5 f1e2 f5f4 c3d2,701
r1b2rk1/ppp2ppp/2Q5/3p4/4P3/5P2/PPP3PP/2KR1B1R b - -,b7c6 e4d5 c8b7 f1c4 c6d5 c4d5 b7d5 d1d5 f8e8 h1d1,286
4Q3/2r2pk1/2n3p1/p5Np/1q2P2P/1P1R2P1/5P2/6K1 b - -,b4b7 d3d6 b7b8 e8b8 c6b8 e4e5 c7b7 e5e6 f7e6 g5e6,104
3r4/p1kr1pp1/2p1pn1p/1p6/3P4/1BP2PP1/PP4P1/2KR3R b - -,b5b4 g3g4 b4c3 b2c3 c6c5 b3a4 d7d5 d4c5 d5c5 d1d8,-31
r2qr1k1/1p3ppp/p1n5/2bQ1b2/P3nN2/3BPN1P/1P3PP1/R1B2RK1 b - -,d8d5 f4d5 a8d8 d5f4 c6a5 b2b4 c5b4 c1a3 b4d6 a3d6,8
r4rk1/pQpqppbp/5np1/3pNb2/3P1B2/2P1P3/PP3PPP/RN3RK1 b - -,d7e6 b7c7 f8c8 c7a5 f6h5 b1d2 h5f4 e3f4 g7h6 g2g3,95
r5rk/4bp1p/3q1pPB/p2p3N/1p1P4/3B3P/PPP2Q2/1K3R2 b - -,f7g6 h5g3 a5a4 h3h4 d6d7 h6c1 b4b3 c2b3 a4b3 a2a3,299
r3nrk1/3q1ppp/1p1pbb2/p1p1pN2/P1P1P3/1PN2Q1P/2P2PP1/2BR1RK1 b - -,f6e7 g2g4 f7f6 f3g2 f8f7 f2f4 e7f8 d1d3 d7b7 h3h4,191
4rrk1/pp4pp/2p5/2Pp4/1P1Pb2R/K7/P4q2/2Q3R1 b - -,f6e7 g2g4 f7f6 f3g2 f8f7 f2f4 e7f8 d1d3 d7b7 h3h4,Mate
Q7/7k/8/8/1K6/7q/8/8 b - -,,0
8/1k6/5Bpp/1p6/p7/P2P3P/5PP1/6K1 b - -,b7c7 f6c3 c7d6 g1f1 g6g5 f1e2 d6c5 c3b4 c5d4 e2d2,9605
8/8/4pK2/8/8/1Q1k3P/1pp5/8 b - -,h6h5 f6c3 g6g5 g1f1 b7c7 c3b4 c7d7 f1e2 d7e6 e2e3,Mate
r1b2rk1/1pq1bppp/p3pn2/3P4/1n3P2/2N3PP/PPPBN1B1/R2Q1RK1 b - -,f8d8 g1h2 b4d5 d1e1 d8e8 c3d5 e6d5 d2c3 c8d7 e1d2,-67
r1bq1rk1/1p4bp/p2p1nn1/3Pp3/2N1Ppp1/3N1P2/PP1BB1PP/2RQ1RK1 b - -,a6a5 d1b3 a8a6 b3b5 g4g3 d2a5 d8e7 h2h3 f6e8 f1d1,90
r1rb2k1/4qppp/B2p1n2/3Pp1N1/p7/1P3R2/P3QPPP/3R2K1 b - -,c8c7 a6b5 a4b3 f3b3 h7h6 g5f3 a8b8 a2a4 c7c5 f3d2,-60
2rq1rk1/p2nbppp/bpp1pn2/3p4/2PP4/PP3NP1/1BQ1PPBP/RN1R2K1 b - -,c6c5 d4c5 b6c5 b1d2 f8e8 e2e3 a6b7 f3e1 e7f8 a1c1,11
5N2/6k1/6R1/8/8/8/8/6K1 b - -,c6c5 d4c5 b6c5 b1d2 f8e8 e2e3 a6b7 f3e1 e7f8 a1c1,Mate
r2q1rk1/ppp2pp1/3p3p/2b1n3/2B1P1bQ/2NP4/PPP2PPP/R1B2RK1 b - -,d8h4 c1f4 g8h8 a2a4 a7a5 c3d5 c7c6 d5e3 e5c4 d3c4,-732
1Q2q2k/6p1/1P5p/p4B2/8/P4p2/5n1P/1R4K1 b - -,e8b8 b1c1 f2e4 c1c8 b8c8 f5c8 e4d6 g1f2 h8h7 f2f3,495
8/P7/6k1/2K5/8/5R1P/1r3p2/8 b - -,,0
8/1R3N2/p2rb1p1/6kp/8/7P/5PPK/8 b - -,,0
r4k2/1p3ppp/2p5/3b4/Pp1P4/1P3P2/2P3PP/4R1K1 b - -,a8e8 e1e8 f8e8 g1f2 d5e6 f2e3 e6f5 e3d2 g7g5 d2c1,-477
r1b2rk1/p1p2ppp/8/3R4/8/5P2/PPP3PP/2K2B1R b - -,g7g6 f1d3 f8e8 h1d1 a8b8 d5a5 a7a6 d3c4 b8b6 a5c5,331
1r2r1k1/5pbp/p2pp1p1/2q5/2P1PP2/4N1P1/P1RQ2KP/4R3 b - -,a6a5 d2d3 a5a4 e1e2 h7h5 e3d1 b8b4 d1e3 e8c8 e2d2,-94
3r4/2kr1pp1/2p1pn1p/pp6/3P4/PBP2PP1/1P4P1/2KR3R b - -,a5a4 b3a2 h6h5 h1e1 g7g6 e1e5 f6e8 a2b1 e8d6 b1d3,-29
Q7/7k/8/2K5/7q/8/8/8 b - -,,0
rnb2rk1/p1p1npp1/1p1qp2p/3p4/3P1P2/2PB1NP1/PP1N1P1P/R2Q1RK1 b - -,c7c5 f1e1 a7a5 d2f1 c8a6 d3c2 c5d4 c3d4 h6h5 f3e5,17
2krn3/5p2/p1R1p3/4P3/8/2N5/PPP4r/2K3R1 b - -,c8b7 c6c5 d8d4 a2a3 e8g7 b2b4 g7f5 g1e1 h2g2 c1b2,106
5rk1/p5r1/2pNp1B1/q2nP2Q/1p5P/4P3/PP3P2/5R1K b - -,a5c7 f1g1 c7e7 d6e4 a7a5 h5h6 f8f7 g6f7 e7f7 g1g7,537
r3kbnr/pppb1ppp/2np4/4p3/2B1PP1q/2NP2P1/PPP4P/R1BQK1NR b KQkq -,h4d8 g1f3 f8e7 h2h3 c6a5 d1e2 a5c4 d3c4 g8f6 c1d2,61
1R5Q/7k/8/7p/rnP5/p6P/5P2/6K1 b - -,h4d8 g1f3 f8e7 h2h3 c6a5 d1e2 a5c4 d3c4 g8f6 c1d2,Mate
r4rk1/1p1q2bp/p2p1nn1/3Pp3/2N1Pp2/5PpP/PP1BBN2/2RQ1RK1 b - -,,0
r3r1k1/1p3ppp/p1n5/2bN1b2/P3n3/3BPN1P/1P3PP1/R1B2RK1 b - -,,0
2b2r1k/6p1/p6p/4R3/Pr2p3/6P1/4PPBP/3R2K1 b - -,c8g4 e5e4 b4e4 g2e4 g4e2 d1d2 e2c4 d2d4 f8c8 e4b7,215
r3r1k1/1pR2pp1/p1b4p/4n2Q/1P2q2N/P3P3/5PPP/5RK1 b - -,a8d8 h2h3 d8d6 c7c6 d6c6 h4f5 c6f6 f5g3 e4c6 h5e2,-837
2rk3r/pp1qnNbp/n5p1/8/Q7/5N2/PP3PPP/R1B2RK1 b - -,d8e8 f7d6 e8d8 a4a5 d7c7 d6b7 d8e8 a5a6 c7c6 b7d6,681
r2q1rk1/p1p2ppp/b1p5/N2pP3/P2P4/5N2/1P3PPP/2RQ2K1 b - -,f8e8 c1c5 e8e6 h2h3 d8e8 d1c2 f7f6 a5c6 a6e2 c2e2,41
rnb1k2r/ppp1np1p/3b4/3PN3/2BP2p1/6Bq/PPP2K1P/RN1Q3R b kq -,e8h8 d1f1 h3h6 f1c1 h6h5 b1c3 b8d7 c1e3 d7b6 c4b3,-110
8/8/6r1/8/8/5KBp/5P2/4k3 b - -,c8f5 b1c3 b8d7 d1d2 d7e5 d4e5 d6c5 f2e1 e8a8 c4f1,Mate
r1bq1b1r/ppp2k2/2n4p/3n4/2BP1BpP/2N5/PPP3P1/R2QK2R b KQ -,f7g7 c4d5 f8d6 e1h1 h8f8 d1d2 f8f4 f1f4 d6f4 d2f4,626
8/7k/8/2KQ2q1/8/8/8/8 b - -,,0
3r3r/pp2b1pk/2p4p/5b2/7P/2N1P1P1/PP3N2/2R2K2 b - -,h8f8 f1g1 d8d2 b2b3 f5g6 c3e4 d2e2 c1c3 f8d8 c3c4,-652
r4rk1/p1qn1pp1/2pb1n1p/1p2p3/3PP3/1BP1BN2/PP4PP/R3QRK1 b - -,a8e8 f3e5 d7e5 f1f6 e5g4 f6d6 e8e4 e1g3 e4e3 g3f4,-81
1k1r3b/2p4p/pn1p4/5N2/q2PQ3/2p5/PPP4P/1K1R1R2 b - -,e5d4 c3d4 f6e4 e3h6 a8e8 e1h4 g7h6 h4h6 d7f6 f3g5,Mate
8/7k/P1K5/8/8/5R1P/1r3p2/8 b - -,,0
r5k1/ppp2p1p/5qpB/8/3bP1P1/2NB2QP/PPP5/5R1K b - -,f6e6 c3d5 d4e5 g3f3 a7a6 d3c4 b7b5 c4b3 e6d6 h1g2,692
