8/P7/8/8/2p3k1/5p2/3K4/8 b - -,c4c3 d2c3 f3f2 a7a8q f2f1q a8e4 g4g3 c3d2 f1f4 d2d3,Mate
r1b1rnk1/ppp2ppp/3q4/2p4Q/2P1Pp1N/3P3P/PBP2RP1/R5K1 b - -,f8g6 a1f1 e8e7 h4g6 f7g6 h5h4 c8e6 f2f4 e7f7 f4f7,46
r4r1k/1b4b1/p2q1n1p/1pB1pBpP/P1p1Pp2/1NPP4/1P4P1/R2Q1R1K b - -,d6c6 c5f8 g7f8 b3a5 c6b6 a5b7 b6b7 a4b5 b7b5 d3c4,136
8/4k3/7p/4KPp1/1b4P1/7P/8/8 b - -,b4d6 e5e4 d6g3 e4d5 e7d7 d5c5 g3d6 c5d5 d6a3 h3h4,-342
8/P2K4/8/7k/7P/8/5R2/r7 b - -,,0
2r3k1/pp3ppp/5b2/2B2b2/1P5P/1B6/P1P1rPP1/2KR3R b - -,b7b6 g2g4 f5e6 g4g5 e6b3 a2b3 f6e5 c5d4 c8c2 c1b1,-250
8/pQ6/8/k1q5/1b6/1P3B2/2r2PPP/R5K1 b - -,b4a3 b3b4 c5b4 b7a7 a5b5 a7d7 b5a5 d7d8 a5a4 d8d3,Mate
r1b2r1k/p5pp/1p6/2pB1p2/8/P1P1P2P/1P1n1PP1/R2R2K1 b - -,a8b8 d1d2 g7g6 a1d1 h8g7 h3h4 c8d7 d5c4 d7e8 d2d6,245
8/8/2Q3k1/8/K7/7P/8/5q2 b - -,,0
8/8/8/8/K7/4Q2k/8/5q2 b - -,,0
6k1/5rpp/3PP3/2pQ4/2P2p2/6qb/3RK3/4R3 b - -,g3e3 e2d1 e3b3 d2c2 f7f5 d5e4 b3b1 d1d2 b1b4 c2c3,407
r2q1r1k/1b3p2/p3p3/1pnp4/5PQR/PP2P3/2PN2PP/R5K1 b - -,d8h4 g4h4 h8g7 h4g5 g7h7 f4f5 f8g8 g5h5 h7g7 a1f1,656
8/1Q5k/8/8/K7/7P/8/5q2 b - -,,0
2bkr3/6Rp/8/1p3q2/1bp5/2Nn1B2/1PK2P1P/3Q2R1 b - -,b4d6 g7g8 d3f2 f3e4 f2d1 e4f5 d1e3 c2d2 e3f5 g8e8,-172
8/pQ6/8/k1q5/1P6/b4B2/2r2PPP/R5K1 b - -,c5b4 b7a7 a5b5 a7d7 b5a5 d7d8 a5a4 d8d3 b4b2 d3c2,Mate
