r2qkbnr/1p1b1ppp/p1n1p3/2ppP3/P2P4/2PB1N2/1P3PPP/RNBQK2R b KQkq -,c5d4 c3d4 d8b6 d3c2 c6b4 c1d2 a8c8 b1c3 b4c2 d1c2,-60
8/1P6/4k3/1K6/1R6/8/8/1r6 b - -,g8e7 b1d2 c5d4 c3d4 e7f5 d2b3 f8b4 c1d2 d8b6 d3f5,Mate
r1bnk1nr/ppp2ppp/8/b3N3/2B1P3/2P5/P4PPP/RNB1K2R b KQkq -,f7f6 e5d3 g8e7 c1b2 d8c6 b1a3 a5b6 c4b3 c6a5 e1a1,-40
rn1qkb1r/pp2pppp/2p1b3/3n4/2B5/2N2Q1N/PPPP1PPP/R1B1K2R b KQkq -,d8d7 h3g5 h7h6 g5e6 d7e6 c4e2 b8d7 e1h1 e8a8 c3d5,79
rnbqkbnr/1pp2ppp/p7/4p3/P1pP4/2N1P3/1P3PPP/R1BQKBNR b KQkq -,e5d4 e3d4 b8c6 g1f3 c6a5 d1e2 d8e7 c1f4 c8f5 f4c7,-87
rnbqk2r/pp1pppbp/5np1/2P1P3/8/5N2/PPP2PPP/RNBQKB1R b KQkq -,f6h5 g2g4 d7d5 h2h3 b8c6 g4h5 e8h8 f1g2 c6e5 f3e5,440
rnbq1rk1/pppp1ppp/5n2/2b1p3/2P5/2NPPN2/PP3PPP/R1BQKB1R b KQ -,c5d6 h1g1 c7c6 g2g4 d6c7 g4g5 f6e8 d3d4 e5d4 d1d4,58
r1bqkb1r/pp1n1ppp/2pp1n2/4p1B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq -,a7a6 f1d3 f8e7 e1h1 e8h8 f1e1 h7h6 g5h4 f8e8 a1c1,73
r1bqk1nr/pp2ppbp/2np2p1/2p5/4PP2/N1PP1N2/PP4PP/R1BQKB1R b KQkq -,g8f6 f1e2 a8b8 e1h1 e8h8 a3c2 b7b5 a2a3 a7a6 b2b4,-25
r1bq1rk1/pppp1pp1/2n2n1p/2b1p3/2B1P3/1P1P1N2/PBP2PPP/RN1Q1RK1 b - -,d7d6 b1d2 a7a6 a2a4 a8b8 a4a5 c5b4 d3d4 b4a5 c4d3,-40
rnb1kbnr/pp1p1ppp/2p1p3/4P3/3P4/2N2N2/PqPB1PPP/R2QKB1R b KQkq -,f8e7 a1b1 b2a3 b1b3 a3a5 c3b5 a5d8 b5d6 e7d6 e5d6,191
r1bqkbnr/p1pp1ppp/1pn1p3/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,e6e5 d4e5 c6e5 f2f4 e5c6 g1f3 f8c5 a2a3 a7a5 f1d3,172
rn1qkb1r/pp3ppp/4pn2/2p1Nb2/P1pPP3/2N2P2/1P4PP/R1BQKB1R b KQkq -,d8d4 c1f4 f6d5 c3b5 d4d1 a1d1 a7a6 f1c4 a6b5 c4b5,260
r1bqk1nr/ppp2ppp/2np4/2b5/3NP3/5N2/PPP2PPP/R1BQKB1R b KQkq -,c6d4 f3d4 g8f6 c2c3 e8h8 f1d3 f6e4 e1h1 d6d5 d1f3,-116
rnbqkb1r/pppp1ppp/5n2/3N4/8/8/PPP1PPPP/R1BQKBNR b KQkq -,f6d5 d1d5 f8e7 e2e4 e8h8 f1d3 c7c6 d5h5 d7d5 e4d5,-43
r1bqkb1r/pp1n1ppp/2n1p3/2PpP3/8/2N2N2/PPP1BPPP/R1BQK2R b KQkq -,f8c5 c1f4 a7a6 d1d2 b7b5 e1h1 c8b7 f1e1 h7h6 h2h3,-50
r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P4/2N2N2/PPP1BPPP/R1BQ1RK1 b kq -,c5d4 c3b5 d7e5 f3e5 c6e5 b5d4 f8c5 c1e3 c5b6 d4f3,-132
r1bqk2r/ppp2ppp/3p1n2/2b1p3/2BnP3/P1NP1N1P/1PP2PP1/R1BQK2R b KQkq -,d4f3 d1f3 c7c6 c3a4 b7b5 a4c5 b5c4 c5a4 c4d3 c2d3,24
r1bqk1nr/pppp1ppp/1bn5/6N1/2B1P3/2P5/P4PPP/RNBQ1RK1 b kq -,d7d5 e4d5 c6e5 f1e1 d8e7 g5f3 f7f6 c1a3 b6c5 a3c5,557
8/8/8/1N6/B1K5/8/1k6/8 b - -,b2c1 c4d3 c1b1 a4c2 b1b2 d3d2 b2a1 d2c3 a1a2 c2e4,5837
8/8/8/1N6/8/2K5/2B5/k7 b - -,b2c1 c4d3 c1b1 a4c2 b1b2 d3d2 b2a1 d2c3 a1a2 c2e4,Mate
8/8/8/8/3N4/2K5/k1B5/8 b - -,b2c1 c4d3 c1b1 a4c2 b1b2 d3d2 b2a1 d2c3 a1a2 c2e4,Mate
r1bqkb1r/pp3ppp/2np1n2/2p1p3/2P1P3/2NP1N1P/PP3PP1/R1BQKB1R b KQkq -,c8d7 f1e2 f8e7 e1h1 e8h8 a1b1 a7a6 a2a3 a6a5 c1d2,9
r1bqkb1r/pp1p1ppp/n2Bpn2/2P5/8/5P2/PPP1P1PP/RN1QKBNR b KQkq -,f8e7 e2e4 a6c5 b1c3 e8h8 d1d2 e7d6 d2d6 d8a5 g1e2,81
8/8/8/8/2BN4/k1K5/8/8 b - -,f8e7 e2e4 a6c5 b1c3 e8h8 d1d2 e7d6 d2d6 d8a5 g1e2,Mate
8/5B2/8/8/k2N4/2K5/8/8 b - -,f8e7 e2e4 a6c5 b1c3 e8h8 d1d2 e7d6 d2d6 d8a5 g1e2,Mate
r1bqkB1r/pp1p1ppp/4pn2/2n5/8/5P2/PPP1P1PP/RN1QKBNR b KQkq -,c5d3 d1d3 e8f8 b1c3 d8b6 e1a1 d7d5 e2e4 h7h5 e4d5,551
r1bqk1nr/ppp2ppp/2n1p3/3p4/3P4/2N2NP1/PPP1PPP1/R2QKB1R b KQkq -,h7h6 e2e4 d5e4 c3e4 g8e7 f1b5 a7a6 b5c6 e7c6 d1d2,101
8/5B2/8/kNK5/8/8/8/8 b - -,h7h6 e2e4 d5e4 c3e4 g8e7 f1b5 a7a6 b5c6 e7c6 d1d2,Mate
r1bqkbnr/pp3ppp/2n5/3p4/2pP4/1PN1PN2/P4PPP/R1BQKB1R b KQkq -,d8a5 c1d2 f8b4 a1c1 c4b3 d1b3 g8e7 f1d3 e8h8 e1h1,111
rnbqkb1r/ppp2ppp/4pn2/8/2BP4/5N2/PPP2PPP/RNBQ1RK1 b kq -,b8d7 f1e1 f8e7 b1c3 e8h8 d1e2 h7h6 c1f4 e7b4 a1d1,100
rnbqk1nr/pp2ppbp/3p2p1/8/4P3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,b8d7 f1d3 g8f6 e1h1 d7c5 d3c2 e8h8 f1e1 b7b6 b2b4,-34
r2qk2r/pbp5/np1pp2p/3P1pp1/2PNn3/2PBP1B1/P1Q2PPP/R3K2R b KQkq -,d8e7 d4e6 b7c8 d3e4 f5e4 c2a4 e8f7 e1h1 e7e8 a4b5,157
r1bqnrk1/1p1nppbp/p2p2p1/2pP2P1/2P1P2P/2N1B3/PP2BP2/R2QK1NR b KQ -,b7b6 a2a4 c8b7 g1f3 e7e6 h4h5 e6d5 e4d5 g7c3 b2c3,71
