r1bqk2r/pppp1pp1/2n2n1p/4p3/1b2P3/2NPBN2/PPPQ1PPP/R3KB1R b KQkq -,d7d5 a2a3 b4c3 b2c3 d5e4 d3e4 f6e4 d2d8 e8d8 e1a1,-107
r1bqkbnr/2p2ppp/p1p1p3/3p4/3P4/2N1PN2/PPP2PPP/R1BQK2R b KQkq -,g8e7 c3a4 e7g6 b2b3 f8d6 c1b2 a6a5 c2c4 c8a6 a1c1,52
4r3/1Q3p1k/1p4pp/4b3/1BPp4/1P2q2n/P3P1B1/R3R2K b - -,g8e7 c3a4 e7g6 b2b3 f8d6 c1b2 a6a5 c2c4 c8a6 a1c1,Mate
8/5k2/8/3BQ3/3K4/8/8/8 b - -,g8e7 c3a4 e7g6 b2b3 f8d6 c1b2 a6a5 c2c4 c8a6 a1c1,Mate
rnbqkb1r/pp1ppppp/2p2n2/8/4PP2/3P4/PPP3PP/RNBQKBNR b KQkq -,e7e6 e4e5 f6d5 c2c4 d5c7 d3d4 d7d5 e5d6 f8d6 b1c3,62
r1bqk1nr/pppp1ppp/2n5/4b3/4P3/3P1N2/PPP3PP/RNBQKB1R b KQkq -,d7d5 e4d5 d8d5 f3e5 d5e5 d1e2 e5e7 e2e7 g8e7 c1f4,29
rn1qkbnr/pp1b1ppp/2pp4/3Pp3/2P1P3/3B1N2/PP3PPP/RNBQK2R b KQkq -,b8a6 e1h1 c6d5 c4d5 g8f6 f1e1 f8e7 d3a6 b7a6 b1a3,116
r1bqkbnr/pp1p1ppp/8/4n3/4P3/5N2/PP3PPP/RNBQKB1R b KQkq -,d7d6 b1c3 g8f6 f1b5 c8d7 b5d7 d8d7 e1h1 f8e7 f3d4,163
5rk1/3R4/p1r3pN/8/P3p3/8/1Pq3PP/5R1K b - -,g8f6 f3e5 d8a5 b1c3 a5e5 f2f4 e5a5 c1d2 f8b4 a2a3,Mate
r1bqk2r/2pp1ppp/p1p2n2/2b1p3/4P3/2N2N2/PPPP1PPP/R1BQR1K1 b kq -,d8e7 d2d4 c5d4 f3d4 e5d4 e4e5 f6d5 c3e4 e8h8 d1d4,221
r1bqk2r/1pp2ppp/2np1n2/p1b1p3/P1B1P3/3PBN2/1PP2PPP/RN1Q1RK1 b kq -,c8d7 e3c5 d6c5 b1d2 e8h8 c2c3 d8e7 d1b3 f6h5 g2g3,74
rnbk1bnr/ppp3pp/5p2/4p3/4P3/5N2/PPP1BPPP/RNB1K2R b KQ -,f8c5 e1h1 c8e6 b1c3 b8d7 f1d1 c7c6 a2a3 d8c7 b2b4,40
rnbqk1nr/pppp1p1p/8/8/1bBPPpp1/2N2N2/PPP3PP/R1BQ1RK1 b kq -,d7d6 c1f4 f7f6 f3h4 b4c3 b2c3 b8c6 a1b1 c8d7 f4g3,700
rnbqk1nr/p4ppp/2p1p3/1p6/1b1PP3/2N2N2/PP2BPPP/R1BQK2R b KQkq -,b8d7 a2a4 b5a4 d1a4 a7a5 a4c6 a8a7 c6a4 g8e7 e1h1,204
rnbqkb1r/pppp2pp/5n2/5p2/4PB2/2NP4/PPP3PP/R2QKBNR b KQkq -,d7d5 c3b5 b8a6 e4e5 d8e7 g1e2 f6h5 d3d4 c8d7 b5c3,90
r4rk1/pp4bp/2n1pnp1/2p5/8/2N1PN2/PP2KPPP/R1BR4 b - -,b7b6 f3g5 f8e8 d1d6 c6d8 f2f3 h7h6 g5e4 d8f7 e4f6,60
r1bqk2r/pppp1ppp/2nb1n2/4p3/3PP3/2P1BN2/PP3PPP/RN1QKB1R b KQkq -,d8e7 d4d5 c6d8 f1d3 d6c5 e3c5 e7c5 e1h1 c5e7 a2a4,95
rnbqk1nr/ppp2ppp/3pP3/2b5/8/5N2/PPP1PPPP/RNBQKB1R b KQkq -,d8e7 e6f7 e7f7 e2e3 b8c6 a2a3 a7a5 b1d2 g8f6 h2h3,145
r1b1kbnr/pppp1ppp/2n5/4P3/2N2B2/5N2/PqP1PPPP/R2QKB1R b KQkq -,f8a3 c4b2 a3b2 f4d2 b2a1 d1a1 d7d5 e5d6 g8f6 d6c7,807
r1b1kbnr/ppq2ppp/2npp3/2p5/2B1PP2/2NP1N2/PPP3PP/R1BQK2R b KQkq -,h7h6 e1h1 a7a6 f4f5 g8f6 f3h4 f8e7 f5e6 c8e6 c4e6,92
r1b1kbnr/1pq2ppp/p1npp3/2p5/2B1PP2/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,h7h6 f4f5 g8f6 f3h4 f8e7 f5e6 c8e6 h4f5 e6f5 f1f5,112
r1bq1rk1/4bppp/p1p5/1p1n4/8/1B5P/PPPP1PP1/RNBQR1K1 b - -,d5f6 a2a4 c8b7 d2d4 d8d7 c1e3 c6c5 d4c5 d7c6 d1f3,167
3R1rk1/pp4bp/2n1pnp1/2p5/8/2N1PN2/PP2KPPP/R1B5 b - -,f6e8 d8d7 f8f7 d7f7 g8f7 f3g5 f7e7 g5h7 c6e5 c1d2,821
rnbqkb1r/p3pp1p/3p1np1/2pP4/2B5/4PN2/PP3PPP/RNBQ1RK1 b kq -,c8g4 b1d2 f8g7 h2h3 g4f3 d2f3 e8h8 d1c2 f6d7 e3e4,92
r1bqkbnr/ppp1n1pp/3p1p2/3PP3/4P3/5N2/PPP3PP/RNBQKB1R b KQkq -,f6e5 f1e2 g8f6 b1c3 a7a6 f3g5 g7g6 e1h1 f8g7 c1e3,93
r1b1kbnr/pp2pppp/2n5/3q4/Q7/2N5/PPP2PPP/R1B1KBNR b KQkq -,d5e6 c1e3 e6g4 a4b3 g8f6 c3b5 g4b4 b3b4 c6b4 e1a1,169
8/8/8/8/2K1k3/8/1Q6/8 b - -,d5e6 c1e3 e6g4 a4b3 g8f6 c3b5 g4b4 b3b4 c6b4 e1a1,Mate
8/8/8/6k1/2K5/8/5Q2/8 b - -,d5e6 c1e3 e6g4 a4b3 g8f6 c3b5 g4b4 b3b4 c6b4 e1a1,Mate
