8/8/8/k1K1p3/4N3/2N5/8/8 b - -,e7e6 d3e4 g8f6 e4c6 b7c6 d2d3 f8d6 h2h3 g4f3 d1f3,Mate
r2qk2r/pp1bnpbp/2npp1p1/2p2PN1/2B1P3/2N5/PPPP2PP/R1BQ1RK1 b kq -,g6f5 d1h5 e7g6 e4f5 d8e7 c3b5 d6d5 c4d5 e8a8 f5e6,196
r2qkbnr/ppp2pp1/2n1p3/3pPb1p/3P4/2P5/PP1NBPPP/R1BQK1NR b KQkq -,g8h6 g1f3 g7g5 h2h3 g5g4 h3g4 h5g4 f3h4 f5h7 d2f1,66
r3kbnr/pp2pppp/2n1b3/q1P3B1/4Q3/2N5/PPP1PPPP/R3KBNR b KQkq -,g8f6 e4a4 a5a4 c3a4 f6e4 g5e3 c6b4 e1a1 b7b5 c5b6,80
7R/2K1k3/2P5/8/8/8/2r5/8 b - -,c2b2 c7c8 b2c2 c6c7 e7e6 h8h6 e6e7 c8b7 e7d7 c7c8q,468
rn1qkbnr/pp3ppp/4p3/2pp4/3P1B2/2NPP3/PP3PPP/R2QK1NR b KQkq -,c5d4 d1a4 b8c6 c3b5 g7g5 f4g3 e6e5 g3e5 c6e5 b5c7,-68
8/8/2k1K3/4p3/4N3/2N5/8/8 b - -,c6b6 e6d6 b6a5 d6c5 a5a6 c3d5 a6a5 d5b4 a5a4 b4c6,86
rn1qkb1r/pp3ppp/4p3/2pn4/3P2b1/1Q2PN2/PP1N1PPP/R1B1KB1R b KQkq -,d8b6 f1b5 e8d8 f3e5 a7a6 b5c4 b6b3 d2b3 g4h5 c4e2,239
8/2k5/3r4/8/5Q2/4K3/8/8 b - -,c7d7 f4f7 d7d8 e3e4 d6d2 f7g8 d8d7 g8g7 d7e8 g7e5,709
rnbqk2r/ppp1ppb1/3p1np1/6Bp/3PPP1P/2N5/PPP3P1/R2QKBNR b KQkq -,f6g4 f4f5 g6f5 e4f5 c7c5 c3d5 b8c6 f1d3 c5d4 d1d2,-98
8/8/1k1K4/4p3/4N3/2N5/8/8 b - -,b6a5 d6c5 a5a6 c3d5 a6a5 d5b4 a5a4 b4c6 a4a3 c5c4,Mate
8/5ppk/4n1p1/pp1p2P1/2qP1P2/P1P3P1/1P1QR3/6K1 b - -,c4b3 d2c2 b3c4 e2e1 c4c8 c2d3 b5b4 c3b4 a5b4 a3b4,419
r1bqk2r/1p2bppp/p1n1pn2/3P4/4P3/1NNB4/PP3PPP/R1BQ1RK1 b kq -,c6a7 d1e2 e8h8 f1d1 d8c7 c1d2 e7d6 h2h3 e6d5 c3d5,282
7Q/8/4b3/3k4/8/4K3/8/8 b - -,c6a7 d1e2 e8h8 f1d1 d8c7 c1d2 e7d6 h2h3 e6d5 c3d5,Mate
r1b1kb1r/ppp1pppp/n3qn2/8/3N4/8/PPPPBPPP/R1BQK1NR b KQkq -,e6d5 d4f3 g7g6 d2d4 c7c5 f3e5 d5d4 d1d4 c5d4 g1f3,-2
r2qkb1r/ppp3pp/2n2n2/3pNb2/8/1P1P4/PBP2PPP/RN1QKB1R b KQkq -,f8b4 b1d2 c6e5 d1e2 e8h8 b2e5 d8e7 a2a3 b4a3 e5d4,-252
8/8/k7/2KNp3/4N3/8/8/8 b - -,a6a5 d5c7 a5a4 c7a6 a4b3 a6b4 b3a4 b4c6 a4b3 c5b5,Mate
8/8/8/4k3/6K1/8/8/3Q4 b - -,a6a5 d5c7 a5a4 c7a6 a4b3 a6b4 b3a4 b4c6 a4b3 c5b5,Mate
8/4k3/2P5/2K5/8/1r6/8/3R4 b - -,e7e6 c6c7 e6f6 c5c6 f6g5 c6d7 b3b7 d7d8 g5h4 c7c8q,9605
rnb1qrk1/ppp1p1bp/3p1np1/5p2/1P1P4/4PN2/PBPNBPPP/R2Q1RK1 b - -,e8a4 a2a3 b7b6 f1e1 e7e6 e2d3 c8a6 d3a6 b8a6 d1b1,77
r1b1qrk1/pppnp1bp/3p1np1/5p2/1PPP4/4PN2/PB1NBPPP/R2Q1RK1 b - -,a7a6 a2a4 a6a5 b4a5 a8a5 d1b3 c7c5 b2c3 a5a6 f3g5,86
r1b1qrk1/pppn2bp/3p1np1/4Pp2/1PP5/4PN2/PB1NBPPP/R2Q1RK1 b - -,f6e4 d2e4 f5e4 d1d5 g8h8 d5e4 a7a5 b4b5 a5a4 e4c2,187
rnbqkb1r/pp2pppp/8/2ppP3/6n1/3P1NP1/PPP2P1P/RNBQKB1R b KQkq -,g4h6 f1g2 h6f5 e1h1 b8c6 c2c4 d5c4 d3c4 d8d1 f1d1,57
r1b1qrk1/ppp3bp/3p1np1/4np2/1PP5/1Q2PN2/PB1NBPPP/R4RK1 b - -,h7h6 a2a4 f6e4 a4a5 e5f3 d2f3 g7b2 b3b2 g8h7 f3d2,89
