6k1/8/6K1/3N4/8/8/8/1B6 b - -,a8b8 a2a4 f8e8 c1e3 d8e7 b2b3 a7a6 a5c4 e6c4 b3c4,Mate
r1b1rnk1/ppp1qpbp/3p1np1/8/2PPp3/2N1P2P/PPQNBPPB/R3R1K1 b - -,c7c6 b2b4 h7h5 b4b5 c6c5 d4c5 d6c5 a1d1 c8f5 c3d5,115
7r/5ppp/3bk3/1r2p3/8/RP6/5PPP/2BR2K1 b - -,d6a3 c1a3 b5b3 a3c5 h8c8 c5a7 b3b7 a7e3 c8b8 g2g3,-491
1r1q1r2/6bk/1pRp2p1/p2PpN2/8/1P2B1P1/P2Q2BP/6K1 b - -,g6f5 d2e2 h7g8 e2h5 d8d7 e3g5 a5a4 h5g6 a4b3 a2b3,-53
8/1K4p1/8/8/8/8/8/k7 b - -,g6f5 d2e2 h7g8 e2h5 d8d7 e3g5 a5a4 h5g6 a4b3 a2b3,Mate
rn1qkb1r/p1p2ppp/bp2pn2/8/2N1P3/5NP1/PPP1QP1P/R1B1KB1R b KQkq -,b8d7 f1g2 f8c5 e1h1 e8h8 e4e5 f6g4 b2b3 g4e5 f3e5,40
4b3/6k1/p1p1p1p1/1p1pNp1p/1P1P1P1P/P1P1P1P1/2K5/8 b - -,g7g8 e5d3 e8d7 d3c5 d7c8 a3a4 g8f8 c5d3 c8d7 d3e5,28
5rk1/p2QRpp1/2p4p/1p1p2q1/1P1P4/2P2P1P/P5P1/5K2 b - -,g5c1 f1f2 c1c3 d7a7 c3b4 a7c5 b4c5 d4c5 f8a8 e7c7,-92
r1bq1rk1/pp3pbp/2n1p1p1/n1p3B1/4P3/1BNP1N2/PPP3PP/R2Q1RK1 b - -,f7f6 g5e3 a5b3 a2b3 b7b6 d1d2 c8b7 e3h6 e6e5 f1f2,-39
r4rk1/pp1nbppp/4p1q1/8/PP1N4/2P1nP2/3NQ1PP/R4RK1 b - -,e3f1 a1f1 e6e5 d4b3 g6e6 f1e1 e6b6 g1h1 b6c7 e1d1,-561
4b1k1/8/p1p1p1p1/1p1pNp1p/1P1P1P1P/PKP1P1P1/8/8 b - -,g8f8 e5d3 e8d7 d3c5 d7c8 b3b2 f8g8 a3a4 g8g7 c5b3,28
7r/5ppp/R2bk3/1r2p3/8/1P6/5PPP/2BR2K1 b - -,,0
r1bqkb1r/2pp1pp1/p1p2n1p/4p3/4P3/2NP1N1P/PPP2PP1/R1BQK2R b KQkq -,d8e7 b2b3 c8b7 c3a4 d7d6 f3d2 d6d5 e1h1 f6d7 c2c4,21
1r1q1r2/6bk/1pRp4/p2Ppp2/8/1P2B1P1/P4QBP/6K1 b - -,d8f6 f2e2 f6g6 e3b6 e5e4 b6c7 b8c8 c7a5 c8e8 a5b4,-97
7k/7p/4N3/8/P3Q3/6PK/2p2q1P/5r2 b - -,f2f5 e4f5 f1f5 e6d4 f5h5 h3g4 c2c1q g4h5 c1c5 h5g4,-1377
r2qkbnr/ppp1pppp/2np4/5b2/3P4/1P2P3/PBP2PPP/RN1QKBNR b KQkq -,c6b4 b1a3 e7e6 g1f3 g8f6 c2c3 b4c6 f1d3 f5d3 d1d3,39
r4rk1/pp1nbppp/4p1q1/8/PP1N4/2P1P3/3NQ1PP/R4RK1 b - -,a8c8 a1a3 d7b6 e3e4 a7a5 g1h1 a5b4 c3b4 e7b4 a3b3,-143
