7r/3KP1k1/8/8/8/8/8/R7 b - -,g8f6 h2h4 g5g6 b1c3 g6c2 c4b3 c2g6 h4h5 g6g4 f3g4,Mate
rnbqk2r/pp4pp/2pbpn2/3P1p2/3P4/3BPN2/PP3PPP/RNBQ1RK1 b kq -,a7a5 d5e6 c8e6 h2h3 d8e7 f3g5 e8h8 g5e6 e7e6 d1b3,286
r1bqkbnr/pp1pppp1/2n4p/2p5/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R b KQkq -,d7d6 d2d4 e7e5 d4c5 d6c5 d1d8 e8d8 c1e3 c8e6 e1a1,55
r1bqkb1r/1ppp1ppp/p1n2n2/1B2p3/4P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,a6b5 c3b5 f8e7 e1h1 e8h8 f1e1 d7d6 a2a4 c8d7 c2c3,-762
r1bqkb1r/1ppp1ppp/2n2n2/1N2p3/4P3/3P1N2/PPP2PPP/R1BQK2R b KQkq -,f8e7 e1h1 d7d6 a2a4 e8h8 h2h3 f8e8 f1e1 c8d7 c2c4,-761
rnbqk2r/1ppp1ppp/p4n2/2bPp3/2P5/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,c5b4 f3e5 b4c3 b2c3 d7d6 e5d3 b7b5 g2g3 e8h8 f1g2,140
rnbqk2r/1pp2ppp/p2p1n2/2bPp1B1/2P5/2N2N2/PP2PPPP/R2QKB1R b KQkq -,e8h8 a2a3 b8d7 e2e3 h7h6 g5h4 g7g5 h4g3 f6e8 b2b4,-45
r1bqkbnr/1pp3pp/p1np4/4pp2/B2PP3/5N2/PPP2PPP/RNBQ1RK1 b kq -,b7b5 a4b3 g8f6 f3g5 c6d4 g5f7 d4b3 f7d8 b3a1 d8c6,245
r1bqkb1r/pp1p1pp1/2n2n1p/2p1p3/2P1P3/2NP1N1P/PP3PP1/R1BQKB1R b KQkq -,d7d6 a1b1 f8e7 f1e2 e8h8 a2a3 a7a5 e1h1 f6h7 c1e3,20
r1bqk2r/1ppp1ppp/2n2n2/1Nb1p3/4P3/3P1N2/PPP2PPP/R1BQ1RK1 b kq -,d7d5 c1g5 d5e4 d3e4 c8e6 d1e2 c5b6 a2a4 e8h8 h2h3,-416
rnbqkbnr/pp3ppp/2p5/3p4/2P5/2N2N2/PP1P1PPP/R1BQKB1R b KQkq -,f8d6 c4d5 g8f6 d5c6 b8c6 d2d4 e8h8 f1e2 c6b4 e1h1,73
rnb1kbnr/pppp1ppp/5q2/4p3/2B1P3/2N2Q2/PPPP1PPP/R1B1K1NR b KQkq -,g8e7 d2d4 e5d4 f3f6 g7f6 c3b5 b8a6 g1f3 e7g6 b5d4,141
rnbqkb1r/1p3ppp/p2p1n2/2pP2B1/P7/2N5/1P2PPPP/R2QKBNR b KQkq -,f8e7 g5d2 e8h8 e2e4 f8e8 g1e2 e7f8 d1c2 h7h5 d2g5,60
r1bqkb1r/ppp2ppp/2np1n2/4P1B1/4P3/2N5/PPP2PPP/R2QKBNR b KQkq -,d6e5 d1d8 e8d8 e1a1 f8d6 c3d5 h7h6 g5f6 g7f6 d5f6,95
rB1qkb1r/p4ppp/1pp1pn2/1B1p1b2/3P4/1QP1P3/PP3PPP/RN2K1NR b KQkq -,f6d7 b5c6 a8b8 b3a4 d8c7 g1f3 f8d6 b1d2 f5d3 c6b5,136
r1b1k1nr/pppp1ppp/5q2/4n3/4P3/2N2B2/PPPP1KPP/R1BQ3R b kq -,f6b6 d2d4 e5f3 g2f3 g8e7 c1f4 d7d6 d1d2 c8e6 a2a4,90
rnb1kbnr/pp2pppp/1q6/8/2BP4/5P2/PP4PP/RNBQK1NR b KQkq -,g8f6 g1e2 e7e6 b1c3 b8c6 c1e3 f8e7 d1b3 b6b3 c4b3,-50
rnbqk2r/ppppppbp/6pn/8/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq -,e7e6 e1h1 e8h8 c4b3 d7d5 d2d3 c7c5 f1e1 b8c6 b1a3,96
rnbqkb1r/1p2pp1p/p2p1np1/2p5/P1B1P3/2NP1N2/1PP2PPP/R1BQK2R b KQkq -,b8d7 a4a5 e7e6 d3d4 c5d4 d1d4 b7b5 a5b6 d8b6 d4b6,59
r1bqkb1r/1p2pp1p/p1np1np1/2p5/P1B1P3/2NP1N2/1PP2PPP/R1BQ1RK1 b kq -,c8d7 c3d5 f8g7 d5f6 g7f6 h2h3 e8h8 c2c3 f6g7 f1e1,39
r1bqkb1r/1p2pppp/p1np1n2/2p5/3PP3/2N3P1/PPP1NPBP/R1BQK2R b KQkq -,c8g4 d4d5 c6d4 f2f4 g7g6 h2h3 g4f3 g2f3 d4f3 e1f2,117
