rn1qkbnr/pp3ppp/2p1p3/8/2BPN3/5Q2/PPP2PPP/R1B1K2R b KQkq -,h7h6 c1d2 a7a5 e1a1 b8d7 h1e1 g8f6 c2c3 f6e4 e1e4,133
r1bqk1nr/pppnppbp/3p2p1/6B1/3PP3/5N2/PPPN1PPP/R2QKB1R b KQkq -,c7c5 c2c3 c5d4 c3d4 g8f6 h2h3 e8h8 a1c1 b7b6 f1d3,62
rnbqkb1r/ppp2ppp/4pn2/3p4/8/3PPNP1/PPP2P1P/RNBQKB1R b KQkq -,c7c5 f1g2 b8c6 e1h1 f8e7 c2c4 e8h8 b2b3 d5d4 e3d4,-21
rn1qkbnr/pppb1p1p/3p2p1/8/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq -,f8g7 f2f3 g8f6 d1d2 b8c6 e1a1 e8h8 c1b1 f8e8 a2a3,98
4k3/8/2B1K3/B7/8/8/8/8 b - -,f8g7 f2f3 g8f6 d1d2 b8c6 e1a1 e8h8 c1b1 f8e8 a2a3,Mate
rnbq1rk1/pp3pbp/3pPnp1/2p5/2P5/2N2NP1/PP2PPBP/R1BQK2R b KQ -,d8e8 e6f7 e8f7 d1d6 f7c4 c1e3 b8c6 d6c5 c4c5 e3c5,437
r2qkb1r/ppp1nppp/2np4/1B2p3/4P1b1/2PP1N2/PP3PPP/RNBQ1RK1 b kq -,g7g6 b5c4 d8d7 h2h3 g4e6 c4e6 d7e6 d3d4 e6d7 d1b3,104
r1bqkb1r/ppp2ppp/2n2n2/4p3/2B5/2NP1Q2/PPP1NPPP/R1B1K2R b KQkq -,c8g4 f3g3 g4e2 c3e2 d8d7 c1g5 f6d5 e1a1 f7f6 g5d2,59
rnbqkb1r/ppp2ppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq -,h7h6 c1f4 g7g5 f4d2 b8c6 e2e3 d8e7 f1b5 f8g7 b1c3,154
r1bqk2r/ppp2ppp/2nbpn2/8/2BP4/2N1PN2/PPQ2PPP/R1B1K2R b KQkq -,a7a6 e1h1 e6e5 f3g5 e8h8 c3d5 g7g6 d5f6 d8f6 d4e5,79
rnbqkb1r/pp3ppp/5n2/2pp4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq -,c8e6 f1e2 b8c6 e1h1 d8c7 h2h3 f8e7 d4c5 e8h8 b2b3,118
3k4/1B6/4K3/B7/8/8/8/8 b - -,c5d4 e3d4 f8d6 f1d3 e8h8 e1h1 b8c6 a2a3 c8e6 h2h3,Mate
rnbqk2r/ppp1b1pp/3ppn2/5p2/2P5/2N1P1P1/PP1PNPBP/R1BQK2R b KQkq -,b8a6 a1b1 c7c6 b2b4 d6d5 b4b5 c6b5 c4b5 a6c7 d1b3,75
r1b1kbnr/ppp1pppp/2n1Q3/8/3P4/8/PPP2PPP/RNB1KBNR b KQkq -,a7a6 e6c4 e7e6 g1f3 g8f6 f1e2 f8d6 e1h1 e8h8 c2c3,1218
rnbqk2r/ppp1ppbp/6p1/8/3PQ3/5N2/PPP2PPP/R1B1KB1R b KQkq -,b8d7 f1c4 c7c5 e1h1 c5d4 f1e1 e8h8 e4e7 d8e7 e1e7,56
r1bqkbnr/pp3ppp/2n5/1BpP4/8/5N2/PP1P1PPP/RNBQK2R b KQkq -,d8c7 d5c6 b7c6 b5c4 g8f6 e1h1 f8e7 f1e1 e8h8 b1c3,509
rnbqkb1r/2p1pppp/p4n2/1p6/2pP4/1PN1PN2/P4PPP/R1BQKB1R b KQkq -,c4b3 a2b3 c8b7 c1a3 b8d7 d1c2 a8c8 f1e2 c7c5 d4c5,-118
rnbqkbnr/pp3ppp/8/1Bpp4/4P3/5N2/PP1P1PPP/RNBQK2R b KQkq -,d8d7 b5d7 b8d7 e4d5 f8e7 d1e2 e8f8 b1c3 d7b6 e2e5,872
r2qkbnr/pbpn1ppp/1p1pp3/8/3PP3/2NB4/PPP1NPPP/R1BQ1RK1 b kq -,f8e7 f2f4 a7a6 a2a4 e7h4 c1d2 g8h6 f4f5 e6e5 f5f6,128
r1bqkbnr/pp3ppp/2n1p3/2pp4/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,d5c4 d2d3 c4d3 d1d3 d8d3 c2d3 c8d7 c1e3 g8f6 a1c1,-470
r2qkb1r/ppp2ppp/2n1pn2/3p4/3P1B2/1Q2PN2/PPP2PPP/RN2K2R b KQkq -,d8d7 f3e5 c6e5 d4e5 f6e4 b3b7 a8c8 b1c3 e4c3 b2c3,51
rnbqk2r/ppppppbp/5np1/8/4P3/2P2N2/PPQP1PPP/RNB1KB1R b KQkq -,d7d5 e4e5 f6h5 d2d4 f7f6 e5f6 h5f6 f1b5 c7c6 b5e2,40
r1bqk2r/pp1pppbp/2n2np1/2p5/2B1P3/3P1N2/PPP2PPP/RNBQR1K1 b kq -,h7h6 e4e5 f6h7 b1c3 e8h8 c1e3 d7d6 h2h3 d6e5 e3c5,58
8/8/8/1N6/3K4/1k1B4/8/8 b - -,b3b2 d4c4 b2a1 c4c3 a1a2 d3g6 a2a1 g6f5 a1a2 f5e6,260
rnbqkbnr/pppp1p2/8/6pp/2B1Pp2/5N1P/PPPP2P1/RNBQK2R b KQkq -,f8h6 d2d4 d7d6 b1c3 b8c6 e1h1 g5g4 f3e1 h6g7 c3e2,-71
r1bqk1nr/pp1nbppp/2Pp4/4p3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,d7f6 f1b5 e8f8 e1h1 d8c7 c6b7 c8b7 d1d3 a8c8 f1d1,380
3n1rk1/pp3p1p/5QP1/3B4/8/7P/PP2q1PK/3R4 b - -,d7f6 f1b5 e8f8 e1h1 d8c7 c6b7 c8b7 d1d3 a8c8 f1d1,Mate
r2qkb1r/2p1pppp/p1p2n2/3p4/5Pb1/3PPN2/PPP3PP/RNBQ1RK1 b kq -,g4h5 b2b3 e7e6 c1b2 f8d6 b1d2 e8h8 d1e1 c6c5 e1g3,114
r1bqkb1r/ppp2ppp/2n5/3np3/8/1PNP4/PBP2PPP/R2QKBNR b KQkq -,f8b4 d1d2 c6d4 a2a3 b4c3 b2c3 d5c3 d2c3 e8h8 f1e2,-188
r1bqk2r/pppp1pp1/1bn2n1p/4p3/2B1P3/2NPBN2/PPP2PPP/R2QK2R b KQkq -,d8e7 e1h1 d7d6 c3d5 f6d5 c4d5 e8h8 a2a4 c8e6 d5e6,16
r1bq2nr/pppp1kpp/2n5/4p1N1/3bP3/8/PPP2PPP/RNBQK2R b KQ -,f7e8 e1h1 d7d6 d1h5 g7g6 h5e2 g8f6 a2a4 h8f8 c2c3,-565
r1bq1knr/pppp2pp/2n5/4p1N1/3bP3/5Q2/PPP2PPP/RNB1K2R b KQ -,f8e7 f3f7 e7d6 b1a3 g8f6 c2c3 d8g8 c3d4 c6d4 c1e3,Mate
r1bqkb1r/ppp1pppp/2n5/8/3P4/2N2N2/PPP2PPP/R1BQK2R b KQkq -,e7e5 d4d5 c6a5 f3e5 f8d6 c1f4 e8h8 e1h1 a5c4 e5c4,102
r1bqkbnr/pp1ppp1p/2n3p1/2p5/2B1PP2/P7/1PPP2PP/RNBQK1NR b KQkq -,g8f6 b1c3 f6e4 c4f7 e8f7 c3e4 b7b6 g1f3 f8g7 c2c3,-70
rnbqkbnr/p2p2pp/2p5/1p2N2Q/4P3/8/PPPP1PPP/RNB1K2R b KQ -,e8e7 h5f7 e7d6 d2d4 d6c7 f7f3 d8f6 e5f7 f6d4 f7h8,282
rnbqkbnr/4pppp/1pp5/3p4/3P4/2N5/PP2PPPP/R1BQKBNR b KQkq -,e7e6 g1f3 g8f6 c1g5 h7h6 g5f6 d8f6 a1c1 b8d7 a2a3,-55
rnbqk1nr/pp3ppp/3bp3/2pp4/3P4/4P1B1/PPPN1PPP/R2QKBNR b KQkq -,d6g3 h2g3 d8b6 d1g4 e8f8 g4f4 h7h6 d4c5 b6c5 g1f3,33
rnbqkb1r/ppp2p1p/3p1np1/4p3/2B1P3/3P4/PPP1QPPP/RNB1K1NR b KQkq -,f8g7 g1f3 e8h8 e1h1 c7c6 c4b3 h7h6 c2c3 a7a5 h2h3,-59
rnbqkb1r/ppp1pp1p/3p1np1/8/4PP2/2N3P1/PPPP3P/R1BQKBNR b KQkq -,c8g4 f1e2 g4e2 g1e2 c7c5 d2d4 c5d4 e2d4 b8c6 c1e3,48
r1bqk1nr/ppp1bppp/2n1p3/3pP3/3P1P2/5N2/PPP3PP/RNBQKB1R b KQkq -,g8h6 c2c3 a7a5 h1g1 h6f5 g2g4 f5h4 c1e3 c8d7 f1d3,99
4k3/8/2K5/4BB2/8/8/8/8 b - -,c6a5 c2c3 b7b6 f1d3 c7c5 e1h1 a5c6 c1e3 g8h6 h2h3,Mate
r1b1k1nr/ppqnbppp/2pp4/4p3/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,a8b8 e2e4 g8f6 h2h3 h7h6 c1e3 e8h8 a1c1 b7b6 d1e2,117
