4k3/1p1n1p1p/4p3/r7/6p1/4P3/PP3PPP/3R1BK1 b - -,d7b6 a2a4 e8e7 b2b3 b6c8 f1e2 h7h5 d1c1 c8d6 g1f1,229
8/8/8/8/5r2/8/4Kpk1/R7 b - -,f4f3 a1f1 f3f7 f1a1 f7f5 a1c1 f2f1q c1f1 f5e5 e2d3,-5304
r3kb1r/pp1np1p1/2p1R3/3p1n1p/3P3P/3P1N2/PP1B1PP1/RN4K1 b kq -,e8f7 e6e2 e7e6 f3g5 f7g8 g5e6 f8d6 b1a3 f5h4 a1e1,21
r1bqk2r/ppp1n1pp/5p2/8/1PpP1B2/5N2/P4PPP/R2QR1K1 b kq -,e8h8 d1e2 e7d5 e2c4 c7c6 f4g3 d8b6 a2a3 c8f5 c4c5,-53
8/6R1/8/8/8/5K2/6pr/6k1 b - -,c8f5 d4d5 f5d3 f3d4 e8h8 d4e6 d8d7 e6c5 d7d8 c5b7,Mate
r3kb1r/pp1np1p1/2p1p2n/3p3p/3P3P/3P1N2/PP1B1PP1/RN2R1K1 b kq -,e8f7 f3g5 f7g8 g5e6 h6f5 d2g5 h8h7 b1d2 g7g6 d2f3,85
r3k3/1pNn1p1p/1b2p3/r7/b4Bp1/4P3/PP3PPP/2RR1BK1 b - -,e8f8 c7a8 a5a8 b2b3 a4c6 c1c6 b7c6 d1d7 a8a2 b3b4,717
r3k3/1pBn1p1p/4p3/r7/b5p1/4P3/PP3PPP/2RR1BK1 b - -,a5h5 d1d4 d7f6 a2a3 a4c6 c7g3 a8a5 d4c4 f6e4 g3c7,286
rnbqkb1r/pppp1p1p/5np1/8/3P4/4PN2/PP3PPP/RNBQKB1R b KQkq -,,0
r1bqkb1r/ppp2ppp/6n1/4N3/2PN4/8/PP2PPPP/R1BQKB1R b KQkq -,a7a5 e5f3 g6e5 c1d2 f8b4 d1c2 e5f3 d4f3 b4d2 c2d2,441
r3k3/1p1n1p1p/4p3/B7/6p1/4P3/PP3PPP/2Rb1BK1 b - -,d1e2 f1e2 a8a5 a2a3 h7h5 h2h3 d7e5 f2f4 g4f3 g2f3,256
r1bqnrk1/ppp1n1bp/3p2p1/3PppN1/1PP1P3/2N5/P3BPPP/R1BQR1K1 b - -,c8d7 a1b1 h7h6 g5e6 d7e6 d5e6 d8c8 e4f5 g6f5 c3d5,64
rnbqkb1r/p1p2ppp/1p2p3/3nP3/8/5NP1/PPP1QP1P/RNB1KB1R b KQkq -,a7a5 a2a3 b6b5 e2b5 b8d7 b5e2 c8a6 e2e4 d8c8 b1d2,96
8/8/k1Q5/8/8/8/4K3/8 b - -,a7a5 a2a3 b6b5 e2b5 b8d7 b5e2 c8a6 e2e4 d8c8 b1d2,Mate
8/k1Q5/8/8/8/8/4K3/8 b - -,a7a5 a2a3 b6b5 e2b5 b8d7 b5e2 c8a6 e2e4 d8c8 b1d2,Mate
r1bqkbnr/1p2pppp/p7/3p4/3pP3/3P4/PPP1BPPP/RNBQ1RK1 b kq -,e7e5 e4d5 g8e7 c2c4 d4c3 b1c3 e7d5 c3d5 d8d5 e2f3,126
4k3/1p3p1p/4p3/2r1n3/P2R2p1/4P3/1P3PPP/5BK1 b - -,e8e7 h2h3 h7h5 d4b4 c5c7 g1h2 e7d6 h3h4 c7c1 f1b5,182
rnbqk2r/ppp1ppbp/6p1/3B4/4N3/5N1P/PPPP1PP1/R1BQK2R b KQkq -,d8d5 d2d3 b8c6 e1h1 b7b6 f1e1 e8h8 e4c3 d5f5 c1g5,-88
