FEN Position,Line of Moves,Evaluation Score
2r3k1/q5pp/4p3/2rp1p2/1p1B1P2/1P1QP3/P1R3PP/6K1 w - -,d3b5 c5c2 d4a7 c2a2 a7c5 a2a1 g1f2 h7h6 f2g3 c8c5,616
r1b1k1nr/pp1pppbp/1qn3p1/5N2/2P1P3/4B3/PP3PPP/RN1QKB1R b KQkq -,g6f5 e3b6 a7b6 e4f5 g7b2 b1d2 g8f6 a1b1 b2d4 f1d3,412
rnbqkbnr/pppp1ppp/8/4p3/8/P1N5/1PPPPPPP/R1BQKBNR b KQkq -,d7d5 d2d4 e5e4 c1f4 c7c6 e2e3 f8d6 g1e2 g8e7 f2f3,-37
r1bq1rk1/p4ppp/2p2n2/3p2B1/1b6/2NB4/PPP2PPP/R2Q1RK1 w - -,a1b1 h7h6 g5h4 a7a5 a2a3 b4d6 f1e1 a8b8 d1d2 c8e6,-13
r1bqk2r/pppp1ppp/2n5/2b1P3/2Bpn3/2P2N2/PP3PPP/RNBQK2R w KQkq -,c4d5 e4f2 e1f2 d4c3 f2g3 c3b2 c1b2 d7d6 d5c6 b7c6,201
rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq -,g7g5 d2d4 h7h6 h2h4 g5h4 e2e4 d7d6 b1c3 b8c6 c1e3,191
r1bqk2r/ppp2ppp/2nbp3/3n4/3P4/5N2/PPP1BPPP/RNBQ1RK1 w kq -,f1e1 e8h8 c2c4 d5f4 e2f1 f4g6 c1g5 c6e7 c4c5 d6f4,98
r7/2k1Pp1p/p1n2p2/P1b1r3/2p5/2P3P1/5P1P/1R1Q2K1 w - -,b1b7 c7b7 d1d7 b7b8 e7e8q e5e8 d7e8 b8c7 e8a8 c6a5,736
2b1kr2/p6r/1p2pQ2/5p2/2pP4/2P5/PP3PB1/R5K1 w - -,g2c6 h7d7 f6h4 e8f7 g1h2 f8g8 c6f3 g8g4 f3g4 f5g4,1119
rnbq1rk1/ppppppbp/5np1/4P3/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQ -,f6h5 g2g4 h5f6 e5f6 e7f6 h2h3 d7d6 f1e2 f8e8 c1e3,375
rnbqkbnr/ppp2ppp/8/3pP3/2P5/8/PP2PPPP/RNBQKBNR b KQkq -,f8c5 c4d5 c7c6 e2e4 d8b6 d1d2 g8h6 h2h3 c6d5 e4d5,298
r2q1rk1/pp1bppbp/2np1np1/8/2PNP3/2N1B3/PP2BPPP/R2Q1RK1 w - -,d1d2 a7a6 d4c6 d7c6 f2f3 f6d7 f1d1 d8b8 a1c1 b7b5,80
r1bqkb1r/ppp2p1p/2np4/4n1p1/2P5/2B1P3/PP3PPP/RN1QKBNR w KQkq -,h2h4 h8g8 d1c2 d8f6 h4g5 f6g5 g1e2 c8f5 e3e4 f5g4,54
rn1qk2r/pb1p1pp1/1p2pn1p/2p5/1bPP3B/2N2N2/PPQ1PPPP/R3KB1R w KQkq -,d4d5 e6d5 c4d5 b4c3 c2c3 b7d5 a1d1 d5f3 g2f3 b8c6,42
r4rk1/pbpp1ppp/1p6/2bBPP2/8/1QPp1P1q/PP1P3P/RNB3RK b - -,c5g1 h1g1 a8e8 d5b7 e8e5 b7e4 f8e8 b3c4 d7d5 c4d4,-1721
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq -,c2c4 e7e6 g1f3 f8e7 b1c3 e8h8 b2b3 c7c5 d4c5 d5c4,17
r1bq1rk1/pppnppbp/3p1np1/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - -,b1c3 e7e5 e2e4 f8e8 d1c2 e5d4 f3d4 d7c5 f1d1 d8e7,82
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq -,h7h6 d2d4 d7d5 e4d5 e6d5 f1b5 b8c6 f3e5 c8d7 b5c6,97
rnbqk2r/pp3pbp/3ppnp1/2pP4/2P1PP2/2N5/PP4PP/R1BQKBNR w KQkq -,e4e5 d6e5 f4e5 f6d7 d5e6 f7e6 g1f3 b8c6 c1g5 d8b6,-39
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq -,a7a5 d1b3 b8d7 b1d2 f8d6 f4d6 c7d6 f1b5 e8h8 e1h1,14
2r3k1/q5pp/4p3/2Bp1p2/1p3P2/1P1QP3/P1R3PP/6K1 b - -,a7a8 c5d4 h7h6 h2h3 g7g5 g1h2 c8c2 d3c2 a8b7 c2c5,805
6k1/q5pp/4p3/2rp1p2/1p3P2/1P1QP3/P1R3PP/6K1 w - -,c2e2 c5c3 d3b5 g8f7 g1f1 c3e3 e2e3 a7e3 b5d7 f7g6,-97
2b1kr2/p6r/1pB1pQ2/5p2/2pP4/2P5/PP3P2/R5K1 b - -,c2e2 c5c3 d3b5 g8f7 g1f1 c3e3 e2e3 a7e3 b5d7 f7g6,Mate
rnbqkbnr/ppp2ppp/8/3pp3/8/P1N5/1PPPPPPP/R1BQKBNR w KQkq -,h2h3 d5d4 c3b1 c8e6 e2e3 c7c5 f1b5 b8d7 e3d4 e5d4,-88
rnbqkbnr/ppp2ppp/4p3/3P4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq -,c7c6 d5e6 c8e6 d2d4 g8f6 g1f3 h7h6 f1d3 f8d6 h2h3,168
r1bq1rk1/pppnppbp/3p1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,c7c6 e2e4 e7e5 h2h3 f8e8 c1e3 e5d4 f3d4 d7c5 d1c2,81
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -,g7g5 f3g5 e7e6 g5f3 b8c6 b1c3 f8g7 g2g3 g8e7 f1g2,224
r1bqkbnr/pp1p1ppp/2n1p3/2p5/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,h7h6 d4d5 c6a5 f1d3 g8f6 e1h1 e6d5 e4e5 f6e4 f1e1,227
