FEN Position,Line of Moves,Evaluation Score
8/8/8/8/3Q1K2/4r3/4k3/8 b - -,e3f3 f4e4 f3h3 d4b2 e2d1 b2f2 h3a3 f2c5 a3b3 c5c4,Mate
rnbqkb1r/ppp2ppp/3p1n2/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq -,d2d4 e5d4 f3d4 f8e7 e2e4 b8c6 f1e2 c6d4 d1d4 e8h8,79
r2qkb1r/ppp2pp1/2p2n2/4p2p/4P1b1/5N1P/PPPP1PP1/RNBQ1RK1 w kq -,d2d3 g4f3 d1f3 f6d7 b1d2 d8e7 d2c4 e8a8 b2b4 c8b8,101
r1bqkbnr/pp1p1ppp/2n1p3/1Bp5/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,f8e7 b5c6 b7c6 d2d3 d7d5 e4e5 h7h5 b2b3 c8a6 d1d2,52
r2q1rk1/1pp2ppp/p1npbn2/2b1p3/4P3/1BPP1N2/PP1N1PPP/R1BQ1RK1 w - -,b3e6 f7e6 b2b4 c5a7 a2a4 d8e8 f1e1 e8g6 d2f1 f6g4,21
k1bNQ3/2p5/p2b4/3P4/1P5p/p6P/K3R1P1/5q2 w - -,d8c6 f1f5 e8e4 f5e4 e2e4 d6g3 e4e8 a8b7 a2a3 g3f2,790
r1bqkbnr/pp2pppp/2np4/2p5/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq -,g1f3 e7e5 d2d3 f8e7 f3d2 a7a6 a2a4 e7g5 d1h5 g7g6,53
2rr2k1/1b3pp1/p2p1b1p/1p2pP2/4P3/P1N5/1PP1BRPP/3R3K b - -,d6d5 e4d5 e5e4 c3e4 f6b2 e2f3 b2a3 c2c3 a6a5 f2a2,-163
2bN4/k1p5/p1Qb4/3P4/1P5p/p6P/K3R1P1/5q2 w - -,c6e8 f1c1 d8c6 a7b6 e8e3 c1e3 e2e3 c8d7 e3e4 d6g3,603
r2qkbnr/pp1nppp1/2p4p/7P/3P4/3b1NN1/PPP2PP1/R1BQK2R w KQkq -,c1f4 d3h7 c2c4 g8f6 e1h1 e7e6 d1e2 f8e7 a1d1 e8h8,-762
rn1qkb1r/pppbpppp/5n2/3P4/2B5/8/PPPP1PPP/RNBQK1NR b KQkq -,b7b5 c4b3 d7g4 g1f3 f6d5 h2h3 g4f3 d1f3 e7e6 d2d4,111
rnbqkbnr/1ppppppp/8/p7/8/6P1/PPPPPPBP/RNBQK1NR b KQkq -,b8c6 d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 e1h1 f8e7 b1c3,79
rn1q1rk1/pppnppbp/3p2p1/8/2PPP1b1/2N1BN2/PP2BPPP/R2QK2R w KQ -,f3g5 g4e2 d1e2 c7c5 d4d5 g7c3 b2c3 d7f6 e1h1 b8d7,89
r1bq1rk1/pppnn1bp/3p4/3Pp1p1/2P1Pp2/2NN1P2/PP2BBPP/R2Q1RK1 b - -,a7a5 c4c5 e7g6 a1c1 f8f7 c5d6 c7d6 b2b3 b7b6 d3b2,173
rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQ -,h7h6 g5h4 b8d7 d1c2 c7c5 d4c5 d7c5 c4d5 f6d5 h4e7,15
7r/3b2k1/4p2n/pp1p2NP/2pP1R2/P1P2B2/2PK1P2/8 w - -,g5h3 d7e8 d2c1 h6f5 f3d5 g7f6 d5f3 e8h5 f3c6 h5f7,79
rnbqkbnr/ppp1pppp/8/3p4/3P1P2/8/PPP1P1PP/RNBQKBNR b KQkq -,c8f5 e2e3 c7c5 f1b5 b8c6 g1f3 e7e6 c2c4 g8f6 f3e5,-78
8/3k4/1Q6/8/8/3BK3/8/8 w - -,b7b5 g1f3 e7e6 e2e3 a7a6 f1e2 g8f6 e1h1 f8d6 a2a4,Mate
8/8/8/8/2Q1K3/3r4/3k4/8 b - -,d3e3 e4d4 e3g3 c4a2 d2e1 d4e4 g3h3 a2a5 e1d1 a5f5,15265
r1bqkb1r/ppp2ppp/5n2/3Pp1N1/8/1n6/PPPP1PPP/RNBQK2R w KQkq -,g5e6 f7e6 a2b3 e6d5 d2d4 f8d6 d4e5 d6e5 d1e2 e8h8,-938
r2qkbnr/pp1nppp1/2p4p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R b KQkq -,a8c8 c1f4 e7e6 e1a1 g8f6 c1b1 f8e7 g3e4 f6e4 d3e4,70
rn1qkb1r/ppp1pppp/5n2/3P4/2B3b1/5P2/PPPP2PP/RNBQK1NR b KQkq -,b7b5 c4b5 g4d7 b5c4 d7c8 b1c3 c8b7 d1e2 f6d5 c3d5,246
8/8/1Q1k4/8/8/3BK3/8/8 b - -,b7b5 c4b5 g4d7 b5c4 d7c8 b1c3 c8b7 d1e2 f6d5 c3d5,Mate
rnbqkbnr/ppppp1pp/8/5p2/2P5/8/PP1PPPPP/RNBQKBNR w KQkq -,g1f3 e7e6 g2g3 f8e7 b2b3 g8f6 f1g2 d7d6 d2d4 f6e4,95
8/8/4k3/1Q6/4B3/4K3/8/8 w - -,d2d3 e7e5 g2g3 g8f6 f1g2 f8b4 c1d2 b4d2 d1d2 d7d6,Mate
r1bqkb1r/pp1ppppp/2n2n2/2p5/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,f6e4 c4f7 e8f7 c3e4 d7d5 e4c5 e7e5 d2d4 e5d4 c5d3,49
rnbqkb1r/ppp1pppp/5n2/3P4/2B5/5P2/PPPP2PP/RNBQK1NR w KQkq -,b1c3 b8d7 d2d4 d7b6 c4b3 a7a5 a2a3 b6d5 c3d5 f6d5,63
8/8/8/8/2Q2K2/4r3/3k4/8 b - -,e3c3 c4b5 c3h3 b5b2 d2d1 b2a2 d1c1 a2f2 h3b3 f4e4,6110
rnbqkbnr/ppppp1pp/8/5p2/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq -,d7d6 d2d4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8h8 e1h1,82
rnbq1rk1/ppppppbp/5np1/8/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQ -,a2a3 d7d6 b1c3 a7a6 e3e4 b7b5 e4e5 f6h5 f4e3 c8b7,-29
r1bqkbnr/pppp2pp/8/4npN1/2BQP3/8/PPP2PPP/RNB1K2R b KQkq -,d7d6 b1c3 g8f6 e1h1 c7c5 c4b5 c8d7 d4a4 a7a6 b5d7,238
8/3kr3/8/3K1Q2/8/8/8/8 b - -,d7d6 b1c3 g8f6 e1h1 c7c5 c4b5 c8d7 d4a4 a7a6 b5d7,Mate
r2qkbnr/1pp2pp1/p1p5/4p2p/4P1b1/5N1P/PPPP1PP1/RNBQ1RK1 w kq -,d2d3 d8f6 b1d2 g7g5 h3g4 h5g4 f1e1 g8h6 d2c4 g4f3,15
8/2kr4/8/2K2Q2/8/8/8/8 w - -,f1e1 d8f6 d2d3 g4f3 d1f3 f6f3 g2f3 f8d6 b1d2 f7f6,Mate
rnbqk1nr/ppp1ppbp/3p2p1/8/3PPB2/2N5/PPP2PPP/R2QKBNR b KQkq -,f7f5 e4e5 b8c6 g1f3 d6e5 d4e5 d8d1 a1d1 c8d7 f1c4,152
r1bqkbnr/ppp2ppp/2n1p3/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq -,c2c4 g8f6 g1f3 f6e4 f3d2 f8d6 f4d6 e4d6 b1c3 e8h8,69
rn1qkbnr/pbpp1ppp/1p2p3/3P4/4P3/2N5/PPP2PPP/R1BQKBNR b KQkq -,f8c5 a2a3 g8f6 d1f3 e8h8 f1d3 c5e7 g1e2 e6d5 e4d5,78
r1bqk2r/pp1p1ppp/2n2n2/2b1p3/4P3/2N2N1P/PPP2PP1/R1BQKB1R b KQkq -,d8b6 d1d2 c5b4 f1d3 h7h6 e1h1 e8h8 d2e1 b4c3 e1c3,-34
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b KQkq -,d8b6 g1f3 d5e4 d2e4 b8d7 f1d3 g8f6 e4d2 c6c5 d1e2,110
8/1k1r4/8/2K1Q3/8/8/8/8 w - -,d8b6 g1f3 d5e4 d2e4 b8d7 f1d3 g8f6 e4d2 c6c5 d1e2,Mate
r1bq1rk1/pppp1pp1/2n2n1p/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQR1K1 b - -,d8e8 d3d4 c5b6 d4d5 c6b8 a2a4 e8e7 b1d2 a7a5 h2h3,95
r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/1PP2N2/P4PPP/RNBQKB1R b KQkq -,c5d4 f1d3 d4c3 b1c3 g8e7 e1h1 e7g6 c1b2 f8e7 c3a4,-78
rnbqkbnr/pp2pppp/2p5/8/3Pp3/8/PPPN1PPP/R1BQKBNR w KQkq -,f1c4 d8d4 c2c3 d4e5 d1e2 c8e6 c4d3 g8f6 g1f3 e5h5,-133
r2q1rk1/1pp2ppp/p1npbn2/2b1p3/4P3/1BPP1N2/PP1N1PPP/R1BQR1K1 b - -,h7h6 d2f1 e6b3 d1b3 f8e8 c1e3 c5e3 f1e3 d8d7 a1d1,22
r2qkb1r/1pp1pppp/p1n2n2/3p1b2/B2P1B2/4PN2/PPP2PPP/RN1QK2R b KQkq -,a8b8 f3e5 f5d7 a4c6 d7c6 e1h1 f6d7 e5c6 b7c6 b1d2,78
rnbqk1nr/pp1pppbp/6p1/8/3NP3/4B3/PPP2PPP/RN1QKB1R b KQkq -,b8a6 c2c4 d7d6 b1c3 a6c5 d1d2 c8d7 f1e2 g8f6 f2f3,154
2k5/2r5/8/1K1Q4/8/8/8/8 w - -,b8a6 c2c4 d7d6 b1c3 a6c5 d1d2 c8d7 f1e2 g8f6 f2f3,Mate
2k5/4r3/1K6/3Q4/8/8/8/8 w - -,b8a6 c2c4 d7d6 b1c3 a6c5 d1d2 c8d7 f1e2 g8f6 f2f3,Mate
rnbqk2r/pp2bppp/4pn2/3P4/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,c8d7 d5e6 d7e6 f1d3 b8c6 e1h1 e8h8 a2a3 h7h6 f1e1,112
8/4k3/8/3Q4/4B3/4K3/8/8 w - -,c8d7 d5e6 d7e6 f1d3 b8c6 e1h1 e8h8 a2a3 h7h6 f1e1,Mate
rn1qkb1r/ppp1pppp/5n2/3P1b2/2B5/5P2/PPPP2PP/RNBQK1NR w KQkq -,b1c3 c7c6 d5c6 b8c6 g1e2 e7e6 e1h1 h7h6 d2d3 f8c5,84
rnbqk1nr/2p1ppbp/p2p2p1/1p6/3PPB2/2N2P2/PPPQ2PP/R3KBNR b KQkq -,c8b7 a2a4 c7c6 h2h4 g8f6 g1h3 b8d7 g2g4 h7h6 h3f2,64
rnbqk2r/pp2ppbp/3p1np1/2pP4/2P5/4PN1P/PP3PP1/RNBQKB1R b KQkq -,a7a6 b1c3 e7e6 a2a4 e6d5 c4d5 e8h8 f1d3 f8e8 e1h1,56
rnbqk2r/ppp2ppp/3p1n2/2b1p1N1/2B1P3/2N5/PPPP1PPP/R1BQK2R b KQkq -,d6d5 e4d5 c7c6 d1e2 e8h8 d5c6 c5b6 c6b7 c8b7 d2d3,144
Q7/3kr3/1K6/8/8/8/8/8 w - -,d6d5 e4d5 c7c6 d1e2 e8h8 d5c6 c5b6 c6b7 c8b7 d2d3,Mate
rnbqk2r/pp1pppbp/5np1/8/3NP3/4B3/PPP2PPP/RN1QKB1R w KQkq -,h2h4 f6e4 h4h5 e8h8 b1d2 e4f6 h5g6 h7g6 d1f3 e7e5,-161
r2qkbnr/pp1b2pp/2n1pp2/2ppP3/3P4/2P2N2/PP2BPPP/RNBQK2R w KQkq -,e1h1 f6e5 f3e5 c6e5 d4e5 d8c7 f1e1 e8a8 e2f1 g8e7,50
4k3/4r3/1K6/3Q4/8/8/8/8 w - -,c1e3 f6e5 f3e5 c6e5 d4e5 d8b6 d1c2 g8e7 f2f4 e7f5,Mate
rnbqk1nr/pp2ppbp/2p3p1/3p4/2BPP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,c4d5 c6d5 e4d5 d8d5 b1c3 d5d8 d4d5 g8f6 h2h3 h7h6,-329
4k3/6r1/2K5/3Q4/8/8/8/8 w - -,c4d5 c6d5 e4d5 d8d5 b1c3 d5d8 d4d5 g8f6 h2h3 h7h6,Mate
rnbqkbnr/pp1ppppp/8/2p5/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,f1b5 a7a6 b5e2 d7d5 d2d4 c5d4 e3d4 c8f5 c2c3 e7e6,-39
r1bq1rk1/ppp3bp/3p1nn1/2PPp1p1/4Pp2/2NN1P2/PP2BBPP/R2Q1RK1 w - -,a2a4 h7h5 c5c6 b7c6 d5c6 g5g4 d3b4 g4g3 h2g3 f4g3,33
rnbqkbnr/pp2pppp/8/2pp4/8/2N1P3/PPPP1PPP/R1BQKBNR w KQkq -,a2a3 e7e6 d2d4 g8f6 g1f3 b8c6 d4c5 f8c5 b2b4 c5e7,-50
rn1qkbnr/pbpp1ppp/1p6/3P4/8/2N5/PPP2PPP/R1BQKBNR b KQkq -,f8c5 c1f4 g8f6 d1f3 d7d6 e1a1 e8h8 a2a3 a7a5 g2g4,91
r2qkbnr/pp1n1ppp/3pp3/2p5/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,d1e2 a7a6 d2d4 c5d4 f3d4 f8e7 f1d1 a8c8 c2c4 d8b6,56
r2qkb1r/pppnpppp/5n2/3P1b2/2B5/2N2P2/PPPP2PP/R1BQK1NR w KQkq -,d1e2 d7b6 d2d4 b6c4 e2c4 d8d7 c1f4 a8c8 g2g4 f5c2,71
8/5k2/2Q5/8/4B3/4K3/8/8 w - -,d2d4 d7b6 d1e2 b6c4 e2c4 d8d7 c1g5 f5c2 a1c1 c2f5,Mate
r1bqk1nr/pppp1pp1/2n4p/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,a8b8 e1h1 g8f6 a2a3 a7a6 c1e3 c5e3 f2e3 d7d6 d3d4,53
rnbq1rk1/ppp2Npp/3p1n2/2b1p3/2B1P3/2N5/PPPP1PPP/R1BQK2R b KQ -,c8e6 f7d8 e6c4 d2d3 c5b4 c1d2 b4c3 d2c3 c4d5 e4d5,774
4k3/4r3/2K5/4Q3/8/8/8/8 w - -,c8e6 f7d8 e6c4 d2d3 c5b4 c1d2 b4c3 d2c3 c4d5 e4d5,Mate
rnbqkb1r/pp1ppppp/5n2/2p3B1/3P4/8/PPP1PPPP/RN1QKBNR w KQkq -,g1h3 c5d4 d1d4 b8c6 d4d3 d7d5 b1d2 e7e5 e2e4 c8e6,-145
r4rk1/ppp3pp/2p5/5P2/8/3P4/PPP2K2/RNBQ1B1q b - -,f8f5 f2g3 f5f1 d1f1 h1f1 c1e3 a8f8 b1d2 f1a1 d2f3,-1642
1Q6/4rk2/2K5/8/8/8/8/8 w - -,h7h5 f1e2 f8f5 f2e3 a8e8 e3d2 h1h2 c2c4 e8e2 d1e2,Mate
rnbq1rk1/pp1pppbp/5np1/8/3NP3/4BP2/PPP3PP/RN1QKB1R w KQ -,c2c4 e7e6 b1c3 b8c6 d4c6 d7c6 d1d8 f8d8 f1e2 e6e5,50
rnbq1b1r/ppp2kpp/3p1n2/8/2B1P3/8/PPPP1PPP/RNBQK2R b KQ -,d6d5 e4d5 f8d6 e1h1 h8f8 b1c3 f7g8 d2d4 c8f5 c4b3,-253
1Q6/5k2/3Kr3/8/8/8/8/8 w - -,f7e7 e1h1 d6d5 e4d5 e7f7 d2d4 f8d6 c4b3 h8e8 c2c4,Mate
r1bq1rk1/pp2ppbp/2n2np1/3P4/3N4/2N1BP2/PPPQ2PP/R3KB1R b KQ -,c6b8 f1c4 b8d7 e1a1 d7b6 c4b3 b6d5 c3d5 f6d5 e3h6,257
r1bqk2r/pppp1pp1/1bn2n1p/4p3/2B1P3/2NPBN2/PPP2PPP/R2QK2R w KQkq -,c3d5 d7d6 e1h1 e8h8 a2a4 b6e3 d5f6 d8f6 f2e3 c8e6,17
1Q6/5k2/5r2/3K4/8/8/8/8 w - -,h2h3 d7d6 a2a3 e8h8 e3b6 a7b6 e1h1 c8e6 f1e1 e6c4,Mate
r1b2r2/3n2kp/pq1p2pQ/1pn1p3/4P1P1/5PN1/PPP5/R3KBNR b KQ -,g7f6 g3f5 f8f7 e1a1 d7f8 d1d6 b6d6 f5d6 c8b7 d6f7,Mate
rnbqk2r/pppp1ppp/8/2b1p3/2B1P1n1/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,c5b6 h2h3 g4f6 f3e5 e8h8 e5f7 f8f7 c4f7 g8f7 e4e5,311
4rrk1/1b3ppp/1q3b2/p3p3/2Pp4/8/PPBNQPPP/R2R2K1 w - -,a2a4 f6d8 c2e4 b7e4 d2e4 b6a6 g2g4 a6g6 e4g3 g6c6,-197
rnbq2k1/ppp2rpp/3p1n2/2b1p3/2B1P3/2N5/PPPP1PPP/R1BQK2R w KQ -,c4f7 g8f7 h2h3 b8c6 d2d3 f7g8 c3a4 c5b6 e1h1 d6d5,-184
r2qk2r/1p1n1pb1/p2p1np1/3Pp2p/8/1N2BP2/PPPQB1PP/R4RK1 b kq -,d8c8 b3a5 e8h8 a1c1 c8c7 c2c4 b7b6 a5c6 d7b8 c6b4,73
rnbqk2r/ppp1ppbp/3p1np1/8/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,f4g5 c7c5 c2c3 d8b6 d1b3 e8h8 b1d2 c8e6 f1c4 e6c4,-29
8/2Q2k2/5r2/3K4/8/8/8/8 b - -,f4g5 c7c5 c2c3 d8b6 d1b3 e8h8 b1d2 c8e6 f1c4 e6c4,Mate
rnbqkb1r/pp1p1ppp/2p2n2/4p3/Q1P5/6P1/PP1PPPBP/RNB1K1NR b KQkq -,f8e7 d2d3 d7d5 c4d5 b7b5 a4b3 c6d5 b1c3 c8e6 b3b5,-34
rnbq2k1/ppp2Bpp/3p1n2/2b1p3/4P3/2N5/PPPP1PPP/R1BQK2R b KQ -,g8f7 h2h3 b8c6 d2d3 f7g8 c1e3 c5b6 e1h1 d8e8 c3b5,-188
7K/8/1Q6/8/8/8/3pk3/8 w - -,g8f7 h2h3 b8c6 d2d3 f7g8 c1e3 c5b6 e1h1 d8e8 c3b5,Mate
8/2Q5/5rk1/3K4/8/8/8/8 w - -,g8f7 h2h3 b8c6 d2d3 f7g8 c1e3 c5b6 e1h1 d8e8 c3b5,Mate
r1bq1rk1/pp2ppbp/2n3p1/3n4/3N4/2N1BP2/PPPQ2PP/R3KB1R w KQ -,d4b3 d5e3 d2e3 c6b4 f1d3 b4d3 e3d3 d8d3 c2d3 f8d8,-222
8/2Q5/5rk1/4K3/8/8/8/8 b - -,f6a6 c7d8 a6a1 d8d2 a1g1 e5e6 g1g5 d2c3 g6h5 c3h3,Mate
7K/8/8/8/8/8/1Q1pk3/8 b - -,f6a6 c7d8 a6a1 d8d2 a1g1 e5e6 g1g5 d2c3 g6h5 c3h3,Mate
r2qkbnr/pp1n1ppp/3pp3/2p5/2P1P3/5N2/PP1P1PPP/RNBQ1RK1 b kq -,d8c7 b2b3 f8e7 d2d4 a7a6 c1b2 e7f6 d1d2 g8e7 d4d5,50
7K/8/8/8/8/8/1Q1p4/4k3 w - -,d8c7 b2b3 f8e7 d2d4 a7a6 c1b2 e7f6 d1d2 g8e7 d4d5,Mate
rnbqkb1r/pppp1ppp/8/4p3/2B5/2P2N2/PPP2PPP/R1BQK2R b KQkq -,h8g8 c4f7 e8f7 d1d5 f7e8 c1g5 b8c6 g5d8 c6d8 d5g8,941
r1bqkb1r/pp1n1ppp/2p1pn2/8/2pP4/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,e3e4 b7b5 e1h1 c8b7 a2a3 f8e7 b2b3 e8h8 b3c4 b5c4,-54
rnbq1rk1/pp1p1pbp/4pnp1/2pP2B1/2P5/2N2N2/PP2PPPP/R2QKB1R w KQ -,f3d2 d7d6 e2e3 h7h6 g5h4 e6d5 c4d5 d8e7 f1e2 b8d7,71
8/2Q2r2/6k1/8/4K3/8/8/8 w - -,h2h3 h7h6 g5f4 e6d5 c4d5 b8a6 e2e3 d7d6 f1c4 c8f5,Mate
rnbq4/ppp2kpp/3p1n2/2b1p3/4P3/2N5/PPPP1PPP/R1BQK2R w KQ -,c3a4 c8g4 f2f3 f6e4 f3g4 d8h4 g2g3 c5f2 e1e2 h4g4,-375
7K/8/8/8/8/2Q5/3p4/4k3 b - -,f2f3 f7g8 h2h4 c8d7 d2d3 a7a5 c1g5 h7h6 g5f6 d8f6,Mate
rnbqkb1r/pp1p1ppp/2p2n2/4p3/2B1P3/3P4/PPP2PPP/RNBQK1NR w KQkq -,d1e2 f8c5 c4b3 e8h8 g1f3 d7d6 e1h1 b8d7 b1c3 b7b5,-27
8/8/4kpp1/3p1b2/p6P/2B5/6P1/6K1 b - -,f5h3 g1h2 h3g4 h2g3 e6f5 c3b2 g4h5 g3f2 f5e4 b2a3,-1801
7K/8/8/8/8/2Q5/3pk3/8 w - -,f5b1 g1f2 e6f5 f2e3 b1e4 g2g3 a4a3 e3f2 e4c2 f2e3,Mate
rnbqkb1r/pp1ppppp/5n2/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq -,g2g3 g7g6 f1g2 f8g7 e2e3 e8h8 g1e2 e7e6 b2b3 d7d5,37
rnbqkb1r/pppp2pp/5p2/4p3/2B5/2P2N2/PPP2PPP/R1BQK2R w KQkq -,c4f1 d7d5 c3c4 c7c6 c4d5 c6d5 c2c4 c8e6 c4d5 f8b4,-209
8/8/3Q1rk1/8/4K3/8/8/8 w - -,c4f1 d7d5 c3c4 c7c6 c4d5 c6d5 c2c4 c8e6 c4d5 f8b4,Mate
r2qkb1r/1pp1pppp/p1n2n2/1B1p1b2/3P1B2/4PN2/PPP2PPP/RN1QK2R w KQkq -,b5c6 b7c6 c2c4 a8b8 d1c1 d8c8 e1h1 c8b7 b1d2 b7b2,98
rnbqkbnr/pp2pppp/8/2ppP3/5P2/8/PPPP2PP/RNBQKBNR b KQkq -,b8c6 b1c3 h7h5 g1f3 c8g4 f1b5 e7e6 b5c6 b7c6 h2h3,-88
r2qkbnr/pp1nppp1/2p3bp/8/3P3P/3B1NN1/PPP2PP1/R1BQK2R b KQkq -,e7e6 d3g6 f7g6 e1h1 f8d6 f1e1 d6g3 f2g3 g8f6 d1d3,304
r1bqk2r/pppp1pbp/2n2np1/4p3/2B1P3/2P2Q2/PP1P1PPP/RNB1K1NR w KQkq -,h2h3 d7d5 e4d5 c6a5 d2d3 e8h8 b1d2 a5c4 d3c4 b7b5,-126
r1bqkb1r/pp1n1ppp/2p1pn2/8/P1pP4/2N1PN2/1P2BPPP/R1BQK2R b KQkq -,f8b4 e1h1 e8h8 e2c4 b7b6 e3e4 b4c3 b2c3 f6e4 c4d3,44
rnbqkb1r/ppp3pp/3p1n2/8/2B1P3/8/PPPP1PPP/RNBQK2R w KQ -,a2a4 f6e4 e1h1 e4f6 b1c3 f8e7 f1e1 e8f8 c3d5 b8c6,-72
7K/8/8/8/8/8/2Qp4/4k3 w - -,a2a4 f6e4 e1h1 e4f6 b1c3 f8e7 f1e1 e8f8 c3d5 b8c6,Mate
8/4Q3/6k1/8/4K3/8/5r2/8 w - -,a2a4 f6e4 e1h1 e4f6 b1c3 f8e7 f1e1 e8f8 c3d5 b8c6,Mate
r1bq2k1/ppp2rb1/3p1nn1/2PPp1pp/4Pp2/2NN1P2/PP2BBPP/2RQ1R1K w - -,c3b5 a7a6 b5a3 g7f8 a3c4 g5g4 c5d6 f8d6 d3c5 d6c5,57
7K/8/8/8/4Q3/8/3p4/5k2 w - -,a2a4 g5g4 d1d2 g7f8 c5c6 b7c6 d5c6 f7h7 b2b4 g8h8,Mate
r1bqk2r/pp1n1ppp/2pbpn2/8/P1pP4/2N1PN2/1P2BPPP/R1BQK2R w KQkq -,f3d2 e6e5 d2c4 d6c7 b2b3 e8h8 c1a3 f8e8 e1h1 e5d4,50
rnbqkb1r/pp3ppp/2p2n2/3pp3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,b1a3 f8a3 e4d5 a3d6 d5c6 b8c6 f3g5 e8h8 c2c3 d8c7,-675
7K/8/8/8/8/3Q4/3p4/4k3 w - -,b1a3 f8a3 e4d5 a3d6 d5c6 b8c6 f3g5 e8h8 c2c3 d8c7,Mate
rnbqkb1r/pp3ppp/2p2n2/3pp3/4P3/1B1P1N2/PPP2PPP/RNBQK2R b KQkq -,f8c5 e4d5 e8h8 e1h1 a7a5 b1c3 f6d5 b3d5 c6d5 f3e5,94
Q1bk4/p4p2/6r1/3p4/8/2P5/2PK1P1P/R4B1q w - -,a8c8 d8c8 f1h3 c8c7 a1h1 a7a5 h3f1 g6f6 h2h4 a5a4,790
7K/8/8/8/8/4Q3/3p4/3k4 w - -,a8b8 h1f3 b8a7 f3f4 a7e3 f4e3 d2e3 g6e6 e3d2 e6f6,Mate
rn1qkb1r/pp3ppp/2p1pn2/2Pp4/3P1Bb1/4PN2/PP3PPP/RN1QKB1R b KQkq -,b7b6 c5b6 d8b6 d1b3 g4f3 g2f3 b8d7 b1c3 f8e7 f1e2,-28
rnbqkb1r/pp2pppp/7n/2ppP3/5P2/8/PPPP2PP/RNBQKBNR w KQkq -,f1e2 c8f5 c2c3 b8c6 g1f3 e7e6 e1h1 f5g6 b1a3 f8e7,-79
rnbqkb1r/pppp2pp/4pn2/5pB1/3P4/2N5/PPP1PPPP/R2QKBNR w KQkq -,e2e4 f5e4 c3e4 f8e7 g5f6 e7f6 c2c3 e8h8 g1f3 b8c6,101
8/6K1/8/8/8/8/3pQ3/2k5 w - -,g1h3 d7d5 h3f4 f8e7 e2e3 e8h8 d1d2 c7c5 d4c5 e7c5,Mate
r1bq1rk1/pp1pppbp/2n2np1/8/3NP3/2N1BP2/PPPQ2PP/R3KB1R b KQ -,d7d6 e1a1 d6d5 e4d5 f6d5 d4c6 b7c6 e3d4 g7d4 d2d4,65
rnbqkb1r/ppp1pppp/5n2/3P4/2B5/2N2P2/PPPP2PP/R1BQK1NR b KQkq -,c7c6 d5c6 b8c6 g1e2 c8f5 d2d3 e7e6 c1e3 f8e7 d1d2,130
rn1qk2r/pbp2ppp/1p2p3/3pP3/3P4/2bB1N2/P1P1QPPP/1RB2RK1 b kq -,d8e7 b1b3 c3a5 c1a3 e7d8 c2c4 a7a6 f1d1 h7h6 e2c2,124
rnbqkb1r/pp3ppp/2p2n2/4p1N1/4p3/1B1P4/PPP2PPP/RNBQK2R b KQkq -,f8b4 c2c3 e8h8 c3b4 e4d3 b1c3 c8f5 c1e3 b8a6 d1f3,341
rnbqkb1r/ppp1pppp/5n2/3p4/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq -,a2a3 d5d4 c3a4 e7e5 g2g3 c7c5 d2d3 h7h6 f1g2 f8e7,-141
8/6K1/8/8/2Q5/8/3p4/1k6 w - -,a2a3 d5d4 c3a4 e7e5 g2g3 c7c5 d2d3 h7h6 f1g2 f8e7,Mate
rnbqkb1r/pppppppp/5n2/8/1P1P4/8/P1P1PPPP/RNBQKBNR b KQkq -,e7e6 a2a3 b7b6 c2c4 c7c5 b4c5 b6c5 e2e3 c5d4 e3d4,-29
8/6K1/8/8/8/3Q4/3p4/2k5 w - -,a7a6 e2e3 d7d5 a2a3 c8g4 g1f3 b8d7 f1e2 e7e6 e1h1,Mate
rnbqkbnr/pp1pp1pp/8/2pP1p2/8/8/PPP1PPPP/RNBQKBNR w KQkq -,e2e4 f5e4 b1c3 g8f6 g1e2 d7d6 e2f4 a7a6 g2g3 g7g6,168
